,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
8,-1.9422388,-2.1941433,"('unaffectionate', 'affectionate')",0.057932958,-0.041675836,0.44280994,0.14162156,-0.4804986,-0.6980658,0.2175672
4,1.7034564,1.696556,"('disliked', 'liked')",1.0118037,0.85390675,0.88824373,0.8343425,1.2011679,1.1282684,0.0728995
73,1.6812243,1.912908,"('helpless', 'self-reliant')",0.76461,0.86491394,1.5135502,1.6147461,1.3197948,1.4641894,-0.1443946
24,-1.6119317,-1.5638613,"('dishonest', 'honest')",-1.0767632,-0.9784951,0.625866,0.7153066,-0.6876097,-0.6090167,-0.078593
51,1.465021,1.2009678,"('uneducated', 'educated')",-0.0983194,-0.38127804,-0.30765527,-0.5842221,0.3530154,0.0784892,0.2745262
1,-1.4560059,-1.5766225,"('unfriendly', 'friendly')",-0.71853405,-0.69276506,-0.6623694,-0.83537936,-0.9456364,-1.0349223,0.0892859
85,1.4547763,1.294913,"('insignificant', 'prestigious')",2.6616006,2.6699972,1.6896632,1.6100492,1.9353466,1.8583199,0.0770267
65,-1.4270171,-1.3968543,"('insecure', 'secure')",-1.6735682,-1.8337555,-1.5126467,-1.4078343,-1.537744,-1.546148,0.008404
59,1.3663117,1.5215495,"('foolish', 'wise')",1.6267866,1.8857698,0.92030615,0.9920545,1.3044682,1.466458,-0.1619898
22,-1.3377393,-1.060004,"('untrustworthy', 'trustworthy')",-0.46054226,-0.361111,-0.5391222,-0.5601834,-0.7791346,-0.6604328,-0.1187018
3,1.3186084,1.1403832,"('repellent', 'pleasant')",-1.5779297,-1.54692,-1.1978173,-1.1778384,-0.4857129,-0.528125,0.0424121
5,1.3175656,1.3618646,"('distant', 'outgoing')",1.6221879,1.7488599,1.2946148,1.1914808,1.4114561,1.4340684,-0.0226123
23,-1.2870134,-1.1407392,"('insincere', 'sincere')",-2.6274524,-2.426678,-0.7303428,-0.11569587,-1.5482696,-1.2277044,-0.3205652
48,-1.2565016,-1.5651698,"('unintelligent', 'intelligent')",-1.5969919,-1.9513571,-1.8980893,-2.0884218,-1.5838609,-1.8683163,0.2844554
10,-1.2010636,-1.3247073,"('unsympathetic', 'sympathetic')",-2.4019277,-2.3931348,-0.9135546,-0.90350914,-1.5055153,-1.5404504,0.0349351
0,-1.1676257,-1.041464,"('unsociable', 'sociable')",-1.995144,-2.1379662,-0.74351823,-0.6117418,-1.302096,-1.2637239,-0.0383721
2,1.1658567,1.1504036,"('unlikable', 'likable')",1.5439796,1.5430734,1.2370414,1.1576682,1.315626,1.2837151,0.0319109
64,1.164696,1.1496471,"('shy', 'confident')",-0.16809174,-0.18269801,0.49882492,0.1669376,0.4984764,0.3779622,0.1205142
47,-1.1504912,-0.95325094,"('stupid', 'smart')",-1.1113698,-0.89917916,-0.19440447,0.13189822,-0.8187551,-0.5735106,-0.2452445
50,1.1482393,0.75076735,"('clumsy', 'skillful')",0.93519247,0.8538437,0.1565278,0.08432346,0.7466532,0.5629781,0.1836751
9,-1.143781,-1.1071477,"('unaffectionate', 'caring')",-0.5731261,-0.61601937,0.5813228,0.607831,-0.3785281,-0.3717787,-0.0067494
28,-1.1393987,-1.1481001,"('disloyal', 'loyal')",-0.9696893,-1.0100476,-0.71508294,-0.6593914,-0.9413903,-0.9391797,-0.0022106
29,1.1247013,1.0667775,"('unfair', 'fair')",0.9542498,0.8199565,0.20853144,0.19759797,0.7624942,0.6947773,0.0677169
42,1.1077102,1.318026,"('unreliable', 'reliable')",1.1193686,1.1295022,0.71655214,0.9789554,0.9812104,1.1421612,-0.1609508
6,1.0780625,1.1008797,"('distant', 'open')",2.0578413,2.1376967,1.0727128,0.8774214,1.4028722,1.3719993,0.0308729
87,1.0756385,0.9139191,"('unsuccessful', 'successful')",1.0254631,1.0539356,0.58511275,0.49963152,0.8954048,0.8224955,0.0729093
27,-1.0432504,-1.3399905,"('hardhearted', 'softhearted')",-1.0786164,-1.3045309,0.01884175,-0.09312671,-0.7010083,-0.9125493,0.211541
53,-1.0299748,-1.2384932,"('uncreative', 'creative')",-0.32349485,-0.5331238,-1.3849461,-1.4846916,-0.9128052,-1.0854362,0.172631
32,-0.9743603,-0.7330295,"('unkind', 'kind')",-0.86496836,-0.52066374,-0.11110853,0.4057364,-0.6501457,-0.2826523,-0.3674934
41,-0.9578912,-1.1264452,"('unforgiving', 'forgiving')",-1.3202937,-1.4644334,-0.33250934,-0.19253857,-0.8702314,-0.9278057,0.0575743
57,-0.95445275,-1.267793,"('unimaginative', 'imaginative')",-1.616602,-2.0255897,-1.3609154,-1.5542113,-1.3106567,-1.6158646,0.3052079
39,-0.9229639,-0.45587796,"('exploitative', 'cooperative')",-1.2886357,-0.95656204,0.02330922,0.4876876,-0.7294301,-0.3082508,-0.4211793
34,-0.9160594,-0.82286376,"('mean', 'honorable')",-1.3085337,-1.1053795,0.4112883,0.7329564,-0.604435,-0.3984289,-0.2060061
11,-0.91517174,-0.5133566,"('unhelpful', 'helpful')",-2.5613337,-2.3146083,0.0984564,0.6673753,-1.1260163,-0.7201966,-0.4058197
18,-0.89983785,-0.82021797,"('disagreeable', 'welcoming')",0.56696945,0.5324357,-0.4920377,-0.2919929,-0.2749687,-0.1932584,-0.0817103
80,0.8900055,0.4759711,"('dominated', 'dominating')",-0.7644711,-0.9847092,-0.22613873,-0.5060773,-0.0335348,-0.3382718,0.304737
86,-0.8651305,-1.3246703,"('uninfluential', 'influential')",-1.6224593,-2.2555776,-0.48853338,-1.1809734,-0.9920411,-1.5870738,0.5950327
55,-0.85939616,-0.9425021,"('incompetent', 'clever')",-1.3348007,-1.6952665,-1.3967147,-1.6619978,-1.1969705,-1.4332555,0.236285
37,-0.85537004,-0.92633253,"('fake', 'genuine')",-0.8402986,-1.0123879,0.010035105,0.03140834,-0.5618778,-0.6357707,0.0738929
82,-0.79661995,-0.68417,"('poor', 'rich')",-0.11156613,0.12804873,-1.2553391,-0.8248404,-0.721175,-0.4603206,-0.2608544
43,-0.78123343,-0.59715664,"('irresponsible', 'responsible')",-2.6241963,-2.3224313,-0.15836379,0.3648963,-1.1879312,-0.8515639,-0.3363673
46,-0.76450294,-0.9287869,"('uncompetitive', 'competitive')",-1.9464281,-1.9364163,-0.8398604,-0.79657346,-1.1835972,-1.2205922,0.036995
20,-0.7333417,-0.78919256,"('rough', 'thoughtful')",-0.9007439,-0.9623415,-1.0800147,-1.198864,-0.9047001,-0.983466,0.0787659
70,-0.71449363,-0.5668814,"('lethargic', 'energetic')",-1.2795415,-1.1901904,-0.58082795,-0.16909495,-0.8582877,-0.6420556,-0.2162321
16,0.7093699,0.86088395,"('unpopular', 'popular')",0.64215666,0.7493008,-0.40508902,-0.13793766,0.3154792,0.490749,-0.1752698
26,-0.69598716,-1.1288614,"('hardhearted', 'benevolent')",1.130699,0.71854,0.11327358,-0.49170458,0.1826618,-0.3006753,0.4833371
66,0.6889309,0.14168727,"('inactive', 'active')",1.4929563,1.0970032,0.57621306,0.05639337,0.9193668,0.4316946,0.4876722
7,-0.6716149,-0.68526995,"('insensitive', 'sensitive')",-1.7761376,-1.8768588,-1.1911728,-0.80450344,-1.2129751,-1.1222107,-0.0907644
17,0.6490906,0.7038937,"('nasty', 'nice')",-0.44365636,-0.3598346,-0.13955127,0.0971718,0.021961,0.147077,-0.125116
25,-0.6288324,-0.41799843,"('egoistic', 'altruistic')",-0.16291484,-0.021679344,-0.38175207,-0.3395531,-0.3911664,-0.2597436,-0.1314228
13,-0.6150376,-0.49769008,"('impolite', 'polite')",-1.9664679,-1.6852341,-0.36508852,-0.06555904,-0.982198,-0.7494945,-0.2327035
79,0.6070856,0.5024265,"('wavering', 'unwavering')",1.1559144,1.1603769,1.2321798,1.2187335,0.9983932,0.9605123,0.0378809
69,0.60689884,0.47297066,"('lazy', 'industrious')",1.551358,1.3977647,0.56471336,0.30462715,0.9076567,0.7251209,0.1825358
67,0.6018362,1.09492,"('doubtful', 'determined')",0.39947522,0.53198886,1.1672106,1.5202565,0.7228406,1.0490551,-0.3262145
40,-0.5565355,-1.0046629,"('stingy', 'generous')",-0.56119215,-1.1240276,0.06854197,-0.38296235,-0.3497285,-0.8372176,0.4874891
74,0.54588234,0.46732923,"('undedicated', 'dedicated')",0.16569309,0.20471844,0.48452902,0.33563286,0.3987015,0.3358935,0.062808
72,-0.54154617,-0.54253006,"('unambitious', 'ambitious')",-1.4786451,-1.2827885,-0.53615755,-0.31483167,-0.8521163,-0.7133834,-0.1387329
61,0.5149749,0.62887746,"('illogical', 'logical')",-0.53506863,-0.45879596,0.07958398,-0.0075512873,0.0198301,0.0541767,-0.0343466
