,exxon_male,exxon_female,tuple,mobil_male,mobil_female,corp_male,corp_female,average_male,average_female,male-female
65,-1.6895356,-1.6439387,"('insecure', 'secure')",-1.7315972,-1.6308732,-0.35234752,-0.18244126,-1.2578268,-1.1524177,-0.1054091
70,-1.6862123,-1.7463652,"('lethargic', 'energetic')",-2.0869093,-2.1150298,-0.046002403,-0.17109622,-1.2730413,-1.3441637,0.0711224
0,-1.6671907,-2.1407354,"('unsociable', 'sociable')",-1.8238449,-2.0207822,-0.44265243,-0.6221023,-1.3112293,-1.59454,0.2833107
30,-1.6424575,-1.6189928,"('intolerant', 'tolerant')",-1.6295985,-1.5753148,0.22372445,0.41711628,-1.0161106,-0.9257304,-0.0903802
57,-1.5806112,-2.0191503,"('unimaginative', 'imaginative')",-2.3044682,-2.491649,-3.2110674,-3.5253127,-2.3653822,-2.6787039,0.3133217
55,-1.5399526,-1.835437,"('incompetent', 'clever')",-2.8423815,-2.9434664,0.22003426,0.001170598,-1.3874334,-1.5925776,0.2051442
63,-1.5189881,-1.5447706,"('unperceptive', 'insightful')",-2.0349975,-2.0061364,0.4063849,0.38935858,-1.0492002,-1.0538495,0.0046493
10,-1.4844886,-1.9396552,"('unsympathetic', 'sympathetic')",-2.8418603,-3.0460758,-0.6639968,-0.91581726,-1.6634485,-1.9671828,0.3037343
14,-1.4684641,-1.8236799,"('antisocial', 'social')",-1.4795308,-1.6350472,-0.52127147,-0.56451446,-1.1564221,-1.3410805,0.1846584
11,-1.4123232,-1.3461515,"('unhelpful', 'helpful')",-2.0313537,-1.9377993,1.8191833,1.968068,-0.5414979,-0.4386276,-0.1028703
8,-1.3676902,-1.425457,"('unaffectionate', 'affectionate')",-2.1767697,-2.0517,0.16283026,0.13346042,-1.1272098,-1.1145655,-0.0126443
60,-1.3618363,-1.3359993,"('inefficient', 'efficient')",-2.163689,-2.1021764,-0.1640272,0.0352844,-1.2298508,-1.1342971,-0.0955537
43,-1.3612577,-1.450081,"('irresponsible', 'responsible')",-2.5630934,-2.5723505,-0.16593193,-0.12664907,-1.3634276,-1.3830268,0.0195992
45,-1.3304957,-1.6165266,"('incompetent', 'competent')",-1.8250504,-1.9249079,-0.46945965,-0.6347771,-1.2083352,-1.3920706,0.1837354
46,-1.2961935,-1.6175679,"('uncompetitive', 'competitive')",-1.4544973,-1.7954121,-0.9663566,-1.0758744,-1.2390158,-1.4962848,0.257269
73,1.1780059,1.3712921,"('helpless', 'self-reliant')",0.6431033,0.81264627,-3.3729217,-3.2125294,-0.5172708,-0.3428636,-0.1744072
86,-1.149846,-1.4942672,"('uninfluential', 'influential')",-2.5853848,-2.696099,-0.6045671,-1.0368727,-1.4465993,-1.742413,0.2958137
21,-1.1292293,-1.2852755,"('immoral', 'moral')",-1.6050813,-1.6681844,-0.977978,-0.9084828,-1.2374295,-1.2873142,0.0498847
13,-1.1065806,-1.2075609,"('impolite', 'polite')",-1.3502282,-1.4012372,-0.81875557,-0.77359045,-1.0918548,-1.1274629,0.0356081
69,1.0703305,1.2540104,"('lazy', 'industrious')",3.28414,3.286689,-0.40605572,-0.33015224,1.3161383,1.4035158,-0.0873775
48,-1.0592889,-1.0070944,"('unintelligent', 'intelligent')",-1.8068404,-1.7837167,0.79471654,0.783269,-0.6904709,-0.6691807,-0.0212902
81,-1.0131725,-0.88821405,"('submissive', 'aggressive')",-0.9492026,-0.8027085,-0.63089937,-0.4707716,-0.8644249,-0.7205647,-0.1438602
23,-0.9925443,-1.0404648,"('insincere', 'sincere')",-1.6922693,-1.6790899,5.0583987,5.316898,0.7911951,0.8657811,-0.074586
76,-0.95372015,-0.9592066,"('anxious', 'daring')",-0.6690278,-0.7683819,-0.25145578,-0.34416425,-0.6247346,-0.6905842,0.0658496
18,-0.9337455,-0.9647471,"('disagreeable', 'welcoming')",-0.16485219,-0.20318104,-0.9778912,-0.9591658,-0.692163,-0.7090313,0.0168683
54,-0.8697549,-0.6266722,"('incapable', 'capable')",0.108902454,0.17593972,0.47086582,0.72784746,-0.0966622,0.0923717,-0.1890339
53,-0.8657502,-1.0906705,"('uncreative', 'creative')",-1.4886287,-1.6027302,0.13052003,-0.010639782,-0.7412863,-0.9013468,0.1600605
19,-0.86319846,-0.7381998,"('inhospitable', 'hospitable')",-0.45022386,-0.498922,-0.83080053,-0.73125166,-0.7147409,-0.6561245,-0.0586164
62,-0.84277505,-0.6912698,"('incompetent', 'brilliant')",-1.4213897,-1.2192885,0.27821642,0.61634034,-0.6619828,-0.4314059,-0.2305769
41,-0.8416101,-0.99028695,"('unforgiving', 'forgiving')",-1.9338005,-1.8305515,-0.49029425,-0.64862865,-1.0885683,-1.1564891,0.0679208
82,-0.8186062,-0.5922701,"('poor', 'rich')",-1.6396462,-1.6000848,5.6862445,5.8800383,1.0759974,1.2292278,-0.1532304
36,0.8139603,0.5948998,"('hostile', 'amicable')",0.5662737,0.4980077,-0.44535968,-0.6562956,0.3116248,0.1455373,0.1660875
22,-0.8051851,-1.0321208,"('untrustworthy', 'trustworthy')",-1.6202186,-1.649235,-1.3592331,-1.5192947,-1.2615456,-1.4002169,0.1386713
77,-0.7871046,-0.98420733,"('unmotivated', 'motivated')",-0.14116344,-0.31707102,-0.7585037,-0.78380734,-0.5622573,-0.6950285,0.1327712
52,-0.7865404,-0.8204015,"('irrational', 'rational')",-0.0064156856,0.005133043,-0.17860785,-0.12870055,-0.3238546,-0.3146563,-0.0091983
78,-0.7739398,-0.9167258,"('nonresilient', 'resilient')",-0.12085067,-0.4385584,0.5060473,0.30509025,-0.1295811,-0.3500647,0.2204836
58,-0.76808673,-0.8856268,"('undiscriminating', 'discriminating')",-0.61429375,-0.83430374,0.05869645,-0.11776276,-0.441228,-0.6125644,0.1713364
7,-0.7351214,-0.9717651,"('insensitive', 'sensitive')",-1.5348232,-1.5167614,0.012366393,-0.07282018,-0.7525261,-0.8537823,0.1012562
17,-0.7087098,-0.8582741,"('nasty', 'nice')",-0.18116641,-0.24309926,-0.62929314,-0.6302701,-0.5063898,-0.5772145,0.0708247
47,-0.6991487,-0.5734393,"('stupid', 'smart')",-0.37184557,-0.4081117,4.983643,4.9719706,1.3042162,1.3301399,-0.0259237
28,-0.68977225,-1.0498676,"('disloyal', 'loyal')",-1.7916936,-1.7318517,0.6204125,0.5705358,-0.6203511,-0.7370612,0.1167101
