,grainger_male,grainger_female,tuple,w_male,w_female,inc_male,inc_female,average_male,average_female,male-female
60,2.1812336,2.2248924,"('inefficient', 'efficient')",2.21921,1.9418137,0.82143724,0.88389647,1.740627,1.6835341,0.0570929
6,-2.1708205,-2.2293255,"('distant', 'open')",-1.5652246,-1.520004,-0.33009702,-0.5800899,-1.3553807,-1.4431399,0.0877592
56,2.0548432,2.129285,"('impractical', 'practical')",1.5495788,1.4171011,0.30758575,0.33339718,1.3040026,1.2932611,0.0107415
36,-1.9798359,-2.0553944,"('hostile', 'amicable')",-2.2523692,-2.1279151,-0.43025967,-0.59062266,-1.5541549,-1.5913108,0.0371559
1,-1.964242,-2.0124981,"('unfriendly', 'friendly')",-1.1298727,-1.1847242,1.075023,0.69788706,-0.6730305,-0.8331118,0.1600813
85,-1.7948227,-1.8337343,"('insignificant', 'prestigious')",-1.6064968,-1.3715475,0.4416662,0.11707343,-0.9865511,-1.0294027,0.0428516
55,1.7688555,2.0425425,"('incompetent', 'clever')",1.9425825,1.8816311,0.56618226,0.59875816,1.4258734,1.5076439,-0.0817705
52,-1.7599503,-1.9009492,"('irrational', 'rational')",-0.44536164,-0.5288705,0.05924131,-0.20887168,-0.7153569,-0.8795638,0.1642069
31,-1.7041423,-1.7944239,"('evil', 'good')",-1.1474528,-0.85942173,-1.338229,-1.5869212,-1.396608,-1.413589,0.016981
5,-1.6786802,-1.7874156,"('distant', 'outgoing')",-1.4458971,-1.4352312,-0.7445463,-1.0716938,-1.2897078,-1.4314469,0.1417391
14,1.6706012,1.6622028,"('antisocial', 'social')",2.409767,2.1798236,-0.32378784,-0.42074016,1.2521934,1.1404288,0.1117646
87,1.6015767,1.6132445,"('unsuccessful', 'successful')",2.2550547,2.2531314,1.2047176,1.2477417,1.6871163,1.7047059,-0.0175896
45,1.5685287,1.7287513,"('incompetent', 'competent')",2.3896499,2.5750914,0.70342386,0.7194473,1.5538675,1.6744299,-0.1205624
