,huntington_male,huntington_female,tuple,bancshares_male,bancshares_female,inc_male,inc_female,average_male,average_female,male-female
44,-1.8147769,-1.8447845,"('prejudiced', 'unprejudiced')",0.43923876,0.37029734,-1.890212,-1.8826615,-1.0885834,-1.1190495,0.0304661
7,1.7154505,1.9081461,"('insensitive', 'sensitive')",-0.5621056,-0.594827,1.2073581,1.0422423,0.786901,0.7851872,0.0017138
31,-1.5124348,-1.354053,"('evil', 'good')",-0.1702057,0.017922806,-1.0074719,-0.84983563,-0.8967042,-0.7286553,-0.1680489
27,1.4424363,1.3617674,"('hardhearted', 'softhearted')",-0.6811474,-0.7319611,1.7001984,1.7092491,0.8204958,0.7796852,0.0408106
12,1.4326842,1.468569,"('unsupportive', 'supportive')",-0.8660562,-0.8251673,-1.4143687,-1.2768414,-0.2825803,-0.2111466,-0.0714337
23,1.4240199,1.3616453,"('insincere', 'sincere')",-1.723437,-1.7550681,6.152504,5.621961,1.951029,1.7428462,0.2081828
79,-1.3998806,-1.2384987,"('wavering', 'unwavering')",-0.9926535,-0.9264807,-0.34654245,-0.17771818,-0.9130255,-0.7808992,-0.1321263
40,1.3978491,1.4472039,"('stingy', 'generous')",-0.25526437,-0.41051143,-0.7488364,-0.8891318,0.1312494,0.0491869,0.0820625
4,-1.3481636,-1.0951904,"('disliked', 'liked')",0.40424398,0.43945137,-6.363308,-6.052681,-2.4357425,-2.2361399,-0.1996026
69,-1.3291446,-1.2312512,"('lazy', 'industrious')",1.7927097,1.8468109,-0.9831847,-0.8043249,-0.1732065,-0.0629217,-0.1102848
35,-1.3068632,-1.3428462,"('corrupt', 'incorrupt')",0.52216274,0.5557695,-0.5564314,-0.3341174,-0.447044,-0.3737314,-0.0733126
39,1.2962006,1.3311628,"('exploitative', 'cooperative')",1.0366821,1.0101101,0.35833943,0.28395563,0.8970741,0.8750761,0.021998
74,1.2003127,1.2263813,"('undedicated', 'dedicated')",0.06294923,-0.0034695491,0.21916011,0.22194743,0.4941407,0.4816197,0.012521
5,-1.1775962,-0.8533385,"('distant', 'outgoing')",-0.96252024,-0.8245612,-0.48138085,-0.40815812,-0.8738325,-0.6953526,-0.1784799
70,1.1775656,1.0961266,"('lethargic', 'energetic')",-0.879038,-1.0113947,0.82748324,0.59480023,0.375337,0.2265107,0.1488263
6,-1.1765974,-0.96599114,"('distant', 'open')",-0.8276589,-0.6925033,0.093723804,0.16220559,-0.6368442,-0.498763,-0.1380812
10,1.0926477,1.2343785,"('unsympathetic', 'sympathetic')",-1.560015,-1.6580579,-0.0046139974,0.008447176,-0.1573271,-0.1384108,-0.0189163
16,-1.0865793,-0.9364443,"('unpopular', 'popular')",-0.49485728,-0.375518,0.26778734,0.24345645,-0.4378831,-0.3561686,-0.0817145
36,-1.0623188,-1.0257366,"('hostile', 'amicable')",-0.31752044,-0.19018707,-0.46988434,-0.13010377,-0.6165745,-0.4486758,-0.1678987
26,1.0598154,1.2648014,"('hardhearted', 'benevolent')",-0.021700451,-0.012658402,1.327876,1.7576658,0.7886636,1.0032696,-0.214606
50,-1.0562396,-1.0119436,"('clumsy', 'skillful')",0.13436869,0.19586214,0.21613947,0.30379197,-0.2352438,-0.1707631,-0.0644807
60,1.0330461,1.1234182,"('inefficient', 'efficient')",-0.17914325,-0.21304835,0.2558122,0.08233254,0.369905,0.3309008,0.0390042
9,0.9867022,1.1266094,"('unaffectionate', 'caring')",-1.7821524,-1.754799,1.39405,1.3602866,0.1995333,0.2440323,-0.044499
72,0.9824574,1.0426185,"('unambitious', 'ambitious')",-1.1324894,-1.1399182,-0.5908183,-0.7268462,-0.2469501,-0.2747153,0.0277652
71,0.9600025,0.99886245,"('diffident', 'self-confident')",0.1138234,0.11688852,0.32158756,0.3153418,0.4651378,0.477031,-0.0118932
59,-0.9472818,-0.66073716,"('foolish', 'wise')",0.2614743,0.37077433,0.13651899,0.25905806,-0.1830962,-0.0103016,-0.1727946
64,-0.8847053,-0.5893651,"('shy', 'confident')",0.49293947,0.5808904,-6.722861,-6.445266,-2.3715423,-2.1512469,-0.2202954
37,0.8563301,0.8250672,"('fake', 'genuine')",-0.24834587,-0.34732553,0.6678221,0.445634,0.4252688,0.3077919,0.1174769
78,-0.85308933,-1.0002936,"('nonresilient', 'resilient')",-0.88746727,-1.0225483,0.45639685,0.3333574,-0.4280533,-0.5631615,0.1351082
15,-0.8302061,-0.7234724,"('boring', 'funny')",-0.105625145,-0.100022234,0.3112958,0.25112098,-0.2081785,-0.1907912,-0.0173873
24,0.82617277,1.0910186,"('dishonest', 'honest')",-0.7026197,-0.7120265,1.1355543,1.0136644,0.4197025,0.4642188,-0.0445163
55,0.7523631,0.689906,"('incompetent', 'clever')",-0.5750401,-0.7875102,0.5195084,0.3006435,0.2322771,0.0676798,0.1645973
30,0.7089679,0.82231796,"('intolerant', 'tolerant')",-0.61058104,-0.6175437,1.0574759,1.0974973,0.3852876,0.4340905,-0.0488029
46,0.70631874,0.7155522,"('uncompetitive', 'competitive')",-0.4269944,-0.51392335,-0.31214327,-0.42396438,-0.0109396,-0.0741118,0.0631722
66,-0.7013815,-0.7410682,"('inactive', 'active')",-0.01909449,-0.15584773,0.42137396,0.43022296,-0.0997007,-0.1555643,0.0558636
20,0.69886464,0.53937304,"('rough', 'thoughtful')",-0.04871238,-0.14975032,1.1001078,1.2515641,0.58342,0.5470623,0.0363577
87,0.64611864,0.5802236,"('unsuccessful', 'successful')",0.78492206,0.6339321,0.79215676,0.5150999,0.7410658,0.5764185,0.1646473
8,0.6194581,0.62104726,"('unaffectionate', 'affectionate')",-1.7375511,-1.7840946,0.86090136,0.91611266,-0.0857306,-0.0823116,-0.003419
18,0.6168747,0.88026166,"('disagreeable', 'welcoming')",-0.98906213,-0.8969486,-0.13943073,-0.1673615,-0.1705394,-0.0613495,-0.1091899
3,0.60472476,0.5028776,"('repellent', 'pleasant')",-0.11576324,-0.19595976,0.4180059,0.17772155,0.3023225,0.1615465,0.140776
14,0.5967947,0.6356866,"('antisocial', 'social')",0.4561098,0.33323365,-0.48112336,-0.63393015,0.1905937,0.1116634,0.0789303
81,0.5956761,0.7933638,"('submissive', 'aggressive')",0.07999822,-0.05969051,-0.62415296,-0.70286727,0.0171738,0.0102687,0.0069051
49,-0.5746051,-0.5731489,"('unable', 'able')",-0.47776306,-0.6162087,0.059217807,-0.25537935,-0.3310501,-0.4815789,0.1505288
77,-0.5698618,-0.322595,"('unmotivated', 'motivated')",-0.34763014,-0.34369165,-1.3878756,-1.4678403,-0.7684558,-0.7113756,-0.0570802
88,-0.5256696,-0.34786966,"('low', 'eminent')",-0.7252742,-0.60383785,0.12302712,0.13926932,-0.3759722,-0.2708127,-0.1051595
65,0.4977313,0.39682037,"('insecure', 'secure')",0.10398653,-0.019162018,0.14883779,-0.15268086,0.2501852,0.0749925,0.1751927
52,-0.4774239,-0.13579857,"('irrational', 'rational')",-0.5534706,-0.3798019,-0.37447947,-0.14223069,-0.468458,-0.219277,-0.249181
51,-0.46547207,-0.28437668,"('uneducated', 'educated')",-0.7057315,-0.6619777,0.5274241,0.6365652,-0.2145932,-0.1032631,-0.1113301
61,0.44140297,0.58267754,"('illogical', 'logical')",-0.48815,-0.45855418,0.46577376,0.40591484,0.1396756,0.1766794,-0.0370038
41,0.42648906,0.76786506,"('unforgiving', 'forgiving')",-0.12020411,0.014149092,0.34080863,0.59840715,0.2156978,0.4601404,-0.2444426
42,-0.4190802,-0.25216427,"('unreliable', 'reliable')",0.310112,0.24839321,-3.1825714,-3.1972566,-1.0971799,-1.0670092,-0.0301707
63,0.39993158,0.48103538,"('unperceptive', 'insightful')",-0.20872594,-0.2486261,1.6986244,1.5552474,0.6299433,0.5958856,0.0340577
62,0.36709863,0.38877192,"('incompetent', 'brilliant')",-0.81175727,-1.0309267,0.29451886,-0.079604775,-0.0500466,-0.2405865,0.1905399
17,0.36550036,0.3788908,"('nasty', 'nice')",-0.53425527,-0.59493834,-0.8094798,-0.63330436,-0.3260782,-0.2831173,-0.0429609
22,0.36441582,0.2967595,"('untrustworthy', 'trustworthy')",0.11067234,0.060989916,-0.5247407,-0.71367276,-0.0165508,-0.1186411,0.1020903
48,0.34133598,0.35569045,"('unintelligent', 'intelligent')",-1.7005928,-1.8512219,0.90804285,0.8912583,-0.1504046,-0.2014244,0.0510198
2,0.34095794,0.46549183,"('unlikable', 'likable')",0.7519501,0.7233861,0.64319956,0.59753793,0.5787025,0.5954719,-0.0167694
54,-0.3401718,-0.3350529,"('incapable', 'capable')",-0.4297506,-0.43743613,0.9593602,0.87387145,0.0631459,0.0337941,0.0293518
73,0.3397855,0.34703502,"('helpless', 'self-reliant')",0.32023418,0.27231374,-3.0347838,-3.1733086,-0.7915881,-0.8513199,0.0597318
29,-0.3293175,-0.43997136,"('unfair', 'fair')",0.008184113,-0.06854319,-0.20770296,-0.26295236,-0.1762788,-0.2571556,0.0808768
0,0.32675502,0.32433677,"('unsociable', 'sociable')",-0.41332126,-0.4524394,-0.21144843,-0.3064981,-0.0993382,-0.1448669,0.0455287
82,-0.3015496,-0.36419302,"('poor', 'rich')",-0.97569954,-1.0729463,6.385561,5.9258204,1.7027706,1.4962269,0.2065437
21,0.29955482,0.3528396,"('immoral', 'moral')",0.13385865,0.11568627,-0.6011456,-0.7979642,-0.0559107,-0.1098128,0.0539021
68,0.2954835,0.2140246,"('dependent', 'independent')",-0.17851445,-0.2568554,-0.1461853,-0.32813308,-0.0097387,-0.1236546,0.1139159
28,-0.29073682,-0.1389581,"('disloyal', 'loyal')",-1.384506,-1.5316683,0.91337675,0.8001299,-0.2539553,-0.2901655,0.0362102
83,-0.28048763,-0.12561107,"('powerless', 'powerful')",-0.39131835,-0.39801538,-1.0739537,-1.0856504,-0.5819199,-0.5364256,-0.0454943
80,-0.24849507,-0.40039152,"('dominated', 'dominating')",1.0930302,0.7847949,-0.98046696,-1.274503,-0.0453106,-0.2966999,0.2513893
56,0.24578598,0.069378674,"('impractical', 'practical')",0.19641896,0.073193066,-0.15403152,-0.44098437,0.0960578,-0.0994709,0.1955287
86,0.22897698,0.4540304,"('uninfluential', 'influential')",-1.8520534,-1.8257992,0.00066295266,-0.010842526,-0.5408045,-0.4608705,-0.079934
38,-0.22784017,-0.2222619,"('untruthful', 'truthful')",-0.84582025,-0.8199374,0.23264505,0.27408242,-0.2803384,-0.256039,-0.0242994
34,0.21014506,-0.028955393,"('mean', 'honorable')",-0.38469973,-0.4539199,6.2772145,5.934798,2.0342199,1.8173075,0.2169124
47,-0.20144233,-0.30540577,"('stupid', 'smart')",0.8991817,0.9262113,5.460333,5.3556814,2.0526908,1.9921624,0.0605284
33,-0.18550241,0.07811393,"('wrong', 'right')",0.37610984,0.56351626,-0.74541616,-0.63428825,-0.1849362,0.0024473,-0.1873835
11,-0.17964229,-0.11261956,"('unhelpful', 'helpful')",-1.1681515,-1.2558165,2.2773938,2.1874,0.3098667,0.272988,0.0368787
58,0.17924492,-0.036933783,"('undiscriminating', 'discriminating')",-0.46599147,-0.5943424,0.26625234,0.17175724,-0.0068314,-0.153173,0.1463416
53,0.1577501,0.46468702,"('uncreative', 'creative')",-1.1542071,-1.111323,0.9307969,1.0145042,-0.0218867,0.1226227,-0.1445094
1,-0.13344793,0.012726624,"('unfriendly', 'friendly')",-1.6903414,-1.6378795,1.8905593,1.9292659,0.0222567,0.101371,-0.0791143
45,-0.12864476,-0.028498024,"('incompetent', 'competent')",-0.11026867,-0.3071115,0.08442847,0.039206877,-0.051495,-0.0988009,0.0473059
75,-0.12757388,-0.15027267,"('meek', 'impulsive')",-0.09449916,-0.03353364,-0.46456462,-0.3574935,-0.2288792,-0.1804333,-0.0484459
43,0.10129199,0.21753645,"('irresponsible', 'responsible')",-1.1502874,-1.2038482,0.59278125,0.5642973,-0.1520714,-0.1406715,-0.0113999
25,0.093754165,0.11693421,"('egoistic', 'altruistic')",0.26797557,0.13859577,1.4520258,1.4920762,0.6045852,0.5825354,0.0220498
85,0.078086555,0.18210241,"('insignificant', 'prestigious')",-0.15910237,0.031553507,0.2622101,0.68270785,0.0603981,0.2987879,-0.2383898
67,-0.07125455,0.32099044,"('doubtful', 'determined')",0.9145636,1.0968392,-0.8605696,-0.62648207,-0.0057535,0.2637825,-0.269536
84,0.068856396,0.11889936,"('inferior', 'superior')",-0.29926643,-0.30320472,0.85124993,1.0070404,0.2069466,0.274245,-0.0672984
19,-0.065823175,0.13086838,"('inhospitable', 'hospitable')",-1.0662055,-0.84465533,-0.17367108,0.11924534,-0.4352333,-0.1981805,-0.2370528
76,0.059165422,0.23991868,"('anxious', 'daring')",-0.21813098,-0.34877214,0.26971078,0.12903944,0.0369151,0.0067287,0.0301864
13,-0.0552293,0.07743242,"('impolite', 'polite')",0.08173062,0.15781793,-0.067331076,-0.10455436,-0.0136099,0.0435653,-0.0571752
57,0.041032556,0.25722626,"('unimaginative', 'imaginative')",-1.1024817,-1.2219733,-2.4229379,-2.2593856,-1.1614623,-1.0747108,-0.0867515
32,0.016373686,0.30638066,"('unkind', 'kind')",-0.26943246,-0.1226323,1.2894778,1.3500428,0.345473,0.5112637,-0.1657907
