,valero_male,valero_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
6,-2.186794,-1.797975,"('distant', 'open')",-0.6802081,-0.68289423,-1.5532365,-1.4030672,-1.4734128,-1.2946455,-0.1787673
1,-1.7101341,-1.500719,"('unfriendly', 'friendly')",-0.007467035,-0.026733967,0.2535713,0.5604383,-0.48801,-0.3223382,-0.1656718
19,-1.6899257,-1.5843241,"('inhospitable', 'hospitable')",-1.2066299,-1.3628298,-1.2354492,-1.2073318,-1.3773349,-1.3848286,0.0074937
86,-1.67996,-2.0405889,"('uninfluential', 'influential')",0.28726396,0.45938557,-0.5467833,-0.5452081,-0.6464931,-0.7088038,0.0623107
53,-1.5504591,-1.4397553,"('uncreative', 'creative')",0.20342694,0.19334942,0.17190135,0.40222254,-0.3917103,-0.2813944,-0.1103159
5,-1.4972553,-1.2283463,"('distant', 'outgoing')",-0.032472037,-0.116087504,-1.065385,-0.96830404,-0.8650374,-0.7709126,-0.0941248
8,-1.4959991,-1.2252783,"('unaffectionate', 'affectionate')",-0.8803787,-0.77983814,-0.30623877,-0.006581396,-0.8942056,-0.6705659,-0.2236397
31,-1.4795338,-0.75427896,"('evil', 'good')",-1.5254946,-1.5409552,-1.9812671,-1.7740409,-1.6620984,-1.356425,-0.3056734
57,-1.4543937,-1.6145421,"('unimaginative', 'imaginative')",0.28215176,0.28991267,-3.0550928,-2.97705,-1.4091117,-1.4338932,0.0247815
79,-1.3858513,-1.1103654,"('wavering', 'unwavering')",-0.7930997,-0.9471026,-0.96383,-0.95300543,-1.0475937,-1.0034911,-0.0441026
0,-1.3818239,-1.8549656,"('unsociable', 'sociable')",0.20168814,0.022563905,-0.08018366,-0.12191482,-0.4201065,-0.6514388,0.2313323
9,-1.322898,-1.2217098,"('unaffectionate', 'caring')",0.11299831,0.22477028,0.43743852,0.7312278,-0.2574871,-0.0885706,-0.1689165
