,millipore_male,millipore_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.7337701,-1.909943,"('uninfluential', 'influential')",-0.39206353,-0.6630945,-1.0629169,-1.2865188,0.2236019
1,-1.6392837,-1.7093946,"('unfriendly', 'friendly')",1.3746275,0.975376,-0.1323281,-0.3670093,0.2346812
9,-1.5466772,-1.425337,"('unaffectionate', 'caring')",1.1538336,0.78150505,-0.1964218,-0.321916,0.1254942
52,-1.5303683,-1.3140396,"('irrational', 'rational')",-0.16555984,-0.2080018,-0.8479641,-0.7610207,-0.0869434
19,-1.4971784,-1.458352,"('inhospitable', 'hospitable')",-0.5470856,-0.72491246,-1.022132,-1.0916322,0.0695002
8,-1.4430442,-1.3734885,"('unaffectionate', 'affectionate')",0.3890025,0.089304626,-0.5270208,-0.642092,0.1150712
10,-1.442282,-1.5629426,"('unsympathetic', 'sympathetic')",-0.3563913,-0.5018526,-0.8993366,-1.0323976,0.133061
85,-1.4243983,-1.0362691,"('insignificant', 'prestigious')",-0.5156204,-0.5719191,-0.9700093,-0.8040941,-0.1659152
6,-1.3400923,-1.0468776,"('distant', 'open')",-0.59357417,-0.8449407,-0.9668332,-0.9459091,-0.0209241
12,-1.2253373,-1.222522,"('unsupportive', 'supportive')",-1.9551182,-1.9799776,-1.5902277,-1.6012498,0.0110221
36,-1.2027106,-0.937226,"('hostile', 'amicable')",-0.5339508,-0.6686262,-0.8683307,-0.8029261,-0.0654046
53,-1.1257279,-1.1082928,"('uncreative', 'creative')",0.6244514,0.50650346,-0.2506382,-0.3008947,0.0502565
38,-1.1187341,-1.09303,"('untruthful', 'truthful')",0.18293652,0.10968545,-0.4678988,-0.4916723,0.0237735
16,-1.1032134,-0.91842145,"('unpopular', 'popular')",0.19989908,0.35016608,-0.4516572,-0.2841277,-0.1675295
45,-1.1005857,-1.3597674,"('incompetent', 'competent')",-0.13616052,-0.3107014,-0.6183731,-0.8352344,0.2168613
73,1.0570247,1.1419245,"('helpless', 'self-reliant')",-3.0575135,-3.00062,-1.0002444,-0.9293477,-0.0708967
0,-1.0390475,-1.2996466,"('unsociable', 'sociable')",-0.30625725,-0.35024735,-0.6726524,-0.824947,0.1522946
79,-1.0285716,-0.79017955,"('wavering', 'unwavering')",-0.497639,-0.5894098,-0.7631053,-0.6897947,-0.0733106
63,-0.9835959,-1.2661849,"('unperceptive', 'insightful')",0.86959785,0.39742678,-0.056999,-0.4343791,0.3773801
66,-0.9250102,-0.8507393,"('inactive', 'active')",-0.009947155,-0.16699123,-0.4674787,-0.5088652,0.0413865
57,-0.91664,-0.98755884,"('unimaginative', 'imaginative')",-3.0870106,-2.9872077,-2.0018253,-1.9873832,-0.0144421
39,0.9130253,0.9808517,"('exploitative', 'cooperative')",0.19564949,0.17454538,0.5543374,0.5776985,-0.0233611
43,-0.91282403,-0.98526394,"('irresponsible', 'responsible')",0.48429012,0.37400424,-0.214267,-0.3056298,0.0913628
60,0.8504201,0.7742737,"('inefficient', 'efficient')",0.5038967,0.58835685,0.6771584,0.6813153,-0.0041569
31,-0.8315029,-0.7904327,"('evil', 'good')",-1.0063616,-1.0543268,-0.9189323,-0.9223797,0.0034474
11,-0.8160258,-0.88550436,"('unhelpful', 'helpful')",2.000808,1.804698,0.5923911,0.4595968,0.1327943
46,-0.8056052,-0.97384465,"('uncompetitive', 'competitive')",-0.8926617,-0.86126494,-0.8491334,-0.9175548,0.0684214
5,-0.7776091,-0.52481633,"('distant', 'outgoing')",-0.34772965,-0.50302345,-0.5626694,-0.5139199,-0.0487495
54,-0.77591324,-0.58255094,"('incapable', 'capable')",0.7426555,0.60155743,-0.0166289,0.0095032,-0.0261321
56,0.76835907,0.5413954,"('impractical', 'practical')",0.0020487811,-0.07631851,0.3852039,0.2325385,0.1526654
61,-0.7479581,-0.8019452,"('illogical', 'logical')",0.4487008,0.29484186,-0.1496287,-0.2535517,0.103923
23,-0.7350291,-0.8508709,"('insincere', 'sincere')",5.976929,5.52983,2.62095,2.3394794,0.2814706
78,-0.7029183,-0.680866,"('nonresilient', 'resilient')",0.5108703,0.46798906,-0.096024,-0.1064385,0.0104145
71,-0.6829153,-0.6297773,"('diffident', 'self-confident')",0.5260377,0.35180685,-0.0784388,-0.1389852,0.0605464
44,0.6527631,0.9590311,"('prejudiced', 'unprejudiced')",-1.4946556,-1.3786477,-0.4209462,-0.2098083,-0.2111379
42,0.6500523,0.4985023,"('unreliable', 'reliable')",-3.1221018,-3.2533226,-1.2360247,-1.3774102,0.1413855
14,0.6488636,0.57223165,"('antisocial', 'social')",-0.04770359,0.15133674,0.30058,0.3617842,-0.0612042
3,-0.61633205,-0.7433409,"('repellent', 'pleasant')",0.5632686,0.65356445,-0.0265317,-0.0448882,0.0183565
28,-0.6118295,-0.89543426,"('disloyal', 'loyal')",0.98102593,0.6415112,0.1845982,-0.1269615,0.3115597
80,0.60180813,0.09637405,"('dominated', 'dominating')",-0.7111902,-0.809215,-0.054691,-0.3564205,0.3017295
69,0.56057125,0.76381475,"('lazy', 'industrious')",-0.52519983,-0.3254681,0.0176857,0.2191733,-0.2014876
25,-0.5380255,-0.30718663,"('egoistic', 'altruistic')",0.8423702,0.9922075,0.1521724,0.3425105,-0.1903381
27,-0.52554566,-0.4960858,"('hardhearted', 'softhearted')",1.0454732,0.72765934,0.2599638,0.1157868,0.144177
72,-0.50369316,-0.36215276,"('unambitious', 'ambitious')",-0.16890302,-0.23779285,-0.3362981,-0.2999728,-0.0363253
41,-0.4962094,-0.45052123,"('unforgiving', 'forgiving')",-0.17035818,-0.26594472,-0.3332838,-0.358233,0.0249492
81,0.49471954,0.36414322,"('submissive', 'aggressive')",-0.17203477,-0.11209554,0.1613424,0.1260238,0.0353186
37,0.49287426,0.24164845,"('fake', 'genuine')",0.24509014,-0.10074814,0.3689822,0.0704502,0.298532
33,-0.48328736,-0.37404025,"('wrong', 'right')",-0.63898593,-0.77856505,-0.5611367,-0.5763026,0.0151659
24,-0.48023054,-0.5358541,"('dishonest', 'honest')",0.8172787,0.64650786,0.1685241,0.0553269,0.1131972
70,-0.47768086,-0.6670764,"('lethargic', 'energetic')",0.16586758,-0.012313938,-0.1559066,-0.3396952,0.1837886
17,-0.47064942,-0.6074459,"('nasty', 'nice')",-0.5984969,-0.55214435,-0.5345732,-0.5797951,0.0452219
76,0.4621288,0.45803916,"('anxious', 'daring')",-0.0758389,-0.10228288,0.1931449,0.1778781,0.0152668
18,-0.45430106,-0.2301752,"('disagreeable', 'welcoming')",-0.5324696,-0.6294508,-0.4933853,-0.429813,-0.0635723
77,-0.44905984,-0.39556354,"('unmotivated', 'motivated')",-0.69143224,-0.62281567,-0.570246,-0.5091896,-0.0610564
59,-0.43416744,-0.28730598,"('foolish', 'wise')",0.16032933,0.1228662,-0.1369191,-0.0822199,-0.0546992
21,0.41370365,0.34597683,"('immoral', 'moral')",-0.2693251,-0.3218538,0.0721893,0.0120615,0.0601278
30,0.40805253,0.22923748,"('intolerant', 'tolerant')",1.1844356,1.2281457,0.7962441,0.7286916,0.0675525
48,-0.34825742,-0.5610014,"('unintelligent', 'intelligent')",1.2214519,1.144849,0.4365972,0.2919238,0.1446734
50,-0.3420737,-0.35652018,"('clumsy', 'skillful')",5.4627657e-05,-0.24033973,-0.1710095,-0.29843,0.1274205
13,-0.3400082,-0.46194175,"('impolite', 'polite')",-0.5270184,-0.6085855,-0.4335133,-0.5352636,0.1017503
4,-0.3380985,-0.42798686,"('disliked', 'liked')",-6.7909136,-6.4664974,-3.5645061,-3.4472423,-0.1172638
82,-0.2942109,-0.15782052,"('poor', 'rich')",6.339826,6.1149607,3.0228076,2.97857,0.0442376
47,-0.2863767,-0.41785622,"('stupid', 'smart')",5.48707,5.1186066,2.6003466,2.3503752,0.2499714
68,-0.28579128,-0.44038153,"('dependent', 'independent')",-0.480948,-0.6492814,-0.3833696,-0.5448315,0.1614619
40,-0.26408577,-0.25771445,"('stingy', 'generous')",-1.7841194,-1.8133982,-1.0241026,-1.0355563,0.0114537
83,-0.25219336,-0.22322294,"('powerless', 'powerful')",-0.7836466,-0.9848372,-0.51792,-0.6040301,0.0861101
88,-0.24176489,-0.09839567,"('low', 'eminent')",-0.32533422,-0.4172189,-0.2835495,-0.2578073,-0.0257422
