,globe_male,globe_female,tuple,life_male,life_female,inc_male,inc_female,average_male,average_female,male-female
39,1.9574115,2.931487,"('exploitative', 'cooperative')",0.25272793,0.6477445,-0.11471455,0.04118518,0.698475,1.2068055,-0.5083305
26,1.8113369,1.0187283,"('hardhearted', 'benevolent')",1.5798554,1.5861715,1.8803985,1.7803208,1.7571971,1.4617402,0.2954569
36,-1.7113004,-4.837426,"('hostile', 'amicable')",0.20727567,-0.2811039,0.56983453,0.20128685,-0.3113967,-1.6390812,1.3276845
30,1.5732296,3.0744681,"('intolerant', 'tolerant')",1.1062747,1.3816025,1.268321,1.2568758,1.3159418,1.9043156,-0.5883738
74,1.5612978,2.2747269,"('undedicated', 'dedicated')",0.48967412,0.7753981,0.050610952,0.26484933,0.7005277,1.1049914,-0.4044637
77,-1.5098468,0.18434605,"('unmotivated', 'motivated')",-0.7846576,-0.50082636,-1.23629,-1.1788937,-1.1769315,-0.498458,-0.6784735
7,1.3494822,3.0540757,"('insensitive', 'sensitive')",0.10743592,0.50362957,0.83948034,0.99414593,0.7654661,1.5172838,-0.7518177
71,1.3166095,1.2757381,"('diffident', 'self-confident')",1.9092444,1.8866402,0.5413062,0.6847964,1.2557201,1.2823915,-0.0266714
43,1.298016,3.426947,"('irresponsible', 'responsible')",0.5226466,1.1819499,0.33457077,0.6234971,0.7184111,1.7441314,-1.0257203
16,-1.2734675,-2.072305,"('unpopular', 'popular')",-0.7563273,-0.6851002,0.34304452,0.25547367,-0.5622501,-0.8339772,0.2717271
12,1.2119517,2.6195052,"('unsupportive', 'supportive')",0.36537275,0.8604544,-1.5900997,-1.3440416,-0.0042584,0.7119726,-0.716231
56,1.1816014,3.0870373,"('impractical', 'practical')",1.0458465,1.5043125,-0.30082557,-0.0151676275,0.6422075,1.525394,-0.8831865
13,1.1587627,3.194986,"('impolite', 'polite')",-0.21534437,0.04511152,-0.21669707,-0.24908213,0.2422404,0.9970051,-0.7547647
6,-1.1583384,-3.9347196,"('distant', 'open')",-0.008330226,-0.17971,0.49853018,0.3607199,-0.2227128,-1.2512365,1.0285237
73,1.1515485,-0.15423653,"('helpless', 'self-reliant')",1.2734845,1.3531364,-2.6501515,-2.5223267,-0.0750395,-0.4411423,0.3661028
72,1.0924029,1.8258346,"('unambitious', 'ambitious')",-0.28828955,-0.019956458,-1.0001466,-0.80177355,-0.0653444,0.3347015,-0.4000459
78,-1.0885823,-0.18920147,"('nonresilient', 'resilient')",0.0006391853,0.48157755,0.2538422,0.4242187,-0.2780336,0.2388649,-0.5168985
44,-1.0300976,-1.2024444,"('prejudiced', 'unprejudiced')",-0.77541023,-0.60762966,-1.1117688,-0.83407235,-0.9724256,-0.8813821,-0.0910435
70,1.0290215,2.8308382,"('lethargic', 'energetic')",-0.027766388,0.42994556,0.588478,0.806277,0.529911,1.3556868,-0.8257758
76,1.014231,3.0225072,"('anxious', 'daring')",0.23740818,0.6427462,0.14912303,0.40982652,0.4669207,1.35836,-0.8914393
