,tjx_male,tjx_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.9247564,-1.7620051,"('unfriendly', 'friendly')",-1.1516899,-0.7877466,1.531868,1.9495991,-0.5148594,-0.2000509,-0.3148085
78,-1.4538044,-1.5923678,"('nonresilient', 'resilient')",0.42568526,0.17633194,-0.17220706,-0.24958903,-0.4001087,-0.5552083,0.1550996
8,-1.4090812,-1.1840203,"('unaffectionate', 'affectionate')",-0.9890916,-0.6082635,0.6783645,0.8037747,-0.5732694,-0.329503,-0.2437664
9,-1.3587258,-1.0964099,"('unaffectionate', 'caring')",-0.26255894,-0.033615105,1.2896596,1.4468526,-0.1105417,0.1056092,-0.2161509
36,-1.2701802,-1.00598,"('hostile', 'amicable')",-2.674149,-2.052782,-0.056676187,0.4368968,-1.3336685,-0.8739551,-0.4597134
53,-1.1949608,-1.0912796,"('uncreative', 'creative')",0.18701997,0.28862315,0.82384586,0.9661019,-0.061365,0.0544818,-0.1158468
73,1.1811093,1.0081012,"('helpless', 'self-reliant')",0.24790622,0.1999505,-3.0421913,-3.171164,-0.5377252,-0.6543708,0.1166456
86,-1.1764042,-1.076486,"('uninfluential', 'influential')",0.36948666,0.23800617,0.0038160868,0.18143266,-0.2677005,-0.2190157,-0.0486848
66,-1.1700697,-0.9962653,"('inactive', 'active')",-0.66320086,-0.39411747,0.7248453,0.93687665,-0.3694751,-0.1511687,-0.2183064
48,-1.1586205,-1.1883568,"('unintelligent', 'intelligent')",-0.2469774,-0.3603796,-0.16818126,-0.10380004,-0.5245931,-0.5508455,0.0262524
10,-1.1572359,-1.0845238,"('unsympathetic', 'sympathetic')",0.93010706,0.5472504,-0.12276158,-0.27881545,-0.1166301,-0.2720296,0.1553995
39,1.1519854,1.1475371,"('exploitative', 'cooperative')",1.2173983,1.1483803,0.6990126,0.60791665,1.0227988,0.9679447,0.0548541
26,-1.1151693,-0.83348775,"('hardhearted', 'benevolent')",1.1618809,1.338207,1.4901069,1.9169395,0.5122728,0.8072196,-0.2949468
79,-1.0368457,-0.8633375,"('wavering', 'unwavering')",-1.8657117,-1.5810459,-0.13843307,0.07830739,-1.0136635,-0.788692,-0.2249715
57,-1.0240321,-1.0734373,"('unimaginative', 'imaginative')",0.15761617,0.02613683,-2.5730674,-2.5049696,-1.1464945,-1.18409,0.0375955
31,-1.0077194,-1.0560368,"('evil', 'good')",-1.8325102,-1.5486941,-1.230259,-0.87149715,-1.3568295,-1.1587427,-0.1980868
62,0.985953,0.90628874,"('incompetent', 'brilliant')",2.1119235,1.7975937,0.3490988,0.03191613,1.1489917,0.9119329,0.2370588
42,0.983479,1.0983881,"('unreliable', 'reliable')",0.672176,0.4760703,-2.5545623,-2.5831993,-0.2996358,-0.336247,0.0366112
67,0.9345385,0.90860784,"('doubtful', 'determined')",-0.1456835,-0.21473294,-0.69004464,-0.766928,0.0329368,-0.024351,0.0572878
60,0.91669995,0.7569068,"('inefficient', 'efficient')",2.6346693,2.244708,0.17263587,-0.17456678,1.241335,0.9423494,0.2989856
49,-0.90733224,-0.93163776,"('unable', 'able')",-0.21853569,-0.22193485,-0.3089819,-0.44814056,-0.4782833,-0.5339044,0.0556211
2,0.8982856,1.119046,"('unlikable', 'likable')",0.9577249,1.2677312,0.4878194,0.68802494,0.7812766,1.0249341,-0.2436575
56,0.89756286,0.6811397,"('impractical', 'practical')",2.0455022,1.7189116,0.047013763,-0.139546,0.996693,0.7535018,0.2431912
25,-0.7758514,-0.4161974,"('egoistic', 'altruistic')",0.28670144,0.6406271,1.3406547,1.611727,0.2838349,0.6120522,-0.3282173
28,-0.77311903,-0.5021158,"('disloyal', 'loyal')",0.10833867,0.10989869,1.1498969,1.25048,0.1617055,0.2860877,-0.1243822
6,-0.7728591,-0.8274442,"('distant', 'open')",-2.5015519,-2.3193002,0.43420616,0.6369371,-0.9467349,-0.8366024,-0.1101325
54,-0.72910327,-0.5324295,"('incapable', 'capable')",-0.52905,-0.30723006,1.1124834,1.1646066,-0.0485566,0.1083157,-0.1568723
40,-0.71411973,-0.6903911,"('stingy', 'generous')",0.5208233,0.29393455,-1.2355428,-1.2089623,-0.4762797,-0.5351396,0.0588599
13,0.71004087,0.5036198,"('impolite', 'polite')",1.3842669,1.0250199,0.1632637,-0.15050244,0.7525238,0.4593791,0.2931447
72,-0.7040951,-0.90839344,"('unambitious', 'ambitious')",-0.3301239,-0.60525596,-0.71511453,-1.022597,-0.5831112,-0.8454154,0.2623042
27,-0.69462645,-0.7091082,"('hardhearted', 'softhearted')",0.12860222,0.06705564,0.8636001,0.93427217,0.0991919,0.0974065,0.0017854
87,0.69174695,0.8584143,"('unsuccessful', 'successful')",2.3917286,2.4046082,0.8332958,0.9402176,1.3055905,1.40108,-0.0954895
85,-0.6842891,-0.22264892,"('insignificant', 'prestigious')",-0.71270746,-0.12911364,0.50303406,1.1386316,-0.2979875,0.2622897,-0.5602772
35,-0.6782399,-0.35792065,"('corrupt', 'incorrupt')",-2.511002,-1.9640878,-0.4475835,-0.13584295,-1.2122751,-0.8192839,-0.3929912
18,-0.6620746,-0.52488106,"('disagreeable', 'welcoming')",-0.61047506,-0.5488936,-0.35328218,-0.063844934,-0.5419439,-0.3792065,-0.1627374
59,0.65133274,0.65660477,"('foolish', 'wise')",-1.0250994,-0.70121384,0.08256988,0.31380856,-0.0970656,0.0897332,-0.1867988
30,0.64939165,0.6114038,"('intolerant', 'tolerant')",2.5108938,2.4227083,0.89815307,0.9317969,1.3528128,1.3219697,0.0308431
0,-0.6110748,-0.553314,"('unsociable', 'sociable')",1.0159439,0.9299709,-0.4945342,-0.46165064,-0.0298884,-0.0283312,-0.0015572
88,-0.6023798,0.010819125,"('low', 'eminent')",0.7907436,1.1845293,-0.048022006,0.4105741,0.0467806,0.5353075,-0.4885269
80,0.55854553,0.6354205,"('dominated', 'dominating')",1.4878109,1.2067583,-0.9764596,-1.197898,0.3566323,0.2147603,0.141872
32,-0.55183744,-0.4351978,"('unkind', 'kind')",1.0338236,1.037422,1.0533772,1.0575516,0.5117878,0.5532586,-0.0414708
43,0.53036207,0.3511976,"('irresponsible', 'responsible')",0.9336812,0.70802563,0.7099988,0.6201755,0.7246807,0.5597996,0.1648811
22,0.5243078,0.39203876,"('untrustworthy', 'trustworthy')",0.905076,0.71545786,-0.74334073,-0.76968807,0.228681,0.1126028,0.1160782
38,-0.5155295,-0.63017863,"('untruthful', 'truthful')",-0.13606358,-0.23994875,0.2707651,0.21704653,-0.1269427,-0.2176936,0.0907509
77,-0.510541,-0.5069783,"('unmotivated', 'motivated')",0.4729143,0.30284438,-1.1262628,-1.2367861,-0.3879632,-0.4803067,0.0923435
19,-0.48467296,-0.46151352,"('inhospitable', 'hospitable')",-1.1796337,-0.9090574,-0.17503117,0.02488314,-0.6131126,-0.4485626,-0.16455
69,-0.4749899,-0.20550272,"('lazy', 'industrious')",-0.7768706,-0.38100561,-0.91867733,-0.62879175,-0.7235126,-0.4051,-0.3184126
