,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.2466655,-2.8047822,"('unsympathetic', 'sympathetic')",0.7719231,0.7611393,-1.2373712,-1.0218215,-0.2155497
35,3.2290735,2.625185,"('corrupt', 'incorrupt')",-1.2030303,-1.3202187,1.0130216,0.6524832,0.3605384
86,-3.1220267,-2.8010693,"('uninfluential', 'influential')",0.15695094,-0.09257598,-1.4825379,-1.4468226,-0.0357153
60,-3.037644,-2.1264997,"('inefficient', 'efficient')",0.69064045,0.9020406,-1.1735017,-0.6122295,-0.5612722
46,-2.7311437,-2.3333888,"('uncompetitive', 'competitive')",0.5852235,0.12618884,-1.0729601,-1.1036,0.0306399
69,2.6027389,2.625333,"('lazy', 'industrious')",-1.1058438,-1.077618,0.7484475,0.7738575,-0.02541
21,-2.5593412,-1.8796843,"('immoral', 'moral')",-0.09724364,-0.037469577,-1.3282924,-0.958577,-0.3697154
81,-2.5550275,-1.8090866,"('submissive', 'aggressive')",-0.09471932,0.047514774,-1.3248734,-0.8807859,-0.4440875
51,-2.3958893,-1.2811275,"('uneducated', 'educated')",-0.07514629,0.26625764,-1.2355177,-0.5074349,-0.7280828
48,-2.3949397,-1.8474115,"('unintelligent', 'intelligent')",0.27411953,0.4157367,-1.06041,-0.7158374,-0.3445726
55,-2.3901553,-1.9606407,"('incompetent', 'clever')",0.8476035,0.78011596,-0.7712759,-0.5902624,-0.1810135
43,-2.1507447,-1.8339318,"('irresponsible', 'responsible')",1.5431197,1.4512889,-0.3038125,-0.1913214,-0.1124911
0,-2.1056712,-1.6622734,"('unsociable', 'sociable')",0.48625204,0.2847044,-0.8097095,-0.6887845,-0.120925
62,-2.0707135,-1.5541086,"('incompetent', 'brilliant')",0.98902375,1.1951836,-0.5408449,-0.1794625,-0.3613824
11,-1.9678239,-1.7580979,"('unhelpful', 'helpful')",2.1874368,2.248425,0.1098065,0.2451636,-0.1353571
77,-1.8839675,-1.3298372,"('unmotivated', 'motivated')",-0.884652,-1.0174881,-1.3843098,-1.1736627,-0.2106471
13,-1.8638713,-1.2667516,"('impolite', 'polite')",-0.06107814,0.08854945,-0.9624748,-0.5891011,-0.3733737
79,1.8457177,1.1494795,"('wavering', 'unwavering')",-0.88356555,-0.8069376,0.4810761,0.171271,0.3098051
85,1.7920154,1.2881663,"('insignificant', 'prestigious')",-1.3182131,-1.401868,0.2369012,-0.0568509,0.2937521
75,1.7826232,1.4279718,"('meek', 'impulsive')",-0.93530035,-0.9109531,0.4236614,0.2585094,0.165152
76,-1.7737269,-1.2834983,"('anxious', 'daring')",0.11509942,0.3382847,-0.8293138,-0.4726068,-0.356707
23,-1.7544487,-1.8354948,"('insincere', 'sincere')",5.53303,5.778436,1.8892907,1.9714707,-0.08218
80,-1.7275693,-1.4081417,"('dominated', 'dominating')",-0.19047263,-0.3850509,-0.959021,-0.8965963,-0.0624247
31,1.7267182,1.0058367,"('evil', 'good')",-1.4154508,-1.5795345,0.1556337,-0.2868489,0.4424826
30,-1.6719713,-1.0582845,"('intolerant', 'tolerant')",0.6995499,0.74689686,-0.4862107,-0.1556938,-0.3305169
70,-1.6689763,-1.4004742,"('lethargic', 'energetic')",1.123249,1.0637541,-0.2728636,-0.1683601,-0.1045035
5,1.664679,1.5567621,"('distant', 'outgoing')",-1.2139896,-1.0056,0.2253447,0.2755811,-0.0502364
65,-1.6033323,-1.5186956,"('insecure', 'secure')",0.47295558,0.44711703,-0.5651883,-0.5357893,-0.029399
57,-1.5749632,-1.6835256,"('unimaginative', 'imaginative')",-2.0058887,-2.5688238,-1.790426,-2.1261747,0.3357487
6,1.5554726,1.4814428,"('distant', 'open')",-0.7795716,-0.5724486,0.3879505,0.4544971,-0.0665466
36,1.5284544,0.96967477,"('hostile', 'amicable')",-1.4805436,-1.3556471,0.0239554,-0.1929862,0.2169416
12,-1.5121254,-1.086877,"('unsupportive', 'supportive')",-1.257136,-1.2975235,-1.3846307,-1.1922002,-0.1924305
73,1.4935504,1.4776694,"('helpless', 'self-reliant')",-2.80287,-2.9749382,-0.6546598,-0.7486344,0.0939746
63,-1.4876182,-1.2938375,"('unperceptive', 'insightful')",0.60595363,0.56559116,-0.4408323,-0.3641232,-0.0767091
24,-1.4246339,-1.2838297,"('dishonest', 'honest')",0.8171599,0.8596454,-0.303737,-0.2120921,-0.0916449
14,-1.4209094,-0.7430161,"('antisocial', 'social')",0.5885572,0.40146098,-0.4161761,-0.1707776,-0.2453985
72,-1.4014362,-1.0292488,"('unambitious', 'ambitious')",0.21347694,0.37891054,-0.5939797,-0.3251691,-0.2688106
56,-1.388701,-0.90318114,"('impractical', 'practical')",1.2428124,1.0602107,-0.0729443,0.0785148,-0.1514591
83,-1.3720217,-1.1827583,"('powerless', 'powerful')",-0.61726224,-0.5783324,-0.994642,-0.8805454,-0.1140966
32,-1.3712225,-1.1949599,"('unkind', 'kind')",1.1225017,1.2550275,-0.1243604,0.0300338,-0.1543942
88,-1.3686711,-1.2067438,"('low', 'eminent')",-0.27862558,-0.2803283,-0.8236483,-0.7435361,-0.0801122
59,1.2534145,1.0668939,"('foolish', 'wise')",-0.28195456,-0.25826788,0.48573,0.404313,0.081417
7,-1.2247995,-1.1250411,"('insensitive', 'sensitive')",1.1227747,0.8574215,-0.0510124,-0.1338098,0.0827974
4,1.1175709,0.95642966,"('disliked', 'liked')",-6.574519,-7.2737226,-2.7284741,-3.1586466,0.4301725
3,-1.0950485,-1.1334747,"('repellent', 'pleasant')",0.15843618,0.24002677,-0.4683062,-0.446724,-0.0215822
28,-1.0349478,-1.2870859,"('disloyal', 'loyal')",1.2391136,1.0345869,0.1020829,-0.1262495,0.2283324
41,-1.0322757,-0.7178615,"('unforgiving', 'forgiving')",0.23107046,0.3042506,-0.4006026,-0.2068054,-0.1937972
53,-0.98545384,-1.132497,"('uncreative', 'creative')",0.1574566,0.16981064,-0.4139986,-0.4813432,0.0673446
50,0.93992513,0.7717401,"('clumsy', 'skillful')",-0.71697706,-0.45347786,0.111474,0.1591311,-0.0476571
45,-0.93188137,-1.041326,"('incompetent', 'competent')",1.056995,0.56011647,0.0625568,-0.2406048,0.3031616
66,0.9074359,1.0992622,"('inactive', 'active')",-0.39374822,-0.18851283,0.2568438,0.4553747,-0.1985309
71,0.8977367,0.806063,"('diffident', 'self-confident')",0.44717258,0.24299105,0.6724547,0.524527,0.1479277
49,-0.8338451,-0.7316995,"('unable', 'able')",-0.6923927,-0.2557327,-0.7631189,-0.4937161,-0.2694028
44,0.7875028,0.69023603,"('prejudiced', 'unprejudiced')",-1.2174691,-1.0524511,-0.2149831,-0.1811076,-0.0338755
47,-0.77170527,-0.56409115,"('stupid', 'smart')",4.601615,5.2352448,1.9149549,2.3355768,-0.4206219
74,-0.7666466,-0.6469583,"('undedicated', 'dedicated')",0.38476124,0.06709374,-0.1909427,-0.2899323,0.0989896
16,0.71475476,0.4552163,"('unpopular', 'popular')",-0.1947589,-0.22420858,0.2599979,0.1155039,0.144494
34,-0.6915775,-0.71189475,"('mean', 'honorable')",4.2109523,4.684751,1.7596874,1.9864281,-0.2267407
20,-0.6847976,-0.9497684,"('rough', 'thoughtful')",0.18153763,0.42155206,-0.25163,-0.2641082,0.0124782
58,-0.63645166,-0.59485996,"('undiscriminating', 'discriminating')",0.18772697,-0.14161457,-0.2243623,-0.3682373,0.143875
33,0.59884065,0.65707904,"('wrong', 'right')",-0.15038654,-0.26456094,0.2242271,0.1962591,0.027968
87,-0.5279527,-0.23322387,"('unsuccessful', 'successful')",0.5929415,0.5876371,0.0324944,0.1772066,-0.1447122
78,-0.526279,-0.63979083,"('nonresilient', 'resilient')",-0.26939547,-0.17907727,-0.3978372,-0.4094341,0.0115969
61,-0.5135032,-0.38940942,"('illogical', 'logical')",0.617993,0.27764672,0.0522449,-0.0558814,0.1081263
52,0.5106124,0.34229484,"('irrational', 'rational')",-0.093923375,-0.16863087,0.2083445,0.086832,0.1215125
19,0.5088626,0.42452347,"('inhospitable', 'hospitable')",-1.1245794,-0.7771823,-0.3078584,-0.1763294,-0.131529
25,0.5000269,0.38142815,"('egoistic', 'altruistic')",0.677779,0.67527604,0.588903,0.5283521,0.0605509
1,-0.49907926,-0.9292449,"('unfriendly', 'friendly')",1.2343504,0.98291284,0.3676356,0.026834,0.3408016
15,0.4955087,0.12912513,"('boring', 'funny')",0.3061729,0.2847234,0.4008408,0.2069243,0.1939165
9,-0.44920123,-0.49129695,"('unaffectionate', 'caring')",1.1446825,1.2767451,0.3477407,0.3927241,-0.0449834
64,-0.42452624,0.052785352,"('shy', 'confident')",-4.990762,-5.414937,-2.7076442,-2.6810758,-0.0265684
39,-0.40656668,-0.19738838,"('exploitative', 'cooperative')",0.92472726,0.8551927,0.2590803,0.3289022,-0.0698219
22,-0.33481807,-0.6267446,"('untrustworthy', 'trustworthy')",-0.10596685,-0.35432535,-0.2203925,-0.490535,0.2701425
17,0.3023075,0.25529101,"('nasty', 'nice')",-0.47311673,-0.5239459,-0.0854046,-0.1343275,0.0489229
84,-0.3010345,-0.14717034,"('inferior', 'superior')",0.22194414,0.20838372,-0.0395452,0.0306067,-0.0701519
27,-0.29706022,-0.19981717,"('hardhearted', 'softhearted')",0.805711,0.9443435,0.2543254,0.3722632,-0.1179378
29,0.26925898,0.36888888,"('unfair', 'fair')",-0.52891886,-0.6043659,-0.1298299,-0.1177385,-0.0120914
8,0.2513933,0.049675114,"('unaffectionate', 'affectionate')",0.73916584,0.9270939,0.4952796,0.4883845,0.0068951
18,-0.24606499,0.12677664,"('disagreeable', 'welcoming')",-1.0452985,-0.8171493,-0.6456817,-0.3451863,-0.3004954
68,-0.22460832,-0.14912489,"('dependent', 'independent')",-1.506341,-1.4708854,-0.8654746,-0.8100051,-0.0554695
38,-0.22107351,-0.46926492,"('untruthful', 'truthful')",0.13576522,-0.014720499,-0.0426541,-0.2419927,0.1993386
37,-0.19914676,-0.26758128,"('fake', 'genuine')",0.7006565,0.710969,0.2507549,0.2216938,0.0290611
40,-0.18781433,0.0423852,"('stingy', 'generous')",-2.251319,-2.1985903,-1.2195666,-1.0781026,-0.141464
82,-0.15747893,0.08110587,"('poor', 'rich')",5.42444,6.098412,2.6334805,3.0897589,-0.4562784
26,-0.110234536,-0.09916355,"('hardhearted', 'benevolent')",1.9131358,1.6518755,0.9014506,0.776356,0.1250946
