,truist_male,truist_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.0384047,-1.9534006,"('unfriendly', 'friendly')",1.5682323,1.7426369,1.1652286,1.4792646,0.2316854,0.4228336,-0.1911482
86,-1.9595112,-2.0498903,"('uninfluential', 'influential')",-0.34133258,-0.37098846,-0.18539496,-0.14098588,-0.8287462,-0.8539549,0.0252087
53,-1.8246355,-1.7039875,"('uncreative', 'creative')",1.371209,1.3616619,0.34422785,0.5401882,-0.0363995,0.0659542,-0.1023537
9,-1.5784284,-1.4422143,"('unaffectionate', 'caring')",1.4858277,1.5858594,1.207046,1.3823514,0.3714818,0.5086655,-0.1371837
28,-1.5442792,-1.4422106,"('disloyal', 'loyal')",0.028189102,0.27391988,0.9399598,1.0286496,-0.1920434,-0.046547,-0.1454964
8,-1.4282434,-1.4119745,"('unaffectionate', 'affectionate')",0.50604165,0.5416675,0.4794381,0.6363744,-0.1475879,-0.0779775,-0.0696104
19,-1.335451,-1.100173,"('inhospitable', 'hospitable')",-0.35653803,-0.31783658,-0.6854747,-0.5632312,-0.7924879,-0.6604136,-0.1320743
44,1.2895205,1.1047932,"('prejudiced', 'unprejudiced')",-0.18774328,-0.40922004,-1.161735,-1.2704265,-0.019986,-0.1916178,0.1716318
73,1.2593824,1.2864256,"('helpless', 'self-reliant')",1.0961609,1.0328093,-3.169061,-3.2033916,-0.2711726,-0.2947189,0.0235463
6,-1.2479146,-0.95830244,"('distant', 'open')",0.2736295,0.44232026,-0.6672625,-0.38569695,-0.5471825,-0.3005597,-0.2466228
18,-1.2472496,-1.3091779,"('disagreeable', 'welcoming')",-0.33842883,-0.29290983,-0.60942215,-0.5623944,-0.7317002,-0.721494,-0.0102062
42,1.2411795,1.0742543,"('unreliable', 'reliable')",0.79568267,0.8400037,-2.2329326,-2.220624,-0.0653568,-0.102122,0.0367652
78,-1.1066047,-1.199727,"('nonresilient', 'resilient')",0.44704664,0.51655185,0.1275447,0.10074889,-0.1773378,-0.1941421,0.0168043
88,-1.1057689,-1.2052699,"('low', 'eminent')",-0.91152066,-0.83153737,-0.42298698,-0.41091797,-0.8134255,-0.8159084,0.0024829
48,-1.0793972,-1.264297,"('unintelligent', 'intelligent')",-0.92965204,-0.8886872,0.30277553,0.30588642,-0.5687579,-0.6156993,0.0469414
10,-1.077444,-1.0490586,"('unsympathetic', 'sympathetic')",-1.4348972,-1.208043,-0.3162412,-0.11631238,-0.9428608,-0.7911379,-0.1517229
82,-1.0370708,-1.0232184,"('poor', 'rich')",-0.41662872,-0.35548496,6.104066,6.1589627,1.5501221,1.5934197,-0.0432976
67,1.0180601,1.0889667,"('doubtful', 'determined')",-0.01803797,-0.0028454121,-0.73039144,-0.60761607,0.0898769,0.1595018,-0.0696249
57,-0.9921262,-1.0834628,"('unimaginative', 'imaginative')",-0.51972777,-0.43281078,-2.9210536,-2.8558702,-1.4776359,-1.4573812,-0.0202547
69,0.9858674,0.90878797,"('lazy', 'industrious')",1.413689,1.3007429,-0.73378265,-0.7581389,0.5552579,0.4837973,0.0714606
