,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,male-female
3,-1.7226074,-1.7724668,"('repellent', 'pleasant')",0.7890313,0.7174886,-0.466788,-0.5274891,0.0607011
10,-1.7102156,-1.8026905,"('unsympathetic', 'sympathetic')",-0.1743158,-0.030726612,-0.9422657,-0.9167086,-0.0255571
57,-1.3740058,-1.5831139,"('unimaginative', 'imaginative')",-3.4444804,-3.3925872,-2.4092431,-2.4878507,0.0786076
85,1.3506014,1.0915867,"('insignificant', 'prestigious')",-0.1456464,-0.36306053,0.6024776,0.3642631,0.2382145
69,1.3272793,1.1821957,"('lazy', 'industrious')",-0.85972106,-1.0753906,0.2337791,0.0534025,0.1803766
22,-1.3189626,-1.237602,"('untrustworthy', 'trustworthy')",-0.77971303,-0.6027493,-1.0493379,-0.9201757,-0.1291622
70,-1.3021805,-1.2791885,"('lethargic', 'energetic')",0.35119447,0.53785723,-0.475493,-0.3706656,-0.1048274
65,-1.2461092,-1.239513,"('insecure', 'secure')",-0.055304665,0.11656032,-0.6507069,-0.5614763,-0.0892306
14,-1.2136053,-1.0316458,"('antisocial', 'social')",-0.1707436,-0.24061424,-0.6921744,-0.63613,-0.0560444
13,-1.2090712,-1.0879776,"('impolite', 'polite')",-0.18185666,0.040150866,-0.6954639,-0.5239134,-0.1715505
46,-1.1895434,-1.232783,"('uncompetitive', 'competitive')",-1.0535864,-0.99137795,-1.1215649,-1.1120805,-0.0094844
28,-1.1538609,-1.1591803,"('disloyal', 'loyal')",0.88387597,0.8576918,-0.1349925,-0.1507442,0.0157517
30,-1.1385121,-1.0830767,"('intolerant', 'tolerant')",0.32804373,0.48910156,-0.4052342,-0.2969876,-0.1082466
45,-1.092906,-0.9924021,"('incompetent', 'competent')",-0.3311002,-0.23431586,-0.7120031,-0.613359,-0.0986441
7,-1.0471896,-1.0948558,"('insensitive', 'sensitive')",0.38769916,0.51642066,-0.3297452,-0.2892176,-0.0405276
0,-0.9792726,-1.0194873,"('unsociable', 'sociable')",-0.3693446,-0.31452945,-0.6743086,-0.6670083,-0.0073003
43,-0.89628214,-0.9913255,"('irresponsible', 'responsible')",0.31015122,0.57073975,-0.2930655,-0.2102929,-0.0827726
60,-0.89042956,-0.8184663,"('inefficient', 'efficient')",-0.32987398,-0.0398258,-0.6101518,-0.4291461,-0.1810057
24,-0.8874401,-0.9483338,"('dishonest', 'honest')",0.9411666,1.0599543,0.0268632,0.0558102,-0.028947
53,-0.8514465,-1.1621927,"('uncreative', 'creative')",0.3118328,0.33254945,-0.2698069,-0.4148216,0.1450147
18,-0.7823853,-0.80857384,"('disagreeable', 'welcoming')",-0.48352778,-0.5857626,-0.6329565,-0.6971682,0.0642117
19,-0.7698442,-0.7931963,"('inhospitable', 'hospitable')",-0.041348107,0.06908317,-0.4055961,-0.3620566,-0.0435395
26,0.74503034,0.49924445,"('hardhearted', 'benevolent')",1.5756321,1.3218663,1.1603312,0.9105554,0.2497758
55,-0.73406726,-0.6847038,"('incompetent', 'clever')",0.1294799,0.23741437,-0.3022937,-0.2236447,-0.078649
27,-0.72875047,-0.8216256,"('hardhearted', 'softhearted')",1.4686638,1.4235009,0.3699567,0.3009377,0.069019
84,0.68603927,0.72191876,"('inferior', 'superior')",0.49693274,0.5221987,0.591486,0.6220587,-0.0305727
77,-0.6799169,-0.7506922,"('unmotivated', 'motivated')",-1.44402,-1.3870233,-1.0619684,-1.0688578,0.0068894
58,-0.66664225,-0.6859309,"('undiscriminating', 'discriminating')",0.35483977,0.24227923,-0.1559012,-0.2218258,0.0659246
