,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
73,1.9071214,2.0185103,"('helpless', 'self-reliant')",1.0475016,1.1215429,1.5813961,1.6039182,1.5120064,1.5813238,-0.0693174
85,1.7120576,1.7471561,"('insignificant', 'prestigious')",3.070809,2.9741507,1.7349308,1.5809705,2.1725992,2.1007592,0.07184
4,1.6431087,1.5405842,"('disliked', 'liked')",0.855629,0.9490071,0.6452132,0.7099797,1.0479836,1.0665237,-0.0185401
1,-1.5545275,-1.3070718,"('unfriendly', 'friendly')",-0.5731071,-0.39630508,-0.44148165,-0.49067256,-0.856372,-0.7313498,-0.1250222
23,-1.5452744,-1.3337334,"('insincere', 'sincere')",-2.487452,-2.1039262,-0.36877424,-0.10361066,-1.4671669,-1.1804235,-0.2867434
10,-1.4854233,-1.5540582,"('unsympathetic', 'sympathetic')",-2.4829764,-2.260965,-0.8147141,-0.77216643,-1.5943713,-1.5290632,-0.0653081
8,-1.4596453,-1.4162205,"('unaffectionate', 'affectionate')",0.4080419,0.43274927,0.5143769,0.4010878,-0.1790755,-0.1941278,0.0150523
82,-1.4508584,-1.3421786,"('poor', 'rich')",-0.69395936,-0.17805822,-1.5731926,-1.4153073,-1.2393368,-0.9785147,-0.2608221
59,1.4471394,1.5430508,"('foolish', 'wise')",1.8647932,1.933335,0.8805621,0.9197389,1.3974983,1.4653748,-0.0678765
0,-1.4123629,-1.2810174,"('unsociable', 'sociable')",-2.3992064,-2.1739833,-0.9593977,-0.72650355,-1.5903223,-1.3938347,-0.1964876
64,1.399673,1.1824124,"('shy', 'confident')",-0.06646742,-0.17301737,0.41198587,0.33194053,0.5817305,0.4471118,0.1346187
86,-1.3987852,-1.4488405,"('uninfluential', 'influential')",-2.12702,-2.1279006,-0.94419855,-1.1227796,-1.4900012,-1.566507,0.0765058
22,-1.389939,-1.2010866,"('untrustworthy', 'trustworthy')",-0.62661964,-0.6216306,-0.7421711,-0.5828514,-0.9195766,-0.8018562,-0.1177204
47,-1.34748,-1.0665842,"('stupid', 'smart')",-1.0389146,-0.8548835,-0.20078126,0.038205393,-0.8623919,-0.6277541,-0.2346378
