,staples_male,staples_female,tuple,inc_male,inc_female,average_male,average_female,male-female
87,1.7297395,1.6857831,"('unsuccessful', 'successful')",0.6434181,0.68375456,1.1865788,1.1847689,0.0018099
71,1.6473608,1.7869366,"('diffident', 'self-confident')",0.48713946,0.44310042,1.0672501,1.1150185,-0.0477684
64,-1.6365969,-1.6742138,"('shy', 'confident')",-6.752763,-6.7397842,-4.1946797,-4.2069988,0.0123191
9,1.6027906,1.8426728,"('unaffectionate', 'caring')",0.7235697,0.8619177,1.1631801,1.3522953,-0.1891152
12,1.5959996,1.7566757,"('unsupportive', 'supportive')",-1.3657547,-1.3990157,0.1151224,0.17883,-0.0637076
56,1.5778315,1.4811887,"('impractical', 'practical')",0.3121621,0.379474,0.9449968,0.9303313,0.0146655
75,-1.5106782,-1.2318872,"('meek', 'impulsive')",-0.60486454,-0.5360713,-1.0577713,-0.8839793,-0.173792
74,1.4649608,1.6068316,"('undedicated', 'dedicated')",0.15611199,0.13350783,0.8105364,0.8701697,-0.0596333
39,1.315283,1.1558405,"('exploitative', 'cooperative')",-0.0837502,-0.016090443,0.6157663,0.5698751,0.0458912
1,1.3096085,1.5085603,"('unfriendly', 'friendly')",1.6447431,1.5590363,1.4771757,1.5337982,-0.0566225
26,1.2575052,1.3355964,"('hardhearted', 'benevolent')",1.2483135,1.2492068,1.2529094,1.2924016,-0.0394922
27,1.2383431,1.1458461,"('hardhearted', 'softhearted')",1.3410611,1.1269629,1.2897022,1.1364045,0.1532977
61,1.2035553,1.3084741,"('illogical', 'logical')",0.14934753,0.23930559,0.6764514,0.7738898,-0.0974384
25,1.157126,1.1862576,"('egoistic', 'altruistic')",0.93562734,0.93450654,1.0463767,1.0603821,-0.0140054
84,1.0887065,0.92972016,"('inferior', 'superior')",1.0978882,1.0712649,1.0932974,1.0004926,0.0928048
60,1.0796882,1.193871,"('inefficient', 'efficient')",0.664234,0.8574776,0.8719611,1.0256743,-0.1537132
33,1.0433981,1.2880514,"('wrong', 'right')",-0.81242126,-0.8529747,0.1154884,0.2175383,-0.1020499
31,-1.0138484,-0.8256705,"('evil', 'good')",-1.1579344,-1.238144,-1.0858915,-1.0319073,-0.0539842
47,0.9231728,0.848018,"('stupid', 'smart')",5.57017,5.56604,3.2466714,3.2070291,0.0396423
76,0.92186105,1.0266105,"('anxious', 'daring')",0.56067544,0.7568016,0.7412683,0.891706,-0.1504377
48,0.9017747,0.87705135,"('unintelligent', 'intelligent')",0.964497,0.88033444,0.9331359,0.8786929,0.054443
4,-0.8891026,-0.5918771,"('disliked', 'liked')",-6.4670496,-6.518109,-3.678076,-3.5549929,-0.1230831
16,-0.8662263,-0.71610385,"('unpopular', 'popular')",0.2768845,0.28092602,-0.2946709,-0.2175889,-0.077082
44,-0.85446763,-1.0670887,"('prejudiced', 'unprejudiced')",-1.5586143,-1.5251806,-1.2065409,-1.2961347,0.0895938
85,0.8449362,1.1242007,"('insignificant', 'prestigious')",0.107693106,0.096422344,0.4763147,0.6103115,-0.1339968
78,0.8410405,0.75632924,"('nonresilient', 'resilient')",0.5146084,0.38683724,0.6778244,0.5715833,0.1062411
