,mattel_male,mattel_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.6787838,1.5643951,"('lazy', 'industrious')",-0.36105072,-0.47086394,0.6588665,0.5467656,0.1121009
10,-1.4688455,-1.5809153,"('unsympathetic', 'sympathetic')",-0.35322428,-0.45281678,-0.9110349,-1.0168661,0.1058312
45,-1.256945,-1.1108747,"('incompetent', 'competent')",-0.14077087,-0.16979933,-0.698858,-0.640337,-0.058521
70,-1.1706394,-1.073221,"('lethargic', 'energetic')",0.42985725,0.47939873,-0.3703911,-0.2969111,-0.07348
65,-1.1179314,-0.79038143,"('insecure', 'secure')",-0.7713517,-0.75739294,-0.9446415,-0.7738872,-0.1707543
3,-1.090122,-1.1500863,"('repellent', 'pleasant')",0.101122744,0.07476699,-0.4944996,-0.5376596,0.04316
71,1.0899026,1.0742403,"('diffident', 'self-confident')",0.7711833,1.0045999,0.9305429,1.0394201,-0.1088772
14,-0.9785463,-0.81976604,"('antisocial', 'social')",-0.8386984,-0.9119674,-0.9086224,-0.8658667,-0.0427557
18,-0.96941936,-0.9968666,"('disagreeable', 'welcoming')",-0.37470087,-0.43358034,-0.6720601,-0.7152234,0.0431633
11,-0.9595364,-0.7433995,"('unhelpful', 'helpful')",1.3123151,1.5024748,0.1763894,0.3795376,-0.2031482
67,0.95455295,1.080466,"('doubtful', 'determined')",-0.5880462,-0.5097013,0.1832534,0.2853824,-0.102129
64,-0.95284384,-0.85889876,"('shy', 'confident')",-6.4997463,-6.7536902,-3.726295,-3.8062944,0.0799994
25,0.9061372,0.68082273,"('egoistic', 'altruistic')",1.5717207,1.539055,1.238929,1.1099389,0.1289901
51,-0.85794204,-0.7598087,"('uneducated', 'educated')",0.619462,0.6487874,-0.11924,-0.0555107,-0.0637293
0,-0.85581666,-0.87989485,"('unsociable', 'sociable')",-0.52228713,-0.47054723,-0.6890519,-0.675221,-0.0138309
46,-0.84697425,-0.8470195,"('uncompetitive', 'competitive')",-0.7493101,-0.7551258,-0.7981422,-0.8010727,0.0029305
57,-0.8251141,-0.65598714,"('unimaginative', 'imaginative')",-2.4513888,-2.556142,-1.6382514,-1.6060646,-0.0321868
81,-0.80037385,-0.6375698,"('submissive', 'aggressive')",-1.187644,-1.2449238,-0.9940089,-0.9412468,-0.0527621
13,-0.7869615,-0.5407638,"('impolite', 'polite')",-0.8908226,-0.7533575,-0.838892,-0.6470606,-0.1918314
68,-0.7717745,-0.65042216,"('dependent', 'independent')",-0.2954486,-0.19352601,-0.5336115,-0.4219741,-0.1116374
24,-0.7545081,-0.8997403,"('dishonest', 'honest')",0.5433394,0.6386031,-0.1055844,-0.1305686,0.0249842
82,-0.74438983,-0.72435087,"('poor', 'rich')",5.6745377,5.9112663,2.4650738,2.5934577,-0.1283839
39,0.73779655,0.7514249,"('exploitative', 'cooperative')",0.10024019,0.21884775,0.4190184,0.4851363,-0.0661179
88,-0.73211783,-0.9080177,"('low', 'eminent')",0.21925294,0.24846883,-0.2564324,-0.3297744,0.073342
35,0.7167631,0.7183954,"('corrupt', 'incorrupt')",0.11175223,0.15342176,0.4142576,0.4359086,-0.021651
42,-0.68676573,-0.42504728,"('unreliable', 'reliable')",-2.964171,-3.1096096,-1.8254683,-1.7673285,-0.0581398
7,-0.6795017,-0.69872415,"('insensitive', 'sensitive')",0.70055383,0.77302563,0.0105261,0.0371507,-0.0266246
55,-0.65519667,-0.47170064,"('incompetent', 'clever')",0.19650657,0.18679267,-0.2293451,-0.142454,-0.0868911
33,0.6467109,0.43860206,"('wrong', 'right')",-0.4919113,-0.54237634,0.0773998,-0.0518871,0.1292869
37,0.6447917,0.612834,"('fake', 'genuine')",0.5371937,0.57547617,0.5909927,0.5941551,-0.0031624
86,-0.62486166,-0.89730734,"('uninfluential', 'influential')",0.04866065,-0.050737172,-0.2881005,-0.4740223,0.1859218
84,0.61778915,0.57305497,"('inferior', 'superior')",1.3428941,1.4091821,0.9803416,0.9911186,-0.010777
50,0.61083174,0.63835084,"('clumsy', 'skillful')",0.49183136,0.45315924,0.5513315,0.545755,0.0055765
4,-0.6070721,-0.65108675,"('disliked', 'liked')",-6.0970535,-6.360302,-3.3520627,-3.5056944,0.1536317
62,-0.5930047,-0.30645055,"('incompetent', 'brilliant')",0.010274744,0.10619741,-0.291365,-0.1001266,-0.1912384
22,-0.5818358,-0.6809352,"('untrustworthy', 'trustworthy')",-1.1112238,-1.1985105,-0.8465298,-0.9397229,0.0931931
73,0.5753353,0.7800239,"('helpless', 'self-reliant')",-2.698588,-2.6511185,-1.0616263,-0.9355474,-0.1260789
