,peabody_male,peabody_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
5,-0.9373015,-0.53367954,"('distant', 'outgoing')",0.39720654,0.20837149,-0.92528766,-1.313763,-0.4884609,-0.546357,0.0578961
28,0.90248024,0.7401635,"('disloyal', 'loyal')",-0.24350952,-0.17798583,1.117644,1.1483662,0.5922049,0.5701813,0.0220236
62,0.89409786,0.7860531,"('incompetent', 'brilliant')",0.16900256,0.29455638,0.8019251,0.7942539,0.6216752,0.6249545,-0.0032793
9,0.8843895,0.91206336,"('unaffectionate', 'caring')",0.24706759,0.0108104255,0.6945438,0.18373334,0.608667,0.3688691,0.2397979
4,-0.8822267,-0.85332614,"('disliked', 'liked')",0.81071275,0.55481344,-6.1165466,-6.4980273,-2.0626869,-2.2655134,0.2028265
0,0.8775879,0.72453374,"('unsociable', 'sociable')",-0.29924083,-0.3164313,0.1724672,0.025730088,0.2502714,0.1446108,0.1056606
81,0.84634286,0.8847694,"('submissive', 'aggressive')",1.2033696,1.5310856,0.24994332,0.4707452,0.7665519,0.9622,-0.1956481
63,0.8265493,0.5666782,"('unperceptive', 'insightful')",0.6386883,0.5270981,1.3717998,1.1655594,0.9456792,0.7531119,0.1925673
53,0.82252413,0.5706672,"('uncreative', 'creative')",0.78976864,0.7498507,0.5095788,0.51872396,0.7072905,0.6130806,0.0942099
78,0.8106338,0.4923433,"('nonresilient', 'resilient')",0.5744089,0.41302368,0.47216618,0.47687644,0.6190696,0.4607478,0.1583218
3,-0.80711293,-0.86138225,"('repellent', 'pleasant')",-0.31863832,-0.3091785,1.1033486,1.25843,-0.0074675,0.0292898,-0.0367573
79,-0.78958,-0.67320794,"('wavering', 'unwavering')",-0.39933467,-0.54609007,-0.7710083,-0.6946607,-0.6533077,-0.6379863,-0.0153214
83,0.7181442,0.6167279,"('powerless', 'powerful')",1.2123692,1.1878016,-0.4952945,-0.51654696,0.4784063,0.4293275,0.0490788
73,0.7126099,1.1298947,"('helpless', 'self-reliant')",1.4709852,1.4813172,-3.3732424,-3.4577806,-0.3965491,-0.2821896,-0.1143595
34,0.7083161,0.52729404,"('mean', 'honorable')",0.47863114,0.43125024,5.2199216,5.3866987,2.135623,2.115081,0.020542
84,0.6653294,0.8062811,"('inferior', 'superior')",0.53000414,0.55098486,0.9312991,1.0385984,0.7088776,0.7986215,-0.0897439
11,0.60810745,0.6598825,"('unhelpful', 'helpful')",-0.115625024,0.10346089,2.4867535,2.5076737,0.9930786,1.090339,-0.0972604
17,-0.56957513,-0.5332414,"('nasty', 'nice')",-1.0324003,-0.9811897,-0.7489821,-0.70348084,-0.7836525,-0.739304,-0.0443485
85,-0.52945274,-0.08435711,"('insignificant', 'prestigious')",0.66116023,0.4116588,-0.94712484,-1.1079358,-0.2718058,-0.2602114,-0.0115944
49,-0.52026016,-0.59440774,"('unable', 'able')",0.2220017,0.3268624,-0.25293437,-0.11356586,-0.1837309,-0.1270371,-0.0566938
54,-0.51914364,-0.4485489,"('incapable', 'capable')",-0.58687866,-0.64763975,0.13663223,0.17851204,-0.3231301,-0.3058922,-0.0172379
8,-0.49653363,-0.56367844,"('unaffectionate', 'affectionate')",-0.55757934,-0.84704745,-0.073012,-0.49099278,-0.3757083,-0.6339062,0.2581979
33,-0.49180618,-0.07814701,"('wrong', 'right')",1.3693215,1.0938933,-1.1831546,-1.607391,-0.1018798,-0.1972149,0.0953351
20,0.4782012,0.3458703,"('rough', 'thoughtful')",-0.069905415,0.10813125,0.59013814,0.7360872,0.3328113,0.3966962,-0.0638849
1,0.45946598,0.11581525,"('unfriendly', 'friendly')",0.42984086,0.036252968,0.70995593,0.21468534,0.5330876,0.1222512,0.4108364
25,-0.45403796,-0.47033355,"('egoistic', 'altruistic')",0.80845803,0.5803097,0.4319467,0.40551475,0.2621223,0.1718303,0.090292
22,0.42821428,0.32225096,"('untrustworthy', 'trustworthy')",-0.8090469,-0.6865723,-0.46684808,-0.3925134,-0.2825602,-0.2522782,-0.030282
18,-0.4243906,-0.26507458,"('disagreeable', 'welcoming')",-0.6650195,-0.64225054,-0.9419703,-1.0384752,-0.6771268,-0.6486001,-0.0285267
77,0.3724904,0.36238828,"('unmotivated', 'motivated')",0.8250834,0.95915115,-0.8699007,-0.7794717,0.1092244,0.1806892,-0.0714648
67,-0.35865635,-0.049651835,"('doubtful', 'determined')",-0.19144389,-0.041517697,-0.47834343,-0.41527465,-0.3428145,-0.1688147,-0.1739998
38,0.31190702,0.26871878,"('untruthful', 'truthful')",-0.008620553,-0.11310536,-0.1037056,-0.24242242,0.066527,-0.0289363,0.0954633
27,0.29402855,0.02832721,"('hardhearted', 'softhearted')",0.45394495,0.33472556,0.9174397,0.46093163,0.5551377,0.2746615,0.2804762
57,0.29125366,-0.065920606,"('unimaginative', 'imaginative')",0.75106096,0.7622661,-2.3091848,-2.5892403,-0.42229,-0.6309649,0.2086749
2,0.26382524,0.50427157,"('unlikable', 'likable')",1.1919045,1.2509295,0.75917494,0.81592834,0.7383016,0.8570431,-0.1187415
50,-0.24308184,-0.28923666,"('clumsy', 'skillful')",-0.22692712,-0.2031696,0.07968204,0.24969816,-0.130109,-0.0809027,-0.0492063
47,0.20706975,0.15070535,"('stupid', 'smart')",0.40132013,0.5166693,4.8909755,5.1059856,1.8331218,1.9244534,-0.0913316
45,0.20698518,0.04413531,"('incompetent', 'competent')",-0.67593473,-0.70058,0.36620188,0.30003032,-0.0342492,-0.1188048,0.0845556
19,-0.2067516,-0.102227405,"('inhospitable', 'hospitable')",-0.8154845,-0.918738,-0.80815697,-0.9374188,-0.610131,-0.6527948,0.0426638
87,0.1929203,0.35801998,"('unsuccessful', 'successful')",-0.08560506,-0.16218439,0.9664631,1.1533035,0.3579261,0.449713,-0.0917869
66,0.18967095,0.08809375,"('inactive', 'active')",-0.30198666,-0.4022703,0.61126864,0.45893198,0.1663176,0.0482518,0.1180658
68,0.18355511,0.17458807,"('dependent', 'independent')",0.11389667,0.21221253,-0.4703256,-0.48740813,-0.0576246,-0.0335358,-0.0240888
41,0.1815246,0.21381943,"('unforgiving', 'forgiving')",-0.6192596,-0.58877206,-0.13930154,-0.25945953,-0.1923455,-0.2114707,0.0191252
40,0.12338969,-0.17185146,"('stingy', 'generous')",0.45908242,0.17341472,-1.9430012,-2.4284792,-0.4535097,-0.808972,0.3554623
88,0.049044114,0.16346812,"('low', 'eminent')",-0.3776652,-0.22249568,-0.14798559,-0.09820024,-0.1588689,-0.0524093,-0.1064596
82,-0.0021815468,-0.03261715,"('poor', 'rich')",-0.36033922,-0.20586073,6.1568365,6.6856966,1.9314386,2.149073,-0.2176344
15,0.0018660836,0.123630285,"('boring', 'funny')",-0.22179611,-0.14042816,-0.5206268,-0.393226,-0.2468523,-0.1366746,-0.1101777
