,supervalu_male,supervalu_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.9226812,-1.6859511,"('unsympathetic', 'sympathetic')",-0.7482303,-0.50635415,-1.3354558,-1.0961527,-0.2393031
86,-1.7996496,-1.7882886,"('uninfluential', 'influential')",-0.15435362,-0.2792475,-0.9770016,-1.0337681,0.0567665
58,-1.5012048,-1.6310576,"('undiscriminating', 'discriminating')",0.14468983,0.013932828,-0.6782575,-0.8085624,0.1303049
57,-1.4648807,-1.3917156,"('unimaginative', 'imaginative')",-2.6607494,-2.635043,-2.0628152,-2.0133793,-0.0494359
53,-1.4270198,-1.4833891,"('uncreative', 'creative')",0.8093894,0.76184916,-0.3088152,-0.36077,0.0519548
66,-1.4235297,-1.5500443,"('inactive', 'active')",-0.0016794913,-0.3040172,-0.7126046,-0.9270307,0.2144261
43,-1.2930032,-1.1190459,"('irresponsible', 'responsible')",0.6151886,0.80251753,-0.3389073,-0.1582642,-0.1806431
11,-1.2791102,-1.1065824,"('unhelpful', 'helpful')",1.8383973,2.3096178,0.2796435,0.6015177,-0.3218742
63,-1.2529826,-1.0084251,"('unperceptive', 'insightful')",0.9620292,1.1334227,-0.1454767,0.0624988,-0.2079755
19,-1.20767,-1.3858517,"('inhospitable', 'hospitable')",0.18901692,-0.03892592,-0.5093265,-0.7123888,0.2030623
45,-1.2065253,-1.0016248,"('incompetent', 'competent')",-0.4087918,-0.31985694,-0.8076586,-0.6607409,-0.1469177
84,1.1622715,1.1975123,"('inferior', 'superior')",0.9872993,1.0075096,1.0747855,1.1025109,-0.0277254
61,-1.063968,-0.95662886,"('illogical', 'logical')",0.3269437,0.26263696,-0.3685121,-0.3469959,-0.0215162
12,-1.0453341,-0.8877873,"('unsupportive', 'supportive')",-1.546936,-1.5382735,-1.2961351,-1.2130303,-0.0831048
44,1.0328228,0.9049402,"('prejudiced', 'unprejudiced')",-1.3346641,-1.2503473,-0.1509206,-0.1727035,0.0217829
8,-0.9976835,-1.0956692,"('unaffectionate', 'affectionate')",1.0105913,0.70986485,0.0064539,-0.1929021,0.199356
0,-0.98501706,-0.8983087,"('unsociable', 'sociable')",-0.44620273,-0.3641752,-0.7156099,-0.6312419,-0.084368
46,-0.97259897,-0.79759276,"('uncompetitive', 'competitive')",-0.5602246,-0.14650743,-0.7664118,-0.4720501,-0.2943617
23,-0.9304711,-0.7353342,"('insincere', 'sincere')",5.9864593,6.284002,2.5279942,2.7743337,-0.2463395
24,-0.9144709,-0.9273004,"('dishonest', 'honest')",0.85990983,0.864107,-0.0272805,-0.0315967,0.0043162
28,-0.8509701,-0.826493,"('disloyal', 'loyal')",0.90440357,1.0096111,0.0267167,0.0915591,-0.0648424
79,-0.8115474,-0.7950281,"('wavering', 'unwavering')",-0.2998816,-0.37380013,-0.5557145,-0.5844141,0.0286996
73,0.802124,0.49838817,"('helpless', 'self-reliant')",-2.8028038,-2.9653723,-1.0003399,-1.2334921,0.2331522
9,-0.7967868,-0.812262,"('unaffectionate', 'caring')",1.4434736,1.2613894,0.3233434,0.2245637,0.0987797
81,-0.77856547,-0.46850312,"('submissive', 'aggressive')",-0.8703748,-0.5425032,-0.8244702,-0.5055032,-0.318967
50,0.76853544,0.834808,"('clumsy', 'skillful')",0.335966,0.39268684,0.5522507,0.6137474,-0.0614967
35,0.7547028,0.5426733,"('corrupt', 'incorrupt')",-0.17885152,-0.5071727,0.2879257,0.0177503,0.2701754
13,-0.72685635,-0.5393061,"('impolite', 'polite')",-0.4448899,-0.19483723,-0.5858731,-0.3670717,-0.2188014
38,-0.67472965,-0.59212625,"('untruthful', 'truthful')",0.08013234,0.25350177,-0.2972986,-0.1693122,-0.1279864
56,-0.6634893,-0.3260044,"('impractical', 'practical')",-0.46809927,-0.08358585,-0.5657943,-0.2047951,-0.3609992
36,-0.6621164,-0.9613769,"('hostile', 'amicable')",0.019713543,-0.47264838,-0.3212014,-0.7170126,0.3958112
69,0.6604384,0.42308626,"('lazy', 'industrious')",-0.7791147,-0.884245,-0.0593382,-0.2305794,0.1712412
25,0.6519858,0.53610104,"('egoistic', 'altruistic')",1.8204496,1.5947921,1.2362177,1.0654466,0.1707711
71,0.64288014,0.57691723,"('diffident', 'self-confident')",0.6683963,0.53388005,0.6556382,0.5553986,0.1002396
1,-0.62251043,-0.7318508,"('unfriendly', 'friendly')",2.050429,1.7180846,0.7139593,0.4931169,0.2208424
7,-0.61790025,-0.47135407,"('insensitive', 'sensitive')",1.0054955,1.0238824,0.1937976,0.2762642,-0.0824666
68,-0.606991,-0.6716439,"('dependent', 'independent')",-0.11211504,-0.24602441,-0.359553,-0.4588342,0.0992812
39,0.60555327,0.5518709,"('exploitative', 'cooperative')",0.3664577,0.40983093,0.4860055,0.4808509,0.0051546
75,0.60090476,0.6625076,"('meek', 'impulsive')",-0.6524211,-0.5367475,-0.0257582,0.06288,-0.0886382
87,-0.5794006,-0.6235443,"('unsuccessful', 'successful')",0.46252045,0.5132835,-0.0584401,-0.0551304,-0.0033097
55,-0.57221854,-0.34087977,"('incompetent', 'clever')",0.21387911,0.41437945,-0.1791697,0.0367498,-0.2159195
70,-0.56958556,-0.32572365,"('lethargic', 'energetic')",0.3668188,0.6307667,-0.1013834,0.1525215,-0.2539049
34,-0.5279529,-0.4374361,"('mean', 'honorable')",6.0399575,6.1566324,2.7560024,2.8595982,-0.1035958
82,-0.515091,-0.29851934,"('poor', 'rich')",6.011552,6.2958913,2.7482305,2.9986861,-0.2504556
37,-0.4756631,-0.6429579,"('fake', 'genuine')",0.38641706,0.16523613,-0.044623,-0.2388609,0.1942379
65,-0.468425,-0.2061256,"('insecure', 'secure')",-0.19996446,0.033674266,-0.3341947,-0.0862257,-0.247969
31,-0.45797154,-0.7314214,"('evil', 'good')",-0.9587249,-1.5050064,-0.7083482,-1.1182139,0.4098657
6,-0.45439824,-0.7891804,"('distant', 'open')",0.28968066,-0.1468729,-0.0823588,-0.4680266,0.3856678
52,-0.44728756,-0.6375737,"('irrational', 'rational')",-0.007773623,-0.52797854,-0.2275306,-0.5827761,0.3552455
40,0.40177587,0.33094954,"('stingy', 'generous')",-1.3495847,-1.6930262,-0.4739044,-0.6810383,0.2071339
3,-0.40130576,-0.2970473,"('repellent', 'pleasant')",0.14293249,0.23184961,-0.1291866,-0.0325988,-0.0965878
59,0.38748068,0.33822072,"('foolish', 'wise')",0.45105293,0.23795138,0.4192668,0.2880861,0.1311807
47,-0.36613643,-0.20684412,"('stupid', 'smart')",5.151244,5.129428,2.3925538,2.4612918,-0.068738
49,0.36189854,0.53865236,"('unable', 'able')",0.2501559,0.39921913,0.3060272,0.4689357,-0.1629085
32,0.3503025,0.52983415,"('unkind', 'kind')",1.204994,1.5041289,0.7776482,1.0169816,-0.2393334
16,-0.3448055,-0.24993575,"('unpopular', 'popular')",0.114180654,0.21674298,-0.1153124,-0.0165964,-0.098716
41,-0.32391873,-0.16729292,"('unforgiving', 'forgiving')",-0.002872197,-0.12909476,-0.1633955,-0.1481938,-0.0152017
21,-0.28737566,-0.07771797,"('immoral', 'moral')",-0.51303405,-0.30974635,-0.4002048,-0.1937322,-0.2064726
88,-0.26897344,-0.18770035,"('low', 'eminent')",0.4079558,0.612585,0.0694912,0.2124423,-0.1429511
33,-0.23878795,-0.38256702,"('wrong', 'right')",-0.35182142,-0.65029615,-0.2953047,-0.5164316,0.2211269
78,0.23494641,0.3778251,"('nonresilient', 'resilient')",0.3456274,0.47104567,0.2902869,0.4244354,-0.1341485
14,-0.23138319,-0.055826996,"('antisocial', 'social')",-0.6057744,-0.33135402,-0.4185788,-0.1935905,-0.2249883
2,0.22981068,0.3810767,"('unlikable', 'likable')",0.5229976,0.65005755,0.3764042,0.5155671,-0.1391629
42,-0.22449516,-0.03278753,"('unreliable', 'reliable')",-3.324285,-3.243955,-1.7743901,-1.6383712,-0.1360189
51,-0.21309216,-0.10140377,"('uneducated', 'educated')",0.63667035,0.67566025,0.2117891,0.2871282,-0.0753391
27,-0.21122955,-0.29928404,"('hardhearted', 'softhearted')",1.5963128,1.1406488,0.6925416,0.4206824,0.2718592
67,0.20762382,0.28657463,"('doubtful', 'determined')",-0.91211194,-0.7987741,-0.352244,-0.2560998,-0.0961442
18,0.20071252,0.24752654,"('disagreeable', 'welcoming')",0.07933357,-0.064450435,0.1400231,0.0915381,0.048485
22,-0.19688188,-0.14604363,"('untrustworthy', 'trustworthy')",-0.6642864,-0.7094621,-0.4305841,-0.4277529,-0.0028312
