,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
9,-2.2788403,-2.2658694,"('unaffectionate', 'caring')",0.56720304,0.7509802,-0.8558186,-0.7574446,-0.098374
1,-2.2475584,-2.2770903,"('unfriendly', 'friendly')",1.5348058,1.6264763,-0.3563763,-0.325307,-0.0310693
8,-2.0524013,-2.1665022,"('unaffectionate', 'affectionate')",0.44339415,0.53118944,-0.8045036,-0.8176564,0.0131528
86,-2.019199,-1.9762746,"('uninfluential', 'influential')",-0.14023872,-0.31028482,-1.0797188,-1.1432797,0.0635609
23,-1.542924,-1.2633837,"('insincere', 'sincere')",4.5837326,4.9399056,1.5204043,1.8382609,-0.3178566
38,-1.5255029,-1.3458297,"('untruthful', 'truthful')",-0.5828419,-0.29414865,-1.0541724,-0.8199892,-0.2341832
69,1.510441,0.96391606,"('lazy', 'industrious')",-0.24505389,-0.42170143,0.6326935,0.2711073,0.3615862
53,-1.5102981,-1.3952001,"('uncreative', 'creative')",0.566537,0.61328423,-0.4718806,-0.390958,-0.0809226
44,1.3897173,1.3869452,"('prejudiced', 'unprejudiced')",-1.2421459,-1.2099476,0.0737857,0.0884988,-0.0147131
0,-1.3640201,-1.4197698,"('unsociable', 'sociable')",-0.22061841,-0.321223,-0.7923192,-0.8704964,0.0781772
19,-1.2509905,-1.1030234,"('inhospitable', 'hospitable')",-0.16768941,-0.16340399,-0.70934,-0.6332137,-0.0761263
10,-1.2163444,-1.0165741,"('unsympathetic', 'sympathetic')",-0.3740491,-0.44431812,-0.7951967,-0.7304461,-0.0647506
6,-1.214578,-1.3328824,"('distant', 'open')",-0.04314842,-0.10829747,-0.6288632,-0.7205899,0.0917267
73,1.1028227,1.2381052,"('helpless', 'self-reliant')",-2.7609112,-2.4687479,-0.8290443,-0.6153213,-0.213723
5,-1.0798538,-1.092485,"('distant', 'outgoing')",-0.569216,-0.54909706,-0.8245349,-0.820791,-0.0037439
31,-1.077116,-1.2388588,"('evil', 'good')",-1.1514435,-1.2324281,-1.1142797,-1.2356434,0.1213637
12,-1.0717466,-1.0140277,"('unsupportive', 'supportive')",-1.5182513,-1.5648016,-1.2949989,-1.2894146,-0.0055843
72,-1.0483906,-0.9945787,"('unambitious', 'ambitious')",-1.2092099,-1.0230484,-1.1288003,-1.0088136,-0.1199867
43,-0.9479583,-0.7771613,"('irresponsible', 'responsible')",0.32948762,0.36466065,-0.3092353,-0.2062503,-0.102985
63,-0.93736917,-0.72553015,"('unperceptive', 'insightful')",1.0022457,0.97424597,0.0324382,0.1243579,-0.0919197
45,-0.9264679,-0.6537677,"('incompetent', 'competent')",-0.37591586,-0.4474229,-0.6511919,-0.5505953,-0.1005966
28,-0.9120204,-1.080012,"('disloyal', 'loyal')",0.6654057,0.5699588,-0.1233073,-0.2550266,0.1317193
58,-0.9028335,-1.0923992,"('undiscriminating', 'discriminating')",0.09559724,-0.09626013,-0.4036182,-0.5943297,0.1907115
80,0.8502937,0.8946637,"('dominated', 'dominating')",-1.1763357,-1.3514514,-0.163021,-0.2283939,0.0653729
81,0.84725976,1.0537446,"('submissive', 'aggressive')",-0.5881764,-0.5068788,0.1295417,0.2734329,-0.1438912
51,-0.8394526,-0.73446715,"('uneducated', 'educated')",0.6201846,0.4428667,-0.109634,-0.1458002,0.0361662
82,-0.83882946,-0.549356,"('poor', 'rich')",5.2851553,5.471866,2.2231629,2.4612551,-0.2380922
11,-0.81851596,-0.5841187,"('unhelpful', 'helpful')",1.1870282,1.4839604,0.1842561,0.4499208,-0.2656647
39,0.758218,0.75203407,"('exploitative', 'cooperative')",0.086627424,0.27382207,0.4224227,0.5129281,-0.0905054
78,-0.75385636,-0.8415246,"('nonresilient', 'resilient')",0.64907056,0.33764118,-0.0523929,-0.2519417,0.1995488
36,-0.74959946,-1.1690228,"('hostile', 'amicable')",0.27838778,-0.01658101,-0.2356058,-0.5928019,0.3571961
71,-0.73369026,-0.913171,"('diffident', 'self-confident')",0.48522878,0.32986873,-0.1242307,-0.2916511,0.1674204
41,-0.71987814,-0.5839889,"('unforgiving', 'forgiving')",0.0012695901,-0.16048394,-0.3593043,-0.3722364,0.0129321
26,-0.7114423,-0.76126915,"('hardhearted', 'benevolent')",1.9559357,1.8862135,0.6222467,0.5624722,0.0597745
32,-0.6967499,-0.5854835,"('unkind', 'kind')",0.8625902,0.98239005,0.0829201,0.1984533,-0.1155332
20,0.69665635,0.6072588,"('rough', 'thoughtful')",1.3603692,1.1784915,1.0285127,0.8928751,0.1356376
57,-0.695376,-0.5303916,"('unimaginative', 'imaginative')",-2.1372278,-2.208548,-1.4163018,-1.3694699,-0.0468319
84,0.67578197,0.5038534,"('inferior', 'superior')",1.1439551,1.0969378,0.9098685,0.8003956,0.1094729
76,0.6549427,0.82932657,"('anxious', 'daring')",0.25643653,0.33018517,0.4556896,0.5797559,-0.1240663
79,-0.6531477,-0.8449297,"('wavering', 'unwavering')",-0.317072,-0.25769484,-0.4851099,-0.5513123,0.0662024
42,0.650249,0.8416396,"('unreliable', 'reliable')",-2.8717122,-2.8554623,-1.1107316,-1.0069114,-0.1038202
18,-0.63345695,-0.6629518,"('disagreeable', 'welcoming')",-0.40920025,-0.4904922,-0.5213286,-0.576722,0.0553934
7,-0.60704833,-0.5381607,"('insensitive', 'sensitive')",0.49592015,0.4221747,-0.0555641,-0.057993,0.0024289
67,0.5747583,0.67637646,"('doubtful', 'determined')",-0.62331504,-0.49523458,-0.0242784,0.0905709,-0.1148493
2,0.5623514,0.52469206,"('unlikable', 'likable')",0.58605945,0.57062685,0.5742054,0.5476595,0.0265459
24,-0.54201907,-0.459329,"('dishonest', 'honest')",0.37385294,0.39223087,-0.0840831,-0.0335491,-0.050534
35,0.5381867,0.20325261,"('corrupt', 'incorrupt')",-0.15489824,-0.3129136,0.1916443,-0.0548305,0.2464748
50,0.52231324,0.43883625,"('clumsy', 'skillful')",0.42993724,0.43585306,0.4761252,0.4373447,0.0387805
