,dupont_male,dupont_female,tuple,de_male,de_female,nemours_male,nemours_female,inc_male,inc_female,average_male,average_female,male-female
85,2.388342,2.311716,"('insignificant', 'prestigious')",0.5653611,0.5690604,2.9040442,2.6819506,1.0491709,1.2254839,1.7267295,1.6970527,0.0296768
69,2.374526,2.364624,"('lazy', 'industrious')",2.5139232,2.5475726,3.4661152,3.4122572,-0.23404914,-0.13894275,2.030129,2.0463777,-0.0162487
25,2.0818675,2.1422932,"('egoistic', 'altruistic')",0.68863964,0.8683529,1.0354816,1.0673255,1.5794948,1.7528507,1.3463709,1.4577055,-0.1113346
45,-1.7926906,-1.7412134,"('incompetent', 'competent')",-1.2225932,-1.4715096,-2.7014484,-2.8341978,-0.5611129,-0.6209656,-1.5694612,-1.6669716,0.0975104
71,1.6048163,1.5884421,"('diffident', 'self-confident')",-0.11918691,-0.18202606,-0.10788128,-0.20345503,0.67794025,0.7371266,0.5139221,0.4850219,0.0289002
76,-1.5479825,-1.7136692,"('anxious', 'daring')",-0.288438,-0.5260406,-1.7956936,-1.918419,0.27332124,0.0499232,-0.8396982,-1.0270513,0.1873531
26,1.5447983,1.6375222,"('hardhearted', 'benevolent')",-0.4882173,-0.3685388,-0.04223281,0.03562232,1.5572559,1.8386257,0.6429011,0.7858078,-0.1429067
65,-1.5204052,-1.5587279,"('insecure', 'secure')",-0.7063459,-0.7982945,-2.7356226,-2.7064517,-0.36220795,-0.5409918,-1.3311454,-1.4011164,0.069971
13,-1.4887877,-1.5528995,"('impolite', 'polite')",-1.2465379,-1.3119347,-2.2788026,-2.1844792,-0.7151146,-0.73221225,-1.4323107,-1.4453814,0.0130707
9,1.4404402,1.4389539,"('unaffectionate', 'caring')",-1.0327564,-0.9710685,-0.49277955,-0.4330048,1.0472995,1.3204516,0.2405509,0.338833,-0.0982821
53,1.4296052,1.2833562,"('uncreative', 'creative')",0.099668115,-0.182977,-0.39726922,-0.46161273,0.9869493,1.0471727,0.5297384,0.4214848,0.1082536
80,-1.4240215,-1.5840756,"('dominated', 'dominating')",-0.14564471,-0.35388678,-1.207273,-1.3592042,-1.2403277,-1.4638293,-1.0043167,-1.190249,0.1859323
64,-1.3614709,-1.1788824,"('shy', 'confident')",0.58127,0.709537,-0.7305904,-0.57473046,-6.2353945,-6.499282,-1.9365464,-1.8858395,-0.0507069
8,1.344581,1.3147953,"('unaffectionate', 'affectionate')",0.21481283,0.19673957,0.6860186,0.62925476,0.6803902,0.9840748,0.7314506,0.7812161,-0.0497655
11,-1.3001336,-1.4742818,"('unhelpful', 'helpful')",-1.1002367,-1.2988757,-1.9368907,-1.9757508,1.8086749,1.7617657,-0.6321465,-0.7467857,0.1146392
20,1.2960228,1.0893162,"('rough', 'thoughtful')",1.1296439,1.0357835,0.27561757,0.16644685,1.4765986,1.4371818,1.0444708,0.9321821,0.1122887
70,-1.253659,-1.4627589,"('lethargic', 'energetic')",-0.68864393,-1.0998878,-2.623449,-2.8791788,0.5798982,0.26449773,-0.9964635,-1.294332,0.2978685
1,1.2297773,1.5289117,"('unfriendly', 'friendly')",-1.5470943,-1.3257765,-0.6230356,-0.44683132,1.5785662,1.9759079,0.1595534,0.433053,-0.2734996
