,first_male,first_female,tuple,horizon_male,horizon_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.5686855,-2.1888306,"('hostile', 'amicable')",-0.522799,-0.5215993,0.076740846,0.19089787,-1.0049146,-0.839844,-0.1650706
31,-2.3228045,-1.6834003,"('evil', 'good')",-0.98466593,-0.94999117,-1.1156483,-0.82367855,-1.4743729,-1.1523566,-0.3220163
85,-2.0476673,-1.4812762,"('insignificant', 'prestigious')",0.43616453,0.64364684,-0.3396554,0.27914184,-0.6503861,-0.1861625,-0.4642236
19,-2.0040097,-1.3489947,"('inhospitable', 'hospitable')",-1.4477186,-0.9957576,-0.6582759,-0.37651828,-1.3700015,-0.9070902,-0.4629113
5,-1.9485024,-1.5082481,"('distant', 'outgoing')",-1.5467666,-1.2652123,-0.39622062,-0.23936218,-1.2971632,-1.0042742,-0.292889
62,1.8971944,1.4625133,"('incompetent', 'brilliant')",1.485114,1.4236436,0.5607166,0.46667206,1.3143417,1.1176097,0.196732
60,1.895894,1.7141902,"('inefficient', 'efficient')",1.070468,1.4414191,0.11922784,-0.03558517,1.02853,1.0400081,-0.0114781
1,-1.8547018,-1.4117126,"('unfriendly', 'friendly')",-1.2173735,-0.8174289,1.3814873,1.5412136,-0.5635294,-0.2293093,-0.3342201
35,-1.8524489,-1.6766365,"('corrupt', 'incorrupt')",-0.21168384,-0.30326426,-0.5312084,-0.21765143,-0.8651137,-0.7325174,-0.1325963
16,-1.8359588,-1.4903201,"('unpopular', 'popular')",-0.040635824,-0.07969879,0.3946214,0.56000113,-0.4939911,-0.3366726,-0.1573185
6,-1.8357745,-1.3576891,"('distant', 'open')",-1.9442141,-1.6147642,-0.28331274,-0.16322452,-1.3544339,-1.0452259,-0.309208
80,1.8170439,1.3670129,"('dominated', 'dominating')",1.2194508,0.87754846,-0.8355936,-1.0607189,0.7336337,0.3946141,0.3390196
21,1.6483172,1.6782489,"('immoral', 'moral')",0.05184033,0.22953574,-0.43089017,-0.7125799,0.4230891,0.3984016,0.0246875
8,-1.6175182,-1.1760349,"('unaffectionate', 'affectionate')",-0.9280108,-0.67029613,0.6838819,0.77305645,-0.620549,-0.3577582,-0.2627908
81,1.592013,1.1375675,"('submissive', 'aggressive')",0.6655326,0.5918506,-0.4925545,-0.74607116,0.5883303,0.3277823,0.260548
82,-1.5093004,-1.2320578,"('poor', 'rich')",-1.2739549,-0.85243756,6.508088,5.915288,1.241611,1.2769309,-0.0353199
25,-1.4889977,-1.0237726,"('egoistic', 'altruistic')",-0.2175731,0.09948455,1.1012686,1.4751784,-0.2017674,0.1836301,-0.3853975
39,1.4864231,1.6744783,"('exploitative', 'cooperative')",1.0605589,1.2764024,0.05077212,0.035878833,0.8659181,0.9955865,-0.1296684
76,1.4792404,1.2295029,"('anxious', 'daring')",-0.07700532,-0.09324527,-0.031326607,-0.39814296,0.4569695,0.2460382,0.2109313
26,-1.434341,-1.0100561,"('hardhearted', 'benevolent')",0.29680562,0.60104895,1.1658581,1.5313247,0.0094409,0.3741059,-0.364665
79,-1.3797503,-0.84664917,"('wavering', 'unwavering')",-0.94550914,-0.66367364,-0.44802716,-0.40837482,-0.9244289,-0.6395659,-0.284863
46,1.2108185,0.94198954,"('uncompetitive', 'competitive')",-0.27736837,-0.03983678,-0.9911845,-1.1559044,-0.0192448,-0.0845839,0.0653391
