,king_male,king_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,male-female
39,1.5754005,1.3162705,"('exploitative', 'cooperative')",-0.021818966,-0.009495042,-0.1606569,-0.11195817,0.4643082,0.3982724,0.0660358
31,-1.5745057,-1.2909236,"('evil', 'good')",-0.53427786,-0.6296263,-0.7825664,-0.7744425,-0.9637833,-0.8983308,-0.0654525
24,1.5474172,1.1455452,"('dishonest', 'honest')",-1.2477522,-1.125667,0.28426725,0.66337854,0.1946441,0.2277523,-0.0331082
76,1.3888961,1.1478319,"('anxious', 'daring')",-1.0687712,-0.8885901,-7.084012e-05,0.30823386,0.1066847,0.1891586,-0.0824739
72,1.2432067,1.2567074,"('unambitious', 'ambitious')",-0.17998932,0.11518714,-1.2314116,-0.57201153,-0.0560647,0.2666277,-0.3226924
36,-1.2193856,-1.0224699,"('hostile', 'amicable')",-1.1405317,-1.2167163,0.5395164,0.3364662,-0.6068002,-0.63424,0.0274398
2,1.1916183,1.2376567,"('unlikable', 'likable')",0.37401232,0.32681224,0.38537496,0.70992273,0.6503352,0.7581306,-0.1077954
16,-1.1511791,-0.8936298,"('unpopular', 'popular')",0.23785248,0.18729481,0.78034216,0.6554185,-0.0443282,-0.0169721,-0.0273561
5,-1.1483094,-0.78291637,"('distant', 'outgoing')",-0.1348314,-0.022132505,-0.14311707,0.114532806,-0.4754193,-0.230172,-0.2452473
9,1.1310481,0.89892954,"('unaffectionate', 'caring')",0.2458924,0.20192829,0.9799699,1.1849862,0.7856368,0.761948,0.0236888
4,-1.1232924,-0.8118041,"('disliked', 'liked')",0.0011289902,0.04112722,-6.6271706,-7.02485,-2.5831113,-2.598509,0.0153977
28,1.0758395,0.5579001,"('disloyal', 'loyal')",-0.030627588,-0.15502086,0.96096003,0.9280835,0.668724,0.4436542,0.2250698
58,-1.0491364,-0.9898829,"('undiscriminating', 'discriminating')",-0.6558272,-0.6460937,-0.16565102,-0.3388675,-0.6235383,-0.6582813,0.034743
62,1.006072,0.8506923,"('incompetent', 'brilliant')",0.016218707,0.24921416,-0.4939054,0.08536655,0.1761284,0.395091,-0.2189626
75,-0.9940473,-0.4541133,"('meek', 'impulsive')",-0.64242065,-0.44125947,-0.41822687,-0.08871131,-0.6848983,-0.328028,-0.3568703
73,0.9558121,1.1273528,"('helpless', 'self-reliant')",-0.37422925,-0.23120476,-3.4411972,-3.4498363,-0.9532048,-0.8512293,-0.1019755
6,-0.9424601,-0.635504,"('distant', 'open')",-0.06323299,0.018423088,0.7596545,0.9650078,-0.0820129,0.1159756,-0.1979885
18,0.92516446,0.9164513,"('disagreeable', 'welcoming')",0.051292665,-0.012333244,-0.3415501,-0.29594958,0.2116357,0.2027228,0.0089129
55,0.9237547,0.47223848,"('incompetent', 'clever')",0.11311754,-0.04935605,-0.022442173,-0.18652098,0.3381433,0.0787872,0.2593561
57,-0.9102418,-1.3762668,"('unimaginative', 'imaginative')",-0.5162325,-0.5917486,-2.717696,-3.1719117,-1.3813901,-1.713309,0.3319189
0,0.8949714,0.41602832,"('unsociable', 'sociable')",-0.013154279,-0.29271433,-0.68544686,-0.72218835,0.0654567,-0.1996248,0.2650815
15,-0.8190268,-0.8246147,"('boring', 'funny')",0.12293302,0.06382789,0.044248857,0.08132657,-0.2172816,-0.2264868,0.0092052
63,-0.7897397,-0.73745286,"('unperceptive', 'insightful')",-0.1922628,-0.21182519,0.6050416,0.73457086,-0.1256536,-0.0715691,-0.0540845
25,0.78014994,0.8229937,"('egoistic', 'altruistic')",0.35554597,0.42084968,1.568863,1.3995075,0.9015196,0.8811169,0.0204027
80,0.7374975,0.34958658,"('dominated', 'dominating')",-0.42242408,-0.44304574,-1.1318085,-1.4213225,-0.272245,-0.5049272,0.2326822
47,-0.7024942,-0.6085768,"('stupid', 'smart')",0.2561031,0.21541332,5.4412937,5.942261,1.6649675,1.8496993,-0.1847318
8,0.70229673,0.57322615,"('unaffectionate', 'affectionate')",-0.017821327,0.023039512,0.6306929,0.8663069,0.4383895,0.4875242,-0.0491347
33,0.69544834,0.9507767,"('wrong', 'right')",0.9228048,0.89769775,-0.36663377,-0.43541482,0.4172064,0.4710199,-0.0538135
84,0.6826728,0.88107985,"('inferior', 'superior')",0.8856333,1.0663744,0.7907017,0.88466096,0.7863359,0.9440384,-0.1577025
56,0.6739166,0.59022826,"('impractical', 'practical')",0.4068477,0.47035825,-0.80204254,-0.64116144,0.0929072,0.1398083,-0.0469011
12,0.66971624,0.6913186,"('unsupportive', 'supportive')",0.5488301,0.67830527,-1.980086,-1.9843901,-0.2538465,-0.2049221,-0.0489244
86,0.65727365,0.19552517,"('uninfluential', 'influential')",0.24128005,-0.09152196,-0.2697425,-0.5975995,0.2096037,-0.1645321,0.3741358
43,0.64776343,0.4585362,"('irresponsible', 'responsible')",0.020629365,-0.015318491,0.041642655,0.2782294,0.2366785,0.2404824,-0.0038039
69,-0.6415097,-0.35516152,"('lazy', 'industrious')",1.0261601,1.0348241,-0.14960492,-0.3102056,0.0783485,0.1231523,-0.0448038
60,0.6364918,0.16402122,"('inefficient', 'efficient')",0.034603026,0.009794579,-0.47998238,-0.12741134,0.0637041,0.0154682,0.0482359
48,0.627766,0.3685159,"('unintelligent', 'intelligent')",0.88713825,0.8390477,0.30168608,0.32167813,0.6055301,0.5097473,0.0957828
17,-0.60019714,-0.5974773,"('nasty', 'nice')",-1.1728979,-1.173935,-0.7727379,-0.7608823,-0.848611,-0.8440983,-0.0045127
29,-0.58569634,-0.33928198,"('unfair', 'fair')",-0.62979764,-0.45017976,-0.37197843,-0.21868089,-0.5291574,-0.3360475,-0.1931099
23,0.50457466,0.04563637,"('insincere', 'sincere')",-0.62486404,-0.6625541,5.142042,5.6135287,1.6739176,1.665537,0.0083806
64,-0.4994482,-0.38951468,"('shy', 'confident')",-0.27612266,-0.33133033,-6.7930675,-6.768556,-2.5228794,-2.496467,-0.0264124
30,0.49078554,0.42957833,"('intolerant', 'tolerant')",-0.05274396,-0.0385907,0.41966113,0.6073572,0.2859009,0.3327816,-0.0468807
65,0.4882661,0.19940998,"('insecure', 'secure')",-0.75215775,-0.8478719,-0.448495,-0.24836014,-0.2374622,-0.2989407,0.0614785
