,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
69,1.6992112,1.6249732,"('lazy', 'industrious')",-1.2013084,-1.0798318,0.2489514,0.2725707,-0.0236193
86,-1.6674446,-1.6370779,"('uninfluential', 'influential')",0.2688915,0.22653437,-0.6992766,-0.7052718,0.0059952
10,-1.6624715,-1.5073344,"('unsympathetic', 'sympathetic')",-0.08404882,-0.1323255,-0.8732602,-0.8198299,-0.0534303
57,-1.4798414,-1.2055142,"('unimaginative', 'imaginative')",-2.394528,-2.5550873,-1.9371846,-1.8803008,-0.0568838
82,-1.4678414,-1.4381341,"('poor', 'rich')",6.376829,6.4725456,2.454494,2.5172057,-0.0627117
53,-1.4510432,-1.3480293,"('uncreative', 'creative')",0.9029636,1.0680674,-0.2740398,-0.1399809,-0.1340589
2,1.3457205,1.3864993,"('unlikable', 'likable')",0.6499028,0.79000133,0.9978117,1.0882503,-0.0904386
73,1.3004954,1.1483098,"('helpless', 'self-reliant')",-2.8068755,-2.9575667,-0.75319,-0.9046285,0.1514385
13,-1.2610726,-0.97366863,"('impolite', 'polite')",-0.24963698,-0.31763172,-0.7553548,-0.6456501,-0.1097047
46,-1.2019908,-1.2118763,"('uncompetitive', 'competitive')",-0.41858077,-0.74862945,-0.8102858,-0.9802529,0.1699671
39,1.1999524,1.1850094,"('exploitative', 'cooperative')",-0.18082233,-0.1229669,0.509565,0.5310212,-0.0214562
85,1.1281874,1.0040914,"('insignificant', 'prestigious')",-0.14884588,0.28137463,0.4896708,0.642733,-0.1530622
43,-0.997571,-0.7878885,"('irresponsible', 'responsible')",0.4771561,0.43672103,-0.2602074,-0.1755838,-0.0846236
55,-0.9897805,-0.80015725,"('incompetent', 'clever')",0.29523522,0.17392433,-0.3472726,-0.3131165,-0.0341561
45,-0.8774501,-0.7526255,"('incompetent', 'competent')",-0.18261835,-0.26454872,-0.5300342,-0.5085871,-0.0214471
49,-0.86767507,-0.8503896,"('unable', 'able')",-0.17167892,0.010552075,-0.519677,-0.4199188,-0.0997582
26,0.8357655,0.9041854,"('hardhearted', 'benevolent')",1.0832256,1.4489654,0.9594955,1.1765754,-0.2170799
8,-0.8338927,-1.0301614,"('unaffectionate', 'affectionate')",0.5270392,0.8837166,-0.1534268,-0.0732224,-0.0802044
51,-0.8163102,-0.734257,"('uneducated', 'educated')",1.3698814,1.3357661,0.2767856,0.3007545,-0.0239689
25,0.8124303,0.5580616,"('egoistic', 'altruistic')",1.5362753,1.6302859,1.1743528,1.0941737,0.0801791
83,0.8003243,0.749995,"('powerless', 'powerful')",-0.6784896,-0.65841836,0.0609173,0.0457883,0.015129
23,-0.788928,-0.93969446,"('insincere', 'sincere')",6.376897,6.327948,2.7939844,2.6941268,0.0998576
87,0.7663713,0.712668,"('unsuccessful', 'successful')",0.9085206,0.9164789,0.837446,0.8145734,0.0228726
28,-0.7475587,-0.9895828,"('disloyal', 'loyal')",0.9120317,0.7488809,0.0822365,-0.1203509,0.2025874
