,mbia_male,mbia_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,2.0294209,1.9276284,"('inefficient', 'efficient')",0.38055292,0.19787627,1.2049869,1.0627524,0.1422345
6,-1.8900435,-1.4405503,"('distant', 'open')",-0.13716494,0.28813636,-1.0136042,-0.576207,-0.4373972
79,-1.7269499,-1.4208636,"('wavering', 'unwavering')",-0.14786796,0.12396085,-0.9374089,-0.6484514,-0.2889575
36,-1.6935772,-1.4522046,"('hostile', 'amicable')",-0.26564178,-0.018817184,-0.9796095,-0.7355109,-0.2440986
31,-1.6504381,-1.3075906,"('evil', 'good')",-1.2939754,-1.0586687,-1.4722067,-1.1831297,-0.289077
5,-1.6412449,-1.1554253,"('distant', 'outgoing')",-0.58313316,-0.10003543,-1.1121891,-0.6277304,-0.4844587
30,1.4796233,1.5350924,"('intolerant', 'tolerant')",1.5139647,1.6803524,1.496794,1.6077224,-0.1109284
53,-1.4479859,-1.1262102,"('uncreative', 'creative')",0.7774858,0.88282406,-0.33525,-0.1216931,-0.2135569
39,1.4028916,1.5173067,"('exploitative', 'cooperative')",0.16206713,0.12970963,0.7824794,0.8235081,-0.0410287
19,-1.3904911,-0.98685145,"('inhospitable', 'hospitable')",-0.0017497782,0.38011965,-0.6961204,-0.3033659,-0.3927545
66,-1.3541356,-1.2239339,"('inactive', 'active')",0.044746105,0.17496698,-0.6546947,-0.5244835,-0.1302112
8,-1.2911788,-1.1072564,"('unaffectionate', 'affectionate')",0.7307208,0.96349895,-0.280229,-0.0718787,-0.2083503
14,1.2098669,1.1566584,"('antisocial', 'social')",-0.5682352,-0.68199426,0.3208158,0.2373321,0.0834837
62,1.2024647,1.4655563,"('incompetent', 'brilliant')",0.50770384,0.6589567,0.8550843,1.0622565,-0.2071722
65,1.1111797,0.8019452,"('insecure', 'secure')",-0.122093186,-0.33052027,0.4945433,0.2357125,0.2588308
75,-1.0692265,-0.9635098,"('meek', 'impulsive')",-0.6745239,-0.55144346,-0.8718752,-0.7574766,-0.1143986
16,-1.0421327,-0.79906315,"('unpopular', 'popular')",-0.027978025,0.12152949,-0.5350554,-0.3387668,-0.1962886
1,-1.0306956,-0.62125975,"('unfriendly', 'friendly')",1.5993255,1.8900431,0.284315,0.6343917,-0.3500767
35,-0.9997461,-0.8329167,"('corrupt', 'incorrupt')",-0.31562614,-0.07420178,-0.6576861,-0.4535592,-0.2041269
55,0.9662934,0.829425,"('incompetent', 'clever')",0.31747413,0.18675376,0.6418837,0.5080894,0.1337943
57,-0.9418417,-0.9456164,"('unimaginative', 'imaginative')",-2.6072934,-2.6451032,-1.7745676,-1.7953598,0.0207922
81,0.905831,0.8199402,"('submissive', 'aggressive')",-0.5825491,-0.79256916,0.1616409,0.0136855,0.1479554
25,-0.8473955,-0.6823383,"('egoistic', 'altruistic')",1.3497179,1.6100328,0.2511612,0.4638472,-0.212686
70,0.8386998,0.7475696,"('lethargic', 'energetic')",0.93321323,0.83071184,0.8859565,0.7891407,0.0968158
76,0.8131492,0.72186226,"('anxious', 'daring')",0.25299355,0.20225416,0.5330714,0.4620582,0.0710132
86,-0.7860345,-0.5701326,"('uninfluential', 'influential')",-0.17262433,-0.16207853,-0.4793294,-0.3661056,-0.1132238
56,0.77345794,0.94890696,"('impractical', 'practical')",0.020177351,0.050591677,0.3968177,0.4997493,-0.1029316
63,0.76499,0.98211485,"('unperceptive', 'insightful')",1.2437966,1.3058676,1.0043933,1.1439912,-0.1395979
32,0.7584262,0.8791492,"('unkind', 'kind')",1.1280972,1.1871688,0.9432617,1.033159,-0.0898973
9,-0.7493942,-0.45883554,"('unaffectionate', 'caring')",1.1705743,1.3985975,0.2105901,0.469881,-0.2592909
21,0.72600305,0.92903674,"('immoral', 'moral')",-0.48633465,-0.48451802,0.1198342,0.2222594,-0.1024252
4,-0.71946335,-0.46809638,"('disliked', 'liked')",-6.8738227,-6.4655614,-3.796643,-3.4668288,-0.3298142
74,0.7172426,0.78253096,"('undedicated', 'dedicated')",0.14564909,0.17107539,0.4314458,0.4768032,-0.0453574
72,-0.70438206,-0.747444,"('unambitious', 'ambitious')",-0.77647245,-0.7364243,-0.7404273,-0.7419342,0.0015069
52,-0.7023741,-0.5668766,"('irrational', 'rational')",0.00135516,0.04572837,-0.3505095,-0.2605741,-0.0899354
42,0.6506091,0.6093618,"('unreliable', 'reliable')",-3.0187712,-3.0430942,-1.1840811,-1.2168661,0.032785
71,0.6229708,0.8687518,"('diffident', 'self-confident')",0.09311118,0.24772441,0.358041,0.5582381,-0.2001971
48,0.59604853,0.49336338,"('unintelligent', 'intelligent')",0.8713905,0.8394202,0.7337195,0.6663918,0.0673277
67,0.5867489,0.6323664,"('doubtful', 'determined')",-0.79314935,-0.6466705,-0.1032002,-0.0071521,-0.0960481
20,0.5818412,0.5941486,"('rough', 'thoughtful')",0.7449281,0.8858076,0.6633847,0.7399781,-0.0765934
73,0.5643915,0.70210826,"('helpless', 'self-reliant')",-2.926981,-2.724647,-1.1812947,-1.0112693,-0.1700254
85,-0.5303633,-0.23739816,"('insignificant', 'prestigious')",0.20023365,0.5826267,-0.1650648,0.1726143,-0.3376791
15,-0.5175178,-0.44990072,"('boring', 'funny')",0.53281695,0.64710057,0.0076496,0.0985999,-0.0909503
64,0.5115635,0.47878444,"('shy', 'confident')",-6.725256,-6.778685,-3.1068463,-3.1499503,0.043104
49,-0.4858425,-0.39795727,"('unable', 'able')",-0.14160259,0.11322779,-0.3137226,-0.1423647,-0.1713579
27,-0.47837326,-0.55247545,"('hardhearted', 'softhearted')",1.5425019,1.4783671,0.5320643,0.4629458,0.0691185
69,-0.44857845,-0.39851362,"('lazy', 'industrious')",-0.91462725,-0.8428497,-0.6816028,-0.6206816,-0.0609212
26,0.44805542,0.6166834,"('hardhearted', 'benevolent')",1.4406812,1.5790337,0.9443683,1.0978585,-0.1534902
17,-0.43391678,-0.39557636,"('nasty', 'nice')",-0.7271279,-0.5827006,-0.5805224,-0.4891385,-0.0913839
84,0.42658174,0.35610494,"('inferior', 'superior')",0.95508933,0.99273765,0.6908355,0.6744213,0.0164142
80,0.41895658,0.3498344,"('dominated', 'dominating')",-1.3915623,-1.3614342,-0.4863029,-0.5057999,0.019497
12,0.3876363,0.6455977,"('unsupportive', 'supportive')",-1.6518023,-1.603748,-0.632083,-0.4790751,-0.1530079
7,0.38640645,0.4310069,"('insensitive', 'sensitive')",0.870937,0.83568233,0.6286717,0.6333447,-0.004673
0,0.38587123,0.42626148,"('unsociable', 'sociable')",-0.48443204,-0.5261833,-0.0492804,-0.0499609,0.0006805
46,0.37545598,0.44334012,"('uncompetitive', 'competitive')",-0.61453205,-0.72319025,-0.119538,-0.1399251,0.0203871
29,0.3508968,0.2678869,"('unfair', 'fair')",-0.41515133,-0.4354723,-0.0321273,-0.0837927,0.0516654
23,0.3466325,0.3775663,"('insincere', 'sincere')",6.3970447,6.1751103,3.3718386,3.2763383,0.0955003
13,0.33516353,0.46706566,"('impolite', 'polite')",-0.124016464,-0.18564096,0.1055735,0.1407124,-0.0351389
59,0.33438066,0.33755147,"('foolish', 'wise')",0.35876423,0.45762053,0.3465725,0.397586,-0.0510135
51,0.33397582,0.3239035,"('uneducated', 'educated')",0.8391314,0.7634661,0.5865536,0.5436848,0.0428688
47,0.3283732,0.45262197,"('stupid', 'smart')",5.527933,5.50953,2.928153,2.981076,-0.052923
33,-0.32783908,-0.11214707,"('wrong', 'right')",-0.63759416,-0.5012224,-0.4827166,-0.3066847,-0.1760319
18,-0.31663582,-0.30816144,"('disagreeable', 'welcoming')",-0.22125682,-0.18413758,-0.2689463,-0.2461495,-0.0227968
10,0.30974185,0.3935304,"('unsympathetic', 'sympathetic')",-0.34403577,-0.40977037,-0.017147,-0.00812,-0.009027
40,0.30115518,0.41066644,"('stingy', 'generous')",-1.4373963,-1.3645979,-0.5681205,-0.4769657,-0.0911548
61,0.28017375,0.524795,"('illogical', 'logical')",0.21965837,0.33310595,0.2499161,0.4289505,-0.1790344
43,0.27750456,0.42054588,"('irresponsible', 'responsible')",0.75012535,0.6979282,0.5138149,0.559237,-0.0454221
82,-0.2727332,-0.12818807,"('poor', 'rich')",6.574306,6.439457,3.1507864,3.1556344,-0.004848
88,-0.2662874,0.053274028,"('low', 'eminent')",0.32311174,0.5378893,0.0284122,0.2955817,-0.2671695
54,-0.23125654,-0.02800263,"('incapable', 'capable')",1.3873471,1.4755827,0.5780452,0.72379,-0.1457448
2,0.21727005,0.5074353,"('unlikable', 'likable')",0.4650212,0.66304994,0.3411456,0.5852426,-0.244097
78,-0.20304467,-0.24332166,"('nonresilient', 'resilient')",0.18032402,0.12629141,-0.0113603,-0.0585151,0.0471548
58,-0.19977501,-0.13188788,"('undiscriminating', 'discriminating')",0.27045837,0.29087546,0.0353417,0.0794938,-0.0441521
3,0.18645936,0.095486276,"('repellent', 'pleasant')",0.03369583,-0.008218266,0.1100776,0.043634,0.0664436
87,0.18295074,0.39838138,"('unsuccessful', 'successful')",0.5526348,0.6632325,0.3677928,0.530807,-0.1630142
22,0.16762897,0.20504612,"('untrustworthy', 'trustworthy')",-0.7547153,-0.76803124,-0.2935432,-0.2814926,-0.0120506
45,0.158519,0.34193388,"('incompetent', 'competent')",-0.25557792,-0.22872669,-0.0485295,0.0566036,-0.1051331
77,-0.1474959,-0.15073358,"('unmotivated', 'motivated')",-1.3242561,-1.4035693,-0.735876,-0.7771515,0.0412755
24,0.14572042,0.519427,"('dishonest', 'honest')",0.85668695,1.0554429,0.5012037,0.7874349,-0.2862312
83,0.1444746,0.38317877,"('powerless', 'powerful')",-1.027978,-0.8241118,-0.4417517,-0.2204665,-0.2212852
50,0.1381368,-0.015929818,"('clumsy', 'skillful')",0.48635048,0.47616473,0.3122436,0.2301175,0.0821261
44,-0.10979334,-0.27505332,"('prejudiced', 'unprejudiced')",-1.5256755,-1.6399503,-0.8177344,-0.9575018,0.1397674
68,0.09813675,-0.06710428,"('dependent', 'independent')",-0.23846559,-0.20026548,-0.0701644,-0.1336849,0.0635205
34,-0.07791471,0.14710641,"('mean', 'honorable')",6.309258,6.2375693,3.1156716,3.192338,-0.0766664
11,0.07672735,0.11486152,"('unhelpful', 'helpful')",2.1766682,1.9553617,1.1266978,1.0351117,0.0915861
41,0.06767564,0.25989473,"('unforgiving', 'forgiving')",0.011470776,0.037030235,0.0395732,0.1484625,-0.1088893
37,0.059210185,-0.050022595,"('fake', 'genuine')",0.71179646,0.5794086,0.3855033,0.264693,0.1208103
28,0.041870136,0.06448534,"('disloyal', 'loyal')",1.106731,0.96926755,0.5743006,0.5168765,0.0574241
38,-0.014092773,0.23323068,"('untruthful', 'truthful')",0.18600449,0.321006,0.0859559,0.2771183,-0.1911624
