,interpublic_male,interpublic_female,tuple,group_male,group_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
69,2.6685069,2.5555732,"('lazy', 'industrious')",-0.08132721,-0.31792647,0.86903393,0.7352838,-0.1544717,-0.32180792,0.8254355,0.6627807,0.1626548
10,-2.5297537,-2.4360926,"('unsympathetic', 'sympathetic')",0.981523,1.0913546,-0.9336626,-0.8586004,-0.3464002,-0.06016478,-0.7070734,-0.5658758,-0.1411976
86,-2.238363,-2.1908886,"('uninfluential', 'influential')",0.5138618,0.52437395,-1.4186826,-1.3143061,-0.4824068,-0.3155952,-0.9063976,-0.824104,-0.0822936
46,-2.2248366,-2.190636,"('uncompetitive', 'competitive')",2.9810004,2.8332415,-0.5122612,-0.494159,-0.91548675,-0.7392583,-0.167896,-0.1477029,-0.0201931
48,-1.9983903,-2.0473409,"('unintelligent', 'intelligent')",-0.07809336,-0.14807656,-1.0063683,-1.1301013,0.2018009,0.2654796,-0.7202628,-0.7650098,0.044747
55,-1.8899095,-1.8753012,"('incompetent', 'clever')",2.7960808,2.7131925,0.0007858947,-0.0651437,-0.028723791,0.06412124,0.2195584,0.2092172,0.0103412
63,-1.8086966,-1.7825679,"('unperceptive', 'insightful')",1.7346072,1.692612,0.024557801,0.11093967,0.456663,0.5383422,0.1017829,0.1398315,-0.0380486
44,1.7560909,1.6521717,"('prejudiced', 'unprejudiced')",0.01305888,-0.12501386,-0.05969049,-0.41090217,-1.2012489,-1.3891925,0.1270526,-0.0682342,0.1952868
78,-1.6868436,-1.7705089,"('nonresilient', 'resilient')",0.8634158,0.65333796,0.081463315,-0.099918485,-0.3283851,-0.3268322,-0.2675874,-0.3859804,0.118393
8,-1.6451062,-1.5225103,"('unaffectionate', 'affectionate')",-1.1201382,-0.9222814,-2.1301641,-2.027161,0.6771658,0.7702871,-1.0545607,-0.9254164,-0.1291443
28,-1.6434323,-1.6091015,"('disloyal', 'loyal')",0.108282566,0.2565962,-1.0979964,-0.92072505,1.1542603,1.3511499,-0.3697214,-0.2305201,-0.1392013
43,-1.5657058,-1.4478313,"('irresponsible', 'responsible')",1.4443879,1.5131705,-0.52136743,-0.297477,0.5790979,0.83815116,-0.0158968,0.1515033,-0.1674001
9,-1.4984893,-1.3816679,"('unaffectionate', 'caring')",-0.88177806,-0.7427649,-1.8569058,-1.6288017,1.1899223,1.3411742,-0.7618127,-0.6030151,-0.1587976
0,-1.4484327,-1.5078875,"('unsociable', 'sociable')",0.7189643,0.6503032,-0.6462843,-0.5696427,-0.96172243,-0.78484356,-0.5843688,-0.5530176,-0.0313512
35,1.4421581,1.4259218,"('corrupt', 'incorrupt')",-2.296504,-2.3872752,-0.12836142,-0.3320962,0.18060751,0.020978525,-0.200525,-0.3181178,0.1175928
23,-1.4370611,-1.2579446,"('insincere', 'sincere')",0.5094298,0.58559763,-0.87399465,-0.46849617,5.834907,5.858396,1.0083203,1.1793883,-0.171068
51,-1.3595245,-1.2530411,"('uneducated', 'educated')",1.1269245,1.2360941,0.3331589,0.4260144,0.025138855,-0.02742643,0.0314244,0.0954102,-0.0639858
73,1.3068563,1.3408598,"('helpless', 'self-reliant')",0.0025630444,0.123389564,0.49065724,0.46618637,-3.5949457,-3.4402666,-0.4487173,-0.3774577,-0.0712596
12,-1.2490853,-1.169643,"('unsupportive', 'supportive')",1.2326726,1.4623759,-1.0596672,-0.9774933,-2.2776523,-1.9738897,-0.838433,-0.6646625,-0.1737705
1,-1.2163993,-1.2262076,"('unfriendly', 'friendly')",-1.5150738,-1.447787,-1.6201453,-1.2889259,1.7097578,1.8404751,-0.6604651,-0.5306113,-0.1298538
21,-1.192931,-1.1694839,"('immoral', 'moral')",1.8499212,1.6759825,0.3559478,0.26448345,-1.162643,-1.1047702,-0.0374262,-0.083447,0.0460208
15,1.1850774,1.2196252,"('boring', 'funny')",-1.3342137,-1.2013792,0.21967772,0.39411858,0.16359602,0.23033333,0.0585344,0.1606745,-0.1021401
53,-1.1688397,-1.1443774,"('uncreative', 'creative')",-0.23266193,-0.1823471,0.14033215,0.41120523,1.3175119,1.4776425,0.0140856,0.1405308,-0.1264452
3,-1.1510985,-1.0869608,"('repellent', 'pleasant')",1.4172498,1.2791661,0.6393734,0.6217471,0.4950545,0.43567312,0.3501448,0.3124064,0.0377384
45,-1.1467822,-1.0765067,"('incompetent', 'competent')",1.2597136,1.3535622,-0.40595764,-0.15981574,-0.4272812,-0.10398457,-0.1800768,0.0033138,-0.1833906
75,1.1416402,1.0733305,"('meek', 'impulsive')",-0.49319035,-0.6554393,-0.60354465,-0.64477336,0.27194032,0.10551973,0.0792114,-0.0303406,0.109552
41,-1.1139929,-1.0390726,"('unforgiving', 'forgiving')",0.5656621,0.68497276,0.05289594,0.33497292,0.14492586,0.18266149,-0.0876273,0.0408836,-0.1285109
33,1.0924524,1.0828671,"('wrong', 'right')",-0.017647862,-0.13289522,0.24742793,0.024400543,-0.35112637,-0.45157593,0.2427765,0.1306991,0.1120774
42,1.0718987,1.0894367,"('unreliable', 'reliable')",1.8370274,2.0369372,0.15830621,0.30320385,-3.2624385,-2.9075818,-0.0488016,0.1304989,-0.1793005
39,1.0586742,1.0607251,"('exploitative', 'cooperative')",2.0479658,1.9244064,1.5043701,1.5187107,0.19140907,0.13356893,1.2006048,1.1593528,0.041252
49,-1.0578682,-0.9780601,"('unable', 'able')",-1.1570847,-1.068064,-1.2047768,-1.2585502,-0.9566353,-0.9892754,-1.0940913,-1.0734874,-0.0206039
57,-0.9829775,-1.042684,"('unimaginative', 'imaginative')",0.5590034,0.6341434,-0.6920525,-0.5234945,-2.6408887,-2.2796612,-0.9392288,-0.802924,-0.1363048
59,0.98178136,1.0294317,"('foolish', 'wise')",-1.940223,-1.7560722,-0.25510073,-0.18587814,0.33204335,0.30097282,-0.2203747,-0.1528865,-0.0674882
