,northern_male,northern_female,tuple,trust_male,trust_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.4833546,-2.2316582,"('hostile', 'amicable')",-0.37030703,-0.4563997,-1.234879,-1.4042584,-1.3628469,-1.3641054,0.0012585
69,-1.7120019,-1.5750667,"('lazy', 'industrious')",-0.021053888,-0.09710303,-2.0174968,-2.181393,-1.2501842,-1.2845209,0.0343367
5,-1.6672767,-1.4240955,"('distant', 'outgoing')",-0.20894393,-0.16755334,-1.2450566,-1.218062,-1.0404258,-0.9365703,-0.1038555
6,-1.5918322,-1.317534,"('distant', 'open')",-0.010727793,0.03940626,-0.9677055,-0.9149039,-0.8567551,-0.7310105,-0.1257446
49,-1.5214608,-1.2619194,"('unable', 'able')",-0.3963134,-0.5443382,-0.28096715,-0.4516283,-0.7329138,-0.7526286,0.0197148
77,-1.5027671,-1.6437509,"('unmotivated', 'motivated')",-0.0056371614,-0.048656054,-1.0526465,-1.1882137,-0.8536836,-0.9602069,0.1065233
19,-1.4690307,-1.1824881,"('inhospitable', 'hospitable')",-0.90566385,-0.9620627,-0.91170216,-1.1243224,-1.0954656,-1.0896244,-0.0058412
14,1.4561802,1.2424815,"('antisocial', 'social')",1.6355765,1.4923501,0.4616258,0.38785377,1.1844609,1.0408951,0.1435658
16,-1.3638291,-1.3465917,"('unpopular', 'popular')",-1.1732752,-1.3034934,-0.5589472,-0.77675813,-1.0320172,-1.1422811,0.1102639
85,-1.3545848,-1.2214764,"('insignificant', 'prestigious')",-0.7138449,-0.7640353,-1.7895682,-1.7930517,-1.2859993,-1.2595212,-0.0264781
80,1.3389562,1.4941247,"('dominated', 'dominating')",0.003245514,0.23382266,0.17381293,0.22022447,0.5053382,0.6493906,-0.1440524
12,1.3335546,1.3441566,"('unsupportive', 'supportive')",0.88698405,0.95911443,-1.908702,-1.8825427,0.1039455,0.1402428,-0.0362973
31,-1.3241653,-1.0900401,"('evil', 'good')",-0.64861727,-0.61916655,-1.5867025,-1.6026709,-1.186495,-1.1039592,-0.0825358
35,-1.3235102,-1.0669734,"('corrupt', 'incorrupt')",-1.0022676,-0.9876345,-1.20085,-1.2427793,-1.1755426,-1.099129,-0.0764136
65,1.2991004,1.0611291,"('insecure', 'secure')",1.2141734,0.9522167,0.81225824,0.6659064,1.1085107,0.893084,0.2154267
70,1.2801342,1.4541094,"('lethargic', 'energetic')",0.48705226,0.767345,1.0962331,1.1135943,0.9544732,1.1116829,-0.1572097
55,1.2564479,1.0531753,"('incompetent', 'clever')",-0.35092556,-0.30776298,0.8955176,0.8772864,0.6003466,0.5408996,0.059447
10,1.237923,1.1699119,"('unsympathetic', 'sympathetic')",-0.23723245,-0.12168333,0.7522962,0.91277516,0.5843289,0.6536679,-0.069339
4,-1.1907682,-1.0769737,"('disliked', 'liked')",-0.33476862,-0.21504605,-8.156854,-8.201461,-3.2274634,-3.1644936,-0.0629698
7,1.1697366,1.116426,"('insensitive', 'sensitive')",1.1517658,1.1325194,1.3485755,1.3248894,1.2233593,1.1912782,0.0320811
72,1.1639677,1.1161526,"('unambitious', 'ambitious')",0.8679798,0.98825747,0.20541489,0.41770953,0.7457875,0.8407066,-0.0949191
46,1.0924829,1.0588465,"('uncompetitive', 'competitive')",0.13364252,0.19885394,-0.3244991,-0.52495223,0.3005421,0.2442494,0.0562927
50,-1.0353328,-1.0089891,"('clumsy', 'skillful')",-0.42376912,-0.6665887,-0.06234488,-0.31438106,-0.5071489,-0.6633197,0.1561708
26,1.021803,0.92164314,"('hardhearted', 'benevolent')",2.3510432,2.4585087,1.1592455,1.0295256,1.5106972,1.4698925,0.0408047
40,1.0214821,1.1362461,"('stingy', 'generous')",0.36793697,0.5280765,-2.3336473,-2.2497685,-0.3147427,-0.1951486,-0.1195941
56,0.99987364,0.8738984,"('impractical', 'practical')",0.8882288,0.78320396,-0.19084014,-0.23889393,0.5657541,0.4727361,0.093018
