,fiserv_male,fiserv_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.662514,-1.6280878,"('distant', 'open')",-0.03836386,-0.028281461,-0.8504389,-0.8281846,-0.0222543
8,-1.5825381,-1.5327102,"('unaffectionate', 'affectionate')",0.501089,0.66438735,-0.5407246,-0.4341614,-0.1065632
19,-1.5735599,-1.3491716,"('inhospitable', 'hospitable')",-0.034878563,0.08440301,-0.8042192,-0.6323843,-0.1718349
9,-1.5426357,-1.5096257,"('unaffectionate', 'caring')",0.81230915,0.90978616,-0.3651633,-0.2999198,-0.0652435
53,-1.4526234,-1.4905709,"('uncreative', 'creative')",0.7883411,0.8046587,-0.3321411,-0.3429561,0.010815
79,-1.4246669,-1.3991846,"('wavering', 'unwavering')",-0.25135797,-0.16299698,-0.8380125,-0.7810908,-0.0569217
10,-1.3897496,-1.2461795,"('unsympathetic', 'sympathetic')",-0.6898603,-0.5640446,-1.0398049,-0.905112,-0.1346929
82,-1.2790093,-0.80257714,"('poor', 'rich')",5.3037663,5.9732137,2.0123785,2.5853183,-0.5729398
86,-1.2760082,-1.254716,"('uninfluential', 'influential')",-0.018129349,-0.050335295,-0.6470688,-0.6525257,0.0054569
1,-1.2150608,-1.2591945,"('unfriendly', 'friendly')",1.4638364,1.5811554,0.1243878,0.1609805,-0.0365927
5,-1.2094712,-1.1276278,"('distant', 'outgoing')",-0.44643235,-0.47286335,-0.8279518,-0.8002456,-0.0277062
66,-1.2030025,-1.2137259,"('inactive', 'active')",0.5457588,0.30214578,-0.3286218,-0.4557901,0.1271683
36,-1.1593091,-1.4052595,"('hostile', 'amicable')",0.4114695,0.18063156,-0.3739198,-0.612314,0.2383942
38,-1.13776,-0.92234194,"('untruthful', 'truthful')",-0.40991095,-0.16407153,-0.7738355,-0.5432068,-0.2306287
67,0.9995673,1.1616552,"('doubtful', 'determined')",-0.7046645,-0.46878678,0.1474514,0.3464342,-0.1989828
12,-0.9594734,-0.9275824,"('unsupportive', 'supportive')",-1.4889121,-1.5486313,-1.2241927,-1.2381068,0.0139141
39,0.9489289,0.77957696,"('exploitative', 'cooperative')",0.28938568,0.19497274,0.6191573,0.4872749,0.1318824
30,0.94710124,1.1618054,"('intolerant', 'tolerant')",1.102883,1.2917371,1.0249921,1.2267712,-0.2017791
24,-0.93251157,-0.65620214,"('dishonest', 'honest')",0.32144463,0.6698547,-0.3055335,0.0068263,-0.3123598
43,-0.89959186,-0.6091615,"('irresponsible', 'responsible')",0.29827863,0.5299058,-0.3006566,-0.0396279,-0.2610287
23,-0.88660437,-0.7581154,"('insincere', 'sincere')",4.8306494,5.195274,1.9720225,2.2185793,-0.2465568
57,-0.8685689,-0.9799066,"('unimaginative', 'imaginative')",-2.1750805,-2.2732158,-1.5218247,-1.6265612,0.1047365
84,0.8340847,0.733299,"('inferior', 'superior')",1.104229,1.1050261,0.9691569,0.9191626,0.0499943
0,-0.8088584,-0.77522033,"('unsociable', 'sociable')",-0.16615316,-0.24024846,-0.4875058,-0.5077344,0.0202286
63,-0.79149055,-0.7350981,"('unperceptive', 'insightful')",1.1698934,1.2462549,0.1892014,0.2555784,-0.066377
11,-0.7855168,-0.64276195,"('unhelpful', 'helpful')",1.454335,1.7469546,0.3344091,0.5520963,-0.2176872
31,-0.78272235,-1.0009868,"('evil', 'good')",-0.87404114,-1.1196986,-0.8283818,-1.0603428,0.231961
73,0.7436117,0.7172066,"('helpless', 'self-reliant')",-2.7086887,-2.6677117,-0.9825385,-0.9752526,-0.0072859
45,-0.7261959,-0.3612058,"('incompetent', 'competent')",-0.44700754,-0.14870754,-0.5866017,-0.2549567,-0.331645
60,0.7088852,1.023866,"('inefficient', 'efficient')",-0.009287757,0.27185866,0.3497987,0.6478624,-0.2980637
72,-0.6917966,-0.555116,"('unambitious', 'ambitious')",-1.378042,-1.0933717,-1.0349193,-0.8242439,-0.2106754
51,-0.6064489,-0.499139,"('uneducated', 'educated')",0.747169,0.7935684,0.0703601,0.1472147,-0.0768546
16,-0.59412396,-0.61889887,"('unpopular', 'popular')",0.47890982,0.4118619,-0.0576071,-0.1035185,0.0459114
88,-0.5748028,-0.61687,"('low', 'eminent')",0.19883958,0.30997536,-0.1879816,-0.1534473,-0.0345343
27,-0.5721635,-0.60342765,"('hardhearted', 'softhearted')",1.2693717,1.1159449,0.3486041,0.2562586,0.0923455
54,-0.5715021,-0.58776206,"('incapable', 'capable')",0.9756216,1.1888413,0.2020597,0.3005396,-0.0984799
28,-0.55849415,-0.5386041,"('disloyal', 'loyal')",0.71294266,0.94486934,0.0772243,0.2031326,-0.1259083
20,0.55789185,0.3958442,"('rough', 'thoughtful')",1.2087526,1.0501095,0.8833222,0.7229769,0.1603453
69,0.5505028,0.35633656,"('lazy', 'industrious')",-0.3597453,-0.68008053,0.0953787,-0.161872,0.2572507
32,-0.5465714,-0.3828486,"('unkind', 'kind')",0.7918521,0.9244232,0.1226404,0.2707873,-0.1481469
80,0.517156,0.49963772,"('dominated', 'dominating')",-1.2872626,-1.3378351,-0.3850533,-0.4190987,0.0340454
34,-0.49237728,-0.31884712,"('mean', 'honorable')",5.567171,5.80595,2.5373969,2.7435515,-0.2061546
78,-0.47220963,-0.63728267,"('nonresilient', 'resilient')",0.34692383,0.15829849,-0.0626429,-0.2394921,0.1768492
44,0.4718497,0.401785,"('prejudiced', 'unprejudiced')",-1.2485312,-1.3217504,-0.3883408,-0.4599827,0.0716419
29,-0.43482602,-0.4591362,"('unfair', 'fair')",-0.38034457,-0.47231594,-0.4075853,-0.4657261,0.0581408
33,0.43407154,0.3609951,"('wrong', 'right')",-0.7012588,-0.7610142,-0.1335936,-0.2000096,0.066416
58,-0.43195784,-0.55589664,"('undiscriminating', 'discriminating')",0.35335487,0.21715952,-0.0393015,-0.1693686,0.1300671
61,-0.41252622,-0.4331497,"('illogical', 'logical')",0.29993066,0.19894081,-0.0562978,-0.1171044,0.0608066
46,-0.3921218,-0.24913117,"('uncompetitive', 'competitive')",-0.4064055,-0.3146419,-0.3992637,-0.2818865,-0.1173772
77,0.36821467,0.25024015,"('unmotivated', 'motivated')",-1.0373422,-1.1519368,-0.3345638,-0.4508483,0.1162845
17,-0.367329,-0.36511835,"('nasty', 'nice')",-0.6489247,-0.71535254,-0.5081269,-0.5402355,0.0321086
81,0.34249046,0.57258314,"('submissive', 'aggressive')",-0.74945796,-0.4516648,-0.2034837,0.0604592,-0.2639429
85,-0.3372557,-0.61506,"('insignificant', 'prestigious')",0.9892848,0.8420807,0.3260146,0.1135104,0.2125042
18,-0.31982654,-0.3381435,"('disagreeable', 'welcoming')",-0.34334287,-0.41987026,-0.3315847,-0.3790069,0.0474222
41,-0.3128556,-0.2239956,"('unforgiving', 'forgiving')",0.29046443,0.17842202,-0.0111956,-0.0227868,0.0115912
74,-0.31100893,-0.17271064,"('undedicated', 'dedicated')",0.22996716,0.40248394,-0.0405209,0.1148866,-0.1554075
7,-0.30144024,-0.3729787,"('insensitive', 'sensitive')",0.5216525,0.5375689,0.1101061,0.0822951,0.027811
37,-0.28059334,-0.18404348,"('fake', 'genuine')",0.16082188,0.25421917,-0.0598857,0.0350878,-0.0949735
4,-0.27853918,-0.30022067,"('disliked', 'liked')",-5.5052705,-5.698713,-2.8919048,-2.9994667,0.1075619
70,-0.2724159,-0.24191914,"('lethargic', 'energetic')",0.62473005,0.70181334,0.1761571,0.2299471,-0.05379
52,-0.26856583,-0.51382303,"('irrational', 'rational')",0.42932892,0.27663827,0.0803815,-0.1185924,0.1989739
49,-0.26344523,-0.13392758,"('unable', 'able')",-0.048487887,0.09117002,-0.1559666,-0.0213788,-0.1345878
68,-0.2570071,-0.21666677,"('dependent', 'independent')",-0.20492017,-0.34741732,-0.2309636,-0.2820421,0.0510785
62,0.2552004,0.5728854,"('incompetent', 'brilliant')",-0.17524938,0.2430948,0.0399755,0.4079901,-0.3680146
64,0.2371328,0.16551036,"('shy', 'confident')",-5.60182,-5.822726,-2.6823435,-2.8286078,0.1462643
83,0.23298444,0.24897698,"('powerless', 'powerful')",-0.95378846,-0.93185514,-0.360402,-0.3414391,-0.0189629
87,-0.22143675,-0.20696965,"('unsuccessful', 'successful')",0.90320575,0.81561273,0.3408845,0.3043215,0.036563
2,0.22131737,0.5086044,"('unlikable', 'likable')",0.66394466,0.84796995,0.442631,0.6782871,-0.2356561
76,-0.21808401,-0.1196955,"('anxious', 'daring')",-0.018023808,0.2271575,-0.1180539,0.053731,-0.1717849
21,0.18872324,0.3184827,"('immoral', 'moral')",-0.4280765,-0.42004645,-0.1196766,-0.0507819,-0.0688947
71,-0.18334955,-0.3387215,"('diffident', 'self-confident')",0.6638023,0.4902416,0.2402264,0.07576,0.1644664
42,-0.16975993,-0.0069352845,"('unreliable', 'reliable')",-2.8711116,-2.7100646,-1.5204358,-1.3585,-0.1619358
59,0.16668011,0.008656509,"('foolish', 'wise')",0.43793294,0.45806953,0.3023065,0.233363,0.0689435
65,-0.1517191,0.013636344,"('insecure', 'secure')",-0.40911663,-0.20328957,-0.2804179,-0.0948266,-0.1855913
