,lumen_male,lumen_female,tuple,techologies_male,techologies_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.0825963,-2.2335677,"('evil', 'good')",-1.7048733,-2.2306051,-1.1790078,-1.2949553,-1.6554925,-1.9197094,0.2642169
6,-2.013004,-1.8792734,"('distant', 'open')",-1.4498645,-1.7426158,0.022599392,-0.018750587,-1.1467564,-1.2135466,0.0667902
36,-1.8116024,-1.9042009,"('hostile', 'amicable')",-1.7052523,-2.460344,-0.36744884,-0.68423903,-1.2947679,-1.6829279,0.38816
19,-1.7004231,-1.6758547,"('inhospitable', 'hospitable')",-1.5669947,-1.6523173,-0.19870397,-0.37351888,-1.155374,-1.233897,0.078523
5,-1.6862314,-1.6577693,"('distant', 'outgoing')",-1.3274287,-1.5587599,-0.18155693,-0.1344217,-1.0650723,-1.1169837,0.0519114
1,-1.6283295,-1.5195024,"('unfriendly', 'friendly')",-1.2239585,-1.4639852,1.3853455,1.0440606,-0.4889808,-0.6464757,0.1574949
79,-1.586559,-1.5474144,"('wavering', 'unwavering')",-1.6950953,-1.984754,-0.27086076,-0.22026435,-1.1841717,-1.2508109,0.0666392
60,1.5410558,1.4063568,"('inefficient', 'efficient')",2.3463066,3.0404563,0.6333876,0.6592083,1.5069167,1.7020071,-0.1950904
85,-1.5080409,-1.5775341,"('insignificant', 'prestigious')",-1.2988788,-2.128077,0.33517396,-0.19127855,-0.8239152,-1.2989632,0.475048
78,-1.4487377,-0.8789009,"('nonresilient', 'resilient')",-0.34391633,0.43241483,0.27126494,0.7310643,-0.5071297,0.0948594,-0.6019891
9,-1.4429183,-1.436815,"('unaffectionate', 'caring')",-1.4762828,-1.457518,0.7926039,0.58812606,-0.7088657,-0.7687356,0.0598699
2,1.2451717,1.0590926,"('unlikable', 'likable')",0.34548405,0.16326843,0.5593808,0.4055853,0.7166789,0.5426488,0.1740301
65,1.2070695,0.9655702,"('insecure', 'secure')",0.8135592,1.1393147,-0.011682095,0.10547452,0.6696489,0.7367864,-0.0671375
38,-1.2018548,-1.2032559,"('untruthful', 'truthful')",-0.52485764,-0.5395661,0.27506688,0.22441278,-0.4838819,-0.5061364,0.0222545
66,-1.1804779,-1.0921108,"('inactive', 'active')",-0.7942162,-0.6508572,0.5119883,0.45696056,-0.4875686,-0.4286691,-0.0588995
53,-1.121853,-0.9042152,"('uncreative', 'creative')",-0.53132325,-0.3594554,0.8347915,0.8639911,-0.2727949,-0.1332265,-0.1395684
8,-1.0915546,-1.1118491,"('unaffectionate', 'affectionate')",-2.089614,-2.346878,0.19537725,-0.20919266,-0.9952637,-1.22264,0.2273763
57,-1.0591296,-0.96767086,"('unimaginative', 'imaginative')",0.42144647,0.6908099,-2.3225145,-2.3888817,-0.9867326,-0.8885809,-0.0981517
56,1.0418284,0.7793771,"('impractical', 'practical')",1.0569952,1.6390493,0.03715811,0.15228948,0.7119939,0.8569053,-0.1449114
76,1.0367179,1.1987965,"('anxious', 'daring')",1.0989493,1.5571334,0.83744526,0.89388835,0.9910375,1.2166061,-0.2255686
39,1.0284352,0.84324896,"('exploitative', 'cooperative')",0.6700825,0.6808852,0.3880943,0.28692734,0.6955374,0.6036872,0.0918502
55,0.98431784,1.2698723,"('incompetent', 'clever')",0.961951,1.6286443,0.47496992,0.35554463,0.8070796,1.0846871,-0.2776075
16,-0.9788227,-0.86910343,"('unpopular', 'popular')",-0.8949249,-1.1572053,0.4561043,0.49266687,-0.4725478,-0.511214,0.0386662
4,-0.94908994,-0.9435173,"('disliked', 'liked')",-0.49771854,-0.60129106,-5.7331553,-5.570463,-2.3933212,-2.3717572,-0.021564
86,-0.9461288,-0.90187657,"('uninfluential', 'influential')",-0.63981664,-0.3160325,-0.16972303,-0.22980325,-0.5852228,-0.4825708,-0.102652
14,0.9047017,0.69916195,"('antisocial', 'social')",1.6464767,2.1015248,-0.26127806,-0.18666431,0.7633001,0.8713408,-0.1080407
27,-0.88084847,-0.66502476,"('hardhearted', 'softhearted')",-0.38814464,-0.06578973,1.3407499,1.1909887,0.0239189,0.1533914,-0.1294725
67,0.87554836,0.7239019,"('doubtful', 'determined')",1.256923,1.0988603,-0.25081682,-0.40970004,0.6272182,0.4710207,0.1561975
52,-0.8466472,-0.9662233,"('irrational', 'rational')",-0.88548374,-1.4181767,-0.6704621,-0.9102828,-0.8008644,-1.0982276,0.2973632
30,0.82900673,0.38371372,"('intolerant', 'tolerant')",1.3900815,1.4990132,1.5914847,1.2621596,1.270191,1.0482955,0.2218955
80,0.78167206,0.9445449,"('dominated', 'dominating')",0.82202446,1.4832492,-1.0174819,-0.8926182,0.1954049,0.5117253,-0.3163204
63,-0.771783,-0.6498167,"('unperceptive', 'insightful')",0.31575185,0.66453767,1.1838309,1.3818357,0.2425999,0.4655189,-0.222919
44,0.7697568,0.62727386,"('prejudiced', 'unprejudiced')",0.96391976,0.71935475,-1.1677198,-1.3103937,0.1886522,0.0120783,0.1765739
77,-0.74343824,-0.45984554,"('unmotivated', 'motivated')",0.4153526,0.9053837,-0.8597732,-0.5285272,-0.3959529,-0.027663,-0.3682899
62,0.73960865,0.94621605,"('incompetent', 'brilliant')",0.9923215,1.491816,0.34584677,0.62455344,0.6925923,1.0208619,-0.3282696
88,-0.6917695,-0.9699557,"('low', 'eminent')",0.14971742,-0.16390619,0.47935432,0.041093923,-0.0208992,-0.364256,0.3433568
10,-0.6855277,-0.53093886,"('unsympathetic', 'sympathetic')",-0.957018,-0.061672304,-0.039833713,-0.06522208,-0.5607931,-0.2192778,-0.3415153
54,-0.6770227,-0.58846414,"('incapable', 'capable')",-0.5441542,-0.5712173,0.8421494,0.8927161,-0.1263425,-0.0889884,-0.0373541
83,-0.66416115,-0.37902188,"('powerless', 'powerful')",-0.4648899,-0.19280978,-1.3180804,-1.2892878,-0.8157105,-0.6203732,-0.1953373
0,-0.6549516,-0.7598585,"('unsociable', 'sociable')",0.6450363,1.2972496,-0.0328787,-0.22931245,-0.0142647,0.1026929,-0.1169576
73,0.6480871,0.6893797,"('helpless', 'self-reliant')",0.3860208,0.22627322,-3.1444345,-3.1574976,-0.7034422,-0.7472816,0.0438394
81,0.60155064,0.3791276,"('submissive', 'aggressive')",1.6250498,2.1378152,0.06623298,0.17823914,0.7642778,0.8983939,-0.1341161
21,0.58832127,0.49147615,"('immoral', 'moral')",0.76705796,1.3617017,-0.2063609,-0.2029398,0.3830061,0.5500794,-0.1670733
51,-0.5840968,-0.5431772,"('uneducated', 'educated')",0.13828345,0.6823729,0.5423304,0.4082799,0.0321723,0.1824919,-0.1503196
71,-0.5813541,-0.5223645,"('diffident', 'self-confident')",0.59892124,0.6771735,0.10401857,0.08509189,0.0405286,0.079967,-0.0394384
13,0.5705702,0.1692933,"('impolite', 'polite')",0.8266315,1.0698816,0.26130784,0.1898776,0.5528365,0.4763508,0.0764857
37,0.55397046,0.55725056,"('fake', 'genuine')",-0.4771447,-0.23839918,0.26666033,0.13649096,0.1144954,0.1517808,-0.0372854
61,-0.5538034,-0.5735922,"('illogical', 'logical')",0.1904559,0.29792756,-0.0068215057,-0.103975564,-0.1233897,-0.1265467,0.003157
64,0.50457925,0.24067885,"('shy', 'confident')",0.66766346,0.84955156,-6.063503,-5.624307,-1.63042,-1.5113589,-0.1190611
58,-0.49865368,-0.32787496,"('undiscriminating', 'discriminating')",-0.28345364,-0.35758394,-0.23426002,-0.39781877,-0.3387891,-0.3610926,0.0223035
