,t_male,t_female,tuple,rowe_male,rowe_female,price_male,price_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
21,2.5540094,2.4352355,"('immoral', 'moral')",3.2251842,3.0900702,1.6691508,1.8286469,0.3730972,0.4740979,-0.7269148,-0.54982626,1.4189054,1.4556448,-0.0367394
46,2.02079,1.6314397,"('uncompetitive', 'competitive')",2.3612933,2.1578894,1.3026617,1.2808179,1.8961198,1.5079839,-0.017461104,0.1024614,1.5126807,1.3361184,0.1765623
35,-1.9856998,-1.4118444,"('corrupt', 'incorrupt')",-3.9491897,-3.8695145,-1.3425919,-1.4690791,-2.273388,-1.9589125,-0.82387704,-0.8942067,-2.0749493,-1.9207115,-0.1542378
51,1.8573815,1.7873923,"('uneducated', 'educated')",1.8886242,1.9204776,0.65036386,0.998497,0.043796517,0.17790134,0.8933488,1.0038519,1.0667029,1.177624,-0.1109211
80,1.825207,1.5268837,"('dominated', 'dominating')",2.9413755,2.9383144,-0.019715328,0.0024722815,1.0928942,0.89945537,-0.9980575,-0.91839933,0.9683408,0.8897453,0.0785955
14,1.7181271,1.5273649,"('antisocial', 'social')",2.3556814,2.306183,1.884005,2.116272,1.2805609,1.2621826,-0.7409025,-0.5146321,1.2994945,1.3394741,-0.0399796
87,1.6475611,1.3203566,"('unsuccessful', 'successful')",0.81808645,0.7015983,0.53079736,0.4005679,1.457334,1.195629,1.0033439,0.75269604,1.0914246,0.8741696,0.217255
81,1.5883157,1.498609,"('submissive', 'aggressive')",2.9098291,2.9906204,0.5087577,0.9274587,1.3419365,1.4677762,-0.62200236,-0.4752592,1.1453674,1.281841,-0.1364736
31,-1.5617131,-1.2403189,"('evil', 'good')",-3.8275292,-3.7371316,-1.3882624,-1.5051498,-1.714959,-1.5909938,-1.5173314,-1.9086449,-2.0019588,-1.9964478,-0.005511
13,1.5575794,1.2637057,"('impolite', 'polite')",3.24206,3.1049845,1.381953,1.5123564,0.830193,0.7201043,0.20104851,0.37248483,1.4425667,1.3947271,0.0478396
36,-1.5184658,-1.0153286,"('hostile', 'amicable')",-3.231325,-3.0389707,-1.0561527,-0.940074,-1.636767,-1.6109169,-0.49778816,-0.5156457,-1.5880997,-1.4241872,-0.1639125
8,-1.4940641,-1.4313065,"('unaffectionate', 'affectionate')",-1.7916123,-1.6226941,-0.24426025,-0.09575327,-0.011661112,-0.13458468,0.28857434,0.09338692,-0.6506047,-0.6381903,-0.0124144
55,1.3946286,1.0704695,"('incompetent', 'clever')",3.5006695,3.3736796,1.2578415,1.494046,0.849195,0.68504596,-0.18118015,-0.07515162,1.3642309,1.309618,0.0546129
6,-1.3765774,-1.2757282,"('distant', 'open')",-3.1132681,-2.9676726,-1.6998724,-1.9192876,-1.8817135,-1.8988279,0.032744333,-0.233964,-1.6077374,-1.659096,0.0513586
26,-1.3339722,-1.2314832,"('hardhearted', 'benevolent')",-0.7161172,-0.6265508,0.22984464,0.15441212,0.981366,1.0390531,1.3479469,1.3892813,0.1018136,0.1449425,-0.0431289
62,1.2687874,0.48971736,"('incompetent', 'brilliant')",1.4028893,1.162095,1.0997531,0.97436744,0.74754083,0.5061347,0.32899562,0.20063692,0.9695932,0.6665903,0.3030029
88,-1.1950731,-1.0970869,"('low', 'eminent')",-0.38527957,-0.423871,-1.7247739,-1.589721,-1.2000922,-1.1006159,0.08117871,0.114361264,-0.8848081,-0.8193867,-0.0654214
5,-1.1794634,-0.9454365,"('distant', 'outgoing')",-3.5627477,-3.4159918,-1.7102749,-1.8425289,-1.6672313,-1.5611857,-0.22852603,-0.5369553,-1.6696487,-1.6604197,-0.009229
60,1.1644951,0.6322985,"('inefficient', 'efficient')",3.4917953,3.2727358,1.085885,1.1528922,1.5717905,1.4141926,0.16756865,0.4378789,1.4963069,1.3819997,0.1143072
70,1.1437496,0.8223831,"('lethargic', 'energetic')",2.9624119,2.943794,0.6820401,0.69500697,1.0549269,1.0685829,1.2281383,1.1958325,1.4142534,1.3451199,0.0691335
63,1.1205139,0.7856665,"('unperceptive', 'insightful')",0.9838879,0.99504554,1.2058057,1.1665139,1.8186266,1.5324091,1.5925066,1.592333,1.344268,1.2143936,0.1298744
18,-1.0825206,-0.84998405,"('disagreeable', 'welcoming')",-0.2946921,-0.3720402,-1.0788555,-0.8386327,-0.78646505,-0.46580306,-0.7497041,-0.70650244,-0.7984475,-0.6465925,-0.151855
1,-1.059372,-1.3182662,"('unfriendly', 'friendly')",-2.6914995,-2.7835827,-0.49468276,-0.79889816,-0.31157872,-0.7125483,1.5245849,1.0205381,-0.6065096,-0.9185514,0.3120418
22,1.0562077,0.957907,"('untrustworthy', 'trustworthy')",0.5156978,0.5242017,0.2759754,0.32850742,0.46300736,0.4941652,-1.1005913,-1.1106162,0.2420594,0.238833,0.0032264
61,1.049244,0.6859953,"('illogical', 'logical')",0.42183784,0.13492344,0.79149514,0.571481,-0.1952534,-0.27903265,0.11407998,0.2224409,0.4362807,0.2671616,0.1691191
25,-1.0334781,-0.93007696,"('egoistic', 'altruistic')",-1.188181,-1.117527,0.21743545,0.099019475,-0.46717316,-0.6229037,0.9610695,0.64312494,-0.3020655,-0.3856727,0.0836072
78,0.9938125,0.85134447,"('nonresilient', 'resilient')",0.2912893,0.28733066,0.8097909,0.6199255,1.7733972,1.2199954,1.1486748,1.0139877,1.003393,0.7985168,0.2048762
49,-0.98127913,-1.1084485,"('unable', 'able')",-0.35154533,-0.4562882,-0.40388334,-0.30644232,-0.9379488,-0.7919652,-0.31104475,-0.40156668,-0.5971403,-0.6129422,0.0158019
74,0.98099756,0.58768195,"('undedicated', 'dedicated')",0.32060307,0.16522059,0.52209324,0.48270008,0.8967123,0.9541948,0.11754677,0.21532449,0.5675906,0.4810244,0.0865662
64,0.9542766,0.8841618,"('shy', 'confident')",0.6048746,0.6154522,0.5890327,0.7989339,0.81842756,0.909882,-6.093371,-6.029973,-0.6253519,-0.5643086,-0.0610433
42,0.90082264,1.0277495,"('unreliable', 'reliable')",1.1438969,1.2136283,0.51059246,0.74265724,1.2151735,1.3231875,-2.4922254,-2.7844658,0.255652,0.3045513,-0.0488993
44,-0.86564744,-0.6024753,"('prejudiced', 'unprejudiced')",-1.1670092,-0.9719551,-1.3833412,-1.2021457,-0.650118,-0.38541695,-1.6811901,-1.5301871,-1.1494612,-0.938436,-0.2110252
2,0.8585772,0.64950824,"('unlikable', 'likable')",-0.028635263,-0.28568715,1.4482976,1.5483425,1.3210124,1.1582696,0.32707655,0.2699003,0.7852656,0.6680667,0.1171989
48,-0.8435286,-1.0608668,"('unintelligent', 'intelligent')",1.3700184,1.2090502,0.49752963,0.78584707,-0.43488818,-0.4334509,0.26870993,0.31198767,0.1715682,0.1625134,0.0090548
3,0.8045539,0.41800395,"('repellent', 'pleasant')",1.5189171,1.3318422,-0.036299292,-0.43008873,0.47660333,0.1208854,0.079728,0.0108257495,0.5687006,0.2902937,0.2784069
