,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
15,1.5557398,1.2776082,"('boring', 'funny')",1.3986294,1.1270847,1.4771845,1.2023464,0.2748381
18,-1.536584,-1.2260144,"('disagreeable', 'welcoming')",0.12228147,0.5274744,-0.7071513,-0.34927,-0.3578813
81,-1.3362371,-1.8232771,"('submissive', 'aggressive')",-0.76432776,-0.8172035,-1.0502825,-1.3202403,0.2699578
38,-1.3250699,-1.3281411,"('untruthful', 'truthful')",-1.2844801,-0.9632767,-1.304775,-1.1457089,-0.1590661
29,1.2738357,1.3292986,"('unfair', 'fair')",0.19695061,0.27807862,0.7353932,0.8036886,-0.0682954
70,-1.2700745,-1.5985231,"('lethargic', 'energetic')",-1.3117948,-1.1330429,-1.2909346,-1.365783,0.0748484
26,1.2620255,0.92239904,"('hardhearted', 'benevolent')",1.4440081,0.8390037,1.3530169,0.8807014,0.4723155
39,1.1928606,1.138536,"('exploitative', 'cooperative')",-0.87489593,-0.6475091,0.1589823,0.2455134,-0.0865311
85,1.1843544,1.2550123,"('insignificant', 'prestigious')",1.2688736,1.185289,1.226614,1.2201507,0.0064633
53,1.1758642,1.46072,"('uncreative', 'creative')",-0.60883474,-0.46658763,0.2835147,0.4970661,-0.2135514
2,1.1330417,1.3529205,"('unlikable', 'likable')",1.1838286,1.4661621,1.1584351,1.4095414,-0.2511063
68,-1.0729241,-1.1073091,"('dependent', 'independent')",-1.010972,-0.71794647,-1.0419481,-0.9126278,-0.1293203
10,-1.0630933,-1.4590857,"('unsympathetic', 'sympathetic')",-2.12088,-2.1645079,-1.5919867,-1.8117968,0.2198101
67,-1.0152769,-0.9107287,"('doubtful', 'determined')",-0.5656574,-0.49362987,-0.7904671,-0.7021793,-0.0882878
35,-0.95945185,-0.701866,"('corrupt', 'incorrupt')",0.84033513,0.74659836,-0.0595584,0.0223662,-0.0819246
69,0.94453883,1.1868916,"('lazy', 'industrious')",1.56354,1.2320212,1.2540394,1.2094564,0.044583
56,0.94363457,0.8018074,"('impractical', 'practical')",-1.6183784,-1.5278318,-0.3373719,-0.3630122,0.0256403
47,-0.9303169,-1.0023268,"('stupid', 'smart')",-0.93794775,-0.918985,-0.9341323,-0.9606559,0.0265236
46,-0.92291176,-1.2284096,"('uncompetitive', 'competitive')",-1.3597395,-1.3237656,-1.1413257,-1.2760876,0.1347619
62,0.9181285,0.77603275,"('incompetent', 'brilliant')",-1.6965386,-1.2169508,-0.389205,-0.220459,-0.168746
61,0.8927925,0.7724505,"('illogical', 'logical')",-0.23554806,-0.1098066,0.3286222,0.331322,-0.0026998
13,-0.8594817,-0.99069166,"('impolite', 'polite')",-2.2473676,-1.9447716,-1.5534246,-1.4677317,-0.0856929
3,-0.8416222,-0.77622503,"('repellent', 'pleasant')",-1.4524219,-1.3503371,-1.147022,-1.0632811,-0.0837409
64,-0.8120888,-0.75454247,"('shy', 'confident')",-0.49130082,-0.3650683,-0.6516948,-0.5598054,-0.0918894
33,0.8001392,0.9977228,"('wrong', 'right')",0.8491164,0.91578233,0.8246278,0.9567525,-0.1321247
9,0.7929437,0.6453495,"('unaffectionate', 'caring')",-0.49559775,-0.47308633,0.148673,0.0861316,0.0625414
17,-0.78466946,-0.97094953,"('nasty', 'nice')",-0.61861837,-0.83314025,-0.7016439,-0.9020449,0.200401
40,-0.7741937,-0.60768306,"('stingy', 'generous')",-1.0689261,-0.7679754,-0.9215599,-0.6878293,-0.2337306
51,-0.76063997,-0.8547514,"('uneducated', 'educated')",-0.81236947,-0.41957876,-0.7865047,-0.6371651,-0.1493396
82,-0.73371786,-0.549328,"('poor', 'rich')",-0.6597432,-0.26909003,-0.6967305,-0.409209,-0.2875215
28,-0.7009813,-1.0930337,"('disloyal', 'loyal')",-1.2145056,-1.5169721,-0.9577434,-1.3050029,0.3472595
1,0.6830764,0.64686996,"('unfriendly', 'friendly')",-0.420393,-0.44071418,0.1313417,0.1030779,0.0282638
73,0.653882,0.9702967,"('helpless', 'self-reliant')",0.6265863,0.7855522,0.6402342,0.8779244,-0.2376902
88,-0.648543,-0.93360496,"('low', 'eminent')",-0.22605053,-0.25573772,-0.4372967,-0.5946714,0.1573747
21,0.64022046,0.68791366,"('immoral', 'moral')",-0.45141816,-0.3097381,0.0944012,0.1890878,-0.0946866
77,0.6342878,0.7052176,"('unmotivated', 'motivated')",-0.69468266,-0.7574934,-0.0301974,-0.0261379,-0.0040595
41,-0.62960994,-0.6649326,"('unforgiving', 'forgiving')",-1.4947261,-1.3079429,-1.062168,-0.9864377,-0.0757303
49,-0.62845993,-0.7434135,"('unable', 'able')",-1.1299419,-0.9075525,-0.8792009,-0.825483,-0.0537179
14,0.62536985,0.30494156,"('antisocial', 'social')",-0.6337051,-0.88957477,-0.0041676,-0.2923166,0.288149
0,-0.61737716,-0.84721386,"('unsociable', 'sociable')",-1.9028311,-1.938634,-1.2601042,-1.392924,0.1328198
84,0.6147218,0.6605631,"('inferior', 'superior')",-0.20318899,-0.17573419,0.2057664,0.2424145,-0.0366481
58,0.59101784,0.16232237,"('undiscriminating', 'discriminating')",0.46346396,0.121596195,0.5272409,0.1419593,0.3852816
76,0.5839004,0.5285319,"('anxious', 'daring')",0.13596912,0.38826495,0.3599347,0.4583984,-0.0984637
48,0.58373785,0.1930465,"('unintelligent', 'intelligent')",-1.2032499,-1.2631481,-0.309756,-0.5350508,0.2252948
25,0.57479256,0.9733688,"('egoistic', 'altruistic')",0.5934783,0.6359985,0.5841354,0.8046837,-0.2205483
63,-0.57110107,-0.6581087,"('unperceptive', 'insightful')",-0.6240439,-0.36361578,-0.5975724,-0.5108622,-0.0867102
72,0.5536184,0.69318104,"('unambitious', 'ambitious')",-1.2342744,-1.0388379,-0.340328,-0.1728284,-0.1674996
80,0.52559173,0.2988003,"('dominated', 'dominating')",-0.7013179,-0.72164494,-0.0878631,-0.2114223,0.1235592
11,-0.47635114,-0.9535946,"('unhelpful', 'helpful')",-2.0886707,-2.033155,-1.282511,-1.4933748,0.2108638
83,0.42528918,0.38505813,"('powerless', 'powerful')",-0.9419059,-0.9124808,-0.2583084,-0.2637113,0.0054029
42,0.42444283,0.4126043,"('unreliable', 'reliable')",0.8002805,0.85310125,0.6123617,0.6328528,-0.0204911
60,0.42105788,0.3237504,"('inefficient', 'efficient')",-1.9378469,-1.5977576,-0.7583945,-0.6370036,-0.1213909
86,-0.41826898,-0.6451651,"('uninfluential', 'influential')",-1.7814362,-1.9474756,-1.0998526,-1.2963203,0.1964677
37,0.41728523,0.42082033,"('fake', 'genuine')",-0.4547951,-0.41037858,-0.0187549,0.0052209,-0.0239758
78,-0.4120295,-0.40935045,"('nonresilient', 'resilient')",-0.62851185,-0.57045275,-0.5202707,-0.4899016,-0.0303691
16,-0.41188157,-0.26271558,"('unpopular', 'popular')",0.12255327,0.36822936,-0.1446642,0.0527569,-0.1974211
55,0.38531432,0.006485533,"('incompetent', 'clever')",-1.4160397,-1.4016187,-0.5153627,-0.6975666,0.1822039
52,0.38382816,0.4774493,"('irrational', 'rational')",0.80689335,0.7483837,0.5953608,0.6129165,-0.0175557
87,0.3744284,0.15518726,"('unsuccessful', 'successful')",0.84208906,0.8496095,0.6082587,0.5023984,0.1058603
75,-0.37345427,-0.2314781,"('meek', 'impulsive')",0.18901902,0.39275616,-0.0922176,0.080639,-0.1728566
71,0.3701424,0.40262917,"('diffident', 'self-confident')",-0.6991857,-0.7209095,-0.1645217,-0.1591402,-0.0053815
6,0.34402552,0.59861857,"('distant', 'open')",1.3048509,1.419061,0.8244382,1.0088397,-0.1844015
27,0.3420653,0.42324954,"('hardhearted', 'softhearted')",-1.5456711,-1.4420624,-0.6018029,-0.5094064,-0.0923965
50,-0.32792062,-0.27803046,"('clumsy', 'skillful')",0.9653186,1.0309521,0.318699,0.3764608,-0.0577618
34,-0.3251434,-0.21881364,"('mean', 'honorable')",-0.54485554,-0.56613535,-0.4349995,-0.3924745,-0.042525
54,0.32504445,0.14154562,"('incapable', 'capable')",-0.0018250197,0.09098426,0.1616097,0.1162649,0.0453448
12,0.30411357,0.17827962,"('unsupportive', 'supportive')",-1.0382073,-0.75547457,-0.3670469,-0.2885975,-0.0784494
32,0.28904235,0.2806355,"('unkind', 'kind')",-0.7250754,-0.35033074,-0.2180165,-0.0348476,-0.1831689
59,0.27954164,0.5466377,"('foolish', 'wise')",0.7541427,0.9221145,0.5168422,0.7343761,-0.2175339
8,-0.19319704,-0.34853858,"('unaffectionate', 'affectionate')",-0.15868892,-0.18741362,-0.175943,-0.2679761,0.0920331
45,0.15704197,-0.22258367,"('incompetent', 'competent')",-1.9086119,-1.9876959,-0.875785,-1.1051399,0.2293549
24,0.1539192,0.12852682,"('dishonest', 'honest')",-1.0787959,-0.83359367,-0.4624383,-0.3525334,-0.1099049
74,-0.15379676,-0.3776761,"('undedicated', 'dedicated')",-0.7038966,-0.4508777,-0.4288467,-0.4142769,-0.0145698
20,0.15206973,0.060317986,"('rough', 'thoughtful')",-0.22335899,-0.26386222,-0.0356446,-0.1017721,0.0661275
66,-0.14456742,-0.26964435,"('inactive', 'active')",1.1611663,0.9342228,0.5082995,0.3322892,0.1760103
4,0.13900907,0.2697496,"('disliked', 'liked')",0.31814432,0.3510105,0.2285767,0.31038,-0.0818033
19,0.13564356,0.25528097,"('inhospitable', 'hospitable')",0.2579143,0.33421552,0.1967789,0.2947482,-0.0979693
57,-0.13130121,-0.7569504,"('unimaginative', 'imaginative')",-1.2019668,-1.6038117,-0.666634,-1.1803811,0.5137471
43,-0.12426822,-0.29124457,"('irresponsible', 'responsible')",-2.2767308,-2.1094348,-1.2004995,-1.2003397,-0.0001598
22,-0.08893903,-0.03809513,"('untrustworthy', 'trustworthy')",-0.4443511,-0.29015946,-0.2666451,-0.1641273,-0.1025178
65,-0.08284253,-0.19573069,"('insecure', 'secure')",-0.94310415,-1.0851594,-0.5129733,-0.6404451,0.1274718
23,0.05820276,-0.047280297,"('insincere', 'sincere')",-2.141715,-1.8919927,-1.0417562,-0.9696365,-0.0721197
5,0.054358248,0.28421667,"('distant', 'outgoing')",0.9212216,0.9603284,0.4877899,0.6222726,-0.1344827
79,0.051164426,0.08532137,"('wavering', 'unwavering')",0.7486321,0.70452183,0.3998983,0.3949216,0.0049767
7,-0.048652224,-0.1097267,"('insensitive', 'sensitive')",-1.3705143,-1.2096492,-0.7095832,-0.6596879,-0.0498953
36,-0.043160867,0.13216189,"('hostile', 'amicable')",0.02415669,-0.24570937,-0.0095021,-0.0567737,0.0472716
44,-0.037611343,-0.05546567,"('prejudiced', 'unprejudiced')",0.16010168,0.005286619,0.0612452,-0.0250895,0.0863347
31,0.035970595,0.17200789,"('evil', 'good')",1.2305907,1.0141312,0.6332806,0.5930696,0.040211
30,0.02160386,-0.17367513,"('intolerant', 'tolerant')",-1.2513855,-1.241744,-0.6148908,-0.7077096,0.0928188
