,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,male-female
85,2.7018979,2.2967672,"('insignificant', 'prestigious')",3.1922078,3.0561082,-0.22333081,-0.38468993,1.8902583,1.656062,0.2341963
69,2.4451098,2.2240477,"('lazy', 'industrious')",2.936165,3.0424566,-0.75820494,-0.7747934,1.5410234,1.4972369,0.0437865
26,2.314782,2.1928039,"('hardhearted', 'benevolent')",1.1460483,0.9858129,1.7132528,1.6923043,1.7246943,1.6236404,0.1010539
21,-2.2311647,-2.1330674,"('immoral', 'moral')",-2.3207278,-2.3890376,-0.80017745,-0.7871158,-1.7840233,-1.7697404,-0.0142829
1,2.0519717,1.7987509,"('unfriendly', 'friendly')",0.7787871,0.3535905,1.5653354,1.3214487,1.4653648,1.1579301,0.3074347
70,-2.0393167,-1.8877466,"('lethargic', 'energetic')",-2.5031583,-2.5428758,0.09563757,0.1293424,-1.482279,-1.4337598,-0.0485192
36,1.9574833,1.5591701,"('hostile', 'amicable')",1.9636042,1.7437825,0.27126807,0.025847534,1.3974519,1.1096001,0.2878518
40,1.9228561,1.8902651,"('stingy', 'generous')",0.39064568,0.32976094,-1.7709116,-1.9236842,0.1808634,0.0987806,0.0820828
76,-1.9223213,-1.6615307,"('anxious', 'daring')",-1.4952769,-1.4933103,-0.08251314,0.012952957,-1.1667038,-1.047296,-0.1194078
10,-1.8944057,-1.5722464,"('unsympathetic', 'sympathetic')",-3.1413276,-3.1973815,-0.318905,-0.27999756,-1.7848794,-1.6832085,-0.1016709
81,-1.8406564,-1.5539976,"('submissive', 'aggressive')",-2.3316588,-2.2546837,-0.90647024,-0.7211915,-1.6929285,-1.5099576,-0.1829709
13,-1.8385392,-1.5034671,"('impolite', 'polite')",-2.1108546,-2.006537,-0.36120287,-0.20376498,-1.4368655,-1.237923,-0.1989425
43,-1.6980954,-1.5282197,"('irresponsible', 'responsible')",-2.1277328,-2.2892325,0.2785642,0.34893367,-1.1824213,-1.1561728,-0.0262485
59,1.6708549,1.390787,"('foolish', 'wise')",2.0052993,1.9299523,-0.003787905,-0.10990701,1.224122,1.0702775,0.1538445
55,-1.653219,-1.3463519,"('incompetent', 'clever')",-2.0817015,-2.1007247,0.264808,0.43468243,-1.1567042,-1.0041314,-0.1525728
46,-1.6407549,-1.435784,"('uncompetitive', 'competitive')",-2.1723416,-2.220588,-0.7152925,-0.54808587,-1.509463,-1.4014859,-0.1079771
74,1.6057899,1.5953538,"('undedicated', 'dedicated')",-0.4419598,-0.5271141,0.27315047,0.30467147,0.4789935,0.4576371,0.0213564
33,1.5947202,1.4549773,"('wrong', 'right')",1.4279151,1.3041005,-0.3693133,-0.5481498,0.8844407,0.736976,0.1474647
11,-1.5692269,-1.392375,"('unhelpful', 'helpful')",-2.0540953,-2.096594,1.6503849,1.7441491,-0.6576457,-0.5816067,-0.076039
6,1.5577307,1.3788884,"('distant', 'open')",0.7107461,0.6544434,-0.3516235,-0.55828196,0.6389511,0.4916833,0.1472678
45,-1.5315032,-1.3227048,"('incompetent', 'competent')",-2.2574048,-2.222865,-0.59774077,-0.50992745,-1.4622162,-1.3518324,-0.1103838
44,-1.5268861,-1.472258,"('prejudiced', 'unprejudiced')",-0.51157343,-0.3807686,-1.1015893,-1.0882034,-1.046683,-0.98041,-0.066273
65,-1.524581,-1.1913432,"('insecure', 'secure')",-2.2905474,-2.1756449,0.3194161,0.502489,-1.1652374,-0.954833,-0.2104044
71,1.4956244,1.4748584,"('diffident', 'self-confident')",0.8711218,0.8564746,0.3787304,0.33286342,0.9151588,0.8880654,0.0270934
82,-1.4723184,-1.389566,"('poor', 'rich')",-1.4110284,-1.4284629,5.9242554,5.7804375,1.0136362,0.9874695,0.0261667
39,1.4506252,1.6399343,"('exploitative', 'cooperative')",0.11758024,0.24869083,0.8415761,1.0108596,0.8032605,0.9664949,-0.1632344
53,1.400786,1.3470894,"('uncreative', 'creative')",0.14462383,-0.0014743619,0.70262897,0.6793298,0.7493463,0.6749816,0.0743647
