,express_male,express_female,tuple,scripts_male,scripts_female,holding_male,holding_female,co_male,co_female,average_male,average_female,male-female
15,1.8558464,1.5141906,"('boring', 'funny')",2.576918,2.1810303,0.63861156,0.34812704,0.5842653,0.46551916,1.4139103,1.1272167,0.2866936
56,1.722585,2.5133657,"('impractical', 'practical')",1.7654189,2.044313,1.0668176,1.1797293,-0.09434616,-0.06253135,1.1151189,1.4187192,-0.3036003
78,-1.7170067,-1.3117442,"('nonresilient', 'resilient')",-0.74325126,-0.6625458,-0.8298191,-0.7500112,-0.5116566,-0.64464426,-0.9504334,-0.8422364,-0.108197
16,-1.6197919,-2.343286,"('unpopular', 'popular')",-0.8842505,-1.1853548,-0.99800694,-1.1969731,0.19862184,0.06619209,-0.8258569,-1.1648554,0.3389985
31,-1.4683567,-2.9035935,"('evil', 'good')",-0.9589914,-1.4853407,-0.95118254,-1.2581216,-0.963702,-1.1721462,-1.0855582,-1.7048005,0.6192423
52,-1.3708935,-2.439165,"('irrational', 'rational')",0.2952972,-0.07249823,-0.27757126,-0.66266334,-0.48009482,-0.47484407,-0.4583156,-0.9122927,0.4539771
39,1.2822888,1.5330988,"('exploitative', 'cooperative')",0.32155642,0.5763396,0.39087656,0.19633004,0.7607374,0.636081,0.6888648,0.7354624,-0.0465976
59,-1.2251085,-2.2092838,"('foolish', 'wise')",-0.20994203,-0.62119305,-0.22079495,-0.38364226,-0.1109362,0.015714986,-0.4416954,-0.799601,0.3579056
24,1.1980313,1.7249926,"('dishonest', 'honest')",0.7623323,0.7628272,-0.22639997,-0.38544926,0.8373952,0.91523427,0.6428397,0.7544013,-0.1115616
50,-1.1726296,-1.5554501,"('clumsy', 'skillful')",-1.47608,-1.5432819,-0.57906747,-0.71675193,-0.40984926,-0.5255721,-0.9094065,-1.0852641,0.1758576
30,1.1596595,1.8413956,"('intolerant', 'tolerant')",1.0725313,1.4048884,0.7212451,0.8601355,0.39219308,0.3650831,0.8364072,1.1178757,-0.2814685
13,1.0747787,1.8892769,"('impolite', 'polite')",0.37915108,0.7276532,-0.06540511,0.21366453,-0.3835038,-0.23834279,0.2512552,0.6480629,-0.3968077
85,-1.0598142,-2.783591,"('insignificant', 'prestigious')",-0.4197013,-1.202341,0.8683265,0.20466043,-0.10628155,-0.43196338,-0.1793677,-1.0533087,0.873941
60,1.0521108,2.3996663,"('inefficient', 'efficient')",1.1338108,1.9144764,0.14282428,0.45202988,-0.47293496,-0.33787683,0.4639527,1.1070739,-0.6431212
67,1.0505134,1.3735385,"('doubtful', 'determined')",0.38602182,0.4456446,0.81280804,0.8764413,-0.3414423,-0.055098243,0.4769753,0.6601315,-0.1831562
53,-0.994459,-1.0315294,"('uncreative', 'creative')",0.8464932,0.6601079,-0.01703538,-0.23713195,0.73937917,0.45339984,0.1435945,-0.0387884,0.1823829
68,-0.9851787,-0.65873694,"('dependent', 'independent')",-1.0128862,-0.87269574,-1.660296,-1.4517535,-2.1137981,-2.0776718,-1.4430398,-1.2652144,-0.1778254
62,0.9635309,1.746716,"('incompetent', 'brilliant')",1.2466066,1.5930291,0.6230694,0.51695234,-0.06322314,-0.038663838,0.6924959,0.9545084,-0.2620125
77,-0.9628879,-0.539868,"('unmotivated', 'motivated')",0.1903396,0.60833806,-0.87399656,-0.93840647,-1.3009068,-1.3364793,-0.7368629,-0.5516039,-0.185259
70,0.8782253,1.5997562,"('lethargic', 'energetic')",0.26427597,0.4765106,0.35399258,0.31028554,0.40074104,0.3534513,0.4743087,0.6850009,-0.2106922
76,0.87794626,1.7049073,"('anxious', 'daring')",0.93505335,1.2727605,0.4309074,0.3018837,0.18494558,0.093213,0.6072131,0.8431911,-0.235978
45,0.8448809,1.3301927,"('incompetent', 'competent')",0.9461701,1.0523592,1.1405727,1.292067,0.40539682,0.37978932,0.8342551,1.013602,-0.1793469
29,-0.81070435,-1.1083982,"('unfair', 'fair')",-0.41790947,-0.50708526,-1.098846,-1.1521848,-1.4038817,-1.1843842,-0.9328353,-0.9880131,0.0551778
3,-0.8024471,-0.37732023,"('repellent', 'pleasant')",-0.08746028,0.19848058,-0.84448737,-0.6834518,0.41867265,0.3583826,-0.3289305,-0.1259772,-0.2029533
23,0.79332197,1.3397326,"('insincere', 'sincere')",1.1098244,1.3321208,-0.1614955,-0.45984787,4.85424,5.0976696,1.6489727,1.8274188,-0.1784461
26,0.7646648,0.52783287,"('hardhearted', 'benevolent')",0.6650321,0.44419783,2.7710412,2.772341,1.6362236,1.674453,1.4592404,1.3547062,0.1045342
42,0.69913614,0.8762607,"('unreliable', 'reliable')",0.7193164,0.81308454,0.974682,1.0911604,-1.7485355,-2.038293,0.1611498,0.1855532,-0.0244034
61,-0.68428534,-0.23829664,"('illogical', 'logical')",0.6175141,0.9372918,-0.40998286,-0.12184557,-0.3935289,-0.29940903,-0.2175708,0.0694351,-0.2870059
32,-0.63852054,-0.3582034,"('unkind', 'kind')",0.054747753,0.06179115,0.43356195,0.31070155,1.0540143,0.9929747,0.2259509,0.251816,-0.0258651
64,-0.60908085,-0.46731824,"('shy', 'confident')",-0.68025404,-0.14688328,0.27393702,0.4533582,-4.88428,-5.161034,-1.4749196,-1.3304694,-0.1444502
2,0.59517866,0.53368604,"('unlikable', 'likable')",0.14767042,0.08353416,1.5636379,1.6245644,1.1381985,1.1191984,0.8611714,0.8402457,0.0209257
43,0.54431266,1.3369962,"('irresponsible', 'responsible')",0.18702444,0.40978003,-0.17110609,-0.18582267,0.6176254,0.66748273,0.2944641,0.5571091,-0.262645
21,-0.54368794,0.5001247,"('immoral', 'moral')",1.1342753,1.7534304,-0.4248806,-0.27885726,-1.0801214,-1.0071795,-0.2286037,0.2418796,-0.4704833
74,0.5423796,0.7675879,"('undedicated', 'dedicated')",0.48554358,0.41487768,0.6426628,0.57997394,0.44827974,0.26782957,0.5297165,0.5075673,0.0221492
69,-0.5413746,-1.4734133,"('lazy', 'industrious')",-0.00030898303,-0.35505086,-0.1109079,0.182779,-0.92600995,-0.8604264,-0.3946504,-0.6265279,0.2318775
48,-0.5122247,0.51735604,"('unintelligent', 'intelligent')",0.060570415,0.42866302,-1.2113346,-0.99301064,-0.89277756,-0.7291272,-0.6389416,-0.1940297,-0.4449119
35,-0.5117662,-1.9366597,"('corrupt', 'incorrupt')",-0.9956855,-1.5276917,-0.9771761,-1.3468324,-0.7774583,-0.81359714,-0.8155215,-1.4061953,0.5906738
20,-0.5046174,-0.28470957,"('rough', 'thoughtful')",-0.7927372,-0.5792732,-0.0692392,-0.13679886,0.03888097,-0.023606494,-0.3319282,-0.256097,-0.0758312
46,0.49887085,1.8832461,"('uncompetitive', 'competitive')",0.14103651,0.8253411,0.16335611,0.3995325,-0.17033422,-0.32650572,0.1582323,0.6954035,-0.5371712
25,-0.49048048,-0.98307073,"('egoistic', 'altruistic')",0.19175269,-0.03852322,0.2858147,0.091280825,0.98654,0.90201694,0.2434067,-0.007074,0.2504807
22,0.48417345,0.89744663,"('untrustworthy', 'trustworthy')",0.88558304,1.1201826,-0.07874662,0.20093893,-0.47276762,-0.37213358,0.2045606,0.4616086,-0.257048
73,0.4722383,-0.16319314,"('helpless', 'self-reliant')",0.26317206,-0.081637226,-0.73873657,-0.85340595,-2.8390331,-3.0274875,-0.7105898,-1.031431,0.3208412
88,0.4703069,0.2834191,"('low', 'eminent')",0.48629245,0.26130217,1.0287292,0.40516827,-0.09214174,-0.3327888,0.4732967,0.1542752,0.3190215
72,0.4699793,0.85068274,"('unambitious', 'ambitious')",0.19399402,0.18667641,-0.020060489,0.060956243,-0.45231703,-0.3629489,0.047899,0.1838416,-0.1359426
