,sigma_male,sigma_female,tuple,aldrich_male,aldrich_female,corp_male,corp_female,average_male,average_female,male-female
55,3.4304745,3.4618368,"('incompetent', 'clever')",-0.7500978,-0.97076696,1.0473459,1.1957316,1.2425742,1.2289338,0.0136404
31,-3.4049215,-3.3647618,"('evil', 'good')",-0.17044117,0.25618708,-1.9389431,-2.1843405,-1.838102,-1.7643051,-0.0737969
60,3.0639045,2.9372916,"('inefficient', 'efficient')",-1.0242956,-1.4577228,0.6474936,0.7262579,0.8957009,0.7352756,0.1604253
36,-2.9292696,-2.955412,"('hostile', 'amicable')",0.29570276,0.64283574,-1.0929883,-1.292453,-1.242185,-1.2016764,-0.0405086
35,-2.9288352,-3.0329075,"('corrupt', 'incorrupt')",1.207113,1.4001584,-1.4055109,-1.4969629,-1.042411,-1.0432374,0.0008264
62,2.891373,2.7678444,"('incompetent', 'brilliant')",-0.3598079,-0.69665074,1.1620433,1.1454684,1.2312028,1.0722206,0.1589822
85,-2.7925007,-2.922172,"('insignificant', 'prestigious')",0.6036101,1.068501,-1.7011572,-2.067421,-1.2966827,-1.3070307,0.010348
79,-2.7457237,-2.7016459,"('wavering', 'unwavering')",-0.20860821,0.23436229,-0.6213857,-0.53023696,-1.1919058,-0.9991735,-0.1927323
6,-2.7298734,-2.6501472,"('distant', 'open')",0.10750029,0.4918567,-1.4091855,-1.4996498,-1.3438528,-1.2193134,-0.1245394
69,-2.686614,-2.6302314,"('lazy', 'industrious')",1.8754873,1.9837,-1.268305,-1.4885858,-0.6931438,-0.7117057,0.0185619
4,-2.6087313,-2.635541,"('disliked', 'liked')",0.5410371,0.9270348,-7.3977222,-7.683178,-3.1551387,-3.1305612,-0.0245775
81,2.4254777,2.4060879,"('submissive', 'aggressive')",-0.4011853,-0.93411034,0.35144243,0.39775652,0.7919116,0.6232447,0.1686669
10,2.4136164,2.61689,"('unsympathetic', 'sympathetic')",-2.651093,-2.8480084,0.29084587,0.53555083,0.0177898,0.1014775,-0.0836877
23,2.3997638,2.2904685,"('insincere', 'sincere')",-1.9825264,-2.3241699,6.021523,6.0079436,2.1462534,1.9914141,0.1548393
76,2.339705,2.1611714,"('anxious', 'daring')",-1.0139109,-1.1251231,0.7036823,0.9034937,0.6764921,0.646514,0.0299781
65,2.280355,2.2791011,"('insecure', 'secure')",-1.139526,-1.4946775,0.6864921,0.8255498,0.609107,0.5366578,0.0724492
52,-2.270279,-2.4742613,"('irrational', 'rational')",-0.12642512,0.00739979,-0.5931826,-0.79987025,-0.9966288,-1.0889106,0.0922818
75,-2.1630712,-2.1740146,"('meek', 'impulsive')",0.91281897,1.1907933,-0.96646386,-1.0012574,-0.7389054,-0.6614929,-0.0774125
80,2.148231,2.0887122,"('dominated', 'dominating')",0.48232225,0.46488902,0.39381367,0.6603364,1.0081223,1.0713126,-0.0631903
59,-2.01645,-2.067349,"('foolish', 'wise')",1.00815,1.0345,-0.39129788,-0.54633117,-0.4665326,-0.5263934,0.0598608
21,1.9979911,1.9054593,"('immoral', 'moral')",-1.0590888,-1.3350108,0.31661737,0.43600526,0.4185065,0.3354846,0.0830219
0,1.9885486,2.195952,"('unsociable', 'sociable')",-1.9084538,-1.7753036,0.08006896,0.09355565,0.0533879,0.1714013,-0.1180134
70,1.9843001,2.0533462,"('lethargic', 'energetic')",-0.99853987,-1.097805,0.74627346,0.8828614,0.5773446,0.6128008,-0.0354562
16,-1.9823878,-2.0514445,"('unpopular', 'popular')",-0.1480968,-0.14095491,0.07942211,-0.19549525,-0.6836875,-0.7959649,0.1122774
5,-1.9261534,-1.9502906,"('distant', 'outgoing')",0.18170595,0.5341494,-1.0827116,-1.1581368,-0.9423863,-0.8580926,-0.0842937
12,1.8518537,2.0667543,"('unsupportive', 'supportive')",-0.6714327,-0.55219513,-2.0366652,-1.9178338,-0.2854147,-0.1344248,-0.1509899
43,1.7348145,1.7857782,"('irresponsible', 'responsible')",-1.5758967,-1.6053575,0.6839743,0.8366063,0.280964,0.339009,-0.058045
48,1.7142576,1.5088928,"('unintelligent', 'intelligent')",-1.2284938,-1.4042392,1.355135,1.3447616,0.6136329,0.4831384,0.1304945
78,1.6025923,1.6297549,"('nonresilient', 'resilient')",-0.48840097,-0.22460113,1.2048268,1.3295691,0.7730061,0.9115743,-0.1385682
14,1.5967417,1.927351,"('antisocial', 'social')",-0.59915066,-0.66149354,0.07027967,0.12536524,0.3559569,0.4637409,-0.107784
37,1.5910785,1.6306682,"('fake', 'genuine')",-0.10594107,-0.41601145,0.21244472,0.23905504,0.5658607,0.4845706,0.0812901
56,1.5263962,1.5816951,"('impractical', 'practical')",-0.718246,-0.8773002,0.03445667,0.2362024,0.2808689,0.3135324,-0.0326635
86,1.5141914,1.695216,"('uninfluential', 'influential')",-2.1298473,-1.9151278,-0.31294116,-0.2175358,-0.3095324,-0.1458159,-0.1637165
20,1.4902287,1.5462034,"('rough', 'thoughtful')",-0.041396722,0.07236255,0.93697685,1.048664,0.7952696,0.8890766,-0.093807
19,-1.463022,-1.6442047,"('inhospitable', 'hospitable')",0.09866825,0.25857612,-0.634699,-0.7393068,-0.6663509,-0.7083118,0.0419609
46,1.4597135,1.4752142,"('uncompetitive', 'competitive')",-1.4611003,-1.7237204,-0.048135884,0.0096192155,-0.0165076,-0.079629,0.0631214
7,1.347604,1.4595194,"('insensitive', 'sensitive')",-0.9868668,-1.2172639,0.5478524,0.5913656,0.3028632,0.2778737,0.0249895
51,1.2719374,1.3384979,"('uneducated', 'educated')",-0.39080143,-0.3055887,0.6505751,0.72533184,0.5105704,0.5860803,-0.0755099
72,1.2621694,1.4581869,"('unambitious', 'ambitious')",-0.9702178,-0.88769025,-0.35345402,-0.19840984,-0.0205008,0.1240289,-0.1445297
44,-1.222256,-1.3527172,"('prejudiced', 'unprejudiced')",0.9781378,0.5135616,-1.5616195,-1.5871683,-0.6019126,-0.8087746,0.206862
11,1.1272411,0.92322266,"('unhelpful', 'helpful')",-1.2131577,-1.4436879,2.4521093,2.4940424,0.7887309,0.657859,0.1308719
33,-1.1158588,-0.9677065,"('wrong', 'right')",1.4266855,1.6313955,-1.0584247,-0.98989785,-0.2491994,-0.1087363,-0.1404631
8,-1.1144903,-1.066522,"('unaffectionate', 'affectionate')",-1.2973737,-1.0252502,-0.18436313,-0.18670607,-0.865409,-0.7594927,-0.1059163
13,1.0546757,0.98702604,"('impolite', 'polite')",-1.4234722,-1.7248386,-0.0650858,0.08811238,-0.1446274,-0.2165667,0.0719393
40,0.99162155,1.3414146,"('stingy', 'generous')",0.27304143,0.5291238,-2.129044,-2.1031816,-0.288127,-0.0775477,-0.2105793
2,0.9883324,0.90247965,"('unlikable', 'likable')",-0.013786685,-0.061625432,0.3881633,0.34095305,0.4542363,0.3939358,0.0603005
74,0.9822996,1.1770145,"('undedicated', 'dedicated')",-1.1866058,-0.9402709,-0.58706045,-0.6198345,-0.2637889,-0.127697,-0.1360919
83,0.9645465,1.0145304,"('powerless', 'powerful')",0.26506713,0.33782056,-0.32566607,-0.30334678,0.3013159,0.3496681,-0.0483522
3,0.9625612,0.9639099,"('repellent', 'pleasant')",-1.2101378,-1.3167626,0.8931548,0.87367547,0.2151927,0.1736076,0.0415851
30,0.9347732,0.8702823,"('intolerant', 'tolerant')",-0.7734947,-1.0402418,0.7670249,0.7081482,0.3094345,0.1793962,0.1300383
57,-0.92844415,-0.5452392,"('unimaginative', 'imaginative')",-1.5703613,-1.4179567,-3.4045465,-3.2760487,-1.9677839,-1.7464148,-0.2213691
9,0.92119455,1.0067782,"('unaffectionate', 'caring')",-1.265648,-1.0046489,1.0295995,1.0268531,0.228382,0.3429941,-0.1146121
25,-0.9129186,-0.8749903,"('egoistic', 'altruistic')",-0.09540662,0.07227262,0.14362393,-0.11345019,-0.2882338,-0.3053893,0.0171555
34,0.898234,0.7160722,"('mean', 'honorable')",-0.43477786,-0.56135166,5.7609296,5.573341,2.0747952,1.9093539,0.1654413
49,0.89125884,0.4020398,"('unable', 'able')",0.6130301,0.27787405,0.4812599,0.25839785,0.6618496,0.3127706,0.349079
26,-0.8861069,-0.36436743,"('hardhearted', 'benevolent')",-0.5601492,-0.29339293,0.24092701,0.13766776,-0.4017764,-0.1733642,-0.2284122
67,0.87885666,0.74249256,"('doubtful', 'determined')",0.4460203,0.2890951,-0.40626234,-0.5121336,0.3062049,0.1731513,0.1330536
1,-0.87489,-0.69003105,"('unfriendly', 'friendly')",-2.1193206,-1.8172541,0.18873759,-0.027177332,-0.9351577,-0.8448208,-0.0903369
29,-0.8441716,-0.7886819,"('unfair', 'fair')",-0.18768016,0.07236816,-0.6592343,-0.4904136,-0.5636954,-0.4022425,-0.1614529
63,0.8094373,0.98214793,"('unperceptive', 'insightful')",-1.5686753,-1.420022,0.7395278,0.8527403,-0.0065701,0.1382887,-0.1448588
71,0.76871204,0.6984494,"('diffident', 'self-confident')",0.073176645,0.067838326,0.21619534,0.019443505,0.3526947,0.2619104,0.0907843
24,0.71178293,0.67989117,"('dishonest', 'honest')",-1.5685595,-1.7411895,0.68156636,0.7740305,-0.0584034,-0.095756,0.0373526
77,0.708007,0.5798789,"('unmotivated', 'motivated')",-0.98587066,-1.1948891,-0.109586984,-0.06853072,-0.1291502,-0.227847,0.0986968
87,0.6898687,0.5777267,"('unsuccessful', 'successful')",0.020674393,-0.18734324,1.5950503,1.6431035,0.7685312,0.6778289,0.0907023
38,-0.6549362,-0.53780836,"('untruthful', 'truthful')",-0.49836376,-0.35568184,-0.18935996,-0.28569105,-0.4475533,-0.3930604,-0.0544929
66,-0.6444161,-0.3610905,"('inactive', 'active')",-0.094756395,0.17335194,0.47882187,0.57558554,-0.0867835,0.1292823,-0.2160658
84,0.6431642,0.6087214,"('inferior', 'superior')",0.50314784,0.49741867,0.9969577,1.0026042,0.7144233,0.7029147,0.0115086
42,0.54982173,0.6209535,"('unreliable', 'reliable')",0.11234164,0.04747106,-2.7972572,-2.621953,-0.7116979,-0.6511761,-0.0605218
27,0.5386307,0.33533686,"('hardhearted', 'softhearted')",-0.92089325,-0.9435359,0.5615195,0.41446462,0.0597523,-0.0645781,0.1243304
41,-0.52171147,-0.3285712,"('unforgiving', 'forgiving')",-0.8921708,-0.6364921,-0.49567053,-0.5591118,-0.6365176,-0.5080583,-0.1284593
32,0.5126571,0.8482406,"('unkind', 'kind')",-1.9109119,-1.9751275,0.4277292,0.3789197,-0.3235086,-0.2493224,-0.0741862
61,0.500284,0.39784163,"('illogical', 'logical')",-1.3720236,-1.4148678,0.36278507,0.25383267,-0.1696515,-0.2543978,0.0847463
28,0.48833317,0.51822126,"('disloyal', 'loyal')",-1.4890131,-1.7182664,1.1080593,1.0090541,0.0357931,-0.0636637,0.0994568
82,0.48111135,0.36650735,"('poor', 'rich')",-0.9424466,-1.3103805,6.508048,6.3847303,2.015571,1.8136191,0.2019519
17,-0.4768732,-0.6075606,"('nasty', 'nice')",-0.81506026,-0.7627308,-0.81740224,-1.0404966,-0.7031119,-0.803596,0.1004841
