,disney_male,disney_female,tuple,walt_male,walt_female,co_male,co_female,average_male,average_female,male-female
9,1.9974599,1.8345362,"('unaffectionate', 'caring')",2.0003378,1.7843646,0.89168924,0.80259305,1.6298289,1.4738313,0.1559976
81,-1.6796402,-1.2422086,"('submissive', 'aggressive')",-2.1175747,-1.7681541,-0.83645695,-0.71768844,-1.5445573,-1.2426837,-0.3018736
53,1.6524394,1.5614109,"('uncreative', 'creative')",1.4591784,1.2980635,0.9181912,0.88567936,1.3432697,1.2483846,0.0948851
22,-1.5811794,-1.3802328,"('untrustworthy', 'trustworthy')",-1.6789563,-1.5818553,-0.9974397,-0.87821156,-1.4191918,-1.2800999,-0.1390919
15,1.533102,1.6037967,"('boring', 'funny')",1.7517079,1.7245231,0.43737257,0.62849116,1.2407276,1.318937,-0.0782094
3,-1.4496621,-1.1736368,"('repellent', 'pleasant')",-1.3470602,-1.24321,0.6874481,0.7310889,-0.7030915,-0.5619193,-0.1411722
8,1.4128606,1.2771684,"('unaffectionate', 'affectionate')",2.1379237,1.9794728,0.29028648,0.22563024,1.280357,1.1607571,0.1195999
59,1.3503833,1.1128505,"('foolish', 'wise')",1.7283456,1.6434963,0.019735664,-0.037439365,1.0328215,0.9063025,0.126519
85,1.3464019,0.9464506,"('insignificant', 'prestigious')",2.2281165,1.8481954,-0.41499642,-0.5328114,1.053174,0.7539449,0.2992291
71,1.3305187,1.2065588,"('diffident', 'self-confident')",2.301141,2.0831084,0.37720168,0.24995738,1.3362872,1.1798748,0.1564124
32,1.2791767,1.1551257,"('unkind', 'kind')",0.9642602,0.835785,0.71885306,0.7838628,0.9874299,0.9249245,0.0625054
77,-1.2288682,-1.2274139,"('unmotivated', 'motivated')",-0.9009146,-1.003618,-0.9042845,-0.9770833,-1.0113558,-1.0693717,0.0580159
88,1.226955,1.0858315,"('low', 'eminent')",0.63951755,0.52332366,-0.33271945,-0.35681063,0.5112511,0.4174482,0.0938029
45,-1.084042,-0.78038377,"('incompetent', 'competent')",-1.5196449,-1.2808411,-0.79360974,-0.75588834,-1.1324321,-0.9390378,-0.1933943
23,1.0549142,1.0800184,"('insincere', 'sincere')",0.42539218,0.39999044,6.011392,5.8805294,2.4972328,2.4535128,0.04372
41,-1.0523481,-0.72924507,"('unforgiving', 'forgiving')",-1.0877013,-0.9906032,0.081933424,0.071072966,-0.6860387,-0.5495918,-0.1364469
80,-1.0422301,-0.9578113,"('dominated', 'dominating')",-1.8797327,-1.7913238,-0.96233916,-0.96132183,-1.2947673,-1.2368189,-0.0579484
1,1.0263863,1.0226549,"('unfriendly', 'friendly')",1.4183137,1.3069365,1.4659846,1.4083991,1.3035615,1.2459968,0.0575647
37,-1.0060027,-1.0406888,"('fake', 'genuine')",-1.7253023,-1.8097289,0.22274928,0.2336062,-0.8361853,-0.8722705,0.0360852
75,-0.99943507,-0.84398836,"('meek', 'impulsive')",-0.5947837,-0.46104723,-0.57019943,-0.38637114,-0.7214727,-0.5638022,-0.1576705
13,-0.99912935,-0.7337808,"('impolite', 'polite')",-0.9872716,-0.8276923,-0.4398887,-0.35588533,-0.8087632,-0.6391195,-0.1696437
14,-0.9741618,-0.684613,"('antisocial', 'social')",-0.9327717,-0.7989813,-0.50079054,-0.47438693,-0.8025747,-0.6526604,-0.1499143
64,-0.9637686,-0.9894043,"('shy', 'confident')",-1.0708002,-0.9768967,-6.029918,-5.94849,-2.6881625,-2.6382637,-0.0498988
5,0.9361414,0.6919902,"('distant', 'outgoing')",1.0666177,0.78609085,-0.67298913,-0.6985678,0.4432566,0.2598377,0.1834189
84,0.9198372,0.769084,"('inferior', 'superior')",0.99771076,0.9563159,0.6132835,0.52601427,0.8436104,0.7504714,0.093139
46,-0.9119987,-0.8130743,"('uncompetitive', 'competitive')",-1.3501954,-1.412953,-0.5418969,-0.6029682,-0.934697,-0.9429985,0.0083015
