,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
25,-1.4066889,-0.89651877,"('egoistic', 'altruistic')",0.481808,0.59714264,-0.3072756,-0.29103372,0.3888486,0.71937346,-0.210827,0.0322409,-0.2430679
36,-1.3308493,-0.9963178,"('hostile', 'amicable')",1.3013738,1.5555238,-0.8854503,-1.2233855,0.47233617,0.39310703,-0.1106474,-0.0677681,-0.0428793
68,-1.2753977,-1.2098455,"('dependent', 'independent')",-2.0643575,-2.0581815,-1.2284157,-1.3981307,-0.20221403,-0.42224938,-1.1925962,-1.2721018,0.0795056
1,-1.2739103,-0.9587349,"('unfriendly', 'friendly')",-0.8508617,-0.73238677,-0.08083789,-0.43005657,1.0965049,1.244151,-0.2772763,-0.2192568,-0.0580195
31,-1.2634937,-1.2652717,"('evil', 'good')",-0.04521425,-0.15350643,-0.9536957,-1.4548162,-0.77938145,-0.96453494,-0.7604463,-0.9595323,0.199086
80,1.2534386,0.8813061,"('dominated', 'dominating')",-0.23130238,-0.35868368,1.3663485,1.3213209,0.17130558,-0.0017600469,0.6399476,0.4605458,0.1794018
16,-1.1970623,-0.9027473,"('unpopular', 'popular')",-0.23708653,-0.20378491,-0.6639587,-0.5142744,0.39532927,0.635845,-0.4256946,-0.2462404,-0.1794542
12,1.1828613,1.1514531,"('unsupportive', 'supportive')",-1.131188,-1.0400803,0.6423315,0.4481229,-0.76859754,-1.1392362,-0.0186482,-0.1449351,0.1262869
43,1.171544,1.2808661,"('irresponsible', 'responsible')",-1.4015294,-1.3372992,0.897134,1.0725625,1.4137613,1.317484,0.5202274,0.5834033,-0.0631759
52,-1.1391408,-0.7855067,"('irrational', 'rational')",-0.22574604,-0.32947865,-0.57991517,-0.76175267,0.40814397,0.91994447,-0.3841645,-0.2391984,-0.1449661
56,1.0865164,0.84258914,"('impractical', 'practical')",-0.14964315,-0.024714053,1.8670042,1.7328453,0.57936895,0.26575652,0.8458116,0.7041193,0.1416923
7,1.049593,1.0856593,"('insensitive', 'sensitive')",-0.37486473,-0.0694506,0.22324568,0.33468187,0.85651094,0.9233756,0.4386212,0.5685666,-0.1299454
53,-1.0451816,-0.7977832,"('uncreative', 'creative')",-0.9064174,-0.6337017,0.47699848,0.10820847,0.64388794,0.5670602,-0.2076782,-0.1890541,-0.0186241
49,-1.0157996,-1.1011119,"('unable', 'able')",-0.9513957,-0.8965238,0.069627374,-0.070186496,-0.008674793,-0.14196804,-0.4765607,-0.5524475,0.0758868
88,-0.93817574,-0.44773966,"('low', 'eminent')",-1.2703567,-1.0293009,0.15384361,-0.07089164,-0.5621988,-0.59524727,-0.6542219,-0.5357949,-0.118427
6,-0.90748715,-0.8981302,"('distant', 'open')",0.4108073,0.24377814,-1.0827733,-1.4408296,-0.22228025,-0.2169618,-0.4504334,-0.5780359,0.1276025
73,0.9045768,0.7156738,"('helpless', 'self-reliant')",1.1087115,1.1938004,-1.0274527,-0.94858956,-3.61076,-3.7527344,-0.6562311,-0.6979624,0.0417313
76,0.8784133,0.6469212,"('anxious', 'daring')",0.14857982,0.16774082,0.46453834,0.37897953,-0.63364005,-0.7641289,0.2144729,0.1073782,0.1070947
19,-0.86716074,-0.9476993,"('inhospitable', 'hospitable')",-1.4286108,-1.2711952,-0.26636183,-0.42987797,-0.6914089,-0.61389846,-0.8133855,-0.8156677,0.0022822
40,0.8386147,1.0120608,"('stingy', 'generous')",0.9332097,1.0585489,0.40136045,0.1485679,-1.4942646,-1.7970322,0.1697301,0.1055363,0.0641938
61,-0.8271,-1.1580726,"('illogical', 'logical')",-0.44682586,-0.59182274,1.093439,0.60405105,1.0598965,0.9115906,0.2198524,-0.0585634,0.2784158
39,0.7973793,0.9575763,"('exploitative', 'cooperative')",0.39661056,0.5698261,-0.08291905,0.089249164,-1.1976588,-0.7451635,-0.021647,0.217872,-0.239519
29,-0.7894313,-1.2683502,"('unfair', 'fair')",-0.7157331,-0.93751895,0.24198277,-0.18583103,-0.6047988,-0.76760185,-0.4669951,-0.7898256,0.3228305
2,0.7563463,0.86604244,"('unlikable', 'likable')",1.5493798,1.5396667,1.4787868,1.6223662,0.9777936,0.8701438,1.1905767,1.2245548,-0.0339781
85,-0.75516224,-0.5788122,"('insignificant', 'prestigious')",0.4318341,0.37652546,-0.9411563,-1.0811105,-0.63626504,-0.33223844,-0.4751874,-0.4039089,-0.0712785
74,0.7330655,0.67521155,"('undedicated', 'dedicated')",-0.54186094,-0.38552576,0.82392955,0.6687289,0.20532389,0.0023489036,0.3051145,0.2401909,0.0649236
38,0.73137087,0.5436247,"('untruthful', 'truthful')",0.067170165,-0.14010392,0.48600486,0.35958892,1.4816413,1.3096219,0.6915468,0.5181829,0.1733639
70,0.7296834,0.30420372,"('lethargic', 'energetic')",-0.9996908,-0.9712165,1.498185,1.1254147,1.0482011,0.82555246,0.5690947,0.3209886,0.2481061
77,-0.70768195,-0.3700287,"('unmotivated', 'motivated')",-0.01832146,0.33062652,-0.7530943,-0.26830932,-0.4497104,-0.3178725,-0.482202,-0.156396,-0.325806
42,0.7070717,0.6980442,"('unreliable', 'reliable')",0.558264,0.664429,0.09658604,-0.16499615,-3.0604806,-3.4042497,-0.4246397,-0.5516931,0.1270534
5,-0.6767654,-0.7989284,"('distant', 'outgoing')",0.8334266,0.5816233,-0.9900317,-1.2897574,-1.1946076,-1.13433,-0.5069945,-0.6603481,0.1533536
84,-0.6562429,-1.0363432,"('inferior', 'superior')",-0.6119214,-0.6417753,-0.6791339,-0.84114164,-0.8126831,-0.76701933,-0.6899953,-0.8215699,0.1315746
82,-0.65447307,-0.49297443,"('poor', 'rich')",-0.96465045,-0.7964415,1.3069036,1.5137868,6.0076256,6.1911626,1.4238515,1.6038834,-0.1800319
