,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,male-female
45,-2.5149107,-2.4387176,"('incompetent', 'competent')",-1.1159207,-1.2593462,-0.038516182,-0.029662794,-1.2231158,-1.2425756,0.0194598
28,-2.420335,-2.4190698,"('disloyal', 'loyal')",0.06468909,0.11129686,1.0296551,0.93328345,-0.4419969,-0.4581631,0.0161662
10,-2.3824565,-2.3140304,"('unsympathetic', 'sympathetic')",-0.97521955,-0.9761761,0.007416198,-0.11960381,-1.1167533,-1.1366034,0.0198501
8,-2.2968695,-2.6766384,"('unaffectionate', 'affectionate')",0.16103558,0.018744197,0.12726821,-0.0012849588,-0.6695219,-0.8863931,0.2168712
86,-2.2495084,-2.4202616,"('uninfluential', 'influential')",-0.94031835,-1.0311928,-0.1516611,-0.17760475,-1.1138293,-1.2096864,0.0958571
1,-2.097666,-2.393025,"('unfriendly', 'friendly')",0.21938588,-0.036489747,0.86866486,0.7214239,-0.3365384,-0.5693636,0.2328252
0,-1.9694387,-1.978128,"('unsociable', 'sociable')",-0.6133388,-0.61593705,-0.4074683,-0.32181424,-0.9967486,-0.9719597,-0.0247889
65,-1.8672876,-1.8670212,"('insecure', 'secure')",-0.5217621,-0.5784859,0.24228783,0.30005392,-0.7155873,-0.7151511,-0.0004362
55,-1.8296533,-1.5661305,"('incompetent', 'clever')",-0.571743,-0.52749175,0.6303051,0.83978826,-0.5903637,-0.4179447,-0.172419
22,-1.7923335,-1.7092891,"('untrustworthy', 'trustworthy')",-0.74048626,-0.76579815,-1.1041479,-1.2065665,-1.2123226,-1.2272178,0.0148952
9,-1.7801869,-1.7977853,"('unaffectionate', 'caring')",0.5608603,0.6255138,0.99211013,0.93478984,-0.0757388,-0.0791606,0.0034218
41,-1.7270235,-1.8408332,"('unforgiving', 'forgiving')",-0.75282997,-0.8715503,-0.2395101,-0.37209862,-0.9064545,-1.0281607,0.1217062
26,-1.7228907,-1.8415731,"('hardhearted', 'benevolent')",0.30556762,0.09471994,1.4098732,1.4045091,-0.0024833,-0.1141147,0.1116314
14,-1.7194496,-1.5307248,"('antisocial', 'social')",-0.80644643,-0.8238607,-0.06810437,0.08249315,-0.8646668,-0.7573641,-0.1073027
48,-1.68525,-1.6195235,"('unintelligent', 'intelligent')",0.00791952,-0.12542194,1.0456954,1.1332068,-0.210545,-0.2039129,-0.0066321
43,-1.475046,-1.3965248,"('irresponsible', 'responsible')",-0.57883364,-0.60896903,0.74192464,0.6841572,-0.4373184,-0.4404456,0.0031272
77,-1.4646107,-1.3010864,"('unmotivated', 'motivated')",-0.022118025,-0.01275746,-1.1387125,-0.91905963,-0.875147,-0.7443012,-0.1308458
24,-1.4489261,-1.3448623,"('dishonest', 'honest')",0.42632064,0.47636378,1.1325198,1.0335878,0.0366381,0.0550297,-0.0183916
39,-1.3506554,-1.1293315,"('exploitative', 'cooperative')",0.21834634,0.27866742,0.18738563,0.21565045,-0.3149745,-0.2116712,-0.1033033
32,-1.3187101,-1.2215753,"('unkind', 'kind')",-0.123554036,-0.06586289,0.97486746,0.7866825,-0.1557989,-0.1669186,0.0111197
63,-1.2724792,-1.2734821,"('unperceptive', 'insightful')",0.1363465,-0.046996064,0.34705743,0.5643199,-0.2630251,-0.2520528,-0.0109723
21,-1.2721124,-0.8650541,"('immoral', 'moral')",-1.4357158,-1.3298056,-0.17037737,-0.0063297786,-0.9594018,-0.7337298,-0.225672
60,-1.2688439,-0.9802516,"('inefficient', 'efficient')",-0.09173442,0.048387423,0.6795189,0.8625632,-0.2270198,-0.0231003,-0.2039195
61,-1.255944,-1.3751392,"('illogical', 'logical')",-0.18949586,-0.34515628,0.52765244,0.58814126,-0.3059291,-0.3773847,0.0714556
75,1.246943,1.2429386,"('meek', 'impulsive')",-0.27564853,-0.23914209,-0.94203085,-0.9234737,0.0097545,0.0267743,-0.0170198
30,-1.2344264,-1.1211919,"('intolerant', 'tolerant')",-0.3463105,-0.2773014,0.6800175,0.85021746,-0.3002398,-0.1827586,-0.1174812
12,-1.2134204,-1.3235301,"('unsupportive', 'supportive')",0.21356343,0.08752696,-1.7968566,-1.6872399,-0.9322379,-0.9744143,0.0421764
44,1.1783049,1.4858776,"('prejudiced', 'unprejudiced')",-0.39401966,-0.20653197,-1.5021162,-1.5184207,-0.239277,-0.0796917,-0.1595853
52,-1.1583687,-1.5785686,"('irrational', 'rational')",0.24423975,0.040545814,-0.38902375,-0.59589237,-0.4343842,-0.7113051,0.2769209
23,-1.1539123,-1.122883,"('insincere', 'sincere')",-0.12619658,-0.29261607,6.099143,6.0222816,1.6063447,1.5355943,0.0707504
7,-1.1530408,-1.1342576,"('insensitive', 'sensitive')",-0.33787167,-0.39496714,0.57820594,0.60526264,-0.3042355,-0.3079873,0.0037518
31,-1.1283996,-1.4439231,"('evil', 'good')",0.099604115,-0.084889315,-1.3843365,-1.4326941,-0.8043773,-0.9871688,0.1827915
47,-1.120015,-1.2854732,"('stupid', 'smart')",-1.2633114,-1.3901565,5.3830433,5.2299385,0.9999056,0.8514363,0.1484693
17,-1.049128,-1.1606413,"('nasty', 'nice')",-0.32585245,-0.28758115,-0.5720407,-0.4869261,-0.649007,-0.6450495,-0.0039575
27,-1.0460333,-1.1157897,"('hardhearted', 'softhearted')",-0.77970135,-0.92473274,0.7262245,0.6503868,-0.3665034,-0.4633785,0.0968751
15,-0.99049616,-1.1623346,"('boring', 'funny')",0.07871489,-0.13562457,0.14008245,0.14833848,-0.2572329,-0.3832069,0.125974
37,-0.97199917,-1.0967027,"('fake', 'genuine')",0.100515634,0.2884357,0.35065934,0.22844379,-0.1736081,-0.1932744,0.0196663
