,nortonlifelock_male,nortonlifelock_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,3.4322238,2.9895222,"('inefficient', 'efficient')",0.10089688,0.31481925,1.7665603,1.6521708,0.1143895
56,2.6516185,2.2285812,"('impractical', 'practical')",-0.37588647,-0.31113562,1.137866,0.9587228,0.1791432
85,-2.5992856,-2.0475683,"('insignificant', 'prestigious')",0.48614594,0.47213137,-1.0565698,-0.7877185,-0.2688513
36,-2.5079648,-2.170879,"('hostile', 'amicable')",0.28033313,0.21835943,-1.1138159,-0.9762597,-0.1375562
31,-2.413621,-1.9900118,"('evil', 'good')",-0.9648404,-0.9263358,-1.6892307,-1.4581738,-0.2310569
79,-2.3055987,-1.9118539,"('wavering', 'unwavering')",-0.3855323,-0.37414244,-1.3455656,-1.1429982,-0.2025674
55,2.1840742,1.6262892,"('incompetent', 'clever')",0.26830068,0.24860054,1.2261875,0.9374449,0.2887426
35,-2.159237,-1.5244377,"('corrupt', 'incorrupt')",-0.3703013,-0.18702164,-1.2647691,-0.8557296,-0.4090395
65,2.1216886,1.6846703,"('insecure', 'secure')",-0.13939358,-0.15854111,0.9911475,0.7630646,0.2280829
6,-2.0631392,-1.5209062,"('distant', 'open')",0.106454015,0.25284523,-0.9783426,-0.6340305,-0.3443121
5,-1.9771806,-1.4035697,"('distant', 'outgoing')",-0.48526776,-0.23803227,-1.2312242,-0.820801,-0.4104232
14,1.9507514,1.585445,"('antisocial', 'social')",-0.51532316,-0.410238,0.7177141,0.5876035,0.1301106
19,-1.8525658,-1.2773663,"('inhospitable', 'hospitable')",-0.22725403,-0.059037503,-1.0399098,-0.6682019,-0.3717079
30,1.8175591,1.7066883,"('intolerant', 'tolerant')",1.0802643,1.2399949,1.4489117,1.4733416,-0.0244299
81,1.8082905,1.3723662,"('submissive', 'aggressive')",-0.742768,-0.5878832,0.5327612,0.3922415,0.1405197
43,1.7990472,1.3924115,"('irresponsible', 'responsible')",0.38050935,0.39907128,1.0897783,0.8957413,0.194037
4,-1.7957864,-1.5205066,"('disliked', 'liked')",-6.1683974,-6.0453744,-3.9820919,-3.7829404,-0.1991515
39,1.7791337,1.74222,"('exploitative', 'cooperative')",0.19658238,0.18508114,0.9878581,0.9636506,0.0242075
21,1.7001913,1.2475605,"('immoral', 'moral')",-0.4951759,-0.6132383,0.6025077,0.3171611,0.2853466
13,1.6793619,1.2164856,"('impolite', 'polite')",-0.2415568,-0.112961054,0.7189026,0.5517623,0.1671403
8,-1.5806323,-1.269042,"('unaffectionate', 'affectionate')",0.5944295,0.61026156,-0.4931014,-0.3293902,-0.1637112
75,-1.569469,-1.1892495,"('meek', 'impulsive')",-0.65214545,-0.42684692,-1.1108072,-0.8080482,-0.302759
46,1.5194983,0.8549721,"('uncompetitive', 'competitive')",-0.118193366,-0.26483947,0.7006525,0.2950663,0.4055862
7,1.4769605,1.1778206,"('insensitive', 'sensitive')",0.91512394,0.7107326,1.1960423,0.9442766,0.2517657
16,-1.4581251,-1.4213903,"('unpopular', 'popular')",0.55368334,0.578054,-0.4522209,-0.4216681,-0.0305528
52,-1.4100764,-1.1699237,"('irrational', 'rational')",0.08654578,-0.12530093,-0.6617653,-0.6476123,-0.014153
66,-1.3730315,-1.4542496,"('inactive', 'active')",0.85712105,0.7562451,-0.2579552,-0.3490023,0.0910471
76,1.3104527,1.0687195,"('anxious', 'daring')",0.4586135,0.5313951,0.8845331,0.8000573,0.0844758
0,1.292112,0.7453208,"('unsociable', 'sociable')",-0.22071977,-0.12936717,0.5356961,0.3079768,0.2277193
80,1.2096719,0.76633334,"('dominated', 'dominating')",-1.4507048,-1.5980358,-0.1205165,-0.4158512,0.2953347
70,1.2015774,0.7650277,"('lethargic', 'energetic')",1.0370003,0.8940244,1.1192889,0.8295261,0.2897628
47,1.1370556,1.0634363,"('stupid', 'smart')",5.330673,5.3278275,3.2338643,3.195632,0.0382323
11,1.1247308,1.0055573,"('unhelpful', 'helpful')",1.6551901,1.7338512,1.3899605,1.3697042,0.0202563
32,1.0909373,0.9975014,"('unkind', 'kind')",0.83886373,0.86329097,0.9649005,0.9303962,0.0345043
74,1.0370129,0.8893241,"('undedicated', 'dedicated')",0.1910032,0.16470292,0.6140081,0.5270135,0.0869946
62,1.0322201,0.82860184,"('incompetent', 'brilliant')",-0.082769565,0.16524102,0.4747253,0.4969214,-0.0221961
23,1.0175649,0.810233,"('insincere', 'sincere')",4.965533,4.8734493,2.9915488,2.8418412,0.1497076
69,-1.0001613,-0.58077234,"('lazy', 'industrious')",-0.2868583,-0.19950096,-0.6435098,-0.3901367,-0.2533731
87,0.9591422,0.66807127,"('unsuccessful', 'successful')",0.95432985,0.9250356,0.956736,0.7965534,0.1601826
22,0.90475893,0.5596357,"('untrustworthy', 'trustworthy')",-0.64623696,-0.6829105,0.129261,-0.0616374,0.1908984
18,-0.89911747,-0.77768004,"('disagreeable', 'welcoming')",-0.40717992,-0.288749,-0.6531487,-0.5332145,-0.1199342
1,-0.894514,-0.80889434,"('unfriendly', 'friendly')",1.4974477,1.5367839,0.3014669,0.3639448,-0.0624779
24,0.87399596,0.742296,"('dishonest', 'honest')",0.19357556,0.18870465,0.5337858,0.4655003,0.0682855
40,-0.86075866,-0.9713492,"('stingy', 'generous')",-1.3809643,-1.5597448,-1.1208615,-1.265547,0.1446855
45,0.8477202,0.42053485,"('incompetent', 'competent')",-0.09272529,-0.030572206,0.3774975,0.1949813,0.1825162
48,0.8213677,0.6785891,"('unintelligent', 'intelligent')",0.6429446,0.73322755,0.7321562,0.7059083,0.0262479
64,0.81792057,0.5750824,"('shy', 'confident')",-6.0088463,-5.9134207,-2.5954628,-2.6691692,0.0737064
57,0.8162702,0.35658064,"('unimaginative', 'imaginative')",-1.8126422,-1.9539583,-0.498186,-0.7986888,0.3005028
10,0.8132215,0.2584707,"('unsympathetic', 'sympathetic')",-0.21660288,-0.265762,0.2983093,-0.0036456,0.3019549
71,0.7526734,1.0069721,"('diffident', 'self-confident')",0.5393764,0.49306402,0.6460249,0.7500181,-0.1039932
54,-0.6988429,-0.5088571,"('incapable', 'capable')",0.9116386,1.0006167,0.1063979,0.2458798,-0.1394819
44,-0.6638846,-0.46102145,"('prejudiced', 'unprejudiced')",-1.4534268,-1.3118142,-1.0586557,-0.8864178,-0.1722379
