,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,male-female
30,-2.4876564,-2.3716607,"('intolerant', 'tolerant')",-1.3411534,-1.2782751,-1.9144049,-1.8249679,-0.089437
0,-2.1573215,-2.1320415,"('unsociable', 'sociable')",-2.5700169,-2.5832427,-2.3636692,-2.3576422,-0.006027
65,-1.9851799,-2.2274697,"('insecure', 'secure')",-1.5455177,-1.7542154,-1.7653488,-1.9908426,0.2254938
75,1.9341785,1.8219339,"('meek', 'impulsive')",0.5307272,0.42624742,1.2324529,1.1240907,0.1083622
10,-1.6493787,-1.4575275,"('unsympathetic', 'sympathetic')",-2.2513468,-2.1829252,-1.9503627,-1.8202264,-0.1301363
56,-1.619918,-1.5052578,"('impractical', 'practical')",-2.420554,-2.317561,-2.020236,-1.9114094,-0.1088266
23,-1.5352918,-1.5150535,"('insincere', 'sincere')",-1.9705956,-1.9171997,-1.7529438,-1.7161267,-0.0368171
57,-1.5229712,-1.3038883,"('unimaginative', 'imaginative')",-2.0267653,-1.9318509,-1.7748682,-1.6178696,-0.1569986
8,-1.4116412,-1.4145812,"('unaffectionate', 'affectionate')",-0.00732179,0.2662555,-0.7094815,-0.5741628,-0.1353187
69,1.4002007,1.3091553,"('lazy', 'industrious')",1.375643,1.4380572,1.3879218,1.3736062,0.0143156
86,-1.3578869,-1.1543201,"('uninfluential', 'influential')",-2.5258062,-2.303264,-1.9418466,-1.728792,-0.2130546
37,1.3506547,1.4004006,"('fake', 'genuine')",-0.67900056,-0.5787181,0.3358271,0.4108413,-0.0750142
28,-1.3168429,-1.274825,"('disloyal', 'loyal')",-1.4064089,-1.2756456,-1.3616259,-1.2752353,-0.0863906
43,-1.3074791,-1.2480382,"('irresponsible', 'responsible')",-2.084352,-1.99099,-1.6959156,-1.6195141,-0.0764015
1,-1.2514263,-1.1862332,"('unfriendly', 'friendly')",-0.27074587,0.0074790195,-0.7610861,-0.589377,-0.1717091
11,-1.243272,-1.1133407,"('unhelpful', 'helpful')",-2.4979954,-2.4462135,-1.8706336,-1.7797771,-0.0908565
80,1.1709048,1.2773671,"('dominated', 'dominating')",-0.86871475,-0.97130096,0.151095,0.1530331,-0.0019381
73,1.170736,1.0597787,"('helpless', 'self-reliant')",0.5317712,0.43099353,0.8512536,0.7453861,0.1058675
55,-1.1101223,-1.079606,"('incompetent', 'clever')",-1.4405766,-1.4261298,-1.2753494,-1.2528679,-0.0224815
66,1.0192102,0.9848757,"('inactive', 'active')",1.070334,0.99909496,1.0447721,0.9919853,0.0527868
82,-0.9991795,-1.0005997,"('poor', 'rich')",-0.8988607,-0.95364165,-0.9490201,-0.9771207,0.0281006
45,-0.996464,-0.7305002,"('incompetent', 'competent')",-2.5091944,-2.3041317,-1.7528292,-1.517316,-0.2355132
27,-0.98813045,-1.1329393,"('hardhearted', 'softhearted')",-0.8074805,-0.63059956,-0.8978055,-0.8817694,-0.0160361
