,rockwell_male,rockwell_female,tuple,collins_male,collins_female,inc_male,inc_female,average_male,average_female,male-female
71,1.9760839,1.9211266,"('diffident', 'self-confident')",2.1093445,1.7560441,0.4296442,0.36776012,1.5050241,1.3483103,0.1567138
81,-1.8238062,-1.8324509,"('submissive', 'aggressive')",-0.26452124,-0.009874299,-0.55656385,-0.6350568,-0.8816304,-0.825794,-0.0558364
10,-1.810161,-1.5526047,"('unsympathetic', 'sympathetic')",-0.4031066,-0.089728564,0.054231778,-0.12465028,-0.7196786,-0.5889945,-0.1306841
70,-1.7399931,-1.2863495,"('lethargic', 'energetic')",-0.61532813,-0.33186647,1.0734656,0.9404759,-0.4272852,-0.2259134,-0.2013718
69,1.73715,1.5666432,"('lazy', 'industrious')",1.3359647,1.1850904,-0.73842686,-0.6087855,0.7782292,0.7143161,0.0639131
3,-1.6792063,-1.3555431,"('repellent', 'pleasant')",-0.27203056,-0.046918355,0.07596344,0.2411267,-0.6250912,-0.3871116,-0.2379796
57,-1.6175205,-1.7317886,"('unimaginative', 'imaginative')",-0.597087,-0.49725616,-2.4995008,-2.5768178,-1.5713695,-1.6019541,0.0305846
33,1.4692348,1.2439523,"('wrong', 'right')",0.7003568,0.40474626,-0.9174189,-1.0628142,0.4173909,0.1952948,0.2220961
77,-1.448068,-1.2153828,"('unmotivated', 'motivated')",-0.016452521,0.30822858,-0.8182767,-0.6495909,-0.7609324,-0.518915,-0.2420174
1,1.4248512,1.1691593,"('unfriendly', 'friendly')",1.3587072,0.82111496,1.1884645,1.0393195,1.3240077,1.0098646,0.3141431
26,1.2733878,1.0353006,"('hardhearted', 'benevolent')",1.5809946,1.3882191,1.1614004,1.3429811,1.3385943,1.2555002,0.0830941
16,-1.136551,-1.1649555,"('unpopular', 'popular')",-1.2169701,-1.0493201,0.4635531,0.3636451,-0.6299893,-0.6168768,-0.0131125
65,-1.1166128,-0.86010617,"('insecure', 'secure')",-0.52192354,-0.14653124,-0.18233173,-0.19914746,-0.606956,-0.4019283,-0.2050277
9,1.0466273,0.94869834,"('unaffectionate', 'caring')",0.8390863,0.49909386,0.7999369,0.4880137,0.8952168,0.6452686,0.2499482
30,-1.0015314,-0.983454,"('intolerant', 'tolerant')",-1.0880042,-0.83652854,0.80204266,0.70294803,-0.4291643,-0.3723448,-0.0568195
82,-0.95520324,-0.6124132,"('poor', 'rich')",-1.0456544,-0.88454163,6.267424,6.023024,1.4221888,1.5086897,-0.0865009
45,-0.93578345,-1.062702,"('incompetent', 'competent')",0.7639341,0.73958933,-0.32691905,-0.66566193,-0.1662561,-0.3295915,0.1633354
42,-0.9290805,-1.0161617,"('unreliable', 'reliable')",-0.18903562,-0.3959568,-2.8261142,-2.944648,-1.3147434,-1.4522556,0.1375122
51,-0.9057766,-0.61462694,"('uneducated', 'educated')",-0.0575374,0.40791336,0.61133873,0.82574326,-0.1173251,0.2063432,-0.3236683
58,0.8942476,0.71434575,"('undiscriminating', 'discriminating')",1.1664774,1.1962416,0.061563283,0.04344503,0.7074294,0.6513441,0.0560853
25,0.8921607,0.9535465,"('egoistic', 'altruistic')",0.3794605,0.2434291,1.012719,1.103384,0.7614468,0.7667866,-0.0053398
87,0.8766109,0.52753156,"('unsuccessful', 'successful')",1.6964931,1.5744485,0.82325566,0.68614435,1.1321198,0.9293748,0.202745
55,-0.87380415,-0.7048189,"('incompetent', 'clever')",-0.12897879,0.11909986,0.09512533,0.016888201,-0.3025525,-0.1896103,-0.1129422
21,-0.8588822,-0.7157206,"('immoral', 'moral')",0.40277937,0.66417205,-0.93635,-1.0490569,-0.4641509,-0.3668685,-0.0972824
