,amazon_male,amazon_female,tuple,com_male,com_female,inc_male,inc_female,average_male,average_female,male-female
6,2.8349898,3.0984752,"('distant', 'open')",0.63476807,1.0886792,0.16851893,0.2420516,1.2127589,1.476402,-0.2636431
5,2.0969355,2.1923347,"('distant', 'outgoing')",0.67231673,0.9055544,-0.42928094,-0.4649365,0.7799904,0.8776508,-0.0976604
85,2.0891628,2.130345,"('insignificant', 'prestigious')",-0.289338,0.03319838,0.6073064,0.48380747,0.8023771,0.8824503,-0.0800732
9,2.0422795,2.173916,"('unaffectionate', 'caring')",0.8046915,0.80565166,1.0596734,0.99315214,1.3022148,1.32424,-0.0220252
80,-1.9831085,-1.9720392,"('dominated', 'dominating')",-1.478225,-1.5937423,-1.2459278,-1.2243685,-1.569087,-1.5967167,0.0276297
81,-1.934568,-2.2358649,"('submissive', 'aggressive')",0.61693,0.34433717,-0.5236609,-0.47681832,-0.6137663,-0.7894487,0.1756824
78,-1.8000354,-1.2913117,"('nonresilient', 'resilient')",-0.76422065,-0.5539566,-0.24127145,0.030937262,-0.9351758,-0.604777,-0.3303988
70,-1.7573285,-1.6212143,"('lethargic', 'energetic')",-0.483274,-0.6344325,0.5972368,0.9329826,-0.5477885,-0.440888,-0.1069005
45,-1.6791157,-1.4909081,"('incompetent', 'competent')",0.027343411,-0.14732623,-0.7690829,-0.7036213,-0.8069517,-0.7806186,-0.0263331
57,-1.6156518,-1.6099576,"('unimaginative', 'imaginative')",-0.3253994,-0.47588938,-2.9310937,-2.7882469,-1.6240482,-1.624698,0.0006498
71,1.5878072,1.5751683,"('diffident', 'self-confident')",1.8343474,1.8975897,0.4482388,0.47562215,1.2901311,1.3161267,-0.0259956
82,-1.5817083,-1.3798053,"('poor', 'rich')",0.24334297,0.24604164,6.1619644,6.20422,1.6078663,1.690152,-0.0822857
65,-1.5345434,-1.9265873,"('insecure', 'secure')",0.38755515,-0.05136372,-0.10154532,-0.052553333,-0.4161779,-0.6768348,0.2606569
13,-1.4895175,-1.5602834,"('impolite', 'polite')",0.11655046,-0.14040096,-0.17777133,-0.10349619,-0.5169128,-0.6013935,0.0844807
10,-1.486918,-1.4200643,"('unsympathetic', 'sympathetic')",-0.76024854,-1.0445724,-0.46032017,-0.35943574,-0.9024956,-0.9413575,0.0388619
55,-1.4685907,-1.531333,"('incompetent', 'clever')",0.20959668,-0.07647936,0.30620766,0.1943697,-0.3175955,-0.4711475,0.153552
1,1.4396944,1.471537,"('unfriendly', 'friendly')",0.76520777,0.8274456,1.487247,1.2986594,1.2307164,1.199214,0.0315024
44,-1.4336467,-1.485739,"('prejudiced', 'unprejudiced')",-0.23240063,-0.28266576,-0.85815203,-0.9012945,-0.8413998,-0.8898997,0.0484999
25,1.4032638,1.5492842,"('egoistic', 'altruistic')",0.052928198,0.0067969467,1.8172375,1.53593,1.0911431,1.0306704,0.0604727
39,1.4024214,1.1064554,"('exploitative', 'cooperative')",2.2198675,2.1191506,0.36331895,0.20532699,1.3285359,1.1436443,0.1848916
53,1.3480558,1.4751352,"('uncreative', 'creative')",0.62555665,0.6812908,1.0691183,0.98376536,1.0142436,1.0467304,-0.0324868
11,-1.220407,-0.9338865,"('unhelpful', 'helpful')",0.89805335,0.84178823,2.1840212,2.2726777,0.6205559,0.7268598,-0.1063039
73,1.1729933,1.0439409,"('helpless', 'self-reliant')",0.53079224,0.6346308,-3.2864833,-3.3604379,-0.5275659,-0.5606221,0.0330562
50,-1.1706622,-0.8037445,"('clumsy', 'skillful')",0.12311855,0.33702293,0.2598385,0.4234667,-0.2625684,-0.0144183,-0.2481501
36,1.114568,0.6985346,"('hostile', 'amicable')",-0.065201,-0.13354181,-0.042845137,-0.40568903,0.3355073,0.0531013,0.282406
59,1.0693221,1.4774038,"('foolish', 'wise')",1.1071162,1.5369447,0.35035875,0.27759427,0.8422657,1.0973143,-0.2550486
68,-1.0672747,-0.93591267,"('dependent', 'independent')",-0.4273617,-0.22437671,-0.27198127,-0.016599756,-0.5888726,-0.3922964,-0.1965762
14,-1.0517976,-1.4510165,"('antisocial', 'social')",1.4000134,0.86127377,-0.8130047,-1.1084394,-0.1549296,-0.5660607,0.4111311
22,-1.012933,-1.0822589,"('untrustworthy', 'trustworthy')",0.3670816,0.14438313,-1.0625075,-1.0653712,-0.569453,-0.667749,0.098296
64,-0.98947746,-1.3102419,"('shy', 'confident')",-0.011043936,-0.27704668,-6.137042,-6.0864887,-2.3791879,-2.5579259,0.178738
26,0.98162854,0.90456444,"('hardhearted', 'benevolent')",0.2602969,0.19199075,1.2720454,0.9062013,0.8379903,0.6675855,0.1704048
37,-0.9576984,-0.4881793,"('fake', 'genuine')",-0.8070449,-0.8194932,0.19913985,0.34790003,-0.5218678,-0.3199242,-0.2019436
74,0.9385119,0.95845765,"('undedicated', 'dedicated')",0.8281809,0.87546253,-0.085443884,-0.074277505,0.5604163,0.5865476,-0.0261313
58,-0.92646587,-0.7462546,"('undiscriminating', 'discriminating')",-0.16728973,-0.1552315,-0.29896975,-0.13027695,-0.4642418,-0.343921,-0.1203208
24,0.9210206,0.9202262,"('dishonest', 'honest')",0.6323704,0.4354266,1.0824714,1.037554,0.8786208,0.7977356,0.0808852
76,-0.9197572,-0.92232025,"('anxious', 'daring')",-0.23618633,-0.37348127,0.38078108,0.4596541,-0.2583875,-0.2787158,0.0203283
46,-0.9013846,-0.9244082,"('uncompetitive', 'competitive')",-0.031332955,-0.32243055,-0.33129802,-0.29513174,-0.4213385,-0.5139902,0.0926517
35,0.8847223,1.0083212,"('corrupt', 'incorrupt')",-0.35020798,0.04650403,-0.21097127,-0.21202391,0.1078477,0.2809338,-0.1730861
21,-0.8815682,-0.9722371,"('immoral', 'moral')",0.71040046,0.2998361,-0.6329957,-0.8302501,-0.2680545,-0.5008837,0.2328292
51,-0.8799957,-0.7278524,"('uneducated', 'educated')",-0.2745097,-0.27165022,0.826349,1.1111999,-0.1093855,0.0372324,-0.1466179
69,0.8692181,1.1695286,"('lazy', 'industrious')",0.4610272,0.56744766,-0.6895096,-0.7943951,0.2135786,0.3141937,-0.1006151
32,0.79672515,0.85520005,"('unkind', 'kind')",1.3089542,1.1414535,1.5429761,1.5366068,1.2162186,1.1777534,0.0384652
8,0.78796047,0.93212986,"('unaffectionate', 'affectionate')",-0.594386,-0.5614968,0.3072765,0.20141208,0.1669503,0.1906817,-0.0237314
66,-0.78175336,-0.73968756,"('inactive', 'active')",-0.82478154,-0.6669604,0.44868633,0.40167838,-0.3859495,-0.3349899,-0.0509596
40,0.75829756,0.563702,"('stingy', 'generous')",-0.2167324,-0.2860976,-1.8026124,-1.7574337,-0.4203491,-0.4932764,0.0729273
