,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.19034,-2.1212142,"('unfriendly', 'friendly')",1.7338197,1.9139258,-0.2282602,-0.1036442,-0.124616
9,-2.025519,-2.111934,"('unaffectionate', 'caring')",0.89683145,1.0794492,-0.5643437,-0.5162424,-0.0481013
86,-1.9480449,-2.1457865,"('uninfluential', 'influential')",0.15820813,-0.32690367,-0.8949184,-1.2363451,0.3414267
8,-1.7538307,-1.804026,"('unaffectionate', 'affectionate')",0.7373593,1.0531255,-0.5082357,-0.3754503,-0.1327854
38,-1.5967284,-1.5248373,"('untruthful', 'truthful')",-0.5747498,-0.33906803,-1.0857391,-0.9319527,-0.1537864
0,-1.4648142,-1.3553101,"('unsociable', 'sociable')",-0.09886073,-0.4430635,-0.7818375,-0.8991868,0.1173493
53,-1.4122931,-1.5520549,"('uncreative', 'creative')",0.8135037,0.7901555,-0.2993947,-0.3809497,0.081555
6,-1.3525175,-1.3789138,"('distant', 'open')",-0.21107706,0.1573328,-0.7817973,-0.6107905,-0.1710068
31,-1.2118627,-1.3440393,"('evil', 'good')",-0.9588861,-0.86830306,-1.0853744,-1.1061711,0.0207967
23,-1.1926785,-1.0401826,"('insincere', 'sincere')",4.93672,5.2224836,1.8720207,2.0911505,-0.2191298
44,1.1752576,1.3865525,"('prejudiced', 'unprejudiced')",-1.5242083,-1.3045518,-0.1744754,0.0410003,-0.2154757
5,-1.144863,-1.1686913,"('distant', 'outgoing')",-0.6026793,-0.2718105,-0.8737712,-0.7202509,-0.1535203
73,1.1066104,1.2268504,"('helpless', 'self-reliant')",-2.6639705,-2.4158044,-0.77868,-0.594477,-0.184203
10,-1.0962071,-1.2125685,"('unsympathetic', 'sympathetic')",-0.061857827,-0.37786445,-0.5790325,-0.7952165,0.216184
12,-1.0938392,-1.1803173,"('unsupportive', 'supportive')",-1.3826479,-1.6111028,-1.2382436,-1.39571,0.1574664
80,1.0534375,0.79784954,"('dominated', 'dominating')",-1.0846736,-1.4196651,-0.0156181,-0.3109078,0.2952897
69,1.0365138,0.9762431,"('lazy', 'industrious')",-0.32662013,-0.27500647,0.3549469,0.3506183,0.0043286
43,-0.96500766,-0.91568685,"('irresponsible', 'responsible')",0.59528214,0.5040831,-0.1848628,-0.2058019,0.0209391
71,-0.95375675,-1.0814524,"('diffident', 'self-confident')",0.4393779,0.28884965,-0.2571894,-0.3963014,0.139112
72,-0.93786854,-0.91357064,"('unambitious', 'ambitious')",-0.9699956,-0.7516375,-0.953932,-0.8326041,-0.1213279
78,-0.9212619,-1.0975511,"('nonresilient', 'resilient')",0.32866699,0.10110364,-0.2962975,-0.4982237,0.2019262
42,0.9204143,0.7736056,"('unreliable', 'reliable')",-2.6439238,-2.9345636,-0.8617547,-1.080479,0.2187243
76,0.8924375,0.8520926,"('anxious', 'daring')",0.03501692,0.16447416,0.4637272,0.5082834,-0.0445562
19,-0.86818177,-1.1163478,"('inhospitable', 'hospitable')",-0.029639829,0.06059137,-0.4489108,-0.5278782,0.0789674
87,0.84693676,0.67248374,"('unsuccessful', 'successful')",1.1086915,0.9435812,0.9778141,0.8080325,0.1697816
28,-0.8461262,-0.8385012,"('disloyal', 'loyal')",0.74063426,0.815019,-0.052746,-0.0117411,-0.0410049
