,agilent_male,agilent_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.2695503,-2.1878512,"('unsympathetic', 'sympathetic')",-1.0111372,-1.1963094,-0.73425746,-0.5441343,-1.338315,-1.3094316,-0.0288834
45,-2.1412816,-2.1149988,"('incompetent', 'competent')",-1.191916,-1.2605944,-0.6603586,-0.5510082,-1.3311854,-1.3088671,-0.0223183
69,2.1227226,2.0467987,"('lazy', 'industrious')",1.4563963,1.6224657,0.10034087,0.08110246,1.2264866,1.2501222,-0.0236356
24,-1.893626,-1.7627115,"('dishonest', 'honest')",-2.3709724,-2.2458396,0.33618343,0.45948687,-1.3094716,-1.1830214,-0.1264502
86,-1.8165933,-1.8641087,"('uninfluential', 'influential')",-0.47197732,-0.6811549,-0.303089,-0.24863392,-0.8638865,-0.9312991,0.0674126
82,-1.7300149,-1.8124542,"('poor', 'rich')",-0.23903577,-0.3450726,6.0472775,5.8638988,1.359409,1.2354573,0.1239517
55,-1.700905,-1.7693183,"('incompetent', 'clever')",-0.19810261,-0.45502108,-0.44050148,-0.2707115,-0.7798363,-0.8316836,0.0518473
3,-1.6895702,-1.7523302,"('repellent', 'pleasant')",0.15497686,-0.03792741,0.06296543,0.100065336,-0.4905427,-0.5633974,0.0728547
14,-1.5908171,-1.5325439,"('antisocial', 'social')",-0.04587627,-0.19968729,-1.3156544,-1.1837009,-0.9841159,-0.9719774,-0.0121385
5,1.4890178,1.4376566,"('distant', 'outgoing')",-0.072096735,0.115735285,0.36264595,0.30822998,0.593189,0.6205406,-0.0273516
81,-1.4482751,-1.487279,"('submissive', 'aggressive')",0.22243033,-0.068148136,-1.1841594,-1.0131015,-0.8033347,-0.8561762,0.0528415
41,-1.4074793,-1.3482656,"('unforgiving', 'forgiving')",-1.0813482,-0.91396195,0.12484055,0.17581783,-0.7879957,-0.6954699,-0.0925258
51,-1.4064417,-1.4219209,"('uneducated', 'educated')",-0.22199911,-0.5809676,0.021414032,-0.014377244,-0.5356756,-0.6724219,0.1367463
84,1.3871616,1.414553,"('inferior', 'superior')",0.6919583,0.7439828,0.796023,0.8642363,0.958381,1.0075908,-0.0492098
28,-1.3800917,-1.4704686,"('disloyal', 'loyal')",-0.6091037,-0.69994086,0.8620267,0.7773693,-0.3757229,-0.4643467,0.0886238
73,1.3644749,1.3807976,"('helpless', 'self-reliant')",0.6990915,0.7402944,-2.9517224,-2.868198,-0.296052,-0.2490353,-0.0470167
0,-1.3321915,-1.4499308,"('unsociable', 'sociable')",-0.90992963,-1.1903479,-0.5737866,-0.61537933,-0.938636,-1.0852194,0.1465834
71,1.2754698,1.1689351,"('diffident', 'self-confident')",1.0233735,1.0990928,0.8684831,0.9123773,1.0557755,1.060135,-0.0043595
32,-1.2735021,-1.2265658,"('unkind', 'kind')",-0.5043949,-0.58689404,0.7958891,0.7159487,-0.327336,-0.3658371,0.0385011
