,union_male,union_female,tuple,pacific_male,pacific_female,corp_male,corp_female,average_male,average_female,male-female
55,-3.2600946,-2.8258908,"('incompetent', 'clever')",-1.7635393,-1.5776231,0.00032390282,0.34008121,-1.6744367,-1.3544776,-0.3199591
81,-2.787348,-2.5043662,"('submissive', 'aggressive')",-1.1204016,-1.1810418,-0.72690976,-0.5177847,-1.5448864,-1.4010642,-0.1438222
46,-2.3322861,-1.8612844,"('uncompetitive', 'competitive')",-0.65777624,-0.3209712,-1.3784525,-1.0303082,-1.4561717,-1.0708546,-0.3853171
45,-2.2998536,-1.861242,"('incompetent', 'competent')",-1.4208467,-1.2845702,-0.5268827,-0.35445216,-1.415861,-1.1667548,-0.2491062
57,-2.2031226,-1.8488203,"('unimaginative', 'imaginative')",-0.69717705,-0.43631458,-3.436159,-3.199495,-2.1121527,-1.8282099,-0.2839428
82,-2.2000852,-2.1604822,"('poor', 'rich')",-0.52155894,-0.51247185,6.674044,6.6460013,1.3174667,1.3243491,-0.0068824
60,-2.1626465,-1.960142,"('inefficient', 'efficient')",-0.91643375,-0.9025535,-0.25075066,-0.123917416,-1.1099437,-0.9955376,-0.1144061
69,2.139517,1.8712231,"('lazy', 'industrious')",1.457451,1.4025471,-0.768821,-0.90381765,0.9427157,0.7899842,0.1527315
10,-2.1386693,-1.7185787,"('unsympathetic', 'sympathetic')",-2.1527154,-1.9076725,-0.63483655,-0.29805732,-1.6420738,-1.3081028,-0.333971
22,-1.9916458,-1.7192923,"('untrustworthy', 'trustworthy')",-0.81145537,-0.6169962,-1.3115076,-1.055337,-1.3715363,-1.1305418,-0.2409945
49,-1.9740834,-1.8440778,"('unable', 'able')",-1.0217466,-0.8077082,-0.5456251,-0.24467096,-1.1804851,-0.9654857,-0.2149994
30,-1.9493718,-1.7742465,"('intolerant', 'tolerant')",-1.4609027,-1.6034478,0.30146563,0.21438742,-1.0362697,-1.0544356,0.0181659
13,-1.9064612,-1.8666798,"('impolite', 'polite')",-1.4031177,-1.4267246,-1.0318785,-0.9345394,-1.4471525,-1.4093146,-0.0378379
77,-1.7797107,-1.7183797,"('unmotivated', 'motivated')",-0.8554344,-0.7063862,-1.4399604,-1.1904694,-1.3583686,-1.2050784,-0.1532902
86,-1.7470379,-1.4103831,"('uninfluential', 'influential')",-0.9371779,-0.7697046,-0.65244716,-0.36518502,-1.112221,-0.8484242,-0.2637968
51,-1.7000397,-1.6459101,"('uneducated', 'educated')",-0.62091017,-0.62822044,0.31571513,0.46021435,-0.6684117,-0.6046387,-0.063773
62,-1.663032,-1.397918,"('incompetent', 'brilliant')",-0.88234293,-0.8387771,0.15293263,0.32488537,-0.7974807,-0.6372699,-0.1602108
41,-1.6599864,-1.4126077,"('unforgiving', 'forgiving')",-0.34242207,-0.22783412,-0.27573913,-0.3405756,-0.7593826,-0.6603391,-0.0990435
70,-1.6507932,-1.3881006,"('lethargic', 'energetic')",-0.8333046,-0.7500507,-0.07035231,0.17269993,-0.8514833,-0.6551505,-0.1963328
65,-1.5813628,-1.5212349,"('insecure', 'secure')",-0.71514904,-0.66183937,-0.27477974,-0.040824413,-0.8570972,-0.7412995,-0.1157977
73,1.526096,1.3492893,"('helpless', 'self-reliant')",0.119304284,-0.11759617,-3.5460672,-3.6888013,-0.6335557,-0.819036,0.1854803
11,-1.5018631,-1.4777433,"('unhelpful', 'helpful')",-1.5336244,-1.6852119,1.6885618,1.6303042,-0.4489753,-0.5108837,0.0619084
48,-1.4924973,-1.285883,"('unintelligent', 'intelligent')",-0.71807826,-0.69728476,0.59693325,0.647989,-0.5378808,-0.4450595,-0.0928213
21,-1.3951769,-1.0348406,"('immoral', 'moral')",-0.49230704,-0.23542975,-0.7156587,-0.3198162,-0.8677142,-0.5300289,-0.3376853
0,-1.3901743,-1.3764881,"('unsociable', 'sociable')",-1.4640775,-1.5086019,-0.6710989,-0.52497643,-1.1751169,-1.1366888,-0.0384281
67,1.377582,1.270364,"('doubtful', 'determined')",-0.3097573,-0.47996554,-0.48267305,-0.5742848,0.1950505,0.0720379,0.1230126
52,1.3653013,1.093901,"('irrational', 'rational')",-0.123231605,-0.2828369,0.0052422937,-0.23469962,0.4157706,0.1921215,0.2236491
54,-1.3646935,-1.4271675,"('incapable', 'capable')",-0.3684916,-0.2913512,0.6237124,0.6563192,-0.3698242,-0.3540665,-0.0157577
85,1.2693408,1.0266815,"('insignificant', 'prestigious')",0.14336324,0.10751709,-0.5225872,-0.7892148,0.2967056,0.1149946,0.181711
