,merck_male,merck_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.4741995,1.827741,"('lazy', 'industrious')",0.7960485,0.3012477,2.1449103,1.6733601,-0.19561832,-0.5107923,1.304885,0.8228891,0.4819959
35,2.2361627,1.7106229,"('corrupt', 'incorrupt')",0.24413007,-0.32179984,0.7056451,0.36246517,0.4325598,0.13424227,0.9046244,0.4713826,0.4332418
85,2.0329745,1.6333253,"('insignificant', 'prestigious')",1.7156447,1.2141991,1.4343051,0.96844435,1.2921457,1.0749528,1.6187675,1.2227304,0.3960371
33,1.9038403,1.6705759,"('wrong', 'right')",0.5142315,0.32528332,0.20054066,0.0809284,0.020501032,-0.16804084,0.6597784,0.4771867,0.1825917
46,-1.6737722,-1.3544273,"('uncompetitive', 'competitive')",0.022391539,0.16594468,-0.46093658,-0.30786642,-0.70383424,-0.77425957,-0.7040379,-0.5676522,-0.1363857
3,-1.6480876,-1.4436706,"('repellent', 'pleasant')",-0.44386542,-0.41723195,0.50650156,0.5096238,0.1820264,0.2156753,-0.3508563,-0.2839009,-0.0669554
72,-1.6016686,-1.2677877,"('unambitious', 'ambitious')",-0.7412919,-0.59317935,-0.5288458,-0.39664337,-0.6888466,-0.5166904,-0.8901632,-0.6935751,-0.1965881
59,1.4997827,1.3441523,"('foolish', 'wise')",1.0909921,0.9771145,-0.20104373,-0.5384771,0.6687926,0.5648576,0.7646309,0.5869118,0.1777191
6,1.45554,1.0570798,"('distant', 'open')",0.46942338,0.1407989,-0.014276452,-0.35251325,0.82056254,0.78929615,0.6828123,0.4086654,0.2741469
5,1.4079453,0.98549795,"('distant', 'outgoing')",0.07863852,-0.11184565,0.26670873,0.029276446,0.114747554,0.19179867,0.46701,0.2736818,0.1933282
60,-1.3392932,-0.8503572,"('inefficient', 'efficient')",-0.54782057,0.3404918,-1.4954022,-0.7997519,-0.52447796,-0.091924205,-0.9767485,-0.3503854,-0.6263631
19,1.2774605,1.0032102,"('inhospitable', 'hospitable')",-0.31578448,-0.39965826,-0.22295523,-0.2873032,0.24828157,0.29044312,0.2467506,0.151673,0.0950776
26,1.2734551,0.80090225,"('hardhearted', 'benevolent')",2.9096303,2.0994916,2.0835643,1.4840252,2.1509647,1.8223413,2.1044035,1.5516902,0.5527133
82,-1.2684776,-0.99109095,"('poor', 'rich')",-0.27567655,0.06623748,-0.95852286,-0.77479196,6.0341773,6.236228,0.8828751,1.1341456,-0.2512705
70,-1.2666092,-0.79395866,"('lethargic', 'energetic')",0.2772258,0.87460023,-1.4278513,-0.9046017,0.48706117,0.64883935,-0.4825434,-0.0437802,-0.4387632
11,-1.2625947,-0.9517683,"('unhelpful', 'helpful')",-1.1235023,-0.65570647,-1.1101968,-0.62875396,1.5527248,1.7592611,-0.4858922,-0.1192419,-0.3666503
15,1.2422673,1.1127807,"('boring', 'funny')",0.40417063,0.25666445,-0.21648398,-0.3725443,0.79953986,0.7448497,0.5573735,0.4354376,0.1219359
10,-1.2313489,-1.0882698,"('unsympathetic', 'sympathetic')",-0.068135604,-0.093363255,-1.095757,-0.9740002,-0.34069666,-0.41226763,-0.6839845,-0.6419753,-0.0420092
71,1.2189388,1.0178612,"('diffident', 'self-confident')",0.016084552,-0.17332572,-0.32417104,-0.42584214,0.63787997,0.58534527,0.3871831,0.2510097,0.1361734
2,1.19034,1.2663676,"('unlikable', 'likable')",1.1644359,1.3983068,1.250472,1.5125443,0.66011506,0.8409035,1.0663408,1.2545304,-0.1881896
21,-1.1399331,-0.95152134,"('immoral', 'moral')",-0.024481848,0.1839802,-1.9838417,-1.6275839,-1.175495,-0.9987811,-1.080938,-0.8484765,-0.2324615
