,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
73,2.2790434,1.9126866,"('helpless', 'self-reliant')",-2.680404,-3.0140836,-0.2006803,-0.5506985,0.3500182
86,-1.9192613,-1.7924863,"('uninfluential', 'influential')",-0.55873895,-0.5630369,-1.2390001,-1.1777616,-0.0612385
1,-1.8668803,-2.2551923,"('unfriendly', 'friendly')",1.5246419,1.5322098,-0.1711192,-0.3614913,0.1903721
31,-1.6919156,-1.9690908,"('evil', 'good')",-0.7169462,-0.6828172,-1.2044309,-1.325954,0.1215231
8,-1.421974,-1.3330358,"('unaffectionate', 'affectionate')",0.6277683,0.4695498,-0.3971028,-0.431743,0.0346402
0,-1.1884706,-0.8992753,"('unsociable', 'sociable')",-0.22762369,0.05214616,-0.7080472,-0.4235646,-0.2844826
27,-1.1418247,-1.361322,"('hardhearted', 'softhearted')",1.0202657,0.99661744,-0.0607795,-0.1823523,0.1215728
32,-1.0219537,-0.77672356,"('unkind', 'kind')",0.5565839,0.66877306,-0.2326849,-0.0539753,-0.1787096
53,-1.0105258,-1.4068849,"('uncreative', 'creative')",0.40089124,0.26729932,-0.3048173,-0.5697928,0.2649755
88,-1.000808,-0.8343923,"('low', 'eminent')",-0.3806641,-0.4440972,-0.6907361,-0.6392447,-0.0514914
15,-1.0007015,-0.7995838,"('boring', 'funny')",-0.016409274,-0.017810551,-0.5085554,-0.4086972,-0.0998582
48,-0.94670343,-0.9061352,"('unintelligent', 'intelligent')",0.88172317,0.9012099,-0.0324901,-0.0024627,-0.0300274
6,-0.9249439,-1.3022404,"('distant', 'open')",-0.47280294,-0.5753859,-0.6988734,-0.9388131,0.2399397
77,-0.9159292,-0.86252356,"('unmotivated', 'motivated')",-1.0775617,-1.067584,-0.9967455,-0.9650538,-0.0316917
26,-0.91332364,-0.7929435,"('hardhearted', 'benevolent')",1.6280279,1.7190351,0.3573521,0.4630458,-0.1056937
19,-0.9024272,-1.0509404,"('inhospitable', 'hospitable')",-0.63585496,-0.7169429,-0.7691411,-0.8839417,0.1148006
57,-0.8984239,-0.91551757,"('unimaginative', 'imaginative')",-2.9056222,-2.9507256,-1.9020231,-1.9331216,0.0310985
25,-0.89701116,-1.0594916,"('egoistic', 'altruistic')",1.3095868,1.5242423,0.2062878,0.2323753,-0.0260875
9,-0.89643925,-1.0301925,"('unaffectionate', 'caring')",1.118678,1.0050337,0.1111194,-0.0125794,0.1236988
76,0.8933914,1.4460411,"('anxious', 'daring')",-0.2791747,-0.21932968,0.3071083,0.6133557,-0.3062474
36,-0.88120234,-1.313174,"('hostile', 'amicable')",-0.21352834,-0.14364652,-0.5473653,-0.7284102,0.1810449
42,0.8441509,0.9463728,"('unreliable', 'reliable')",-3.0608552,-3.2292478,-1.1083522,-1.1414375,0.0330853
44,0.8353145,1.1826183,"('prejudiced', 'unprejudiced')",-1.5395664,-1.2928666,-0.3521259,-0.0551242,-0.2970017
45,-0.7848449,-0.95535815,"('incompetent', 'competent')",-0.105068065,-0.16072686,-0.4449565,-0.5580425,0.113086
