,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,male-female
26,3.0953827,3.214745,"('hardhearted', 'benevolent')",1.8954059,2.29152,2.4953942,2.7531326,-0.2577384
84,2.08783,2.1550326,"('inferior', 'superior')",0.9814276,1.0187242,1.5346289,1.5868784,-0.0522495
81,-1.9867986,-2.4385,"('submissive', 'aggressive')",-0.46486664,-0.697174,-1.2258327,-1.567837,0.3420043
1,1.9437674,2.0029554,"('unfriendly', 'friendly')",1.2780851,1.4816239,1.6109263,1.7422897,-0.1313634
44,-1.8807013,-2.1088014,"('prejudiced', 'unprejudiced')",-1.6630043,-2.046425,-1.7718527,-2.0776134,0.3057607
9,1.8144598,1.609538,"('unaffectionate', 'caring')",0.92802465,1.0387169,1.3712423,1.3241274,0.0471149
3,-1.7680889,-1.9294133,"('repellent', 'pleasant')",-0.04888712,-0.20031165,-0.908488,-1.0648625,0.1563745
85,1.7465258,1.914779,"('insignificant', 'prestigious')",-0.94779223,-1.0947332,0.3993668,0.4100229,-0.0106561
25,1.7009586,1.7061206,"('egoistic', 'altruistic')",0.9095671,0.8028798,1.3052628,1.2545002,0.0507626
22,-1.6013234,-1.7896866,"('untrustworthy', 'trustworthy')",-0.7202607,-1.0392289,-1.160792,-1.4144578,0.2536658
71,1.5509934,1.4392066,"('diffident', 'self-confident')",0.19895628,0.14121783,0.8749748,0.7902122,0.0847626
56,1.439448,1.2058464,"('impractical', 'practical')",0.49576178,0.38590795,0.9676049,0.7958772,0.1717277
57,-1.4222698,-1.5727707,"('unimaginative', 'imaginative')",-2.780707,-2.8280642,-2.1014884,-2.2004175,0.0989291
12,1.383588,1.1795506,"('unsupportive', 'supportive')",-1.0468707,-1.0153984,0.1683586,0.0820761,0.0862825
68,-1.3530084,-1.3350813,"('dependent', 'independent')",-1.5749471,-1.664221,-1.4639778,-1.4996512,0.0356734
75,-1.3100065,-0.9793547,"('meek', 'impulsive')",-0.9186491,-0.7850722,-1.1143278,-0.8822135,-0.2321143
39,1.2755445,0.80670834,"('exploitative', 'cooperative')",0.3635019,-0.19113547,0.8195232,0.3077864,0.5117368
8,1.2463495,1.3633484,"('unaffectionate', 'affectionate')",0.3749132,0.8816336,0.8106313,1.122491,-0.3118597
