,range_male,range_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,male-female
5,-2.299385,-2.4773116,"('distant', 'outgoing')",-0.63629323,-0.50406075,-0.6037418,-0.6482586,-1.1798067,-1.209877,0.0300703
6,-2.2606878,-2.5559745,"('distant', 'open')",-1.2696748,-1.3160572,-0.16203284,-0.42622718,-1.2307985,-1.4327529,0.2019544
56,2.2011254,2.6221604,"('impractical', 'practical')",1.0293913,1.5211977,-0.65693784,-0.31461206,0.8578596,1.2762487,-0.4183891
36,-2.0842583,-2.6461542,"('hostile', 'amicable')",-2.2441497,-2.905944,-0.40727508,-0.78454894,-1.5785611,-2.1122157,0.5336546
60,2.0419097,2.6119323,"('inefficient', 'efficient')",1.713285,2.2363348,0.33917618,0.8137072,1.3647903,1.8873248,-0.5225345
31,-2.0219567,-2.4041684,"('evil', 'good')",-1.5736216,-1.8598303,-1.0208257,-1.3758161,-1.5388014,-1.8799381,0.3411367
23,1.8079182,2.1034386,"('insincere', 'sincere')",1.406614,1.4829901,6.5179257,6.9560304,3.2441527,3.5141532,-0.2700005
7,1.6797916,1.8719006,"('insensitive', 'sensitive')",1.0244431,1.1388702,0.8115866,0.95916444,1.1719404,1.3233117,-0.1513713
62,1.6358182,2.0675251,"('incompetent', 'brilliant')",0.92776024,1.4091864,0.19768678,0.764925,0.9204218,1.4138788,-0.493457
55,1.6136684,1.9864417,"('incompetent', 'clever')",0.56834066,0.72641224,0.5165064,0.80296147,0.8995052,1.1719384,-0.2724332
21,1.6108294,1.9910225,"('immoral', 'moral')",1.2870421,1.5204687,-0.20687531,0.13469431,0.8969987,1.2153952,-0.3183965
39,1.5934373,1.7614566,"('exploitative', 'cooperative')",-0.116449565,0.014269587,0.19052725,0.2544836,0.5558383,0.6767366,-0.1208983
71,1.555489,1.4719734,"('diffident', 'self-confident')",1.1042848,1.0937287,0.3232608,0.28753987,0.9943449,0.9510806,0.0432643
44,-1.4608845,-1.5501612,"('prejudiced', 'unprejudiced')",-0.701263,-0.7261477,-1.1230739,-1.393495,-1.0950739,-1.223268,0.1281941
35,-1.4068123,-1.6860251,"('corrupt', 'incorrupt')",-1.4250532,-1.6364187,-0.951037,-1.241233,-1.2609675,-1.5212256,0.2602581
77,1.3624619,1.331049,"('unmotivated', 'motivated')",1.4518588,1.5510324,-1.2311141,-0.9806857,0.5277355,0.6337986,-0.1060631
13,1.3592496,1.700875,"('impolite', 'polite')",0.10718162,0.28670233,-0.4059315,-0.0023741834,0.3534999,0.6617344,-0.3082345
28,1.3194461,1.2593842,"('disloyal', 'loyal')",0.43148917,0.38597763,1.2048631,1.1961365,0.9852661,0.9471661,0.0381
43,1.2931187,1.5529671,"('irresponsible', 'responsible')",0.36223722,0.45652086,0.5505657,0.81366336,0.7353072,0.9410504,-0.2057432
45,1.2836117,1.395141,"('incompetent', 'competent')",0.7992545,0.80600685,-0.017122589,0.12806855,0.6885812,0.7764054,-0.0878242
30,1.2594362,1.6018953,"('intolerant', 'tolerant')",0.864095,1.1027982,0.37891412,0.56241983,0.8341485,1.0890378,-0.2548893
74,1.2157463,1.3354155,"('undedicated', 'dedicated')",0.5070383,0.684738,-0.5414341,-0.43614653,0.3937835,0.5280023,-0.1342188
14,1.2082667,1.5572627,"('antisocial', 'social')",0.74908996,1.1508062,-0.16268326,-0.08130301,0.5982245,0.8755886,-0.2773641
85,-1.1781061,-1.7847589,"('insignificant', 'prestigious')",-0.30730337,-0.74599093,-0.7260728,-1.1064963,-0.7371608,-1.2124154,0.4752546
65,1.1777898,1.5079623,"('insecure', 'secure')",0.1835228,0.32254243,0.13041002,0.59397197,0.4972409,0.8081589,-0.310918
12,1.1691797,1.2359743,"('unsupportive', 'supportive')",1.1155672,1.2200584,-1.9120811,-1.8879976,0.1242219,0.189345,-0.0651231
81,1.162408,1.5081949,"('submissive', 'aggressive')",1.2192535,1.5388644,-0.50490963,-0.13792095,0.6255839,0.9697128,-0.3441289
46,1.1555,1.5111096,"('uncompetitive', 'competitive')",1.3575581,1.5151923,-0.93859273,-0.39322695,0.5248218,0.8776917,-0.3528699
52,-1.1048394,-1.5248232,"('irrational', 'rational')",-0.27284873,-0.6102183,-0.10142662,-0.4291616,-0.4930383,-0.8547343,0.361696
79,-1.0321118,-1.4202907,"('wavering', 'unwavering')",-1.5188404,-1.7719064,-0.48906744,-0.57611763,-1.0133398,-1.2561049,0.2427651
75,-1.0241971,-1.3000773,"('meek', 'impulsive')",-0.466944,-0.550393,-0.85328585,-0.849087,-0.7814756,-0.8998524,0.1183768
10,1.0135005,1.2543812,"('unsympathetic', 'sympathetic')",-0.15461716,-0.112094626,0.38542277,0.5555277,0.4147687,0.5659381,-0.1511694
48,1.0126277,1.0888208,"('unintelligent', 'intelligent')",0.86672163,0.8988992,0.31752786,0.56049526,0.7322924,0.8494051,-0.1171127
33,0.9639495,0.7866105,"('wrong', 'right')",0.83864635,0.59207964,-0.47982374,-0.7413069,0.440924,0.2124611,0.2284629
22,0.95522696,1.0697012,"('untrustworthy', 'trustworthy')",0.42138234,0.48439828,-0.7177843,-0.50776434,0.2196083,0.3487784,-0.1291701
19,-0.94673336,-0.9998774,"('inhospitable', 'hospitable')",-1.0418508,-1.0341147,-0.730343,-0.6777915,-0.906309,-0.9039278,-0.0023812
