,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
64,-2.4193144,-2.4379692,"('shy', 'confident')",-6.6559925,-6.692339,-4.5376534,-4.5651541,0.0275007
26,1.9845184,2.0040941,"('hardhearted', 'benevolent')",1.5144684,1.5796745,1.7494934,1.7918843,-0.0423909
80,-1.958423,-1.8735993,"('dominated', 'dominating')",-1.7456278,-1.7651258,-1.8520254,-1.8193625,-0.0326629
53,1.8356762,1.8300226,"('uncreative', 'creative')",0.660498,0.7503025,1.2480872,1.2901626,-0.0420754
23,1.797955,1.763881,"('insincere', 'sincere')",6.001236,6.0031104,3.8995955,3.8834958,0.0160997
1,1.7970796,1.8176115,"('unfriendly', 'friendly')",1.7280812,1.8182123,1.7625804,1.8179119,-0.0553315
44,-1.7639806,-1.7649958,"('prejudiced', 'unprejudiced')",-1.5427736,-1.5001007,-1.6533771,-1.6325483,-0.0208288
4,-1.628283,-1.5324737,"('disliked', 'liked')",-6.950021,-6.9140787,-4.2891521,-4.2232761,-0.065876
34,1.3861421,1.4930986,"('mean', 'honorable')",5.99914,6.205489,3.692641,3.8492939,-0.1566529
15,1.3726026,1.3150729,"('boring', 'funny')",0.29272276,0.34066552,0.8326627,0.8278692,0.0047935
54,1.340935,1.3919266,"('incapable', 'capable')",1.1853181,1.3446035,1.2631266,1.3682652,-0.1051386
13,-1.3141816,-1.0495132,"('impolite', 'polite')",-0.6398483,-0.5983096,-0.9770149,-0.8239114,-0.1531035
42,-1.3103445,-1.1227952,"('unreliable', 'reliable')",-3.6100419,-3.4039454,-2.4601932,-2.2633703,-0.1968229
75,-1.2909628,-1.2729732,"('meek', 'impulsive')",-0.48776674,-0.40714988,-0.8893648,-0.8400615,-0.0493033
45,-1.268612,-1.2111322,"('incompetent', 'competent')",-0.6167564,-0.631114,-0.9426842,-0.9211231,-0.0215611
85,1.2577202,1.275913,"('insignificant', 'prestigious')",0.5370212,0.71100646,0.8973707,0.9934597,-0.096089
16,-1.2368898,-1.4148952,"('unpopular', 'popular')",0.36651528,0.27466813,-0.4351873,-0.5701135,0.1349262
39,1.1679153,1.1394951,"('exploitative', 'cooperative')",0.2354187,0.276881,0.701667,0.7081881,-0.0065211
9,1.1504247,1.1970596,"('unaffectionate', 'caring')",0.67462707,0.77202255,0.9125259,0.9845411,-0.0720152
81,-1.1252164,-1.0945585,"('submissive', 'aggressive')",-1.2036953,-1.134055,-1.1644559,-1.1143067,-0.0501492
61,1.0580877,0.95104516,"('illogical', 'logical')",0.57237464,0.47811025,0.8152312,0.7145777,0.1006535
48,1.041238,0.8260445,"('unintelligent', 'intelligent')",0.6082,0.63628775,0.824719,0.7311661,0.0935529
6,1.0332229,1.1853033,"('distant', 'open')",0.09225918,0.16036844,0.562741,0.6728359,-0.1100949
65,-1.0028253,-1.1798146,"('insecure', 'secure')",-0.49922672,-0.47157693,-0.751026,-0.8256958,0.0746698
68,-0.99308026,-1.1043446,"('dependent', 'independent')",-0.17340787,-0.110649884,-0.5832441,-0.6074972,0.0242531
51,-0.9125963,-0.8717803,"('uneducated', 'educated')",0.7836043,0.78976506,-0.064496,-0.0410076,-0.0234884
58,0.90998936,0.9645914,"('undiscriminating', 'discriminating')",0.6035294,0.54912126,0.7567594,0.7568563,-9.69e-05
14,-0.90822905,-0.918239,"('antisocial', 'social')",-0.68837285,-0.74899805,-0.798301,-0.8336185,0.0353175
29,-0.8912027,-0.9457899,"('unfair', 'fair')",0.01626923,-0.074410036,-0.4374667,-0.5100999,0.0726332
5,0.8683318,0.952777,"('distant', 'outgoing')",-0.28840187,-0.24129474,0.289965,0.3557411,-0.0657761
66,-0.8675355,-0.6248045,"('inactive', 'active')",0.5877433,0.6273489,-0.1398961,0.0012722,-0.1411683
27,0.8408964,1.0054299,"('hardhearted', 'softhearted')",1.3990686,1.4496071,1.1199825,1.2275186,-0.1075361
78,0.80212975,0.8183239,"('nonresilient', 'resilient')",0.2061276,0.19124658,0.5041287,0.5047852,-0.0006565
2,0.79598236,0.8594791,"('unlikable', 'likable')",0.3772906,0.40082973,0.5866365,0.6301544,-0.0435179
12,0.76601166,0.95930403,"('unsupportive', 'supportive')",-1.9084277,-1.7858157,-0.571208,-0.4132558,-0.1579522
33,0.7659088,0.73223567,"('wrong', 'right')",-0.68903154,-0.6311303,0.0384386,0.0505527,-0.0121141
71,0.74013996,0.7375572,"('diffident', 'self-confident')",0.15053917,0.19617048,0.4453396,0.4668638,-0.0215242
8,0.7249495,0.6887291,"('unaffectionate', 'affectionate')",0.51968867,0.5854057,0.6223191,0.6370674,-0.0147483
84,0.71234906,0.592573,"('inferior', 'superior')",1.1983589,1.2021935,0.955354,0.8973832,0.0579708
30,0.66681266,0.76338327,"('intolerant', 'tolerant')",0.8100011,0.95732445,0.7384069,0.8603538,-0.1219469
40,0.6643374,0.7733078,"('stingy', 'generous')",-1.5948725,-1.5471746,-0.4652675,-0.3869334,-0.0783341
20,0.64982283,0.58940685,"('rough', 'thoughtful')",1.1701778,1.299971,0.9100003,0.9446889,-0.0346886
63,0.6348015,0.64866894,"('unperceptive', 'insightful')",0.84498805,0.96255386,0.7398947,0.8056114,-0.0657167
52,0.62008286,0.50674295,"('irrational', 'rational')",-0.050228834,-0.1651453,0.284927,0.1707988,0.1141282
0,-0.6056563,-0.72093666,"('unsociable', 'sociable')",-0.4102763,-0.52066255,-0.5079663,-0.6207996,0.1128333
