,kroger_male,kroger_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-2.4320643,-2.314495,"('unsympathetic', 'sympathetic')",0.80419093,0.46369886,-0.8139367,-0.9253981,0.1114614
57,-1.8854499,-1.923366,"('unimaginative', 'imaginative')",-2.319279,-2.8390281,-2.1023645,-2.381197,0.2788325
69,1.7033454,1.3548201,"('lazy', 'industrious')",-1.2621353,-1.4292381,0.2206051,-0.037209,0.2578141
53,-1.6173507,-1.4300659,"('uncreative', 'creative')",-0.25791097,-0.21334669,-0.9376308,-0.8217063,-0.1159245
86,-1.5886147,-1.52119,"('uninfluential', 'influential')",0.24657372,-0.18433006,-0.6710205,-0.8527601,0.1817396
11,-1.5862489,-1.3450488,"('unhelpful', 'helpful')",2.237362,2.2704544,0.3255565,0.4627028,-0.1371463
35,1.5650676,1.3901105,"('corrupt', 'incorrupt')",-1.3494067,-1.3522378,0.1078305,0.0189363,0.0888942
51,-1.5410197,-1.1685888,"('uneducated', 'educated')",0.9672783,0.97971165,-0.2868707,-0.0944386,-0.1924321
70,-1.4755199,-1.0416288,"('lethargic', 'energetic')",1.1172953,0.98008245,-0.1791123,-0.0307732,-0.1483391
23,-1.3998597,-1.171361,"('insincere', 'sincere')",6.0317245,6.3211317,2.3159323,2.5748854,-0.2589531
48,-1.307837,-1.2655882,"('unintelligent', 'intelligent')",0.49205345,0.568181,-0.4078918,-0.3487036,-0.0591882
72,-1.25751,-0.90237737,"('unambitious', 'ambitious')",-0.009460767,0.08573475,-0.6334854,-0.4083213,-0.2251641
3,-1.2072111,-1.1633266,"('repellent', 'pleasant')",0.25533262,0.25276226,-0.4759393,-0.4552822,-0.0206571
12,-1.1852977,-0.9952278,"('unsupportive', 'supportive')",-1.4775695,-1.61949,-1.3314335,-1.307359,-0.0240745
88,-1.1810015,-1.1504195,"('low', 'eminent')",0.045981143,-0.017307905,-0.5675102,-0.5838637,0.0163535
22,-1.166768,-1.1569021,"('untrustworthy', 'trustworthy')",-0.4849419,-0.7513132,-0.8258549,-0.9541076,0.1282527
73,1.1562101,1.4132273,"('helpless', 'self-reliant')",-3.226879,-3.1337328,-1.0353343,-0.8602527,-0.1750816
30,-1.1420833,-0.7892065,"('intolerant', 'tolerant')",1.0459521,1.1678245,-0.0480656,0.189309,-0.2373746
21,-1.1410927,-0.77515686,"('immoral', 'moral')",0.3869437,0.3323838,-0.3770745,-0.2213865,-0.155688
59,1.1226294,1.1545427,"('foolish', 'wise')",-0.6767134,-0.5395144,0.222958,0.3075141,-0.0845561
7,-1.0888169,-1.0720342,"('insensitive', 'sensitive')",0.9456873,0.6793356,-0.0715648,-0.1963493,0.1247845
41,-1.0737284,-1.1139545,"('unforgiving', 'forgiving')",0.56705135,0.3853584,-0.2533385,-0.3642981,0.1109596
13,-1.0431575,-0.97930926,"('impolite', 'polite')",0.30014697,0.25468713,-0.3715053,-0.3623111,-0.0091942
81,-1.0166066,-0.7031371,"('submissive', 'aggressive')",0.61016893,0.51901627,-0.2032188,-0.0920604,-0.1111584
1,-1.0134071,-1.2269754,"('unfriendly', 'friendly')",1.0073396,0.88579243,-0.0030338,-0.1705915,0.1675577
46,-1.0079677,-1.0070993,"('uncompetitive', 'competitive')",0.618268,0.16897653,-0.1948498,-0.4190614,0.2242116
