,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
69,1.9578426,1.9751577,"('lazy', 'industrious')",1.4484245,1.3469887,-0.98634547,-0.9879005,-0.18362343,-0.2867,0.5590745,0.5118865,0.047188
8,-1.6491117,-1.6554971,"('unaffectionate', 'affectionate')",-1.4146616,-1.6014652,-3.1930192,-3.3221958,0.47592923,0.25729045,-1.4452158,-1.5804669,0.1352511
73,1.6200893,1.6372094,"('helpless', 'self-reliant')",0.009556755,0.01860682,-1.2427527,-1.3103601,-3.4131653,-3.4814515,-0.756568,-0.7839988,0.0274308
1,-1.6115347,-1.5751222,"('unfriendly', 'friendly')",-1.127257,-1.1953193,-0.7154483,-0.81750125,1.6787373,1.6067802,-0.4438757,-0.4952907,0.051415
53,-1.5954592,-1.5835524,"('uncreative', 'creative')",-0.2298676,-0.31634995,-0.12364659,-0.1932823,0.74247515,0.68193907,-0.3016246,-0.3528114,0.0511868
64,1.5444798,1.631325,"('shy', 'confident')",0.5385177,0.692049,-0.23973835,-0.25797236,-6.7526264,-6.5559793,-1.2273418,-1.1226444,-0.1046974
67,1.5113405,1.3473893,"('doubtful', 'determined')",0.3835019,0.17614424,-0.21660012,-0.41319248,-0.72544616,-0.85298,0.238199,0.0643403,0.1738587
44,1.499142,1.6088457,"('prejudiced', 'unprejudiced')",0.73511493,0.99413127,-1.0072947,-0.7631418,-1.0061562,-0.9244752,0.0552015,0.22884,-0.1736385
86,-1.4508291,-1.5019748,"('uninfluential', 'influential')",-0.027389325,-0.13631356,1.519271,1.3220774,-0.41040504,-0.3942637,-0.0923381,-0.1776187,0.0852806
55,-1.434849,-1.4675268,"('incompetent', 'clever')",-0.13548195,0.008016519,2.3059394,2.254505,-0.18129246,-0.121231064,0.138579,0.1684409,-0.0298619
48,-1.3852732,-1.5849733,"('unintelligent', 'intelligent')",-0.43067726,-0.5187775,0.17412847,0.03880454,0.38026854,0.32213074,-0.3153884,-0.4357039,0.1203155
56,1.3101965,1.2295785,"('impractical', 'practical')",1.547788,1.47352,2.7585692,2.6334524,-0.1586578,-0.1660315,1.3644739,1.2926298,0.0718441
9,-1.188947,-1.246279,"('unaffectionate', 'caring')",-0.4582895,-0.6669204,-0.9035128,-0.9136757,1.1723869,1.0202498,-0.3445906,-0.4516563,0.1070657
78,-1.1663219,-1.234344,"('nonresilient', 'resilient')",0.3510846,0.23002215,-0.46110123,-0.5002687,0.26685497,0.22434466,-0.2523709,-0.3200615,0.0676906
82,-1.1411651,-1.2917624,"('poor', 'rich')",-0.46252018,-0.7343553,0.73184687,0.5920669,6.204422,5.99578,1.3331459,1.1404324,0.1927135
50,1.1401389,1.0401106,"('clumsy', 'skillful')",-0.15250601,-0.4618051,-0.97789526,-1.1809276,0.18009114,-0.040748835,0.0474572,-0.1608427,0.2082999
10,-1.1112698,-1.1308644,"('unsympathetic', 'sympathetic')",-0.31433004,-0.28622007,1.7323501,1.6591558,-0.29935303,-0.2702478,0.0018493,-0.0070441,0.0088934
46,-1.1056111,-1.113732,"('uncompetitive', 'competitive')",1.0619385,1.1665261,2.4156733,2.357638,-0.69237775,-0.59460074,0.4199057,0.4539578,-0.0340521
28,-1.1045909,-1.1613792,"('disloyal', 'loyal')",-0.41700158,-0.41109088,0.42081538,0.45641273,0.9910117,0.92957544,-0.0274414,-0.0466205,0.0191791
