,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.7571028,-0.69674975,"('unsympathetic', 'sympathetic')",-3.2635348,-2.8802655,-2.7435617,-2.3861377,-0.4626174,-0.4602362,-0.24362694,-0.26008373,-1.6940886,-1.3366945,-0.3573941
16,-1.497322,-1.8464303,"('unpopular', 'popular')",-0.12848029,-0.1529533,-0.3723115,-0.69554704,-0.7683563,-0.9927494,0.110463604,0.021488033,-0.5312013,-0.7332384,0.2020371
77,-1.4645351,-0.8127088,"('unmotivated', 'motivated')",-0.6383336,-0.51385784,-1.2372158,-1.0881361,0.006624058,-0.015188254,-1.4331818,-1.3695319,-0.9533285,-0.7598846,-0.1934439
4,-1.2970161,-1.5530746,"('disliked', 'liked')",0.9281084,0.96515006,0.11747512,0.01824895,-1.0812908,-1.1395127,-6.408123,-6.913936,-1.5481693,-1.7246248,0.1764555
28,-1.2785153,-1.4748266,"('disloyal', 'loyal')",-1.2139736,-1.3988527,-0.8919138,-1.2971048,0.42340723,-0.06451446,0.8854675,0.709029,-0.4151056,-0.7052539,0.2901483
85,-1.2331829,-2.6220975,"('insignificant', 'prestigious')",1.8552153,1.6159378,2.1474283,1.4334211,0.79893905,0.19003156,0.67709655,0.28122634,0.8490993,0.1797039,0.6693954
0,-1.2318171,-0.5782563,"('unsociable', 'sociable')",-3.6143732,-3.439479,-1.6593587,-1.745167,0.40085196,0.24183129,-0.30639622,-0.51651263,-1.2822186,-1.2075167,-0.0747019
80,1.2314334,2.1465676,"('dominated', 'dominating')",-0.5099488,-0.16867273,-1.0669364,-0.40365544,-0.355469,-0.01934702,-1.4028555,-0.90804267,-0.4207552,0.12937,-0.5501252
37,1.1907045,1.6680477,"('fake', 'genuine')",0.4997419,0.7242686,0.67394763,1.0042266,-0.16786234,-0.009850912,0.47332764,0.6914375,0.5339718,0.815626,-0.2816542
57,-1.182104,-0.44026747,"('unimaginative', 'imaginative')",-1.9777741,-1.7186337,-1.8137008,-1.5812033,-0.055693068,-0.0591257,-2.3987944,-2.7971792,-1.4856133,-1.319282,-0.1663313
14,-1.1588968,-0.30570608,"('antisocial', 'social')",-3.217067,-2.8225229,-1.5871853,-1.2047977,0.5203669,0.89588493,-1.0269006,-0.93409014,-1.2939366,-0.8742464,-0.4196902
45,-1.1462202,-0.19337794,"('incompetent', 'competent')",-3.9679635,-3.4128292,-1.9646236,-1.2586306,-0.86509,-0.49880093,-0.69708157,-0.49165472,-1.7281956,-1.1710587,-0.5571369
50,-1.1168799,-1.4866853,"('clumsy', 'skillful')",1.180007,1.2576659,-0.38344386,-0.27624863,-0.8228643,-1.0241524,0.3926448,0.5036945,-0.1501073,-0.2051452,0.0550379
60,-1.1003697,-0.13132249,"('inefficient', 'efficient')",-3.2494235,-2.9074244,-2.71446,-1.9433212,0.5711586,1.1602455,0.077107005,0.2879888,-1.2831976,-0.7067667,-0.5764309
18,-1.0998883,-1.3341122,"('disagreeable', 'welcoming')",0.9267237,0.7274208,-0.5216548,-0.65946347,-0.20938191,-0.49300554,-0.26100126,-0.3269578,-0.2330405,-0.4172236,0.1841831
79,-1.021263,-1.9639082,"('wavering', 'unwavering')",2.621196,2.2882774,0.6979512,0.4439174,-0.26316246,-0.6473546,0.04074842,0.052800864,0.415094,0.0347466,0.3803474
41,-0.96309376,-0.76488185,"('unforgiving', 'forgiving')",-1.2662094,-1.2738645,-0.9617995,-0.7759941,0.4000024,0.28940356,-0.01756995,-0.28691474,-0.561734,-0.5624503,0.0007163
64,-0.95378554,-0.71321875,"('shy', 'confident')",-0.4629801,-0.4128933,-1.7478089,-1.7369851,-1.5428042,-1.403212,-6.27904,-6.758207,-2.1972837,-2.2049032,0.0076195
15,0.94284415,0.7438827,"('boring', 'funny')",1.5226554,1.5073828,2.4403524,2.2891667,1.9699744,1.8433448,0.8370561,0.8149087,1.5425765,1.439737,0.1028395
49,-0.9305439,-0.6488044,"('unable', 'able')",0.21556796,0.360904,0.5795001,0.5803295,0.14029172,0.1992486,-0.09920157,0.28175902,-0.0188771,0.1546873,-0.1735644
31,-0.9182195,-1.7250253,"('evil', 'good')",1.7848729,1.3826246,0.8800846,0.5226413,-0.352197,-0.6414132,-1.162581,-1.3431066,0.046392,-0.3608558,0.4072478
74,0.85698175,1.3925928,"('undedicated', 'dedicated')",-0.016611233,0.2844241,-0.7682173,-0.44008008,0.25182876,0.42838833,0.29583526,0.094914876,0.1239635,0.352048,-0.2280845
58,-0.82116866,-0.57820594,"('undiscriminating', 'discriminating')",-0.92541224,-0.82450646,-0.7747474,-0.7038915,0.54093874,0.44538397,0.56366485,0.3276779,-0.2833449,-0.2667084,-0.0166365
8,-0.81662476,-1.343066,"('unaffectionate', 'affectionate')",-0.48336166,-0.7629225,0.85629016,0.35516518,0.8659061,0.40944678,0.87261844,0.8634863,0.2589657,-0.0955781,0.3545438
17,-0.8044896,-0.53211874,"('nasty', 'nice')",-1.9286716,-1.7724526,-0.22036728,-0.36049736,-0.6317541,-0.6751737,-0.66068,-0.60555464,-0.8491925,-0.7891594,-0.0600331
