,embarq_male,embarq_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.2228303,-2.3986297,"('unfriendly', 'friendly')",1.2005266,0.9849231,-0.5111519,-0.7068533,0.1957014
53,-1.6717958,-1.7725081,"('uncreative', 'creative')",0.5226103,0.37168053,-0.5745928,-0.7004138,0.125821
19,-1.6667584,-1.7895517,"('inhospitable', 'hospitable')",-0.55769235,-0.55409783,-1.1122254,-1.1718248,0.0595994
57,-1.6461986,-1.899394,"('unimaginative', 'imaginative')",-3.089633,-3.3235896,-2.3679159,-2.6114917,0.2435758
86,-1.4118302,-1.5427183,"('uninfluential', 'influential')",-0.31954005,-0.55681646,-0.8656851,-1.0497674,0.1840823
8,-1.3293858,-1.4600358,"('unaffectionate', 'affectionate')",0.08464955,0.14407267,-0.6223681,-0.6579816,0.0356135
31,-1.2883917,-1.2563295,"('evil', 'good')",-0.94952035,-0.9168957,-1.1189561,-1.0866126,-0.0323435
10,-1.2733526,-1.4597768,"('unsympathetic', 'sympathetic')",-0.6408797,-0.8970285,-0.9571161,-1.1784027,0.2212866
28,-1.1375256,-1.2139138,"('disloyal', 'loyal')",0.72578824,0.671265,-0.2058687,-0.2713244,0.0654557
9,-1.074078,-1.274112,"('unaffectionate', 'caring')",0.9408901,0.9219692,-0.0665939,-0.1760714,0.1094775
0,-1.0430093,-1.3438526,"('unsociable', 'sociable')",-0.06881975,-0.36895314,-0.5559145,-0.8564029,0.3004884
23,-1.0247889,-1.159549,"('insincere', 'sincere')",5.6936674,5.418026,2.3344393,2.1292386,0.2052007
80,0.92740536,0.8520517,"('dominated', 'dominating')",-0.68385136,-0.6606006,0.121777,0.0957255,0.0260515
32,-0.87244266,-0.9995559,"('unkind', 'kind')",0.6974171,0.48063394,-0.0875128,-0.259461,0.1719482
84,0.87174577,0.8909281,"('inferior', 'superior')",0.98807216,1.0828989,0.929909,0.9869134,-0.0570044
36,-0.85483044,-0.94141704,"('hostile', 'amicable')",-0.4090993,-0.40892947,-0.6319649,-0.6751733,0.0432084
79,-0.8530269,-1.0514191,"('wavering', 'unwavering')",-0.5390534,-0.5986125,-0.6960402,-0.8250158,0.1289756
76,0.8257902,0.6774908,"('anxious', 'daring')",0.018283915,-0.05767378,0.4220371,0.3099085,0.1121286
62,0.7985103,0.6607445,"('incompetent', 'brilliant')",0.85584724,0.832263,0.8271788,0.7465037,0.0806751
41,-0.78260994,-0.90209025,"('unforgiving', 'forgiving')",-0.25733185,-0.45936388,-0.5199709,-0.6807271,0.1607562
30,0.771775,0.51579386,"('intolerant', 'tolerant')",0.9814819,0.8874749,0.8766285,0.7016344,0.1749941
38,-0.7713994,-0.99692273,"('untruthful', 'truthful')",0.15102147,0.1458355,-0.3101889,-0.4255436,0.1153547
6,-0.7581928,-0.78128237,"('distant', 'open')",-0.58471376,-0.60066724,-0.6714532,-0.6909748,0.0195216
44,0.74471307,0.84710425,"('prejudiced', 'unprejudiced')",-1.4867706,-1.3804288,-0.3710288,-0.2666623,-0.1043665
69,0.7428136,0.74913883,"('lazy', 'industrious')",-0.3356661,-0.20367792,0.2035737,0.2727305,-0.0691568
2,0.7156396,0.5622272,"('unlikable', 'likable')",0.596305,0.4564425,0.6559723,0.5093349,0.1466374
12,-0.7149932,-0.80350584,"('unsupportive', 'supportive')",-1.9152869,-1.9644074,-1.31514,-1.3839567,0.0688167
73,0.7140641,0.6677717,"('helpless', 'self-reliant')",-3.1798651,-2.8978572,-1.2329005,-1.1150427,-0.1178578
82,-0.7058748,-0.6719221,"('poor', 'rich')",6.3307686,6.0118628,2.8124468,2.6699703,0.1424765
5,-0.69328207,-0.6970822,"('distant', 'outgoing')",-0.40592614,-0.3492468,-0.5496041,-0.5231645,-0.0264396
45,-0.67314905,-0.8374895,"('incompetent', 'competent')",0.013724875,-0.1739129,-0.3297121,-0.5057012,0.1759891
27,-0.66732496,-0.6698934,"('hardhearted', 'softhearted')",0.78481424,0.7775955,0.0587446,0.0538511,0.0048935
26,-0.6666545,-0.93761814,"('hardhearted', 'benevolent')",1.4110011,1.1430941,0.3721733,0.102738,0.2694353
43,-0.6361192,-0.85605854,"('irresponsible', 'responsible')",0.2900606,0.06361332,-0.1730293,-0.3962226,0.2231933
63,-0.63261503,-0.8067943,"('unperceptive', 'insightful')",1.0406307,0.8881974,0.2040078,0.0407016,0.1633062
7,-0.6248903,-0.6690843,"('insensitive', 'sensitive')",0.3435967,0.21101175,-0.1406468,-0.2290363,0.0883895
54,-0.6226213,-0.6697852,"('incapable', 'capable')",0.62441266,0.7089306,0.0008957,0.0195727,-0.018677
67,0.6039055,0.47502232,"('doubtful', 'determined')",-0.4547339,-0.57622486,0.0745858,-0.0506013,0.1251871
88,-0.6005701,-0.7317697,"('low', 'eminent')",-0.3450769,-0.41926244,-0.4728235,-0.575516,0.1026925
18,-0.5625965,-0.47097048,"('disagreeable', 'welcoming')",-0.58275694,-0.6529389,-0.5726767,-0.5619547,-0.010722
48,-0.5321579,-0.557391,"('unintelligent', 'intelligent')",0.8162312,0.8004507,0.1420366,0.1215298,0.0205068
37,-0.5294275,-0.5999143,"('fake', 'genuine')",-0.18838136,-0.18336944,-0.3589045,-0.3916419,0.0327374
81,0.52181405,0.36931247,"('submissive', 'aggressive')",-0.15065391,-0.20411831,0.1855801,0.0825971,0.102983
72,-0.49380672,-0.47885403,"('unambitious', 'ambitious')",-0.5978104,-0.6621591,-0.5458086,-0.5705066,0.024698
4,-0.48747617,-0.47247005,"('disliked', 'liked')",-6.088207,-5.915825,-3.2878416,-3.1941476,-0.093694
52,-0.48511776,-0.4759018,"('irrational', 'rational')",-0.23660547,-0.11948482,-0.3608616,-0.2976933,-0.0631683
24,-0.47869772,-0.6819656,"('dishonest', 'honest')",0.8031904,0.6525734,0.1622463,-0.0146961,0.1769424
66,-0.46867627,-0.8063704,"('inactive', 'active')",0.33109358,0.15598288,-0.0687913,-0.3251938,0.2564025
11,-0.4656739,-0.64304984,"('unhelpful', 'helpful')",1.8093883,1.703858,0.6718572,0.5304041,0.1414531
13,-0.4645554,-0.75865966,"('impolite', 'polite')",-0.7479996,-0.840459,-0.6062775,-0.7995594,0.1932819
3,-0.45709753,-0.36032337,"('repellent', 'pleasant')",0.49329796,0.47557253,0.0181002,0.0576246,-0.0395244
74,-0.43947625,-0.615134,"('undedicated', 'dedicated')",-0.6466203,-0.82302016,-0.5430483,-0.7190771,0.1760288
64,0.4360387,0.36529458,"('shy', 'confident')",-5.978908,-5.8154855,-2.7714348,-2.7250955,-0.0463393
87,0.43183306,0.26720536,"('unsuccessful', 'successful')",1.0442848,1.0816576,0.7380589,0.6744315,0.0636274
61,-0.43123922,-0.6932121,"('illogical', 'logical')",0.5420957,0.38685036,0.0554283,-0.1531809,0.2086092
46,-0.41659,-0.50644386,"('uncompetitive', 'competitive')",-0.8963339,-0.98496777,-0.656462,-0.7457058,0.0892438
58,-0.41199964,-0.59715647,"('undiscriminating', 'discriminating')",0.35456654,0.22122365,-0.0287165,-0.1879664,0.1592499
51,-0.39376312,-0.46145085,"('uneducated', 'educated')",0.60930955,0.41551864,0.1077732,-0.0229661,0.1307393
42,0.39013976,0.17807119,"('unreliable', 'reliable')",-3.058265,-3.1466088,-1.3340626,-1.4842688,0.1502062
60,0.3773443,0.25213927,"('inefficient', 'efficient')",0.1963421,0.07295068,0.2868432,0.162545,0.1242982
39,0.3625545,0.35849008,"('exploitative', 'cooperative')",-0.020072382,-0.037246507,0.1712411,0.1606218,0.0106193
22,-0.34581167,-0.49636054,"('untrustworthy', 'trustworthy')",-0.93728435,-1.0823166,-0.641548,-0.7893386,0.1477906
70,-0.33174494,-0.5066713,"('lethargic', 'energetic')",0.26257634,0.07651683,-0.0345843,-0.2150772,0.1804929
21,-0.3303776,-0.36026022,"('immoral', 'moral')",-0.6168012,-0.6598722,-0.4735894,-0.5100662,0.0364768
77,-0.30463392,-0.21869668,"('unmotivated', 'motivated')",-0.73301774,-0.71444124,-0.5188258,-0.4665689,-0.0522569
16,-0.30209613,-0.23749349,"('unpopular', 'popular')",0.45220733,0.39709294,0.0750556,0.0797997,-0.0047441
17,-0.29180455,-0.43596694,"('nasty', 'nice')",-0.44186854,-0.4657467,-0.3668365,-0.4508568,0.0840203
35,0.26162764,0.30811012,"('corrupt', 'incorrupt')",-0.5254522,-0.43925297,-0.1319123,-0.0655714,-0.0663409
78,-0.25616312,-0.13868244,"('nonresilient', 'resilient')",0.22398672,0.3344911,-0.0160882,0.0979043,-0.1139925
59,0.24462716,0.22672293,"('foolish', 'wise')",0.06974967,0.1408755,0.1571884,0.1837992,-0.0266108
55,0.22922401,0.15584783,"('incompetent', 'clever')",0.36097875,0.24243385,0.2951014,0.1991408,0.0959606
85,-0.20981845,-0.31155357,"('insignificant', 'prestigious')",-0.29584545,-0.30855724,-0.2528319,-0.3100554,0.0572235
68,0.18429255,0.2858116,"('dependent', 'independent')",-0.33486527,-0.20817326,-0.0752864,0.0388192,-0.1141056
40,-0.163886,-0.17118298,"('stingy', 'generous')",-1.659297,-1.7120169,-0.9115915,-0.9416,0.0300085
20,0.16193846,0.1016387,"('rough', 'thoughtful')",0.72667015,0.69835097,0.4443043,0.3999948,0.0443095
50,-0.14327398,-0.13745473,"('clumsy', 'skillful')",-0.11099894,-0.21701962,-0.1271365,-0.1772372,0.0501007
34,0.14273614,0.06069993,"('mean', 'honorable')",5.6048164,5.4582477,2.8737762,2.7594738,0.1143024
83,0.14081088,-0.03782878,"('powerless', 'powerful')",-0.9541895,-0.9790673,-0.4066893,-0.5084481,0.1017588
75,-0.093505405,-0.09811006,"('meek', 'impulsive')",-0.48329225,-0.5470545,-0.2883988,-0.3225823,0.0341835
47,0.09274275,-0.049666844,"('stupid', 'smart')",5.295708,5.08933,2.6942255,2.5198317,0.1743938
65,-0.08712908,-0.23242155,"('insecure', 'secure')",-0.1489488,-0.30280575,-0.1180389,-0.2676136,0.1495747
56,0.08353001,-0.20371738,"('impractical', 'practical')",-0.3130973,-0.3926294,-0.1147836,-0.2981734,0.1833898
29,0.07702023,-0.021125168,"('unfair', 'fair')",-0.28770372,-0.4238517,-0.1053417,-0.2224884,0.1171467
14,0.06851801,-0.11750044,"('antisocial', 'social')",0.11239035,-0.10118717,0.0904542,-0.1093438,0.199798
25,-0.062708184,0.00547863,"('egoistic', 'altruistic')",0.95411754,0.93999165,0.4457047,0.4727351,-0.0270304
15,0.05592484,-0.15329204,"('boring', 'funny')",0.07980152,0.031442065,0.0678632,-0.060925,0.1287882
33,-0.015146654,-0.17625116,"('wrong', 'right')",-0.48290235,-0.5503589,-0.2490245,-0.363305,0.1142805
71,-0.010811549,-0.07229727,"('diffident', 'self-confident')",0.65837955,0.6342237,0.323784,0.2809632,0.0428208
49,-0.0015875343,0.100930095,"('unable', 'able')",-0.34182984,-0.14574963,-0.1717087,-0.0224098,-0.1492989
