,starwood_male,starwood_female,tuple,hotels_male,hotels_female,&_male,&_female,rest_male,rest_female,wldwd_male,wldwd_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1903021,-2.2542472,"('unfriendly', 'friendly')",0.25832054,0.23392074,-0.48239627,-0.49761492,-0.30428404,-0.23791349,-1.9399514,-1.8273599,1.9146163,1.8771583,-0.4573328,-0.4510094,-0.0063234
42,1.5306549,1.4821492,"('unreliable', 'reliable')",1.4522891,1.3900875,1.6319572,1.5163116,1.25151,1.2187783,0.72469175,0.59678423,-2.8890438,-2.9911358,0.6170099,0.5354958,0.0815141
31,-1.4928383,-1.253847,"('evil', 'good')",-1.6165216,-1.5528396,-0.5561417,-0.36347502,-3.400221,-3.1862187,-1.882316,-1.4050431,-1.4311919,-1.2750401,-1.7298717,-1.5060773,-0.2237944
6,-1.3799002,-1.2779835,"('distant', 'open')",-0.1264464,-0.11852701,-0.027032644,0.09223293,-2.393482,-2.2397819,-1.8425522,-1.4944535,0.36841348,0.44648743,-0.9001667,-0.7653376,-0.1348291
53,-1.3347703,-1.342316,"('uncreative', 'creative')",0.7981601,0.8017122,0.13821535,0.09484688,-0.24334304,-0.2396806,-0.25974137,-0.23995128,1.3187695,1.2877388,0.0695484,0.0603917,0.0091567
87,1.2780211,1.111003,"('unsuccessful', 'successful')",1.6133151,1.6208239,1.5314159,1.4049301,1.7935241,1.7729005,1.3429865,1.2889303,0.8674893,0.7435043,1.4044587,1.323682,0.0807767
86,-1.2635361,-1.3302094,"('uninfluential', 'influential')",0.40994716,0.40337825,-0.87616795,-1.0980463,1.3521452,1.2335988,-0.97062755,-1.2822942,-0.27068785,-0.45503893,-0.2698212,-0.4214353,0.1516141
36,-1.2394351,-1.2993712,"('hostile', 'amicable')",-1.3272756,-1.416768,0.3693538,0.38346204,-2.345837,-2.223806,-2.2046869,-1.8420397,0.3532344,0.35932362,-1.0657744,-1.0065332,-0.0592412
76,1.2132674,1.0542854,"('anxious', 'daring')",0.9231104,0.96525794,1.2300525,1.1805488,1.56763,1.4426265,0.8948771,0.68444157,0.28994,0.24122262,1.0198128,0.9280639,0.0917489
64,1.1497878,0.92341197,"('shy', 'confident')",1.2001355,1.0862658,1.0523424,0.9524524,0.9226086,0.90784734,1.3329941,1.1042303,-6.586096,-6.800792,-0.1547047,-0.3044307,0.149726
39,1.1309469,1.0411386,"('exploitative', 'cooperative')",1.1470038,1.04945,1.034099,0.9979617,1.6813356,1.6768016,0.1787636,0.0010097306,-0.06412742,0.00035130605,0.8513369,0.7944522,0.0568847
