,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.779456,-3.449502,"('unsympathetic', 'sympathetic')",0.06731818,0.24388914,-1.8560688,-1.6028064,-0.2532624
86,-2.9736278,-2.8928132,"('uninfluential', 'influential')",-0.20101735,-0.06369212,-1.5873226,-1.4782526,-0.10907
28,-2.6707392,-2.5396535,"('disloyal', 'loyal')",1.1992244,1.198929,-0.7357574,-0.6703623,-0.0653951
24,-2.4975755,-2.3159602,"('dishonest', 'honest')",0.8174001,0.9077565,-0.8400877,-0.7041018,-0.1359859
45,-2.4611406,-2.090032,"('incompetent', 'competent')",0.24574254,0.42528665,-1.107699,-0.8323727,-0.2753263
43,-2.3612604,-2.1554344,"('irresponsible', 'responsible')",0.84334785,1.0333701,-0.7589563,-0.5610321,-0.1979242
13,-2.2626817,-2.142771,"('impolite', 'polite')",-0.3656061,-0.2826673,-1.3141439,-1.2127192,-0.1014247
12,-2.1619895,-2.0932858,"('unsupportive', 'supportive')",-1.9128315,-1.6890606,-2.0374105,-1.8911731,-0.1462374
23,-2.1475961,-2.1047332,"('insincere', 'sincere')",6.5245314,6.453907,2.1884675,2.1745868,0.0138807
11,-2.1258535,-2.0243616,"('unhelpful', 'helpful')",1.973338,2.0606897,-0.0762578,0.018164,-0.0944218
55,-2.0853302,-1.9259574,"('incompetent', 'clever')",0.75751686,0.7865973,-0.6639067,-0.5696801,-0.0942266
46,-2.054121,-1.7465371,"('uncompetitive', 'competitive')",-0.6526739,-0.6173179,-1.3533975,-1.1819274,-0.1714701
0,-2.052049,-1.811146,"('unsociable', 'sociable')",0.056292932,0.24236402,-0.997878,-0.784391,-0.213487
35,2.0461023,1.7889432,"('corrupt', 'incorrupt')",-0.861408,-0.88838875,0.5923471,0.4502772,0.1420699
81,-1.8825254,-1.8876612,"('submissive', 'aggressive')",-0.023728095,-0.24894403,-0.9531268,-1.0683026,0.1151758
57,-1.8638805,-1.5858068,"('unimaginative', 'imaginative')",-3.2369292,-2.9509861,-2.5504048,-2.2683964,-0.2820084
30,-1.8620138,-1.8040851,"('intolerant', 'tolerant')",1.0259192,0.9161479,-0.4180473,-0.4439686,0.0259213
70,-1.8492568,-1.626818,"('lethargic', 'energetic')",0.45818898,0.515134,-0.6955339,-0.555842,-0.1396919
62,-1.751008,-1.6739466,"('incompetent', 'brilliant')",1.0599602,0.9974194,-0.3455239,-0.3382636,-0.0072603
60,-1.7421924,-1.7143756,"('inefficient', 'efficient')",0.75746846,0.6116302,-0.492362,-0.5513727,0.0590107
7,-1.7083519,-1.3764715,"('insensitive', 'sensitive')",0.735985,0.92358756,-0.4861834,-0.226442,-0.2597414
21,-1.6873811,-1.7008638,"('immoral', 'moral')",-0.084220655,-0.19250038,-0.8858009,-0.9466821,0.0608812
48,-1.654825,-1.8971745,"('unintelligent', 'intelligent')",1.3162346,1.0818076,-0.1692952,-0.4076834,0.2383882
69,1.6370281,1.5982026,"('lazy', 'industrious')",-1.0279254,-1.0500176,0.3045514,0.2740925,0.0304589
65,-1.6191789,-1.3818123,"('insecure', 'secure')",0.10120247,0.11393107,-0.7589882,-0.6339406,-0.1250476
1,-1.5556775,-1.7709148,"('unfriendly', 'friendly')",1.4349309,1.4365596,-0.0603733,-0.1671776,0.1068043
38,-1.488866,-1.5162501,"('untruthful', 'truthful')",-0.22736336,-0.22899702,-0.8581147,-0.8726236,0.0145089
75,1.4842687,1.3294145,"('meek', 'impulsive')",-0.87144053,-0.98770666,0.3064141,0.1708539,0.1355602
14,-1.4319881,-1.0646858,"('antisocial', 'social')",-0.06679378,0.0775455,-0.749391,-0.4935701,-0.2558209
41,-1.4255179,-1.3275776,"('unforgiving', 'forgiving')",-0.4138036,-0.27644756,-0.9196607,-0.8020126,-0.1176481
22,-1.407241,-1.1868576,"('untrustworthy', 'trustworthy')",-0.6658855,-0.47351903,-1.0365633,-0.8301883,-0.206375
63,-1.3946532,-1.2699594,"('unperceptive', 'insightful')",0.82623976,0.9401277,-0.2842067,-0.1649159,-0.1192908
61,-1.3713017,-1.1402191,"('illogical', 'logical')",0.39767885,0.6428363,-0.4868114,-0.2486914,-0.23812
9,-1.3701944,-1.3601408,"('unaffectionate', 'caring')",1.3937215,1.4246689,0.0117635,0.0322641,-0.0205006
73,1.3557811,1.3132261,"('helpless', 'self-reliant')",-3.4699,-3.4706116,-1.0570594,-1.0786927,0.0216333
3,-1.2903341,-1.0124534,"('repellent', 'pleasant')",0.5884078,0.5759681,-0.3509631,-0.2182427,-0.1327204
34,-1.2688302,-1.201715,"('mean', 'honorable')",5.7222605,5.659458,2.2267151,2.2288716,-0.0021565
32,-1.2532717,-1.3352147,"('unkind', 'kind')",0.83269763,0.7895318,-0.210287,-0.2728415,0.0625545
44,1.2506768,1.1747186,"('prejudiced', 'unprejudiced')",-1.5140606,-1.4901487,-0.1316919,-0.157715,0.0260231
85,1.2475326,1.10669,"('insignificant', 'prestigious')",-0.82606864,-0.74485433,0.210732,0.1809179,0.0298141
56,-1.1400084,-1.0300792,"('impractical', 'practical')",0.0005585402,0.05388905,-0.569725,-0.4880951,-0.0816299
51,-1.0883638,-1.2478423,"('uneducated', 'educated')",0.37689245,0.3676761,-0.3557357,-0.4400831,0.0843474
47,-1.0708175,-0.9795391,"('stupid', 'smart')",6.051149,5.980455,2.4901657,2.500458,-0.0102923
2,-1.0442089,-1.0054291,"('unlikable', 'likable')",0.39181983,0.43347144,-0.3261945,-0.2859789,-0.0402156
74,-0.94400036,-0.92254704,"('undedicated', 'dedicated')",-0.44678622,-0.3144133,-0.6953933,-0.6184802,-0.0769131
77,-0.9148418,-0.92125255,"('unmotivated', 'motivated')",-0.67489374,-0.7464894,-0.7948678,-0.833871,0.0390032
53,-0.9105687,-0.87306607,"('uncreative', 'creative')",0.5397252,0.61103797,-0.1854218,-0.131014,-0.0544078
54,-0.90997773,-1.1141391,"('incapable', 'capable')",0.94506496,0.8334828,0.0175436,-0.1403281,0.1578717
8,-0.9089047,-1.0583042,"('unaffectionate', 'affectionate')",0.8189203,0.79056334,-0.0449922,-0.1338704,0.0888782
88,-0.8531123,-1.0186783,"('low', 'eminent')",-0.08984217,-0.17935133,-0.4714772,-0.5990148,0.1275376
20,-0.83906204,-0.82857645,"('rough', 'thoughtful')",0.87990797,0.85072815,0.020423,0.0110759,0.0093471
59,0.7936856,0.5973522,"('foolish', 'wise')",0.05505334,-0.0038208524,0.4243695,0.2967657,0.1276038
15,0.78184956,0.6778996,"('boring', 'funny')",0.02334835,0.035249323,0.4025989,0.3565745,0.0460244
82,-0.73733926,-0.9712738,"('poor', 'rich')",6.9439583,6.6769447,3.1033096,2.8528354,0.2504742
5,0.7222701,0.53230274,"('distant', 'outgoing')",-0.619253,-0.52280307,0.0515085,0.0047498,0.0467587
50,0.66550183,0.44061422,"('clumsy', 'skillful')",0.2231581,0.018294044,0.44433,0.2294541,0.2148759
40,-0.638296,-0.6821174,"('stingy', 'generous')",-2.0562482,-2.0238092,-1.3472722,-1.3529633,0.0056911
16,0.6352896,0.5349307,"('unpopular', 'popular')",0.03121847,0.027805597,0.333254,0.2813681,0.0518859
64,-0.5953515,-0.28761518,"('shy', 'confident')",-6.6657076,-6.4971204,-3.6305296,-3.3923678,-0.2381618
72,-0.546466,-0.6248764,"('unambitious', 'ambitious')",0.15331474,0.05294509,-0.1965756,-0.2859657,0.0893901
17,-0.5259794,-0.3246725,"('nasty', 'nice')",-0.7397914,-0.6935559,-0.6328854,-0.5091142,-0.1237712
18,-0.51434016,-0.69281936,"('disagreeable', 'welcoming')",-0.5600231,-0.52952546,-0.5371816,-0.6111724,0.0739908
19,-0.49906173,-0.75758994,"('inhospitable', 'hospitable')",-0.745547,-0.72296965,-0.6223044,-0.7402798,0.1179754
25,0.49383852,0.43508947,"('egoistic', 'altruistic')",0.966398,0.90702474,0.7301183,0.6710571,0.0590612
37,-0.4911462,-0.43197918,"('fake', 'genuine')",0.30405378,0.3825827,-0.0935462,-0.0246982,-0.068848
83,-0.45678756,-0.40551347,"('powerless', 'powerful')",-0.7488036,-0.8141094,-0.6027956,-0.6098114,0.0070158
76,-0.44781768,-0.313098,"('anxious', 'daring')",0.37987092,0.37758806,-0.0339734,0.032245,-0.0662184
80,-0.4335699,-0.060477905,"('dominated', 'dominating')",-0.6412298,-0.5024166,-0.5373999,-0.2814473,-0.2559526
33,0.42326584,0.22443233,"('wrong', 'right')",-0.5559496,-0.5095596,-0.0663419,-0.1425636,0.0762217
4,0.42057768,0.5103873,"('disliked', 'liked')",-7.8294687,-7.760994,-3.7044456,-3.6253033,-0.0791423
49,-0.4063212,-0.5608056,"('unable', 'able')",0.016448742,-0.14266224,-0.1949362,-0.3517339,0.1567977
78,-0.38192663,-0.549392,"('nonresilient', 'resilient')",0.5224446,0.4262705,0.070259,-0.0615607,0.1318197
6,0.37629378,0.20646247,"('distant', 'open')",-0.46080756,-0.34663725,-0.0422569,-0.0700874,0.0278305
79,-0.3276147,-0.43488643,"('wavering', 'unwavering')",-0.6147724,-0.5797023,-0.4711936,-0.5072944,0.0361008
31,0.31631112,0.31404865,"('evil', 'good')",-1.5149099,-1.3783299,-0.5992994,-0.5321406,-0.0671588
67,0.30395943,0.18060169,"('doubtful', 'determined')",-0.42125794,-0.42936832,-0.0586493,-0.1243833,0.065734
29,0.29871976,0.2724615,"('unfair', 'fair')",-0.57201976,-0.39830786,-0.13665,-0.0629232,-0.0737268
52,0.29756057,0.11899967,"('irrational', 'rational')",-0.36920792,-0.46188703,-0.0358237,-0.1714437,0.13562
58,-0.15165223,0.17243129,"('undiscriminating', 'discriminating')",0.024861913,0.21203668,-0.0633952,0.192234,-0.2556292
39,0.14648387,0.33543175,"('exploitative', 'cooperative')",0.06942974,0.15618007,0.1079568,0.2458059,-0.1378491
87,-0.14335416,0.032029927,"('unsuccessful', 'successful')",0.8746102,1.0243733,0.365628,0.5282016,-0.1625736
66,-0.1346536,0.08832748,"('inactive', 'active')",0.038056444,0.28967804,-0.0482986,0.1890028,-0.2373014
68,-0.13317232,-0.06569773,"('dependent', 'independent')",-0.7259483,-0.65522766,-0.4295603,-0.3604627,-0.0690976
36,0.11382314,0.03790491,"('hostile', 'amicable')",-0.79571724,-0.848348,-0.3409471,-0.4052216,0.0642745
