,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.289724,-2.251694,"('uninfluential', 'influential')",0.06864681,-0.095606804,-0.13537489,-0.23700246,-0.785484,-0.8614344,0.0759504
1,-1.8385789,-1.9282037,"('unfriendly', 'friendly')",0.74209434,0.6000374,1.7014847,1.5657995,0.2016667,0.0792111,0.1224556
57,-1.7378387,-1.5650307,"('unimaginative', 'imaginative')",-0.522088,-0.544235,-2.0507195,-2.2353432,-1.436882,-1.4482031,0.0113211
10,-1.4063166,-1.1446939,"('unsympathetic', 'sympathetic')",0.20769292,0.13404539,-0.48361784,-0.50571436,-0.5607471,-0.5054543,-0.0552928
69,1.3976765,1.1551577,"('lazy', 'industrious')",0.19103305,0.24404392,-0.23781773,-0.35172835,0.4502972,0.3491578,0.1011394
53,-1.3750563,-1.4904923,"('uncreative', 'creative')",1.0480452,0.8386498,0.9797488,0.7255599,0.2175792,0.0245725,0.1930067
9,-1.3591001,-1.3680702,"('unaffectionate', 'caring')",0.50659907,0.45148873,0.8134644,0.7449298,-0.0130122,-0.0572172,0.044205
23,-1.3286684,-1.1518452,"('insincere', 'sincere')",0.69627863,0.70894164,4.9058056,5.107525,1.424472,1.5548738,-0.1304018
0,-1.2894441,-1.1996526,"('unsociable', 'sociable')",0.65970373,0.5173212,-0.53420645,-0.5262948,-0.3879823,-0.4028754,0.0148931
11,-1.2542734,-1.0221174,"('unhelpful', 'helpful')",0.072972804,0.07953256,1.6707288,1.6942173,0.1631427,0.2505442,-0.0874015
3,-1.2476577,-1.0882723,"('repellent', 'pleasant')",-0.7175475,-0.7244189,-0.31023586,-0.25292832,-0.7584804,-0.6885398,-0.0699406
44,1.1744037,1.182159,"('prejudiced', 'unprejudiced')",0.2916074,0.36831802,-1.0551926,-0.9991212,0.1369395,0.1837853,-0.0468458
77,-1.169372,-1.1545333,"('unmotivated', 'motivated')",-0.11163796,-0.17568363,-1.1945513,-1.2565928,-0.825187,-0.8622699,0.0370829
51,-1.1660554,-1.2177775,"('uneducated', 'educated')",-0.25384462,-0.46976626,0.24820422,0.10401389,-0.3905653,-0.5278433,0.137278
48,-1.1495123,-1.1662519,"('unintelligent', 'intelligent')",-0.71422935,-0.8594203,0.1284427,-0.011791484,-0.578433,-0.6791546,0.1007216
78,-1.0659748,-1.0064172,"('nonresilient', 'resilient')",0.74501383,0.6424339,0.58895266,0.38341448,0.0893306,0.0064771,0.0828535
33,1.0375221,0.8019693,"('wrong', 'right')",0.8157437,0.78009427,-0.2325452,-0.41461518,0.5402402,0.3891495,0.1510907
73,1.0348423,1.0201215,"('helpless', 'self-reliant')",1.0900768,0.99603176,-2.7264934,-2.8874009,-0.2005248,-0.2904158,0.089891
72,-1.0324532,-1.0756961,"('unambitious', 'ambitious')",-0.6510789,-0.7001418,-1.2219164,-1.1938022,-0.9684828,-0.9898801,0.0213973
35,0.96099097,0.786931,"('corrupt', 'incorrupt')",-1.7084616,-1.6391658,-0.12338075,-0.1589906,-0.2902838,-0.3370751,0.0467913
45,-0.94189173,-0.6333726,"('incompetent', 'competent')",0.54254687,0.6567597,-0.382345,-0.29759157,-0.2605633,-0.0914015,-0.1691618
46,-0.8770767,-0.66293484,"('uncompetitive', 'competitive')",1.2208515,1.1920751,-0.29429334,-0.4641017,0.0164938,0.0216795,-0.0051857
49,-0.87319905,-0.70476013,"('unable', 'able')",0.36323294,0.44249213,-0.4742801,-0.4015875,-0.3280821,-0.2212852,-0.1067969
28,-0.8560118,-0.8650558,"('disloyal', 'loyal')",-0.299976,-0.4211302,0.937181,0.8644068,-0.0729356,-0.1405931,0.0676575
