,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.648617,-2.56045,"('unfriendly', 'friendly')",1.7600996,1.8803883,-0.4442587,-0.3400309,-0.1042278
36,-1.9807035,-1.6323367,"('hostile', 'amicable')",0.063603014,0.018982477,-0.9585502,-0.8066771,-0.1518731
53,-1.9566498,-2.0567942,"('uncreative', 'creative')",0.8793066,0.89566255,-0.5386716,-0.5805658,0.0418942
9,-1.9468507,-1.8186642,"('unaffectionate', 'caring')",1.2024301,1.2572,-0.3722103,-0.2807321,-0.0914782
8,-1.8560363,-1.6774476,"('unaffectionate', 'affectionate')",0.8394531,0.9699676,-0.5082916,-0.35374,-0.1545516
31,-1.8346522,-1.3566716,"('evil', 'good')",-1.0333978,-0.8833977,-1.434025,-1.1200347,-0.3139903
6,-1.7169961,-1.3361652,"('distant', 'open')",0.5841017,0.3879233,-0.5664472,-0.4741209,-0.0923263
86,-1.6540294,-1.9306136,"('uninfluential', 'influential')",-0.40784723,-0.24292845,-1.0309383,-1.086771,0.0558327
19,-1.6188078,-1.2880464,"('inhospitable', 'hospitable')",-0.16577674,0.004742806,-0.8922923,-0.6416517,-0.2506406
66,-1.3866984,-0.98991257,"('inactive', 'active')",0.52021337,0.5704104,-0.4332425,-0.2097511,-0.2234914
54,-1.3421589,-1.1198833,"('incapable', 'capable')",1.3859991,1.5194383,0.0219201,0.1997775,-0.1778574
5,-1.2909318,-0.9219418,"('distant', 'outgoing')",0.052085426,-0.06576215,-0.6194232,-0.493852,-0.1255712
44,1.282949,1.272316,"('prejudiced', 'unprejudiced')",-1.0654565,-1.1695851,0.1087462,0.0513654,0.0573808
60,1.2023365,0.81168056,"('inefficient', 'efficient')",0.21161799,0.32698712,0.7069772,0.5693339,0.1376433
85,-1.1497045,-0.8876639,"('insignificant', 'prestigious')",0.7079566,0.7465668,-0.2208739,-0.0705486,-0.1503253
57,-1.1480706,-1.2528753,"('unimaginative', 'imaginative')",-2.486067,-1.9893775,-1.8170688,-1.6211264,-0.1959424
52,-1.1477484,-0.8299497,"('irrational', 'rational')",0.10141264,-0.0094289,-0.5231678,-0.4196893,-0.1034785
28,-1.1437914,-1.4255413,"('disloyal', 'loyal')",0.63702524,0.51746416,-0.2533831,-0.4540386,0.2006555
80,1.126674,0.69926137,"('dominated', 'dominating')",-1.4647244,-1.4872941,-0.1690252,-0.3940164,0.2249912
10,-1.1088061,-1.2737894,"('unsympathetic', 'sympathetic')",-0.67651045,-0.39714673,-0.8926583,-0.8354681,-0.0571902
71,-1.060007,-1.0403229,"('diffident', 'self-confident')",0.76976603,0.69311726,-0.1451205,-0.1736028,0.0284823
33,-1.0588667,-0.8921953,"('wrong', 'right')",-0.15981591,-0.26871312,-0.6093413,-0.5804542,-0.0288871
16,-1.0453899,-0.88563013,"('unpopular', 'popular')",0.54910916,0.52119416,-0.2481404,-0.182218,-0.0659224
79,-1.035602,-0.67681086,"('wavering', 'unwavering')",0.01242239,-0.085736714,-0.5115898,-0.3812738,-0.130316
76,1.0032012,0.89802146,"('anxious', 'daring')",0.2547713,0.47409433,0.6289862,0.6860579,-0.0570717
0,-0.96872187,-1.3514328,"('unsociable', 'sociable')",-0.5536777,-0.536828,-0.7611998,-0.9441304,0.1829306
24,-0.9676662,-0.9175197,"('dishonest', 'honest')",0.42175096,0.60330176,-0.2729576,-0.157109,-0.1158486
73,0.94469744,0.87788117,"('helpless', 'self-reliant')",-2.500883,-2.3179193,-0.7780929,-0.720019,-0.0580739
61,-0.8780453,-0.98446494,"('illogical', 'logical')",-0.05550277,-0.10021069,-0.466774,-0.5423378,0.0755638
42,0.8778638,0.8034492,"('unreliable', 'reliable')",-2.6577835,-2.2662792,-0.8899598,-0.731415,-0.1585448
58,-0.83757144,-1.0613503,"('undiscriminating', 'discriminating')",-0.23688334,-0.1706672,-0.5372274,-0.6160088,0.0787814
56,0.8349167,0.55875105,"('impractical', 'practical')",-0.025721949,-0.059331156,0.4045974,0.2497099,0.1548875
67,0.82258564,0.9538726,"('doubtful', 'determined')",-0.4435487,-0.4326113,0.1895185,0.2606307,-0.0711122
12,-0.8171052,-0.8528894,"('unsupportive', 'supportive')",-1.7125553,-1.5269778,-1.2648302,-1.1899335,-0.0748967
38,-0.8084228,-0.77746373,"('untruthful', 'truthful')",-0.03987924,-0.12061014,-0.424151,-0.4490369,0.0248859
81,0.7892833,0.55549127,"('submissive', 'aggressive')",-0.70154995,-0.45122266,0.0438667,0.0521343,-0.0082676
41,-0.780429,-0.68272626,"('unforgiving', 'forgiving')",-0.27590895,-0.11804465,-0.528169,-0.4003855,-0.1277835
17,-0.745123,-0.6838418,"('nasty', 'nice')",-0.5729489,-0.50220144,-0.6590359,-0.5930216,-0.0660143
26,-0.7419364,-0.52463603,"('hardhearted', 'benevolent')",1.6755913,2.0847201,0.4668275,0.7800421,-0.3132146
62,0.7284983,0.45119306,"('incompetent', 'brilliant')",0.4327517,0.46362254,0.580625,0.4574078,0.1232172
13,-0.71568364,-0.8211619,"('impolite', 'polite')",-0.6243695,-0.69197637,-0.6700265,-0.7565691,0.0865426
4,-0.6834733,-0.5356875,"('disliked', 'liked')",-6.1382823,-5.7873,-3.4108777,-3.1614938,-0.2493839
25,-0.6386482,-0.46149465,"('egoistic', 'altruistic')",1.6898673,1.846787,0.5256095,0.6926461,-0.1670366
64,0.63038546,0.5838413,"('shy', 'confident')",-6.4673657,-6.1721926,-2.9184902,-2.7941756,-0.1243146
27,-0.6209288,-0.5853564,"('hardhearted', 'softhearted')",1.4496659,1.4856313,0.4143685,0.4501375,-0.035769
18,-0.600876,-0.6317153,"('disagreeable', 'welcoming')",-0.27257144,-0.31477535,-0.4367237,-0.4732453,0.0365216
78,-0.57320136,-0.7136496,"('nonresilient', 'resilient')",0.40017202,0.33677483,-0.0865147,-0.1884374,0.1019227
7,-0.54995793,-0.8158965,"('insensitive', 'sensitive')",0.5177644,0.5929066,-0.0160968,-0.111495,0.0953982
84,0.5450412,0.545458,"('inferior', 'superior')",1.2040724,1.0941007,0.8745568,0.8197794,0.0547774
15,-0.5350691,-0.11405867,"('boring', 'funny')",0.4522013,0.6393399,-0.0414339,0.2626406,-0.3040745
