,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.2307615,-2.3121543,"('unsympathetic', 'sympathetic')",0.45966512,0.4524597,-0.8855482,-0.9298473,0.0442991
69,1.9586238,1.9289489,"('lazy', 'industrious')",-0.23791441,-0.19561848,0.8603547,0.8666652,-0.0063105
86,-1.9463899,-2.0497637,"('uninfluential', 'influential')",0.22315031,0.11523194,-0.8616198,-0.9672658,0.105646
23,-1.8561932,-1.8011273,"('insincere', 'sincere')",4.7738667,4.694385,1.4588368,1.4466288,0.012208
0,-1.7441938,-1.9838854,"('unsociable', 'sociable')",-0.43242255,-0.579775,-1.0883082,-1.2818302,0.193522
85,1.7271203,1.8506349,"('insignificant', 'prestigious')",0.70950806,0.7859675,1.2183142,1.3183012,-0.099987
48,-1.6012818,-1.7375759,"('unintelligent', 'intelligent')",0.7571593,0.73641264,-0.4220612,-0.5005816,0.0785204
57,-1.5986155,-1.697711,"('unimaginative', 'imaginative')",-1.7089685,-1.5814865,-1.653792,-1.6395987,-0.0141933
46,-1.5845689,-1.7868298,"('uncompetitive', 'competitive')",-0.050942432,-0.14710565,-0.8177556,-0.9669678,0.1492122
43,-1.5824285,-1.420108,"('irresponsible', 'responsible')",0.6538712,0.8087274,-0.4642786,-0.3056903,-0.1585883
21,-1.5645456,-1.71056,"('immoral', 'moral')",-0.5776525,-0.6786553,-1.071099,-1.1946076,0.1235086
11,-1.5308012,-1.5410821,"('unhelpful', 'helpful')",1.8115841,1.8976061,0.1403915,0.178262,-0.0378705
65,-1.5216851,-1.5931967,"('insecure', 'secure')",-0.8446979,-0.76996034,-1.1831915,-1.1815785,-0.001613
63,-1.4672012,-1.399322,"('unperceptive', 'insightful')",1.5888126,1.5116292,0.0608057,0.0561536,0.0046521
1,-1.3866206,-1.1517773,"('unfriendly', 'friendly')",1.4741906,1.6408422,0.043785,0.2445325,-0.2007475
14,-1.3848398,-1.5508236,"('antisocial', 'social')",-0.55744845,-0.5849592,-0.9711441,-1.0678914,0.0967473
73,1.3446823,1.447274,"('helpless', 'self-reliant')",-2.2445452,-2.0606918,-0.4499314,-0.3067089,-0.1432225
81,-1.3359754,-1.5023315,"('submissive', 'aggressive')",-0.5100235,-0.55799335,-0.9229994,-1.0301625,0.1071631
35,1.312554,1.5341038,"('corrupt', 'incorrupt')",-0.41339225,-0.3283436,0.4495809,0.6028801,-0.1532992
62,-1.2648395,-1.1977955,"('incompetent', 'brilliant')",0.5790185,0.7594682,-0.3429105,-0.2191637,-0.1237468
72,-1.2604518,-1.0119267,"('unambitious', 'ambitious')",-0.7231455,-0.5869206,-0.9917986,-0.7994236,-0.192375
55,-1.1727928,-1.4187781,"('incompetent', 'clever')",0.3023708,0.22523785,-0.435211,-0.5967701,0.1615591
12,-1.1662627,-1.0632417,"('unsupportive', 'supportive')",-0.9845365,-0.7910163,-1.0753996,-0.927129,-0.1482706
56,-1.1563202,-1.0918983,"('impractical', 'practical')",0.011921629,0.19194466,-0.5721993,-0.4499768,-0.1222225
50,1.1360765,1.196946,"('clumsy', 'skillful')",0.5588451,0.6150164,0.8474607,0.9059812,-0.0585205
60,-1.1258115,-1.1906068,"('inefficient', 'efficient')",0.06899542,0.19405037,-0.528408,-0.4982782,-0.0301298
47,-1.1051296,-1.0682805,"('stupid', 'smart')",4.1386824,3.9202719,1.5167763,1.4259957,0.0907806
