,raytheon_male,raytheon_female,tuple,co_male,co_female,average_male,average_female,male-female
10,-2.9234269,-2.9751203,"('unsympathetic', 'sympathetic')",0.27041024,-0.010652371,-1.3265083,-1.4928863,0.166378
69,2.6274536,2.7511275,"('lazy', 'industrious')",-0.9607214,-0.6225095,0.8333661,1.064309,-0.2309429
85,2.1267378,2.4282858,"('insignificant', 'prestigious')",-0.9676536,-0.42754138,0.5795422,1.0003722,-0.42083
43,-2.105696,-2.2356482,"('irresponsible', 'responsible')",0.9451151,0.54257566,-0.5802904,-0.8465363,0.2662459
45,-2.0208523,-2.3844628,"('incompetent', 'competent')",0.08285136,-0.18435743,-0.9690005,-1.2844101,0.3154096
13,-1.8082087,-1.9348211,"('impolite', 'polite')",0.25869897,-0.021230038,-0.7747549,-0.9780256,0.2032707
70,-1.7878455,-2.0536954,"('lethargic', 'energetic')",0.85414654,0.35212287,-0.4668495,-0.8507863,0.3839368
24,-1.6985438,-1.8023022,"('dishonest', 'honest')",1.2723458,0.8786272,-0.213099,-0.4618375,0.2487385
55,-1.6648731,-1.8310333,"('incompetent', 'clever')",0.40352008,0.34293562,-0.6306765,-0.7440488,0.1133723
21,-1.625457,-1.3007708,"('immoral', 'moral')",-1.0035012,-0.88898295,-1.3144791,-1.0948769,-0.2196022
30,-1.6071606,-1.6112661,"('intolerant', 'tolerant')",0.3229133,0.3453267,-0.6421236,-0.6329697,-0.0091539
35,1.5822706,1.8281622,"('corrupt', 'incorrupt')",-1.0409166,-0.7278694,0.270677,0.5501464,-0.2794694
86,-1.5475386,-1.4192412,"('uninfluential', 'influential')",-0.5535771,-0.54216075,-1.0505579,-0.980701,-0.0698569
75,1.4683083,1.3136932,"('meek', 'impulsive')",-0.5349657,-0.6418577,0.4666713,0.3359177,0.1307536
23,-1.4582523,-1.6243547,"('insincere', 'sincere')",6.3388267,5.746392,2.4402871,2.0610185,0.3792686
25,1.4566088,1.4496825,"('egoistic', 'altruistic')",0.99188817,1.2055542,1.2242484,1.3276184,-0.10337
0,-1.3848864,-1.4618479,"('unsociable', 'sociable')",-0.0035795197,-0.19509389,-0.6942329,-0.8284709,0.134238
60,-1.3047547,-1.472372,"('inefficient', 'efficient')",0.465749,0.06757428,-0.4195029,-0.7023989,0.282896
36,1.2454613,1.4402268,"('hostile', 'amicable')",-0.26737356,-0.015499758,0.4890439,0.7123635,-0.2233196
22,-1.2373224,-1.495955,"('untrustworthy', 'trustworthy')",-0.2767552,-0.8594902,-0.7570388,-1.1777226,0.4206838
3,-1.231941,-1.0851845,"('repellent', 'pleasant')",0.44839862,0.53151566,-0.3917712,-0.2768344,-0.1149368
65,-1.2140318,-1.2873093,"('insecure', 'secure')",0.51837635,0.08821905,-0.3478277,-0.5995451,0.2517174
68,-1.2081119,-0.99029386,"('dependent', 'independent')",-1.6312695,-1.6669348,-1.4196906,-1.3286144,-0.0910762
41,-1.2041805,-1.2168087,"('unforgiving', 'forgiving')",0.31958193,0.34715784,-0.4422993,-0.4348254,-0.0074739
11,-1.1816316,-1.4207127,"('unhelpful', 'helpful')",2.3963718,1.9033597,0.6073701,0.2413235,0.3660466
51,-1.1616977,-1.1398457,"('uneducated', 'educated')",0.20195477,0.21475546,-0.4798715,-0.4625451,-0.0173264
26,1.1298891,1.1254214,"('hardhearted', 'benevolent')",1.6919413,2.0020778,1.4109151,1.5637496,-0.1528345
28,-1.1236702,-1.390681,"('disloyal', 'loyal')",1.0485798,0.72303283,-0.0375452,-0.3338241,0.2962789
63,-1.1089133,-1.3549607,"('unperceptive', 'insightful')",0.5220668,0.2401779,-0.2934233,-0.5573914,0.2639681
46,-1.0802652,-1.2315583,"('uncompetitive', 'competitive')",-0.5153145,-0.72884786,-0.7977898,-0.9802031,0.1824133
14,-1.0366894,-1.1905986,"('antisocial', 'social')",0.06264698,-0.0039131157,-0.4870212,-0.5972559,0.1102347
4,1.0258708,0.8581658,"('disliked', 'liked')",-7.2826524,-6.9863114,-3.1283908,-3.0640728,-0.064318
73,1.0237442,1.0645533,"('helpless', 'self-reliant')",-3.544084,-3.4426377,-1.26017,-1.1890422,-0.0711278
7,-1.0231651,-1.0756847,"('insensitive', 'sensitive')",0.5602909,0.21410826,-0.2314371,-0.4307882,0.1993511
81,-1.0205694,-1.2104461,"('submissive', 'aggressive')",-0.3830827,-0.79172593,-0.7018261,-1.001086,0.2992599
27,-1.0114841,-0.8766165,"('hardhearted', 'softhearted')",0.8991532,1.0301625,-0.0561655,0.076773,-0.1329385
31,0.99626213,1.063106,"('evil', 'good')",-1.0615629,-1.054117,-0.0326504,0.0044945,-0.0371449
76,-0.99524885,-1.038304,"('anxious', 'daring')",0.059659965,-0.014071686,-0.4677944,-0.5261878,0.0583934
38,-0.9938291,-1.180275,"('untruthful', 'truthful')",0.2148827,-0.054792807,-0.3894732,-0.6175339,0.2280607
57,-0.93048203,-1.2952532,"('unimaginative', 'imaginative')",-2.982367,-3.0795128,-1.9564245,-2.1873829,0.2309584
56,-0.9076164,-1.2031565,"('impractical', 'practical')",0.13956593,-0.24663976,-0.3840252,-0.7248981,0.3408729
33,0.8668158,1.0571179,"('wrong', 'right')",-0.9361625,-0.68847734,-0.0346733,0.1843203,-0.2189936
82,-0.79212844,-0.8851156,"('poor', 'rich')",5.950632,5.6766315,2.5792518,2.3957579,0.1834939
32,-0.7728751,-0.83641213,"('unkind', 'kind')",1.0084486,0.764713,0.1177868,-0.0358496,0.1536364
2,0.7558241,0.78745174,"('unlikable', 'likable')",0.7925335,1.0141056,0.7741788,0.9007787,-0.1265999
71,0.75240576,0.7489605,"('diffident', 'self-confident')",0.4780634,0.43104187,0.6152346,0.5900012,0.0252334
79,0.7477441,0.774485,"('wavering', 'unwavering')",-0.4914489,-0.60165703,0.1281476,0.086414,0.0417336
74,-0.73674905,-0.7783795,"('undedicated', 'dedicated')",0.01683982,0.054316334,-0.3599546,-0.3620316,0.002077
66,0.70108587,0.60896266,"('inactive', 'active')",0.5861637,0.9486137,0.6436248,0.7787882,-0.1351634
34,-0.69050235,-0.74059457,"('mean', 'honorable')",5.3444133,5.2229915,2.3269556,2.2411985,0.0857571
15,0.6764146,0.50584656,"('boring', 'funny')",0.6423249,0.5123663,0.6593698,0.5091064,0.1502634
48,-0.6404565,-0.695522,"('unintelligent', 'intelligent')",0.36163774,0.23869482,-0.1394094,-0.2284136,0.0890042
18,-0.60806227,-0.31297517,"('disagreeable', 'welcoming')",-1.2735624,-1.0761946,-0.9408123,-0.6945849,-0.2462274
12,-0.5894553,-0.6966701,"('unsupportive', 'supportive')",-1.8128281,-2.0008028,-1.2011417,-1.3487364,0.1475947
29,-0.5864567,-0.6128225,"('unfair', 'fair')",-0.568185,-0.85114163,-0.5773208,-0.7319821,0.1546613
87,0.5660097,0.54873335,"('unsuccessful', 'successful')",0.4441263,0.789777,0.505068,0.6692551,-0.1641871
42,-0.5458322,-0.69513255,"('unreliable', 'reliable')",-2.7637355,-2.9608371,-1.6547838,-1.8279848,0.173201
37,-0.53195065,-0.5569442,"('fake', 'genuine')",0.27460724,0.19055933,-0.1286717,-0.1831924,0.0545207
39,-0.5290021,-0.3134413,"('exploitative', 'cooperative')",0.5361332,0.61329025,0.0035656,0.1499245,-0.1463589
88,0.5132466,0.66033083,"('low', 'eminent')",-0.7756482,-0.5802126,-0.1312008,0.0400591,-0.1712599
83,0.48742664,0.50732434,"('powerless', 'powerful')",-1.3686428,-1.3042132,-0.4406081,-0.3984444,-0.0421637
5,0.4853613,0.45787564,"('distant', 'outgoing')",-0.37238047,-0.52961123,0.0564904,-0.0358678,0.0923582
47,-0.44374394,-0.51806945,"('stupid', 'smart')",5.4906406,5.2034616,2.5234485,2.3426962,0.1807523
62,-0.4083567,-0.8113941,"('incompetent', 'brilliant')",0.5022649,0.09373605,0.0469541,-0.358829,0.4057831
77,-0.4062002,-0.2528453,"('unmotivated', 'motivated')",-1.0321059,-1.0800717,-0.719153,-0.6664585,-0.0526945
58,0.40502727,0.29758364,"('undiscriminating', 'discriminating')",0.37115383,0.46983752,0.3880906,0.3837106,0.00438
16,0.38431615,0.6587176,"('unpopular', 'popular')",-0.23002633,0.036387682,0.0771449,0.3475526,-0.2704077
6,0.377635,0.33369935,"('distant', 'open')",-0.22419271,-0.25841802,0.0767211,0.0376407,0.0390804
50,0.3709898,0.5333475,"('clumsy', 'skillful')",-0.5721977,-0.46893612,-0.1006039,0.0322057,-0.1328096
72,-0.3499991,-0.5613881,"('unambitious', 'ambitious')",-0.041038096,-0.38993362,-0.1955186,-0.4756609,0.2801423
40,-0.3494443,-0.41058293,"('stingy', 'generous')",-2.153994,-2.1858575,-1.2517192,-1.2982203,0.0465011
64,-0.3390036,-0.35623178,"('shy', 'confident')",-6.070873,-6.0692625,-3.2049382,-3.2127471,0.0078089
59,0.31423837,0.5277438,"('foolish', 'wise')",-0.15953353,-0.091430604,0.0773524,0.2181566,-0.1408042
78,0.2945982,0.12484823,"('nonresilient', 'resilient')",0.13864534,-0.02085137,0.2166218,0.0519984,0.1646234
54,0.25830907,0.17547229,"('incapable', 'capable')",0.90589476,0.72462606,0.5821019,0.4500492,0.1320527
1,0.25507808,0.13110784,"('unfriendly', 'friendly')",1.6887449,1.664784,0.9719115,0.8979459,0.0739656
67,-0.2175618,-0.10677233,"('doubtful', 'determined')",-0.60899293,-0.46509245,-0.4132774,-0.2859324,-0.127345
49,-0.19289112,-0.26837912,"('unable', 'able')",-0.4775436,-0.6402355,-0.3352174,-0.4543073,0.1190899
52,0.17657542,0.38326073,"('irrational', 'rational')",-0.59661597,-0.27923888,-0.2100203,0.0520109,-0.2620312
80,-0.1716344,-0.32954752,"('dominated', 'dominating')",-0.39423707,-0.4742823,-0.2829357,-0.4019149,0.1189792
19,0.16935003,0.30976248,"('inhospitable', 'hospitable')",-0.46787763,-0.36858028,-0.1492638,-0.0294089,-0.1198549
61,-0.16904563,-0.23449978,"('illogical', 'logical')",0.19025157,0.14323144,0.010603,-0.0456342,0.0562372
8,0.13988046,0.09440082,"('unaffectionate', 'affectionate')",0.8451769,0.7558447,0.4925287,0.4251228,0.0674059
53,-0.13034272,-0.18052861,"('uncreative', 'creative')",0.8550192,0.83813155,0.3623382,0.3288015,0.0335367
9,-0.09347216,-0.16982286,"('unaffectionate', 'caring')",1.3492625,1.1557577,0.6278952,0.4929674,0.1349278
17,0.08296952,0.083234474,"('nasty', 'nice')",-0.23908615,-0.32393926,-0.0780583,-0.1203524,0.0422941
44,0.067376256,0.14106612,"('prejudiced', 'unprejudiced')",-1.3669811,-1.2163173,-0.6498024,-0.5376256,-0.1121768
84,-0.027478054,0.021377582,"('inferior', 'superior')",0.30690905,0.33040833,0.1397155,0.175893,-0.0361775
20,0.01685642,0.15680005,"('rough', 'thoughtful')",0.55336183,0.64548236,0.2851091,0.4011412,-0.1160321
