,family_male,family_female,tuple,dollar_male,dollar_female,stores_male,stores_female,inc_male,inc_female,average_male,average_female,male-female
31,-5.822468,-5.89216,"('evil', 'good')",-1.8868122,-2.9378583,-1.5314004,-1.5850546,-0.8064562,-0.8811314,-2.5117843,-2.8240509,0.3122666
85,-5.451716,-5.683331,"('insignificant', 'prestigious')",-2.7776253,-4.0956793,-1.5655075,-1.7868369,-0.25135615,-0.27759063,-2.5115514,-2.9608595,0.4493081
36,-5.2700906,-5.3276987,"('hostile', 'amicable')",-2.5863056,-3.5039978,-2.299407,-2.4896398,-0.40960664,-0.4803661,-2.6413527,-2.9504256,0.3090729
81,4.873751,4.971444,"('submissive', 'aggressive')",1.8122883,2.8148365,0.89189005,0.7590075,-0.5723938,-0.6248569,1.7513839,1.9801078,-0.2287239
55,4.8366017,4.973089,"('incompetent', 'clever')",1.8045052,3.120263,1.1252966,1.3513438,0.077754036,0.0936933,1.9610394,2.3845975,-0.4235581
10,4.835198,5.1094646,"('unsympathetic', 'sympathetic')",1.4642097,2.8374612,0.9313502,1.2569848,0.20195574,0.28260684,1.8581784,2.3716295,-0.5134511
46,4.753863,4.8733554,"('uncompetitive', 'competitive')",2.061951,3.4359972,2.4561229,2.6871288,-0.6620397,-0.5806497,2.1524742,2.6039581,-0.4514839
35,-4.6398015,-4.697636,"('corrupt', 'incorrupt')",-1.8629953,-2.8721645,-1.8876221,-2.007036,-0.5347331,-0.5530085,-2.231288,-2.5324612,0.3011732
60,4.606653,4.8743157,"('inefficient', 'efficient')",2.0407038,3.0452304,2.4846444,2.6693158,0.31374192,0.32640266,2.3614359,2.728816,-0.3673801
69,-4.3887577,-4.3213944,"('lazy', 'industrious')",-1.8111905,-2.582989,-0.7688874,-0.9116404,-0.9912721,-0.9913803,-1.990027,-2.2018511,0.2118241
14,4.195368,4.36877,"('antisocial', 'social')",1.9578481,2.4060855,1.2080945,1.0732065,-0.21460594,-0.32274568,1.7866762,1.8813291,-0.0946529
21,4.150642,4.2440863,"('immoral', 'moral')",0.7896049,1.6419797,0.80124044,0.8816149,-0.61249375,-0.4698067,1.2822483,1.5744686,-0.2922203
56,4.1404295,4.375759,"('impractical', 'practical')",2.8118417,3.3445694,1.3019273,1.3853335,-0.37979135,-0.3950645,1.9686019,2.1776493,-0.2090474
80,4.0941443,3.9483757,"('dominated', 'dominating')",1.6901615,2.4267783,1.2890189,1.1387318,-0.7739976,-0.8906366,1.5748316,1.6558124,-0.0809808
6,-4.0553966,-4.004029,"('distant', 'open')",-1.7478598,-2.0416842,-1.0388273,-0.766636,0.464705,0.5685835,-1.5943447,-1.5609413,-0.0334034
5,-3.923637,-3.8451667,"('distant', 'outgoing')",-1.2197341,-1.6882844,-0.88237923,-0.7328211,-0.23126647,-0.09847834,-1.5642542,-1.5911876,0.0269334
62,3.849537,3.9473517,"('incompetent', 'brilliant')",2.0521584,2.8441682,1.5473571,1.6088792,0.010327939,-0.048386287,1.864845,2.0880032,-0.2231582
70,3.7575068,3.8708797,"('lethargic', 'energetic')",1.9520656,2.7911267,1.0190549,1.1346931,1.0869437,1.1738949,1.9538927,2.2426486,-0.2887559
43,3.571603,3.640667,"('irresponsible', 'responsible')",1.8947364,2.5520663,1.6526004,1.9449273,0.66845036,0.7825125,1.9468476,2.2300434,-0.2831958
65,3.4690819,3.4998484,"('insecure', 'secure')",0.7498974,1.1506885,0.90243006,0.8950976,-0.024892194,0.099305436,1.2741293,1.4112351,-0.1371058
23,3.4601383,3.3496146,"('insincere', 'sincere')",2.0223756,2.202359,1.0974464,0.96842355,6.4064407,6.2455373,3.2466002,3.1914835,0.0551167
0,3.3660097,3.474924,"('unsociable', 'sociable')",1.3792572,2.179812,1.270508,1.2562732,-0.38383356,-0.4909897,1.4079853,1.6050049,-0.1970196
52,-3.2990854,-3.3809834,"('irrational', 'rational')",-1.8584476,-2.4114428,-1.9458036,-2.0985441,-0.43436077,-0.5815197,-1.8844243,-2.1181226,0.2336983
74,3.1882617,3.2043333,"('undedicated', 'dedicated')",1.3305795,1.4529471,1.0991839,1.1884539,0.26403746,0.16033974,1.4705157,1.5015186,-0.0310029
79,-3.0088537,-2.8816822,"('wavering', 'unwavering')",-1.0923474,-1.7740945,-1.0478765,-1.0654918,-0.24421598,-0.19426343,-1.3483233,-1.4788829,0.1305596
76,2.9989355,3.1662266,"('anxious', 'daring')",1.1040432,2.1994505,1.0694941,1.3826482,0.23709343,0.38769782,1.3523916,1.7840058,-0.4316142
51,2.9319835,3.0686646,"('uneducated', 'educated')",1.0940119,1.7783961,0.19774225,0.32533294,0.21905202,0.13296449,1.1106974,1.3263396,-0.2156422
