,cintas_male,cintas_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.9707501,-1.5792792,"('uninfluential', 'influential')",-0.6292636,-0.3536674,-1.3000069,-0.9664733,-0.3335336
6,-1.9308436,-1.4457427,"('distant', 'open')",-0.74577093,-0.6933078,-1.3383073,-1.0695252,-0.2687821
10,-1.6883373,-1.3402085,"('unsympathetic', 'sympathetic')",-1.0273597,-0.77522355,-1.3578485,-1.057716,-0.3001325
9,-1.5924101,-1.4758912,"('unaffectionate', 'caring')",1.1261911,1.0262252,-0.2331095,-0.224833,-0.0082765
1,-1.5812212,-1.316297,"('unfriendly', 'friendly')",1.4240155,1.4165965,-0.0786029,0.0501497,-0.1287526
66,-1.4930223,-1.1804146,"('inactive', 'active')",-0.36849642,-0.27686366,-0.9307594,-0.7286391,-0.2021203
5,-1.4317274,-1.111642,"('distant', 'outgoing')",-0.6235464,-0.616979,-1.0276369,-0.8643105,-0.1633264
79,-1.345539,-0.8561233,"('wavering', 'unwavering')",-0.55096066,-0.59435403,-0.9482498,-0.7252387,-0.2230111
8,-1.271059,-1.041744,"('unaffectionate', 'affectionate')",0.617408,0.64203787,-0.3268255,-0.1998531,-0.1269724
53,-1.2697254,-1.3045391,"('uncreative', 'creative')",0.42078668,0.4356615,-0.4244694,-0.4344388,0.0099694
57,-1.1699111,-0.9162628,"('unimaginative', 'imaginative')",-3.2735183,-2.825379,-2.2217147,-1.8708209,-0.3508938
19,-1.1583443,-0.9599836,"('inhospitable', 'hospitable')",-0.48523113,-0.51306677,-0.8217877,-0.7365252,-0.0852625
0,-1.1517167,-1.194465,"('unsociable', 'sociable')",-0.36483547,-0.42643544,-0.7582761,-0.8104503,0.0521742
43,-1.0557194,-0.90087694,"('irresponsible', 'responsible')",0.013851032,0.030645499,-0.5209342,-0.4351157,-0.0858185
61,-1.054548,-0.7360909,"('illogical', 'logical')",0.2627693,0.31856877,-0.3958893,-0.2087611,-0.1871282
38,-1.0306292,-0.5399648,"('untruthful', 'truthful')",-0.16667019,-0.07655246,-0.5986497,-0.3082586,-0.2903911
44,0.9996309,0.5248418,"('prejudiced', 'unprejudiced')",-1.542194,-1.5131017,-0.2712815,-0.49413,0.2228485
24,-0.9932266,-0.57605565,"('dishonest', 'honest')",0.4331634,0.58551925,-0.2800316,0.0047318,-0.2847634
36,-0.9698565,-0.77098227,"('hostile', 'amicable')",-0.11326559,-0.14614636,-0.5415611,-0.4585643,-0.0829968
28,-0.9113469,-1.1964796,"('disloyal', 'loyal')",1.1869987,0.6949787,0.1378259,-0.2507504,0.3885763
39,0.9056727,0.436149,"('exploitative', 'cooperative')",0.24243169,0.08298958,0.5740522,0.2595693,0.3144829
46,-0.82910854,-0.624938,"('uncompetitive', 'competitive')",-1.1806622,-1.0489817,-1.0048853,-0.8369598,-0.1679255
31,-0.8141147,-0.29765618,"('evil', 'good')",-0.8067256,-0.60136986,-0.8104202,-0.449513,-0.3609072
58,-0.74539036,-0.25685376,"('undiscriminating', 'discriminating')",0.06266256,0.44943047,-0.3413639,0.0962884,-0.4376523
70,-0.7414503,-0.14595391,"('lethargic', 'energetic')",-0.20337927,0.04226301,-0.4724148,-0.0518454,-0.4205694
54,-0.7381683,-0.56462294,"('incapable', 'capable')",0.6435329,0.64920485,-0.0473177,0.042291,-0.0896087
45,-0.7201658,-0.39452967,"('incompetent', 'competent')",-0.10408659,0.035842698,-0.4121262,-0.1793435,-0.2327827
73,0.6964247,0.83473563,"('helpless', 'self-reliant')",-2.9707494,-2.7842145,-1.1371623,-0.9747394,-0.1624229
30,0.6951908,0.699448,"('intolerant', 'tolerant')",1.0289962,1.0178195,0.8620935,0.8586338,0.0034597
88,-0.6733913,-0.29413804,"('low', 'eminent')",-0.6027322,-0.38841587,-0.6380618,-0.3412769,-0.2967849
14,0.62660575,0.5594284,"('antisocial', 'social')",-0.055388354,0.17740752,0.2856087,0.3684179,-0.0828092
52,-0.6117017,-0.22236848,"('irrational', 'rational')",0.17667754,0.03887414,-0.2175121,-0.0917472,-0.1257649
71,-0.59539336,-0.5193202,"('diffident', 'self-confident')",0.21169837,0.17500488,-0.1918475,-0.1721576,-0.0196899
76,0.58756727,0.7384808,"('anxious', 'daring')",-0.516365,-0.090482876,0.0356011,0.323999,-0.2883979
63,-0.57739866,-0.16136482,"('unperceptive', 'insightful')",0.35058653,0.4959317,-0.1134061,0.1672834,-0.2806895
68,-0.56458384,-0.5906146,"('dependent', 'independent')",-0.55985194,-0.542592,-0.5622179,-0.5666033,0.0043854
3,-0.5330181,-0.37498638,"('repellent', 'pleasant')",1.105879,1.0585158,0.2864304,0.3417647,-0.0553343
29,-0.5300148,-0.3337922,"('unfair', 'fair')",-0.30916384,-0.09830717,-0.4195893,-0.2160497,-0.2035396
2,0.5274524,0.7457934,"('unlikable', 'likable')",0.5391395,0.7576067,0.533296,0.7517,-0.218404
