,costco_male,costco_female,tuple,wholesale_male,wholesale_female,corp_male,corp_female,average_male,average_female,male-female
6,-1.7978922,-1.4991502,"('distant', 'open')",-0.639046,-0.28723893,-1.3308427,-0.86562634,-1.255927,-0.8840051,-0.3719219
8,-1.5647098,-1.3509955,"('unaffectionate', 'affectionate')",-0.58419275,-0.18443297,-0.23130324,0.08529501,-0.7934019,-0.4833779,-0.310024
81,1.4064769,1.1737239,"('submissive', 'aggressive')",0.5080024,0.18008454,0.35569376,0.019668587,0.7567244,0.4578257,0.2988987
1,-1.3977915,-1.3580093,"('unfriendly', 'friendly')",0.29789826,0.673658,0.90877616,1.1157863,-0.0637057,0.1438117,-0.2075174
19,-1.3576286,-1.1590706,"('inhospitable', 'hospitable')",-0.7681237,-0.5962759,-0.97186786,-0.77985454,-1.03254,-0.845067,-0.187473
62,1.2845697,0.96808946,"('incompetent', 'brilliant')",1.1152201,0.92108107,1.4741354,1.1378917,1.2913084,1.0090207,0.2822877
31,-1.2841977,-0.9375183,"('evil', 'good')",-1.7416178,-1.4978188,-1.8253242,-1.5163294,-1.6170465,-1.3172221,-0.2998244
36,-1.2784529,-1.0880702,"('hostile', 'amicable')",-0.99674016,-0.75347704,-1.3604413,-1.1410753,-1.2118781,-0.9942075,-0.2176706
18,-1.2565562,-1.2149806,"('disagreeable', 'welcoming')",-0.7833206,-0.5652394,-0.7373828,-0.6085927,-0.9257532,-0.7962709,-0.1294823
85,-1.2018019,-1.1555868,"('insignificant', 'prestigious')",-1.1261233,-0.94712484,-1.5474126,-1.3097885,-1.2917793,-1.1375,-0.1542793
5,-1.1940383,-1.1293359,"('distant', 'outgoing')",-0.76077664,-0.61126256,-0.95964175,-0.7134637,-0.9714855,-0.8180207,-0.1534648
2,1.1281462,1.116426,"('unlikable', 'likable')",0.7040331,0.7876408,0.89438057,0.9854757,0.9088533,0.9631809,-0.0543276
60,1.1260791,1.0215384,"('inefficient', 'efficient')",3.0383794,2.814607,1.2660567,1.0532763,1.8101716,1.6298072,0.1803644
30,1.1079812,0.88117373,"('intolerant', 'tolerant')",0.67786896,0.67268157,1.1791849,1.0586609,0.988345,0.8708387,0.1175063
82,-1.1044837,-1.3860071,"('poor', 'rich')",-0.7407922,-0.8199142,7.024806,6.943823,1.72651,1.5793006,0.1472094
53,-1.0900584,-1.1995832,"('uncreative', 'creative')",-0.39952812,-0.360795,0.31323045,0.5216365,-0.3921187,-0.3462472,-0.0458715
35,-1.068108,-0.96548694,"('corrupt', 'incorrupt')",-1.9950109,-1.8443725,-1.6466784,-1.3001735,-1.5699325,-1.370011,-0.1999215
80,1.0636905,0.8829894,"('dominated', 'dominating')",1.142636,0.7835182,-0.16523546,-0.3723334,0.6803637,0.4313914,0.2489723
88,-0.98703796,-1.0912135,"('low', 'eminent')",-1.1419268,-1.0728935,-0.3121381,-0.46877238,-0.8137009,-0.8776264,0.0639255
68,-0.9550287,-0.9149561,"('dependent', 'independent')",-1.5498424,-1.6340992,-0.8897779,-0.9067764,-1.1315497,-1.1519439,0.0203942
16,-0.9425073,-1.0793673,"('unpopular', 'popular')",-1.2007746,-1.1592658,0.15119655,-0.0012207702,-0.6640284,-0.746618,0.0825896
79,-0.93170387,-0.9652679,"('wavering', 'unwavering')",-1.2193333,-1.248081,-1.1055125,-1.0889727,-1.0855166,-1.1007738,0.0152572
14,0.89393616,0.74780273,"('antisocial', 'social')",1.9680126,1.7965655,0.71033734,0.35445225,1.190762,0.9662735,0.2244885
58,-0.8853582,-0.7829716,"('undiscriminating', 'discriminating')",0.46949583,0.5696769,-0.03570228,-0.02180127,-0.1505216,-0.0783653,-0.0721563
73,0.83196163,0.9309887,"('helpless', 'self-reliant')",-0.43358475,-0.29135418,-3.6517081,-3.6369436,-1.0844437,-0.999103,-0.0853407
20,-0.8242596,-0.7399314,"('rough', 'thoughtful')",-0.6608953,-0.6559811,0.4158081,0.71055746,-0.3564489,-0.2284517,-0.1279972
9,-0.79602194,-0.63807005,"('unaffectionate', 'caring')",0.59830785,0.7973905,0.8119086,0.97041553,0.2047315,0.3765786,-0.1718471
46,0.76813996,0.7110616,"('uncompetitive', 'competitive')",0.8369677,0.8675216,0.040161975,-0.17545317,0.5484232,0.46771,0.0807132
86,-0.73130167,-0.7320312,"('uninfluential', 'influential')",0.33721352,0.43500388,0.1278882,-0.029682644,-0.0887333,-0.1089033,0.02017
21,0.7272473,0.7574753,"('immoral', 'moral')",0.62635654,0.55273545,0.25217298,0.16682975,0.5352589,0.4923468,0.0429121
26,-0.6989128,-0.65267223,"('hardhearted', 'benevolent')",1.6666193,2.0399668,1.077294,1.2336546,0.6816669,0.8736498,-0.1919829
76,0.68828356,0.64422953,"('anxious', 'daring')",0.5037811,0.4581177,0.34927523,0.12984426,0.51378,0.4107305,0.1030495
39,0.6839167,0.75229293,"('exploitative', 'cooperative')",1.4855543,1.4928708,0.31005037,0.30404678,0.8265071,0.8497368,-0.0232297
67,0.6682172,0.76140237,"('doubtful', 'determined')",1.347062,1.2269531,-0.106903374,-0.15698814,0.6361253,0.6104558,0.0256695
42,0.6638378,0.4832263,"('unreliable', 'reliable')",0.78277844,0.77392405,-2.4711676,-2.6292498,-0.3415171,-0.4573665,0.1158494
77,0.6471729,0.5522266,"('unmotivated', 'motivated')",0.70441175,0.41841307,-0.5512546,-0.6571545,0.2667767,0.1044951,0.1622816
27,-0.64012706,-0.46804813,"('hardhearted', 'softhearted')",-0.040173635,0.24020654,0.08957653,0.4486715,-0.1969081,0.07361,-0.2705181
64,0.618533,0.5604061,"('shy', 'confident')",-0.15066995,-0.21169034,-5.4666276,-5.6162977,-1.6662548,-1.7558606,0.0896058
29,-0.6103847,-0.4459818,"('unfair', 'fair')",-0.7419681,-0.6364121,-0.8397463,-0.54972273,-0.7306997,-0.5440389,-0.1866608
