,big_male,big_female,tuple,lots_male,lots_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.9304876,-2.9011273,"('hostile', 'amicable')",-3.489687,-4.0206795,-0.47741747,-0.92564964,-2.2991974,-2.6158188,0.3166214
69,-2.6860871,-2.7805262,"('lazy', 'industrious')",-1.3715385,-2.0745175,-0.8146759,-0.72716904,-1.6241005,-1.8607375,0.236637
31,-2.5255241,-2.4878166,"('evil', 'good')",-2.6516001,-2.949751,-0.988184,-1.2121699,-2.0551027,-2.2165791,0.1614764
80,2.2185495,2.1050606,"('dominated', 'dominating')",0.6422894,1.1039209,-1.08835,-1.062745,0.5908296,0.7154121,-0.1245825
81,2.0793355,2.1304317,"('submissive', 'aggressive')",2.3327038,3.0392406,0.05450428,0.12670249,1.4888479,1.7654581,-0.2766102
62,2.0661922,2.3151612,"('incompetent', 'brilliant')",3.266222,4.186476,1.1204749,1.3895136,2.150963,2.6303837,-0.4794207
52,-2.0036428,-2.1403706,"('irrational', 'rational')",-2.7689364,-3.3659663,-0.3980999,-0.79325247,-1.7235597,-2.0998632,0.3763035
76,1.8367705,1.6896523,"('anxious', 'daring')",1.6522907,2.1312375,0.7152146,0.7484386,1.4014254,1.5231094,-0.121684
26,-1.6818165,-1.505927,"('hardhearted', 'benevolent')",-0.530975,-0.5363756,1.0658323,1.156201,-0.3823197,-0.2953672,-0.0869525
60,1.4915298,1.8403795,"('inefficient', 'efficient')",4.2956347,5.1693745,0.9152971,1.1653014,2.2341539,2.7250185,-0.4908646
11,1.4744924,1.5806196,"('unhelpful', 'helpful')",1.1619995,1.4152837,2.2549531,2.4353426,1.6304817,1.8104153,-0.1799336
87,1.4568299,1.5682492,"('unsuccessful', 'successful')",1.4143704,1.83072,1.0858712,1.4187596,1.3190238,1.6059097,-0.2868859
63,1.430051,1.4844803,"('unperceptive', 'insightful')",1.7495372,2.006558,1.4497377,1.6493138,1.5431086,1.7134507,-0.1703421
55,1.3720603,1.5510869,"('incompetent', 'clever')",2.6681426,3.7829275,0.35639113,0.50460005,1.4655313,1.9462048,-0.4806735
56,1.3701003,1.4861075,"('impractical', 'practical')",3.0746393,3.5344102,0.35968012,0.46950784,1.6014732,1.8300085,-0.2285353
35,-1.3628342,-1.6301055,"('corrupt', 'incorrupt')",-2.7799518,-3.720399,-0.91691023,-1.1197892,-1.6865654,-2.1567645,0.4701991
19,-1.2627463,-0.9399523,"('inhospitable', 'hospitable')",-1.8713893,-1.9923309,-0.36116138,-0.46697736,-1.1650991,-1.1330868,-0.0320123
