,ims_male,ims_female,tuple,health_male,health_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.2135909,-2.171186,"('unfriendly', 'friendly')",1.2007933,1.2339318,-0.16028243,-0.18079472,1.6335869,1.770676,0.1151267,0.1631568,-0.0480301
53,-1.6552892,-1.6471002,"('uncreative', 'creative')",-0.622189,-0.6724744,0.024403468,0.09391205,1.0463524,0.97378135,-0.3016806,-0.3129703,0.0112897
8,-1.6198033,-1.5213467,"('unaffectionate', 'affectionate')",0.25992173,0.3600557,-0.5437289,-0.52174747,0.39332545,0.5842301,-0.3775713,-0.2747021,-0.1028692
57,-1.5234251,-1.5691402,"('unimaginative', 'imaginative')",-0.3037304,-0.56771207,-0.67512435,-0.65277636,-2.2962804,-2.4565697,-1.19964,-1.3115495,0.1119095
58,-1.3991832,-1.3381217,"('undiscriminating', 'discriminating')",-0.9431031,-0.9800487,0.42459005,0.47313732,0.19119518,0.08298874,-0.4316252,-0.440511,0.0088858
0,-1.2391915,-1.4618977,"('unsociable', 'sociable')",-0.08466989,-0.29795384,-0.6889312,-0.8377317,-0.34128392,-0.5026295,-0.5885191,-0.7750532,0.1865341
73,1.0347383,1.2089274,"('helpless', 'self-reliant')",0.7008155,0.77001244,0.33267754,0.5737746,-3.3902726,-3.1757095,-0.3305103,-0.1557488,-0.1747615
25,-1.0065507,-1.1021763,"('egoistic', 'altruistic')",0.34069085,0.2515261,0.9505084,0.8316034,1.5494715,1.4610745,0.45853,0.3605069,0.0980231
80,0.9910106,0.8331287,"('dominated', 'dominating')",-0.49427503,-0.8842444,0.851177,0.6680307,-1.0363579,-1.1718556,0.0778887,-0.1387351,0.2166238
36,-0.94957525,-1.0546774,"('hostile', 'amicable')",-0.061378073,0.006508723,-0.7790116,-0.8121775,0.37996858,0.22356653,-0.3524991,-0.4091949,0.0566958
5,-0.9469161,-0.84083736,"('distant', 'outgoing')",0.46937388,0.7296666,-0.6817516,-0.53445506,-0.43177602,-0.2869484,-0.3977675,-0.2331436,-0.1646239
86,-0.94680905,-1.1068279,"('uninfluential', 'influential')",0.02712904,-0.13246667,-0.18515679,-0.48311046,0.042171292,-0.26509994,-0.2656664,-0.4968762,0.2312098
9,-0.93885887,-0.88909966,"('unaffectionate', 'caring')",1.1380339,1.1387277,0.021957234,0.017005712,1.1291292,1.288662,0.3375654,0.3888239,-0.0512585
2,0.9235862,1.1065767,"('unlikable', 'likable')",1.3122162,1.4494725,1.6826936,1.9964777,0.7615404,1.0553733,1.1700091,1.401975,-0.2319659
39,0.91966367,0.8181433,"('exploitative', 'cooperative')",0.20422861,0.13646762,0.101976335,0.016325891,-0.24325757,-0.11538644,0.2456528,0.2138876,0.0317652
50,0.9005852,0.8577568,"('clumsy', 'skillful')",0.8145189,0.7055057,0.26299864,0.37683842,0.18097194,0.3081358,0.5397686,0.5620592,-0.0222906
42,0.8926174,0.90769476,"('unreliable', 'reliable')",1.412449,1.3048556,1.3847177,1.4821894,-2.4201002,-2.4321687,0.317421,0.3156428,0.0017782
28,-0.8639269,-1.0214072,"('disloyal', 'loyal')",0.09970081,-0.083879784,-0.115647696,-0.3078686,1.2918841,1.2050258,0.1030026,-0.0520325,0.1550351
82,-0.8549784,-0.69537723,"('poor', 'rich')",-0.42281207,-0.27321804,0.45141476,0.7348881,5.6540976,5.906465,1.2069305,1.4181895,-0.211259
31,-0.8544729,-0.83575755,"('evil', 'good')",-0.18111125,0.011342689,-1.1712235,-1.1058996,-1.1288813,-1.230764,-0.8339223,-0.7902696,-0.0436527
10,-0.84474355,-0.9194603,"('unsympathetic', 'sympathetic')",-0.4966675,-0.69000554,-0.6043959,-0.8372808,0.098278,-0.08136595,-0.4618822,-0.6320282,0.170146
6,-0.8432478,-0.7292929,"('distant', 'open')",0.67384607,0.86469835,-0.742569,-0.7437298,0.28653243,0.376639,-0.1563596,-0.0579214,-0.0984382
16,-0.7970912,-0.82456136,"('unpopular', 'popular')",-0.074153535,-0.07856477,-0.9661475,-0.8731354,0.26506004,0.1760883,-0.393083,-0.4000433,0.0069603
