,kimberly_male,kimberly_female,tuple,clark_male,clark_female,corp_male,corp_female,average_male,average_female,male-female
85,2.1743057,1.9790779,"('insignificant', 'prestigious')",1.4521627,1.4807594,0.03281509,0.041387394,1.2197611,1.1670749,0.0526862
71,1.953959,1.8654282,"('diffident', 'self-confident')",1.0494663,1.1275826,0.2884599,0.33042267,1.097295,1.1078111,-0.0105161
5,1.696347,1.7887975,"('distant', 'outgoing')",1.0502776,1.2370456,-0.7570417,-0.8223985,0.6631943,0.7344816,-0.0712873
69,1.6779578,1.4098967,"('lazy', 'industrious')",2.3719354,2.2425437,-0.40806824,-0.496014,1.2139417,1.0521421,0.1617996
39,1.646993,1.4652888,"('exploitative', 'cooperative')",0.95331866,0.8781444,0.29055756,0.2782813,0.9636231,0.8739048,0.0897183
3,-1.6273421,-1.4165365,"('repellent', 'pleasant')",-0.8897094,-0.9244744,0.7136402,0.7009144,-0.6011371,-0.5466988,-0.0544383
33,1.6260759,1.5065347,"('wrong', 'right')",1.3326267,1.3778923,-0.71576715,-0.6131248,0.7476451,0.7571007,-0.0094556
26,1.6251678,1.6354492,"('hardhearted', 'benevolent')",1.4097096,1.5397468,1.8568641,1.8749245,1.6305804,1.6833735,-0.0527931
65,-1.5777967,-1.635382,"('insecure', 'secure')",-1.655401,-1.879056,-0.44658187,-0.418276,-1.2265932,-1.3109047,0.0843115
57,-1.5509007,-1.2486345,"('unimaginative', 'imaginative')",-1.9646858,-1.7518876,-3.1931117,-2.9047265,-2.2362328,-1.9684162,-0.2678166
55,-1.5167065,-1.2900252,"('incompetent', 'clever')",-2.3973198,-2.3420722,0.0924592,0.16793111,-1.2738557,-1.1547221,-0.1191336
44,-1.4621235,-1.523704,"('prejudiced', 'unprejudiced')",-0.4489247,-0.4715409,-1.54452,-1.6429759,-1.1518561,-1.2127403,0.0608842
10,-1.4615405,-1.2767932,"('unsympathetic', 'sympathetic')",-2.5203207,-2.402688,-0.32615617,-0.13226716,-1.4360058,-1.2705828,-0.165423
1,1.4595221,1.5633917,"('unfriendly', 'friendly')",0.37740067,0.72297305,0.9911488,1.1172199,0.9426905,1.1345282,-0.1918377
25,1.4428898,1.2424546,"('egoistic', 'altruistic')",0.94623363,0.86314464,1.0601513,1.0717301,1.1497583,1.0591098,0.0906485
81,-1.4173214,-1.3748405,"('submissive', 'aggressive')",-1.2307551,-1.4169692,-0.6521473,-0.50194794,-1.1000746,-1.0979191,-0.0021555
45,-1.3753104,-1.0413774,"('incompetent', 'competent')",-1.741595,-1.4130515,-0.4356963,-0.26776946,-1.1842006,-0.9073995,-0.2768011
21,-1.2888536,-1.1156006,"('immoral', 'moral')",-0.6439558,-0.67622054,-0.71642756,-0.6866527,-0.8830791,-0.826158,-0.0569211
82,-1.2793534,-1.1328083,"('poor', 'rich')",-0.94404966,-0.89765215,5.5976224,5.468589,1.1247398,1.1460428,-0.021303
9,1.2693174,1.2098042,"('unaffectionate', 'caring')",0.012521066,0.22104299,0.94016296,1.0604433,0.7406671,0.8304302,-0.0897631
54,1.2522174,1.1593689,"('incapable', 'capable')",0.356885,0.49675572,0.84240615,0.8996478,0.8171695,0.8519241,-0.0347546
6,1.2339084,1.2707046,"('distant', 'open')",0.44429713,0.7356783,-0.7378112,-0.8270644,0.3134648,0.3931062,-0.0796414
74,1.1837015,1.3019058,"('undedicated', 'dedicated')",0.15675989,0.30725336,-0.14092337,0.10288061,0.399846,0.5706799,-0.1708339
12,1.1441348,1.2820292,"('unsupportive', 'supportive')",0.4408999,0.66117805,-1.4057481,-1.1564924,0.0597622,0.2622383,-0.2024761
23,1.063597,1.1663995,"('insincere', 'sincere')",-0.3978789,-0.31211212,5.4373755,5.425654,2.0343645,2.0933139,-0.0589494
14,-1.0228838,-0.9337988,"('antisocial', 'social')",-0.67540544,-0.6390215,-0.3977609,-0.43337032,-0.6986833,-0.6687302,-0.0299531
52,1.0134077,0.8796269,"('irrational', 'rational')",-0.75131243,-0.6876144,-0.22908492,-0.29505113,0.0110034,-0.0343462,0.0453496
84,1.0120658,0.93388975,"('inferior', 'superior')",-0.16773035,-0.18555728,1.0262442,0.9790039,0.6235265,0.5757788,0.0477477
