,intel_male,intel_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,2.041103,1.7265047,"('diffident', 'self-confident')",0.41293123,0.280534,1.227017,1.0035193,0.2234977
61,1.7736408,1.5113902,"('illogical', 'logical')",0.9070947,0.88217366,1.3403678,1.1967819,0.1435859
45,-1.6826361,-1.8962704,"('incompetent', 'competent')",-0.009965353,0.20620099,-0.8463007,-0.8450347,-0.001266
39,1.5733597,1.6054895,"('exploitative', 'cooperative')",0.34097755,0.32811612,0.9571686,0.9668028,-0.0096342
48,1.3409649,1.3181417,"('unintelligent', 'intelligent')",0.7719251,0.8945583,1.056445,1.1063499,-0.0499049
41,-1.3283056,-1.9577446,"('unforgiving', 'forgiving')",-0.43836975,-0.520346,-0.8833377,-1.2390453,0.3557076
25,1.196785,0.8365261,"('egoistic', 'altruistic')",0.55546784,0.36012495,0.8761264,0.5983255,0.2778009
42,-1.1643926,-1.1644422,"('unreliable', 'reliable')",-2.795719,-2.4042778,-1.9800558,-1.7843599,-0.1956959
34,1.1112121,1.3979021,"('mean', 'honorable')",5.4950323,5.5767975,3.3031223,3.4873497,-0.1842274
57,-1.0672253,-1.458795,"('unimaginative', 'imaginative')",-3.0649557,-2.9294093,-2.0660906,-2.194102,0.1280114
9,1.0657523,0.5596286,"('unaffectionate', 'caring')",0.30619246,0.2157799,0.6859723,0.3877043,0.298268
46,-1.0561069,-0.8147702,"('uncompetitive', 'competitive')",0.1322079,0.36046964,-0.4619495,-0.2271503,-0.2347992
13,-1.0522351,-1.0055429,"('impolite', 'polite')",-0.45600665,-0.29778287,-0.7541209,-0.6516629,-0.102458
69,1.0498784,0.59404874,"('lazy', 'industrious')",-1.5335606,-1.8559185,-0.2418411,-0.6309349,0.3890938
85,0.98807317,0.5521958,"('insignificant', 'prestigious')",-1.1602855,-1.4485353,-0.0861062,-0.4481698,0.3620636
22,-0.98488694,-1.2380344,"('untrustworthy', 'trustworthy')",-0.8357034,-0.5606142,-0.9102951,-0.8993243,-0.0109708
29,-0.92135787,-1.2976384,"('unfair', 'fair')",-0.54222596,-0.6336287,-0.7317919,-0.9656336,0.2338417
64,-0.90833426,-1.3630768,"('shy', 'confident')",-6.10412,-5.9603963,-3.506227,-3.6617365,0.1555095
44,-0.90801394,-0.5307695,"('prejudiced', 'unprejudiced')",-1.326207,-1.0439198,-1.1171105,-0.7873447,-0.3297658
75,-0.870075,-0.80763793,"('meek', 'impulsive')",-1.0305085,-0.91550875,-0.9502918,-0.8615733,-0.0887185
59,0.86734194,0.49353352,"('foolish', 'wise')",-0.68549573,-0.76128775,0.0909231,-0.1338771,0.2248002
17,-0.86634827,-0.9624229,"('nasty', 'nice')",-0.8515353,-0.7834869,-0.8589418,-0.8729549,0.0140131
49,0.86366826,1.1051372,"('unable', 'able')",-0.14233156,0.01892263,0.3606684,0.56203,-0.2013616
73,0.85996574,0.82284987,"('helpless', 'self-reliant')",-3.3454878,-3.345332,-1.242761,-1.261241,0.01848
66,-0.802539,-0.95865554,"('inactive', 'active')",0.4580865,0.21214977,-0.1722263,-0.3732529,0.2010266
78,0.7917345,0.77548116,"('nonresilient', 'resilient')",0.6212411,0.49306035,0.7064878,0.6342708,0.072217
0,-0.763848,-1.0048994,"('unsociable', 'sociable')",0.22647327,0.32303154,-0.2686874,-0.3409339,0.0722465
26,0.74906445,0.55207753,"('hardhearted', 'benevolent')",0.85929877,0.6884808,0.8041816,0.6202792,0.1839024
84,0.74905086,0.5878722,"('inferior', 'superior')",1.021784,0.920184,0.8854174,0.7540281,0.1313893
83,0.7319268,0.91611505,"('powerless', 'powerful')",-0.33151484,-0.12123301,0.200206,0.397441,-0.197235
4,-0.714776,-1.2896686,"('disliked', 'liked')",-7.6718,-7.7286654,-4.1932878,-4.5091667,0.3158789
80,-0.71112347,-0.15095559,"('dominated', 'dominating')",0.18420602,0.40415284,-0.2634587,0.1265986,-0.3900573
58,-0.70273757,-0.82196665,"('undiscriminating', 'discriminating')",0.3912596,0.36363897,-0.155739,-0.2291638,0.0734248
35,0.6900739,0.25463033,"('corrupt', 'incorrupt')",-1.1514442,-1.4913386,-0.2306851,-0.6183541,0.387669
24,0.67252094,0.49952793,"('dishonest', 'honest')",0.56945443,0.77125335,0.6209877,0.6353906,-0.0144029
33,0.65890783,0.21945463,"('wrong', 'right')",-1.1876279,-1.3573117,-0.26436,-0.5689285,0.3045685
6,0.6522728,0.011387162,"('distant', 'open')",-1.5196894,-1.7316298,-0.4337083,-0.8601214,0.4264131
60,0.65046775,1.0899326,"('inefficient', 'efficient')",0.73791385,1.1461947,0.6941908,1.1180637,-0.4238729
54,0.6483003,0.66011953,"('incapable', 'capable')",0.73995,0.82968885,0.6941252,0.7449042,-0.050779
10,-0.6393307,-0.6972031,"('unsympathetic', 'sympathetic')",0.3270829,0.5923937,-0.1561239,-0.0524047,-0.1037192
5,0.6374069,-0.0006693378,"('distant', 'outgoing')",-1.5644721,-1.7278383,-0.4635326,-0.8642538,0.4007212
20,0.6122147,0.57156205,"('rough', 'thoughtful')",1.1186903,1.1088183,0.8654525,0.8401902,0.0252623
81,-0.5894255,-0.080566354,"('submissive', 'aggressive')",-0.38979033,0.25759834,-0.4896079,0.088516,-0.5781239
53,0.58924574,0.048462857,"('uncreative', 'creative')",0.4650613,0.29566887,0.5271535,0.1720659,0.3550876
1,0.55673015,-0.3132607,"('unfriendly', 'friendly')",0.032717485,-0.16492546,0.2947238,-0.2390931,0.5338169
52,0.5477557,-0.10185316,"('irrational', 'rational')",-0.94765794,-1.2672284,-0.1999511,-0.6845407,0.4845896
16,-0.5269102,-0.75777245,"('unpopular', 'popular')",0.35618424,0.22959916,-0.085363,-0.2640866,0.1787236
31,-0.524636,-1.2284555,"('evil', 'good')",-1.968926,-2.3280177,-1.246781,-1.7782366,0.5314556
28,0.52436817,0.24044657,"('disloyal', 'loyal')",1.4892777,1.5621125,1.0068229,0.9012795,0.1055434
30,0.50542635,0.8474853,"('intolerant', 'tolerant')",0.18349193,0.38844013,0.3444591,0.6179627,-0.2735036
36,0.50219345,-0.24954185,"('hostile', 'amicable')",-0.83253336,-1.3289222,-0.16517,-0.789232,0.624062
70,-0.4971849,-0.28871897,"('lethargic', 'energetic')",1.0332364,1.4370587,0.2680258,0.5741699,-0.3061441
63,-0.4901391,-0.49029246,"('unperceptive', 'insightful')",0.7624604,0.9032763,0.1361607,0.2064919,-0.0703312
