,johnson_male,johnson_female,tuple,controls_male,controls_female,intl_male,intl_female,plc_male,plc_female,average_male,average_female,male-female
67,1.9512736,1.9491836,"('doubtful', 'determined')",0.87723976,1.0177773,0.806096,0.97038776,-0.39912254,-0.31210172,0.8088717,0.9063118,-0.0974401
39,1.6746647,1.3247194,"('exploitative', 'cooperative')",0.6905358,0.5852197,0.45270976,0.2546008,0.34747097,0.23407316,0.7913453,0.5996532,0.1916921
4,-1.5428662,-1.151849,"('disliked', 'liked')",-1.9321434,-2.0663106,-0.07036561,-0.017025625,-4.990495,-5.4803534,-2.1339676,-2.1788847,0.0449171
84,1.4115093,1.1990248,"('inferior', 'superior')",0.51060456,0.46642599,0.55554837,0.5036601,0.9013128,0.8829023,0.8447438,0.7630033,0.0817405
49,-1.3451096,-1.4205651,"('unable', 'able')",-0.09434844,-0.16016078,-0.80275804,-0.95151174,-0.6201202,-0.65240544,-0.7155841,-0.7961608,0.0805767
16,-1.2448205,-1.3317237,"('unpopular', 'popular')",-1.4754335,-1.7820752,0.2919314,0.1738782,-0.05878177,-0.0910916,-0.6217761,-0.7577531,0.135977
71,1.2335507,1.1979148,"('diffident', 'self-confident')",0.36223674,0.2907331,-0.35290805,-0.34470353,0.40198493,0.41576412,0.4112161,0.3899271,0.021289
82,-1.2153033,-0.9520134,"('poor', 'rich')",-0.21267888,-0.19336075,0.2694339,0.29455376,4.7410674,5.199028,0.8956298,1.0870519,-0.1914221
75,-1.1401865,-1.1015497,"('meek', 'impulsive')",-2.058079,-2.1885505,0.5920048,0.65418464,-1.0225879,-0.96381176,-0.9072121,-0.8999318,-0.0072803
59,1.0211108,0.9124393,"('foolish', 'wise')",-1.5858132,-1.8439416,0.9826177,0.74177325,0.3559282,0.34377274,0.1934609,0.0385109,0.15495
31,-0.9876007,-0.73346716,"('evil', 'good')",-2.4339635,-2.6985302,-0.22815546,-0.1553928,-0.23912852,-0.1637561,-0.972212,-0.9377866,-0.0344254
56,0.97921306,1.1166985,"('impractical', 'practical')",2.971894,3.3473282,-0.31873882,-0.19359504,0.0983703,0.07896553,0.9326846,1.0873493,-0.1546647
57,-0.97730976,-0.6251793,"('unimaginative', 'imaginative')",-0.017839156,0.18287268,-0.79840195,-0.78196716,-1.8373253,-2.1043856,-0.907719,-0.8321649,-0.0755541
74,0.91694057,1.1169406,"('undedicated', 'dedicated')",0.7148698,0.8928015,-0.2848728,-0.158304,0.43896708,0.4194679,0.4464762,0.5677266,-0.1212504
86,-0.9166358,-0.45563942,"('uninfluential', 'influential')",0.54211557,0.8669151,-2.0738668,-1.910977,-0.38833675,-0.34803528,-0.709181,-0.4619341,-0.2472469
73,0.9063345,0.99206346,"('helpless', 'self-reliant')",-0.74726033,-0.93941253,0.20447832,0.19339581,-2.4188828,-2.672246,-0.5138326,-0.6065498,0.0927172
87,0.85680133,0.61833143,"('unsuccessful', 'successful')",1.2759875,1.3469045,1.3448454,1.2572802,1.6037295,1.4972731,1.2703409,1.1799473,0.0903936
34,-0.8470458,-0.854119,"('mean', 'honorable')",-0.27299422,-0.35654882,-0.37848103,-0.35063213,4.0330796,4.4482937,0.6336397,0.7217484,-0.0881087
18,-0.80553585,-0.6583454,"('disagreeable', 'welcoming')",-1.5538075,-1.7161568,-0.69904685,-0.76173085,-1.1062964,-1.1963254,-1.0411717,-1.0831397,0.041968
45,-0.7936848,-0.61123544,"('incompetent', 'competent')",1.16833,1.4357544,-0.58591026,-0.48942643,0.4499198,0.3684268,0.0596637,0.1758798,-0.1162161
68,-0.7902123,-0.980262,"('dependent', 'independent')",-0.20542383,-0.24814646,-0.99304587,-0.96357244,-1.3247925,-1.1675773,-0.8283687,-0.8398895,0.0115208
83,-0.77482677,-0.65593123,"('powerless', 'powerful')",1.0529548,1.1101835,-0.99779487,-0.87320465,-0.74693286,-0.6721178,-0.3666499,-0.2727675,-0.0938824
36,-0.75561666,-0.7008004,"('hostile', 'amicable')",-2.9756486,-3.364683,0.48354736,0.24321993,1.2569771,1.1629286,-0.4976852,-0.6648337,0.1671485
19,-0.7463309,-0.484203,"('inhospitable', 'hospitable')",-1.8934683,-1.8233482,-0.64348775,-0.67392117,-0.56537414,-0.4368148,-0.9621652,-0.8545718,-0.1075934
54,-0.7314541,-0.7447018,"('incapable', 'capable')",-0.60573596,-0.66684717,-0.18458338,-0.16602713,0.6975857,0.8045851,-0.2060469,-0.1932478,-0.0127991
51,-0.71561825,-0.25589624,"('uneducated', 'educated')",0.41576028,0.68623674,-0.90477985,-0.77393436,-0.28469825,-0.2162633,-0.372334,-0.1399643,-0.2323697
33,0.7056801,0.7441194,"('wrong', 'right')",-0.0010317191,-0.14261073,0.67292976,0.66400033,0.18855722,0.16060704,0.3915339,0.356529,0.0350049
62,-0.69575393,-0.5284695,"('incompetent', 'brilliant')",1.122985,1.2698777,-0.9236372,-0.8581314,-0.07560836,-0.12689123,-0.1430036,-0.0609036,-0.0821
69,0.6483801,0.1571153,"('lazy', 'industrious')",-0.52081645,-0.7709266,2.111368,1.9429898,0.35322183,0.25122875,0.6480384,0.3951018,0.2529366
12,0.63498676,0.93310314,"('unsupportive', 'supportive')",1.010756,1.2541802,-1.8486652,-1.7087538,-1.5929246,-1.6849883,-0.4489618,-0.3016147,-0.1473471
81,-0.6132985,-0.35655946,"('submissive', 'aggressive')",1.4362756,1.7336042,-0.5143585,-0.31180006,-1.1544287,-1.1315777,-0.2114525,-0.0165833,-0.1948692
88,-0.6005618,-0.28075963,"('low', 'eminent')",-0.9529372,-0.9533666,-1.1406735,-1.0403451,-0.030887416,0.11314218,-0.6812649,-0.5403323,-0.1409326
65,0.5967909,0.48958653,"('insecure', 'secure')",1.8849753,2.0228622,-0.6253978,-0.718019,-0.12230907,-0.15276855,0.4335148,0.4104153,0.0230995
66,-0.58854455,-0.6418546,"('inactive', 'active')",-0.42132324,-0.18267345,1.884112,1.8726164,1.2377058,1.2687658,0.5279875,0.5792135,-0.051226
11,0.58558613,0.60767376,"('unhelpful', 'helpful')",1.1827507,1.2718294,-1.371643,-1.4212154,0.7349961,0.705473,0.2829225,0.2909402,-0.0080177
6,-0.53952396,-0.23232168,"('distant', 'open')",-2.3526394,-2.5311842,0.05557201,0.0582077,0.4719801,0.6038823,-0.5911528,-0.525354,-0.0657988
2,0.5296857,0.4669248,"('unlikable', 'likable')",0.39969745,0.3478474,0.51524305,0.43008965,0.2886925,0.23524031,0.4333297,0.3700255,0.0633042
58,-0.51142114,-0.4246496,"('undiscriminating', 'discriminating')",1.0940346,1.0936384,-0.7132652,-0.6989974,0.55436254,0.5185962,0.1059277,0.1221469,-0.0162192
43,0.5044742,0.60201526,"('irresponsible', 'responsible')",2.2897956,2.558052,-1.2907257,-1.2099189,0.83557594,0.7476351,0.58478,0.6744459,-0.0896659
30,-0.5044564,-0.10076496,"('intolerant', 'tolerant')",1.4538299,1.4773432,-0.98047924,-0.93323,0.020225178,-0.039890297,-0.0027201,0.1008645,-0.1035846
20,-0.49837232,-0.49895495,"('rough', 'thoughtful')",0.14791851,0.16928554,-0.39638856,-0.4432636,1.1854656,1.2741657,0.1096558,0.1253082,-0.0156524
10,-0.495559,-0.0056777224,"('unsympathetic', 'sympathetic')",1.0464085,1.4869065,-2.3810346,-2.1873348,-1.0409496,-0.9135468,-0.7177837,-0.4049132,-0.3128705
15,-0.49143684,-0.23899066,"('boring', 'funny')",-0.5784303,-0.5757155,0.7382273,0.7992208,-0.2547869,-0.094735585,-0.1466067,-0.0275552,-0.1190515
60,0.4573216,0.6256865,"('inefficient', 'efficient')",3.0226552,3.3278434,-1.2066365,-1.2004105,-0.46244982,-0.5208025,0.4527226,0.5580792,-0.1053566
72,-0.44545805,-0.30907232,"('unambitious', 'ambitious')",0.28609914,0.26146343,-1.1033334,-1.1128439,0.5417115,0.48712742,-0.1802452,-0.1683313,-0.0119139
22,-0.4373082,-0.21702376,"('untrustworthy', 'trustworthy')",-0.11431801,0.07994402,-1.1591369,-1.1420997,-1.3574485,-1.3766099,-0.7670529,-0.6639473,-0.1031056
0,-0.4289903,-0.14796826,"('unsociable', 'sociable')",0.8372608,0.9965996,-1.8658103,-1.7863342,-0.8425944,-0.93027395,-0.5750335,-0.4669942,-0.1080393
63,0.3968711,0.55743665,"('unperceptive', 'insightful')",1.0590267,1.2865037,-0.7472866,-0.62332493,0.7695178,0.7212063,0.3695322,0.4854554,-0.1159232
28,-0.37428164,-0.46476847,"('disloyal', 'loyal')",-0.20462835,-0.30677953,-1.2750858,-1.4549224,0.87027186,0.7779649,-0.245931,-0.3621264,0.1161954
5,-0.33819464,-0.19726673,"('distant', 'outgoing')",-1.8978118,-2.0883887,-0.061879255,-0.053388894,0.37428698,0.3957189,-0.4808997,-0.4858314,0.0049317
17,-0.3292541,-0.23999867,"('nasty', 'nice')",-1.9280119,-2.1838288,-0.789316,-0.94873714,-1.0397329,-1.090101,-1.0215788,-1.1156664,0.0940876
26,-0.3220295,-0.06362032,"('hardhearted', 'benevolent')",0.6700987,0.696924,0.77745295,0.7800183,2.3135026,2.3207815,0.8597562,0.9335259,-0.0737697
